1       , -12015.1    , array([ 4.311      ,  0.482817   ,  1.80551    ,  0.52237    ,  0.0988438  ])
2       , -12017.4    , array([ 4.31531    ,  0.482817   ,  1.80551    ,  0.52237    ,  0.0988438  ])
3       , -12034.1    , array([ 4.311      ,  0.4833     ,  1.80551    ,  0.52237    ,  0.0988438  ])
4       , -12017      , array([ 4.311      ,  0.482817   ,  1.80732    ,  0.52237    ,  0.0988438  ])
5       , -12016.3    , array([ 4.311      ,  0.482817   ,  1.80551    ,  0.522893   ,  0.0988438  ])
6       , -12003.4    , array([ 4.311      ,  0.482817   ,  1.80551    ,  0.52237    ,  0.0989427  ])
7       , -12015.1    , array([ 4.311      ,  0.482817   ,  1.80551    ,  0.52237    ,  0.0988438  ])
8       , -8322.14    , array([ 3.90074    ,  0.206202   ,  1.66136    ,  0.496731   ,  0.167281   ])
9       , -8322.14    , array([ 3.90074    ,  0.206202   ,  1.66136    ,  0.496731   ,  0.167281   ])
10      , -8324.46    , array([ 3.90464    ,  0.206202   ,  1.66136    ,  0.496731   ,  0.167281   ])
11      , -8308.56    , array([ 3.90074    ,  0.206408   ,  1.66136    ,  0.496731   ,  0.167281   ])
12      , -8319.58    , array([ 3.90074    ,  0.206202   ,  1.66302    ,  0.496731   ,  0.167281   ])
13      , -8320.22    , array([ 3.90074    ,  0.206202   ,  1.66136    ,  0.497227   ,  0.167281   ])
14      , -8335.71    , array([ 3.90074    ,  0.206202   ,  1.66136    ,  0.496731   ,  0.167448   ])
15      , -5301.97    , array([ 0.878332   ,  0.0754076  ,  2.31962    ,  0.692136   ,  0.0507951  ])
16      , -5301.97    , array([ 0.878332   ,  0.0754076  ,  2.31962    ,  0.692136   ,  0.0507951  ])
17      , -5301.05    , array([ 0.87921    ,  0.0754076  ,  2.31962    ,  0.692136   ,  0.0507951  ])
18      , -5286.99    , array([ 0.878332   ,  0.075483   ,  2.31962    ,  0.692136   ,  0.0507951  ])
19      , -5300.57    , array([ 0.878332   ,  0.0754076  ,  2.32194    ,  0.692136   ,  0.0507951  ])
20      , -5300.98    , array([ 0.878332   ,  0.0754076  ,  2.31962    ,  0.692828   ,  0.0507951  ])
21      , -5315.08    , array([ 0.878332   ,  0.0754076  ,  2.31962    ,  0.692136   ,  0.0508459  ])
22      , -3237.55    , array([ 1.78016    ,  0.00936536 ,  0.716557   ,  0.355693   ,  0.00259715 ])
23      , -3237.55    , array([ 1.78016    ,  0.00936536 ,  0.716557   ,  0.355693   ,  0.00259715 ])
24      , -3237.59    , array([ 1.78194    ,  0.00936536 ,  0.716557   ,  0.355693   ,  0.00259715 ])
25      , -3244.43    , array([ 1.78016    ,  0.00937473 ,  0.716557   ,  0.355693   ,  0.00259715 ])
26      , -3237.56    , array([ 1.78016    ,  0.00936536 ,  0.717274   ,  0.355693   ,  0.00259715 ])
27      , -3237.56    , array([ 1.78016    ,  0.00936536 ,  0.716557   ,  0.356049   ,  0.00259715 ])
28      , -3230.53    , array([ 1.78016    ,  0.00936536 ,  0.716557   ,  0.355693   ,  0.00259975 ])
29      , -2471.69    , array([ 1.23506    ,  0.0275629  ,  1.31602    ,  0.501989   ,  0.0120993  ])
30      , -2471.69    , array([ 1.23506    ,  0.0275629  ,  1.31602    ,  0.501989   ,  0.0120993  ])
31      , -2471.74    , array([ 1.2363     ,  0.0275629  ,  1.31602    ,  0.501989   ,  0.0120993  ])
