29957   , -153807     , array([ 0.0227923  ,  0.323545   ,  2.54098e-41,  1.37881e-13,  0.0431122  ])
29958   , -153696     , array([ 0.0228151  ,  0.323545   ,  2.54098e-41,  1.37881e-13,  0.0431122  ])
29959   , -153823     , array([ 0.0227923  ,  0.323869   ,  2.54098e-41,  1.37881e-13,  0.0431122  ])
29960   , -153807     , array([ 0.0227923  ,  0.323545   ,  2.54352e-41,  1.37881e-13,  0.0431122  ])
29961   , -153807     , array([ 0.0227923  ,  0.323545   ,  2.54098e-41,  1.38019e-13,  0.0431122  ])
29962   , -153887     , array([ 0.0227923  ,  0.323545   ,  2.54098e-41,  1.37881e-13,  0.0431553  ])
29963   , -153807     , array([ 0.0227923  ,  0.323545   ,  2.54098e-41,  1.37881e-13,  0.0431122  ])
29964   , -60606.2    , array([ 0.0516286  ,  0.287967   ,  2.54098e-41,  1.37881e-13,  0.0241058  ])
29965   , -60606.2    , array([ 0.0516286  ,  0.287967   ,  2.54098e-41,  1.37881e-13,  0.0241058  ])
29966   , -60556.9    , array([ 0.0516803  ,  0.287967   ,  2.54098e-41,  1.37881e-13,  0.0241058  ])
29967   , -60620.6    , array([ 0.0516286  ,  0.288255   ,  2.54098e-41,  1.37881e-13,  0.0241058  ])
29968   , -60606.2    , array([ 0.0516286  ,  0.287967   ,  2.54352e-41,  1.37881e-13,  0.0241058  ])
29969   , -60606.2    , array([ 0.0516286  ,  0.287967   ,  2.54098e-41,  1.38019e-13,  0.0241058  ])
29970   , -60633.9    , array([ 0.0516286  ,  0.287967   ,  2.54098e-41,  1.37881e-13,  0.0241299  ])
29978   , -60547.1    , array([ 0.0516973  ,  0.287159   ,  2.54098e-41,  1.37881e-13,  0.0241466  ])
29979   , -60547.1    , array([ 0.0516973  ,  0.287159   ,  2.54098e-41,  1.37881e-13,  0.0241466  ])
29980   , -60497.7    , array([ 0.051749   ,  0.287159   ,  2.54098e-41,  1.37881e-13,  0.0241466  ])
29981   , -60561.4    , array([ 0.0516973  ,  0.287447   ,  2.54098e-41,  1.37881e-13,  0.0241466  ])
29982   , -60547.1    , array([ 0.0516973  ,  0.287159   ,  2.54352e-41,  1.37881e-13,  0.0241466  ])
29983   , -60547.1    , array([ 0.0516973  ,  0.287159   ,  2.54098e-41,  1.38019e-13,  0.0241466  ])
29984   , -60574.7    , array([ 0.0516973  ,  0.287159   ,  2.54098e-41,  1.37881e-13,  0.0241707  ])
29985   , -60487.8    , array([ 0.0517661  ,  0.286353   ,  2.54098e-41,  1.37881e-13,  0.0241874  ])
29986   , -60487.8    , array([ 0.0517661  ,  0.286353   ,  2.54098e-41,  1.37881e-13,  0.0241874  ])
29987   , -60438.5    , array([ 0.0518179  ,  0.286353   ,  2.54098e-41,  1.37881e-13,  0.0241874  ])
29988   , -60502.2    , array([ 0.0517661  ,  0.28664    ,  2.54098e-41,  1.37881e-13,  0.0241874  ])
29989   , -60487.8    , array([ 0.0517661  ,  0.286353   ,  2.54352e-41,  1.37881e-13,  0.0241874  ])
29990   , -60487.8    , array([ 0.0517661  ,  0.286353   ,  2.54098e-41,  1.38019e-13,  0.0241874  ])
29991   , -60515.5    , array([ 0.0517661  ,  0.286353   ,  2.54098e-41,  1.37881e-13,  0.0242116  ])
29992   , -1.19901e+06, array([ 0.429765   ,  0.00325859 ,  2.54098e-41,  1.37881e-13,  0.356426   ])
29993   , -1.19901e+06, array([ 0.429765   ,  0.00325859 ,  2.54098e-41,  1.37881e-13,  0.356426   ])
29994   , -1.19898e+06, array([ 0.430195   ,  0.00325859 ,  2.54098e-41,  1.37881e-13,  0.356426   ])
29995   , -1.19897e+06, array([ 0.429765   ,  0.00326185 ,  2.54098e-41,  1.37881e-13,  0.356426   ])
29996   , -1.19901e+06, array([ 0.429765   ,  0.00325859 ,  2.54352e-41,  1.37881e-13,  0.356426   ])
29997   , -1.19897e+06, array([ 0.429765   ,  0.00325859 ,  2.54098e-41,  1.38019e-13,  0.356426   ])
29998   , -1.19903e+06, array([ 0.429765   ,  0.00325859 ,  2.54098e-41,  1.37881e-13,  0.356783   ])
29999   , -59149.1    , array([ 0.053321   ,  0.26898    ,  2.54098e-41,  1.37881e-13,  0.0251146  ])
30000   , -59149.1    , array([ 0.053321   ,  0.26898    ,  2.54098e-41,  1.37881e-13,  0.0251146  ])
30001   , -59099.8    , array([ 0.0533743  ,  0.26898    ,  2.54098e-41,  1.37881e-13,  0.0251146  ])
30002   , -59163.9    , array([ 0.053321   ,  0.269249   ,  2.54098e-41,  1.37881e-13,  0.0251146  ])
30003   , -59149.1    , array([ 0.053321   ,  0.26898    ,  2.54352e-41,  1.37881e-13,  0.0251146  ])
30004   , -59149.1    , array([ 0.053321   ,  0.26898    ,  2.54098e-41,  1.38019e-13,  0.0251146  ])
30005   , -59176.5    , array([ 0.053321   ,  0.26898    ,  2.54098e-41,  1.37881e-13,  0.0251398  ])
30006   , -57783.2    , array([ 0.0549166  ,  0.25272    ,  2.54098e-41,  1.37881e-13,  0.0260738  ])
30007   , -57783.2    , array([ 0.0549166  ,  0.25272    ,  2.54098e-41,  1.37881e-13,  0.0260738  ])
30008   , -57733.9    , array([ 0.0549715  ,  0.25272    ,  2.54098e-41,  1.37881e-13,  0.0260738  ])
30009   , -57798.3    , array([ 0.0549166  ,  0.252973   ,  2.54098e-41,  1.37881e-13,  0.0260738  ])
