111091  , -2798.27    , array([ 1.2601     ,  0.233589   ,  2.58794    ,  3.33044    ,  4.90983    ])
111092  , -4705.42    , array([ 1.2601     ,  0.143419   ,  2.58794    ,  3.33044    ,  4.90983    ])
111093  , -3048.66    , array([ 1.2601     ,  0.257409   ,  2.58794    ,  3.33044    ,  4.90983    ])
111094  , -2764.87    , array([ 1.2601     ,  0.209769   ,  2.58794    ,  3.33044    ,  4.90983    ])
111095  , -3064.25    , array([ 1.2601     ,  0.184426   ,  2.58794    ,  3.33044    ,  4.90983    ])
111096  , -2764.87    , array([ 1.2601     ,  0.209769   ,  2.58794    ,  3.33044    ,  4.90983    ])
111097  , -3773.6     , array([ 1.2601     ,  0.209769   ,  3.58794    ,  3.33044    ,  4.90983    ])
111098  , -3864.7     , array([ 1.2601     ,  0.209769   ,  0.969908   ,  3.33044    ,  4.90983    ])
111099  , -2764.87    , array([ 1.2601     ,  0.209769   ,  2.58794    ,  3.33044    ,  4.90983    ])
111100  , -2616.97    , array([ 1.2601     ,  0.209769   ,  1.96991    ,  3.33044    ,  4.90983    ])
111101  , -2821.99    , array([ 1.2601     ,  0.209769   ,  1.58794    ,  3.33044    ,  4.90983    ])
111102  , -2605.1     , array([ 1.2601     ,  0.209769   ,  2.12474    ,  3.33044    ,  4.90983    ])
111103  , -2604.57    , array([ 1.2601     ,  0.209769   ,  2.1035     ,  3.33044    ,  4.90983    ])
111104  , -2604.54    , array([ 1.2601     ,  0.209769   ,  2.09762    ,  3.33044    ,  4.90983    ])
111105  , -2604.55    , array([ 1.2601     ,  0.209769   ,  2.09272    ,  3.33044    ,  4.90983    ])
111106  , -2604.54    , array([ 1.2601     ,  0.209769   ,  2.09762    ,  3.33044    ,  4.90983    ])
111107  , -2628.31    , array([ 1.2601     ,  0.209769   ,  2.09762    ,  4.33044    ,  4.90983    ])
111108  , -6918.74    , array([ 1.2601     ,  0.209769   ,  2.09762    ,  1.7124     ,  4.90983    ])
111109  , -2604.54    , array([ 1.2601     ,  0.209769   ,  2.09762    ,  3.33044    ,  4.90983    ])
111110  , -3303.58    , array([ 1.2601     ,  0.209769   ,  2.09762    ,  2.7124     ,  4.90983    ])
111111  , -2487.49    , array([ 1.2601     ,  0.209769   ,  2.09762    ,  3.7124     ,  4.90983    ])
111112  , -2487.86    , array([ 1.2601     ,  0.209769   ,  2.09762    ,  3.70723    ,  4.90983    ])
111113  , -2485.34    , array([ 1.2601     ,  0.209769   ,  2.09762    ,  3.76791    ,  4.90983    ])
111114  , -2506.96    , array([ 1.2601     ,  0.209769   ,  2.09762    ,  3.98277    ,  4.90983    ])
111115  , -2485.31    , array([ 1.2601     ,  0.209769   ,  2.09762    ,  3.77515    ,  4.90983    ])
111116  , -2485.31    , array([ 1.2601     ,  0.209769   ,  2.09762    ,  3.7796     ,  4.90983    ])
111117  , -2485.31    , array([ 1.2601     ,  0.209769   ,  2.09762    ,  3.77515    ,  4.90983    ])
111119  , -2532.12    , array([ 1.2601     ,  0.209769   ,  2.09762    ,  3.77515    ,  3.2918     ])
111120  , -2485.31    , array([ 1.2601     ,  0.209769   ,  2.09762    ,  3.77515    ,  4.90983    ])
111121  , -2496       , array([ 1.2601     ,  0.209769   ,  2.09762    ,  3.77515    ,  4.2918     ])
111123  , -2489.96    , array([ 1.2601     ,  0.209769   ,  2.09762    ,  3.77515    ,  4.60081    ])
111125  , -2486.94    , array([ 1.2601     ,  0.209769   ,  2.09762    ,  3.77515    ,  4.7918     ])
111126  , -2484.59    , array([ 1.2601     ,  0.209769   ,  2.09762    ,  3.77515    ,  4.96556    ])
111128  , -2484.86    , array([ 1.2601     ,  0.209769   ,  2.09762    ,  3.77515    ,  4.94427    ])
111129  , -2484.42    , array([ 1.2601     ,  0.209769   ,  2.09762    ,  3.77515    ,  4.97871    ])
111130  , -2484.32    , array([ 1.2601     ,  0.209769   ,  2.09762    ,  3.77515    ,  4.98684    ])
111131  , -2484.26    , array([ 1.2601     ,  0.209769   ,  2.09762    ,  3.77515    ,  4.99187    ])
111132  , -2484.22    , array([ 1.2601     ,  0.209769   ,  2.09762    ,  3.77515    ,  4.99498    ])
111133  , -2484.2     , array([ 1.2601     ,  0.209769   ,  2.09762    ,  3.77515    ,  4.99689    ])
111134  , -2484.18    , array([ 1.2601     ,  0.209769   ,  2.09762    ,  3.77515    ,  4.99808    ])
111135  , -2484.17    , array([ 1.2601     ,  0.209769   ,  2.09762    ,  3.77515    ,  4.99896    ])
111137  , -2484.17    , array([ 1.2601     ,  0.209769   ,  2.09762    ,  3.77515    ,  4.99896    ])
111138  , -2827.12    , array([ 2.2601     ,  0.209769   ,  2.09762    ,  3.77515    ,  4.99896    ])
111140  , -2484.17    , array([ 1.2601     ,  0.209769   ,  2.09762    ,  3.77515    ,  4.99896    ])
111141  , -5410.85    , array([ 0.642071   ,  0.209769   ,  2.09762    ,  3.77515    ,  4.99896    ])
111142  , -2386.8     , array([ 1.64207    ,  0.209769   ,  2.09762    ,  3.77515    ,  4.99896    ])
111143  , -2369.95    , array([ 1.47954    ,  0.209769   ,  2.09762    ,  3.77515    ,  4.99896    ])
111144  , -2367.9     , array([ 1.52908    ,  0.209769   ,  2.09762    ,  3.77515    ,  4.99896    ])
111145  , -2367.76    , array([ 1.52039    ,  0.209769   ,  2.09762    ,  3.77515    ,  4.99896    ])
111146  , -2367.76    , array([ 1.51779    ,  0.209769   ,  2.09762    ,  3.77515    ,  4.99896    ])
111147  , -2367.77    , array([ 1.51521    ,  0.209769   ,  2.09762    ,  3.77515    ,  4.99896    ])
111148  , -2367.76    , array([ 1.51779    ,  0.209769   ,  2.09762    ,  3.77515    ,  4.99896    ])
111149  , -29241.8    , array([ 1.51779    ,  1.20977    ,  2.09762    ,  3.77515    ,  4.99896    ])
111151  , -2367.76    , array([ 1.51779    ,  0.209769   ,  2.09762    ,  3.77515    ,  4.99896    ])
111153  , -13587.3    , array([ 1.51779    ,  0.591735   ,  2.09762    ,  3.77515    ,  4.99896    ])
111154  , -7107.8     , array([ 1.51779    ,  0.400662   ,  2.09762    ,  3.77515    ,  4.99896    ])
111156  , -5444.36    , array([ 1.51779    ,  0.1196     ,  2.09762    ,  3.77515    ,  4.99896    ])
111157  , -2734.71    , array([ 1.51779    ,  0.246022   ,  2.09762    ,  3.77515    ,  4.99896    ])
111158  , -2381.03    , array([ 1.51779    ,  0.213434   ,  2.09762    ,  3.77515    ,  4.99896    ])
