2816    , -2329.04    , array([ 0.0658762  ,  0.436869   ,  7.24223e-34,  0.000315495])
2817    , -2329.04    , array([ 0.0659421  ,  0.436869   ,  7.24223e-34,  0.000315495])
2818    , -2329.05    , array([ 0.0658762  ,  0.437306   ,  7.24223e-34,  0.000315495])
2819    , -2329.04    , array([ 0.0658762  ,  0.436869   ,  7.24948e-34,  0.000315495])
2820    , -2329.03    , array([ 0.0658762  ,  0.436869   ,  7.24223e-34,  0.00031581 ])
2821    , -2329.04    , array([ 0.0658762  ,  0.436869   ,  7.24223e-34,  0.000315495])
2822    , -2293.38    , array([ 0.0658762  ,  0.181244   ,  7.24223e-34,  0.000518116])
2823    , -2293.38    , array([ 0.0658762  ,  0.181244   ,  7.24223e-34,  0.000518116])
2824    , -2293.38    , array([ 0.0659421  ,  0.181244   ,  7.24223e-34,  0.000518116])
2825    , -2293.44    , array([ 0.0658762  ,  0.181425   ,  7.24223e-34,  0.000518116])
2826    , -2293.38    , array([ 0.0658762  ,  0.181244   ,  7.24948e-34,  0.000518116])
2827    , -2293.34    , array([ 0.0658762  ,  0.181244   ,  7.24223e-34,  0.000518634])
2828    , -5411.82    , array([ 0.0658762  ,  0.00536927 ,  7.24223e-34,  0.00376849 ])
2829    , -5411.82    , array([ 0.0658762  ,  0.00536927 ,  7.24223e-34,  0.00376849 ])
2830    , -5411.82    , array([ 0.0659421  ,  0.00536927 ,  7.24223e-34,  0.00376849 ])
2831    , -5407.81    , array([ 0.0658762  ,  0.00537464 ,  7.24223e-34,  0.00376849 ])
2832    , -5411.82    , array([ 0.0658762  ,  0.00536927 ,  7.24948e-34,  0.00376849 ])
2833    , -5415.53    , array([ 0.0658762  ,  0.00536927 ,  7.24223e-34,  0.00377226 ])
2834    , -2133.88    , array([ 0.0658762  ,  0.0669064  ,  7.24223e-34,  0.000908769])
2835    , -2133.88    , array([ 0.0658762  ,  0.0669064  ,  7.24223e-34,  0.000908769])
2836    , -2133.88    , array([ 0.0659421  ,  0.0669064  ,  7.24223e-34,  0.000908769])
2837    , -2134.06    , array([ 0.0658762  ,  0.0669733  ,  7.24223e-34,  0.000908769])
2838    , -2133.88    , array([ 0.0658762  ,  0.0669064  ,  7.24948e-34,  0.000908769])
2839    , -2133.71    , array([ 0.0658762  ,  0.0669064  ,  7.24223e-34,  0.000909679])
2840    , -1790.3     , array([ 0.0658762  ,  0.0237157  ,  7.24223e-34,  0.00163089 ])
2841    , -1790.3     , array([ 0.0658762  ,  0.0237157  ,  7.24223e-34,  0.00163089 ])
2842    , -1790.3     , array([ 0.0659421  ,  0.0237157  ,  7.24223e-34,  0.00163089 ])
2843    , -1790.41    , array([ 0.0658762  ,  0.0237394  ,  7.24223e-34,  0.00163089 ])
2844    , -1790.3     , array([ 0.0658762  ,  0.0237157  ,  7.24948e-34,  0.00163089 ])
2845    , -1790.18    , array([ 0.0658762  ,  0.0237157  ,  7.24223e-34,  0.00163252 ])
2846    , -1782.9     , array([ 0.0658762  ,  0.0193002  ,  7.24223e-34,  0.00183178 ])
2847    , -1782.9     , array([ 0.0658762  ,  0.0193002  ,  7.24223e-34,  0.00183178 ])
2848    , -1782.9     , array([ 0.0659421  ,  0.0193002  ,  7.24223e-34,  0.00183178 ])
2849    , -1782.81    , array([ 0.0658762  ,  0.0193195  ,  7.24223e-34,  0.00183178 ])
2850    , -1782.9     , array([ 0.0658762  ,  0.0193002  ,  7.24948e-34,  0.00183178 ])
2851    , -1782.97    , array([ 0.0658762  ,  0.0193002  ,  7.24223e-34,  0.00183361 ])
2852    , -1778.33    , array([ 0.0658762  ,  0.0210859  ,  7.24223e-34,  0.00174263 ])
2853    , -1778.33    , array([ 0.0658762  ,  0.0210859  ,  7.24223e-34,  0.00174263 ])
2854    , -1778.33    , array([ 0.0659421  ,  0.0210859  ,  7.24223e-34,  0.00174263 ])
2855    , -1778.33    , array([ 0.0658762  ,  0.021107   ,  7.24223e-34,  0.00174263 ])
2856    , -1778.33    , array([ 0.0658762  ,  0.0210859  ,  7.24948e-34,  0.00174263 ])
2857    , -1778.3     , array([ 0.0658762  ,  0.0210859  ,  7.24223e-34,  0.00174437 ])
2858    , -1778.17    , array([ 0.0658762  ,  0.0207951  ,  7.24223e-34,  0.00175632 ])
2859    , -1778.17    , array([ 0.0658762  ,  0.0207951  ,  7.24223e-34,  0.00175632 ])
2860    , -1778.17    , array([ 0.0659421  ,  0.0207951  ,  7.24223e-34,  0.00175632 ])
2861    , -1778.17    , array([ 0.0658762  ,  0.020816   ,  7.24223e-34,  0.00175632 ])
2862    , -1778.17    , array([ 0.0658762  ,  0.0207951  ,  7.24948e-34,  0.00175632 ])
2863    , -1778.16    , array([ 0.0658762  ,  0.0207951  ,  7.24223e-34,  0.00175808 ])
2870    , -1778.17    , array([ 0.0658762  ,  0.0207951  ,  7.24223e-34,  0.00175634 ])
2871    , -1778.17    , array([ 0.0658762  ,  0.0207951  ,  7.24223e-34,  0.00175634 ])
2872    , -1778.17    , array([ 0.0659421  ,  0.0207951  ,  7.24223e-34,  0.00175634 ])
2873    , -1778.17    , array([ 0.0658762  ,  0.0208159  ,  7.24223e-34,  0.00175634 ])
2874    , -1778.17    , array([ 0.0658762  ,  0.0207951  ,  7.24948e-34,  0.00175634 ])
2875    , -1778.16    , array([ 0.0658762  ,  0.0207951  ,  7.24223e-34,  0.00175809 ])
2876    , -1778.17    , array([ 0.0658762  ,  0.020795   ,  7.24223e-34,  0.00175637 ])
2877    , -1778.17    , array([ 0.0658762  ,  0.020795   ,  7.24223e-34,  0.00175637 ])
2878    , -1778.17    , array([ 0.0659421  ,  0.020795   ,  7.24223e-34,  0.00175637 ])
2879    , -1778.17    , array([ 0.0658762  ,  0.0208158  ,  7.24223e-34,  0.00175637 ])
2880    , -1778.17    , array([ 0.0658762  ,  0.020795   ,  7.24948e-34,  0.00175637 ])
2881    , -1778.16    , array([ 0.0658762  ,  0.020795   ,  7.24223e-34,  0.00175813 ])
2888    , -1778.17    , array([ 0.0658762  ,  0.020795   ,  7.24223e-34,  0.00175637 ])
2889    , -1778.17    , array([ 0.0658762  ,  0.020795   ,  7.24223e-34,  0.00175637 ])
2890    , -1778.17    , array([ 0.0659421  ,  0.020795   ,  7.24223e-34,  0.00175637 ])
2891    , -1778.17    , array([ 0.0658762  ,  0.0208158  ,  7.24223e-34,  0.00175637 ])
2892    , -1778.17    , array([ 0.0658762  ,  0.020795   ,  7.24948e-34,  0.00175637 ])
2893    , -1778.16    , array([ 0.0658762  ,  0.020795   ,  7.24223e-34,  0.00175813 ])
2894    , -1778.17    , array([ 0.0658762  ,  0.020795   ,  7.24223e-34,  0.00175638 ])
2895    , -1778.17    , array([ 0.0658762  ,  0.020795   ,  7.24223e-34,  0.00175638 ])
2896    , -1778.17    , array([ 0.0659421  ,  0.020795   ,  7.24223e-34,  0.00175638 ])
2897    , -1778.17    , array([ 0.0658762  ,  0.0208158  ,  7.24223e-34,  0.00175638 ])
2898    , -1778.17    , array([ 0.0658762  ,  0.020795   ,  7.24948e-34,  0.00175638 ])
2899    , -1778.16    , array([ 0.0658762  ,  0.020795   ,  7.24223e-34,  0.00175814 ])
2900    , -2336.8     , array([ 0.0658762  ,  0.00567847 ,  7.24223e-34,  0.275632   ])
2901    , -2336.8     , array([ 0.0658762  ,  0.00567847 ,  7.24223e-34,  0.275632   ])
2902    , -2336.8     , array([ 0.0659421  ,  0.00567847 ,  7.24223e-34,  0.275632   ])
2903    , -2336.8     , array([ 0.0658762  ,  0.00568415 ,  7.24223e-34,  0.275632   ])
2904    , -2336.8     , array([ 0.0658762  ,  0.00567847 ,  7.24948e-34,  0.275632   ])
2905    , -2336.8     , array([ 0.0658762  ,  0.00567847 ,  7.24223e-34,  0.275908   ])
2906    , -1780.59    , array([ 0.0658762  ,  0.0203658  ,  7.24223e-34,  0.00190501 ])
2907    , -1780.59    , array([ 0.0658762  ,  0.0203658  ,  7.24223e-34,  0.00190501 ])
2908    , -1780.59    , array([ 0.0659421  ,  0.0203658  ,  7.24223e-34,  0.00190501 ])
2909    , -1780.51    , array([ 0.0658762  ,  0.0203861  ,  7.24223e-34,  0.00190501 ])
2910    , -1780.59    , array([ 0.0658762  ,  0.0203658  ,  7.24948e-34,  0.00190501 ])
2911    , -1780.64    , array([ 0.0658762  ,  0.0203658  ,  7.24223e-34,  0.00190692 ])
2912    , -1778.11    , array([ 0.0658762  ,  0.0207341  ,  7.24223e-34,  0.00177655 ])
2913    , -1778.11    , array([ 0.0658762  ,  0.0207341  ,  7.24223e-34,  0.00177655 ])
2914    , -1778.11    , array([ 0.0659421  ,  0.0207341  ,  7.24223e-34,  0.00177655 ])
2915    , -1778.09    , array([ 0.0658762  ,  0.0207548  ,  7.24223e-34,  0.00177655 ])
2916    , -1778.11    , array([ 0.0658762  ,  0.0207341  ,  7.24948e-34,  0.00177655 ])
2917    , -1778.1     , array([ 0.0658762  ,  0.0207341  ,  7.24223e-34,  0.00177833 ])
2918    , -1777.97    , array([ 0.0658762  ,  0.0208663  ,  7.24223e-34,  0.00178889 ])
2919    , -1777.97    , array([ 0.0658762  ,  0.0208663  ,  7.24223e-34,  0.00178889 ])
2920    , -1777.97    , array([ 0.0659421  ,  0.0208663  ,  7.24223e-34,  0.00178889 ])
2921    , -1777.95    , array([ 0.0658762  ,  0.0208872  ,  7.24223e-34,  0.00178889 ])
2922    , -1777.97    , array([ 0.0658762  ,  0.0208663  ,  7.24948e-34,  0.00178889 ])
2923    , -1777.96    , array([ 0.0658762  ,  0.0208663  ,  7.24223e-34,  0.00179068 ])
2924    , -1777.39    , array([ 0.0658762  ,  0.0214036  ,  7.24223e-34,  0.00183909 ])
2925    , -1777.39    , array([ 0.0658762  ,  0.0214036  ,  7.24223e-34,  0.00183909 ])
2926    , -1777.39    , array([ 0.0659421  ,  0.0214036  ,  7.24223e-34,  0.00183909 ])
2927    , -1777.37    , array([ 0.0658762  ,  0.021425   ,  7.24223e-34,  0.00183909 ])
2928    , -1777.39    , array([ 0.0658762  ,  0.0214036  ,  7.24948e-34,  0.00183909 ])
2929    , -1777.38    , array([ 0.0658762  ,  0.0214036  ,  7.24223e-34,  0.00184093 ])
2930    , -1774.91    , array([ 0.0658762  ,  0.0236948  ,  7.24223e-34,  0.00205438 ])
2931    , -1774.91    , array([ 0.0658762  ,  0.0236948  ,  7.24223e-34,  0.00205438 ])
2932    , -1774.91    , array([ 0.0659421  ,  0.0236948  ,  7.24223e-34,  0.00205438 ])
2933    , -1774.89    , array([ 0.0658762  ,  0.0237185  ,  7.24223e-34,  0.00205438 ])
2934    , -1774.91    , array([ 0.0658762  ,  0.0236948  ,  7.24948e-34,  0.00205438 ])
2935    , -1774.9     , array([ 0.0658762  ,  0.0236948  ,  7.24223e-34,  0.00205644 ])
2936    , -1761.56    , array([ 0.0658762  ,  0.0355894  ,  7.24223e-34,  0.00319888 ])
2937    , -1761.56    , array([ 0.0658762  ,  0.0355894  ,  7.24223e-34,  0.00319888 ])
2938    , -1761.56    , array([ 0.0659421  ,  0.0355894  ,  7.24223e-34,  0.00319888 ])
2939    , -1761.54    , array([ 0.0658762  ,  0.035625   ,  7.24223e-34,  0.00319888 ])
2940    , -1761.56    , array([ 0.0658762  ,  0.0355894  ,  7.24948e-34,  0.00319888 ])
2941    , -1761.54    , array([ 0.0658762  ,  0.0355894  ,  7.24223e-34,  0.00320208 ])
2942    , -1612.77    , array([ 0.0658762  ,  0.181129   ,  7.24223e-34,  0.0188045  ])
2943    , -1612.77    , array([ 0.0658762  ,  0.181129   ,  7.24223e-34,  0.0188045  ])
2944    , -1612.77    , array([ 0.0659421  ,  0.181129   ,  7.24223e-34,  0.0188045  ])
2945    , -1612.99    , array([ 0.0658762  ,  0.18131    ,  7.24223e-34,  0.0188045  ])
2946    , -1612.77    , array([ 0.0658762  ,  0.181129   ,  7.24948e-34,  0.0188045  ])
2947    , -1612.45    , array([ 0.0658762  ,  0.181129   ,  7.24223e-34,  0.0188233  ])
2954    , -1612.77    , array([ 0.0658762  ,  0.181131   ,  7.24223e-34,  0.0188047  ])
2955    , -1612.77    , array([ 0.0658762  ,  0.181131   ,  7.24223e-34,  0.0188047  ])
2956    , -1612.77    , array([ 0.0659421  ,  0.181131   ,  7.24223e-34,  0.0188047  ])
2957    , -1612.98    , array([ 0.0658762  ,  0.181312   ,  7.24223e-34,  0.0188047  ])
2958    , -1612.77    , array([ 0.0658762  ,  0.181131   ,  7.24948e-34,  0.0188047  ])
2959    , -1612.45    , array([ 0.0658762  ,  0.181131   ,  7.24223e-34,  0.0188235  ])
2960    , -1612.76    , array([ 0.0658762  ,  0.181142   ,  7.24223e-34,  0.0188059  ])
