288759  , -8321.28    , array([ 0.594995   ,  0.228257   ,  3.79262e-22,  8.18164e-27,  0.087575   ])
288760  , -3355.26    , array([ 0.663636   ,  0.135066   ,  3.79262e-22,  8.18164e-27,  0.0476873  ])
288761  , -3355.26    , array([ 0.663636   ,  0.135066   ,  3.79262e-22,  8.18164e-27,  0.0476873  ])
288762  , -3351.63    , array([ 0.664299   ,  0.135066   ,  3.79262e-22,  8.18164e-27,  0.0476873  ])
288763  , -3355.84    , array([ 0.663636   ,  0.135201   ,  3.79262e-22,  8.18164e-27,  0.0476873  ])
288764  , -3355.26    , array([ 0.663636   ,  0.135066   ,  3.79642e-22,  8.18164e-27,  0.0476873  ])
288765  , -3355.26    , array([ 0.663636   ,  0.135066   ,  3.79262e-22,  8.18983e-27,  0.0476873  ])
288766  , -3358.55    , array([ 0.663636   ,  0.135066   ,  3.79262e-22,  8.18164e-27,  0.047735   ])
288767  , -2296.3     , array([ 0.72144    ,  0.0986704  ,  3.79262e-22,  8.18164e-27,  0.035167   ])
288768  , -2296.3     , array([ 0.72144    ,  0.0986704  ,  3.79262e-22,  8.18164e-27,  0.035167   ])
288769  , -2294.46    , array([ 0.722162   ,  0.0986704  ,  3.79262e-22,  8.18164e-27,  0.035167   ])
288770  , -2296.42    , array([ 0.72144    ,  0.0987691  ,  3.79262e-22,  8.18164e-27,  0.035167   ])
288771  , -2296.3     , array([ 0.72144    ,  0.0986704  ,  3.79642e-22,  8.18164e-27,  0.035167   ])
288772  , -2296.3     , array([ 0.72144    ,  0.0986704  ,  3.79262e-22,  8.18983e-27,  0.035167   ])
288773  , -2298.01    , array([ 0.72144    ,  0.0986704  ,  3.79262e-22,  8.18164e-27,  0.0352021  ])
288774  , -1847.46    , array([ 0.825053   ,  0.0791044  ,  3.79262e-22,  8.18164e-27,  0.0278895  ])
288775  , -1847.46    , array([ 0.825053   ,  0.0791044  ,  3.79262e-22,  8.18164e-27,  0.0278895  ])
288776  , -1846.62    , array([ 0.825879   ,  0.0791044  ,  3.79262e-22,  8.18164e-27,  0.0278895  ])
288777  , -1847.79    , array([ 0.825053   ,  0.0791835  ,  3.79262e-22,  8.18164e-27,  0.0278895  ])
288778  , -1847.46    , array([ 0.825053   ,  0.0791044  ,  3.79642e-22,  8.18164e-27,  0.0278895  ])
288779  , -1847.46    , array([ 0.825053   ,  0.0791044  ,  3.79262e-22,  8.18983e-27,  0.0278895  ])
288780  , -1847.85    , array([ 0.825053   ,  0.0791044  ,  3.79262e-22,  8.18164e-27,  0.0279174  ])
288781  , -1707.49    , array([ 0.93511    ,  0.0677579  ,  3.79262e-22,  8.18164e-27,  0.0242188  ])
288782  , -1707.49    , array([ 0.93511    ,  0.0677579  ,  3.79262e-22,  8.18164e-27,  0.0242188  ])
288783  , -1707.08    , array([ 0.936045   ,  0.0677579  ,  3.79262e-22,  8.18164e-27,  0.0242188  ])
288784  , -1707.4     , array([ 0.93511    ,  0.0678257  ,  3.79262e-22,  8.18164e-27,  0.0242188  ])
288785  , -1707.49    , array([ 0.93511    ,  0.0677579  ,  3.79642e-22,  8.18164e-27,  0.0242188  ])
288786  , -1707.49    , array([ 0.93511    ,  0.0677579  ,  3.79262e-22,  8.18983e-27,  0.0242188  ])
288787  , -1707.83    , array([ 0.93511    ,  0.0677579  ,  3.79262e-22,  8.18164e-27,  0.024243   ])
288788  , -1659.92    , array([ 1.07792    ,  0.0643571  ,  3.79262e-22,  8.18164e-27,  0.0227343  ])
288789  , -1659.92    , array([ 1.07792    ,  0.0643571  ,  3.79262e-22,  8.18164e-27,  0.0227343  ])
288790  , -1659.74    , array([ 1.07899    ,  0.0643571  ,  3.79262e-22,  8.18164e-27,  0.0227343  ])
288791  , -1660.19    , array([ 1.07792    ,  0.0644215  ,  3.79262e-22,  8.18164e-27,  0.0227343  ])
288792  , -1659.92    , array([ 1.07792    ,  0.0643571  ,  3.79642e-22,  8.18164e-27,  0.0227343  ])
288793  , -1659.92    , array([ 1.07792    ,  0.0643571  ,  3.79262e-22,  8.18983e-27,  0.0227343  ])
288794  , -1659.7     , array([ 1.07792    ,  0.0643571  ,  3.79262e-22,  8.18164e-27,  0.0227571  ])
288795  , -1644.28    , array([ 1.20987    ,  0.0622913  ,  3.79262e-22,  8.18164e-27,  0.022275   ])
288796  , -1644.28    , array([ 1.20987    ,  0.0622913  ,  3.79262e-22,  8.18164e-27,  0.022275   ])
288797  , -1644.2     , array([ 1.21108    ,  0.0622913  ,  3.79262e-22,  8.18164e-27,  0.022275   ])
288798  , -1644.21    , array([ 1.20987    ,  0.0623537  ,  3.79262e-22,  8.18164e-27,  0.022275   ])
288799  , -1644.28    , array([ 1.20987    ,  0.0622913  ,  3.79642e-22,  8.18164e-27,  0.022275   ])
288800  , -1644.28    , array([ 1.20987    ,  0.0622913  ,  3.79262e-22,  8.18983e-27,  0.022275   ])
288801  , -1644.3     , array([ 1.20987    ,  0.0622913  ,  3.79262e-22,  8.18164e-27,  0.0222973  ])
288802  , -1637.4     , array([ 1.3366     ,  0.0636198  ,  3.79262e-22,  8.18164e-27,  0.0226946  ])
288803  , -1637.4     , array([ 1.3366     ,  0.0636198  ,  3.79262e-22,  8.18164e-27,  0.0226946  ])
288804  , -1637.38    , array([ 1.33794    ,  0.0636198  ,  3.79262e-22,  8.18164e-27,  0.0226946  ])
288805  , -1637.45    , array([ 1.3366     ,  0.0636835  ,  3.79262e-22,  8.18164e-27,  0.0226946  ])
288806  , -1637.4     , array([ 1.3366     ,  0.0636198  ,  3.79642e-22,  8.18164e-27,  0.0226946  ])
288807  , -1637.4     , array([ 1.3366     ,  0.0636198  ,  3.79262e-22,  8.18983e-27,  0.0226946  ])
288808  , -1637.29    , array([ 1.3366     ,  0.0636198  ,  3.79262e-22,  8.18164e-27,  0.0227173  ])
288809  , -1634.2     , array([ 1.42725    ,  0.0655058  ,  3.79262e-22,  8.18164e-27,  0.0234235  ])
288810  , -1634.2     , array([ 1.42725    ,  0.0655058  ,  3.79262e-22,  8.18164e-27,  0.0234235  ])
288811  , -1634.21    , array([ 1.42868    ,  0.0655058  ,  3.79262e-22,  8.18164e-27,  0.0234235  ])
288812  , -1634.22    , array([ 1.42725    ,  0.0655713  ,  3.79262e-22,  8.18164e-27,  0.0234235  ])
288813  , -1634.2     , array([ 1.42725    ,  0.0655058  ,  3.79642e-22,  8.18164e-27,  0.0234235  ])
288814  , -1634.2     , array([ 1.42725    ,  0.0655058  ,  3.79262e-22,  8.18983e-27,  0.0234235  ])
288815  , -1634.14    , array([ 1.42725    ,  0.0655058  ,  3.79262e-22,  8.18164e-27,  0.023447   ])
288816  , -1633       , array([ 1.45363    ,  0.0669402  ,  3.79262e-22,  8.18164e-27,  0.0239631  ])
288817  , -1633       , array([ 1.45363    ,  0.0669402  ,  3.79262e-22,  8.18164e-27,  0.0239631  ])
288818  , -1633.01    , array([ 1.45508    ,  0.0669402  ,  3.79262e-22,  8.18164e-27,  0.0239631  ])
288819  , -1633.01    , array([ 1.45363    ,  0.0670071  ,  3.79262e-22,  8.18164e-27,  0.0239631  ])
288820  , -1633       , array([ 1.45363    ,  0.0669402  ,  3.79642e-22,  8.18164e-27,  0.0239631  ])
288821  , -1633       , array([ 1.45363    ,  0.0669402  ,  3.79262e-22,  8.18983e-27,  0.0239631  ])
288822  , -1632.98    , array([ 1.45363    ,  0.0669402  ,  3.79262e-22,  8.18164e-27,  0.0239871  ])
288823  , -1632.58    , array([ 1.44686    ,  0.0675742  ,  3.79262e-22,  8.18164e-27,  0.0241999  ])
288824  , -1632.58    , array([ 1.44686    ,  0.0675742  ,  3.79262e-22,  8.18164e-27,  0.0241999  ])
288825  , -1632.59    , array([ 1.44831    ,  0.0675742  ,  3.79262e-22,  8.18164e-27,  0.0241999  ])
288826  , -1632.58    , array([ 1.44686    ,  0.0676419  ,  3.79262e-22,  8.18164e-27,  0.0241999  ])
288827  , -1632.58    , array([ 1.44686    ,  0.0675742  ,  3.79642e-22,  8.18164e-27,  0.0241999  ])
288828  , -1632.58    , array([ 1.44686    ,  0.0675742  ,  3.79262e-22,  8.18983e-27,  0.0241999  ])
288829  , -1632.58    , array([ 1.44686    ,  0.0675742  ,  3.79262e-22,  8.18164e-27,  0.0242241  ])
288830  , -1632.52    , array([ 1.43771    ,  0.0676753  ,  3.79262e-22,  8.18164e-27,  0.0242359  ])
288831  , -1632.52    , array([ 1.43771    ,  0.0676753  ,  3.79262e-22,  8.18164e-27,  0.0242359  ])
288832  , -1632.52    , array([ 1.43915    ,  0.0676753  ,  3.79262e-22,  8.18164e-27,  0.0242359  ])
288833  , -1632.52    , array([ 1.43771    ,  0.067743   ,  3.79262e-22,  8.18164e-27,  0.0242359  ])
288834  , -1632.52    , array([ 1.43771    ,  0.0676753  ,  3.79642e-22,  8.18164e-27,  0.0242359  ])
288835  , -1632.52    , array([ 1.43771    ,  0.0676753  ,  3.79262e-22,  8.18983e-27,  0.0242359  ])
288836  , -1632.52    , array([ 1.43771    ,  0.0676753  ,  3.79262e-22,  8.18164e-27,  0.0242602  ])
288837  , -1632.53    , array([ 1.43656    ,  0.0676536  ,  3.79262e-22,  8.18164e-27,  0.0242275  ])
288838  , -1632.53    , array([ 1.43656    ,  0.0676536  ,  3.79262e-22,  8.18164e-27,  0.0242275  ])
288839  , -1632.53    , array([ 1.438      ,  0.0676536  ,  3.79262e-22,  8.18164e-27,  0.0242275  ])
288840  , -1632.53    , array([ 1.43656    ,  0.0677213  ,  3.79262e-22,  8.18164e-27,  0.0242275  ])
288841  , -1632.53    , array([ 1.43656    ,  0.0676536  ,  3.79642e-22,  8.18164e-27,  0.0242275  ])
288842  , -1632.53    , array([ 1.43656    ,  0.0676536  ,  3.79262e-22,  8.18983e-27,  0.0242275  ])
288843  , -1632.53    , array([ 1.43656    ,  0.0676536  ,  3.79262e-22,  8.18164e-27,  0.0242517  ])
288844  , -1632.52    , array([ 1.4377     ,  0.0676752  ,  3.79262e-22,  8.18164e-27,  0.0242359  ])
288845  , -1632.52    , array([ 1.4377     ,  0.0676752  ,  3.79262e-22,  8.18164e-27,  0.0242359  ])
288846  , -1632.52    , array([ 1.43914    ,  0.0676752  ,  3.79262e-22,  8.18164e-27,  0.0242359  ])
288847  , -1632.52    , array([ 1.4377     ,  0.0677429  ,  3.79262e-22,  8.18164e-27,  0.0242359  ])
288848  , -1632.52    , array([ 1.4377     ,  0.0676752  ,  3.79642e-22,  8.18164e-27,  0.0242359  ])
288849  , -1632.52    , array([ 1.4377     ,  0.0676752  ,  3.79262e-22,  8.18983e-27,  0.0242359  ])
288850  , -1632.52    , array([ 1.4377     ,  0.0676752  ,  3.79262e-22,  8.18164e-27,  0.0242601  ])
