46124   , -74642.7    , array([ 2.93708    ,  0.0010482  ,  1.60549    ,  2.81112e-26,  4.12358e-06])
46125   , -74638.4    , array([ 2.93708    ,  0.0010482  ,  1.60549    ,  2.80831e-26,  4.12771e-06])
46126   , -74641.7    , array([ 2.93708    ,  0.00104808 ,  1.60549    ,  2.80831e-26,  4.12406e-06])
46127   , -74641.7    , array([ 2.93708    ,  0.00104808 ,  1.60549    ,  2.80831e-26,  4.12406e-06])
46128   , -74641.7    , array([ 2.94001    ,  0.00104808 ,  1.60549    ,  2.80831e-26,  4.12406e-06])
46129   , -74646      , array([ 2.93708    ,  0.00104913 ,  1.60549    ,  2.80831e-26,  4.12406e-06])
46130   , -74641.7    , array([ 2.93708    ,  0.00104808 ,  1.60709    ,  2.80831e-26,  4.12406e-06])
46131   , -74641.7    , array([ 2.93708    ,  0.00104808 ,  1.60549    ,  2.81112e-26,  4.12406e-06])
46132   , -74637.4    , array([ 2.93708    ,  0.00104808 ,  1.60549    ,  2.80831e-26,  4.12819e-06])
46140   , -74641.5    , array([ 2.93708    ,  0.00104805 ,  1.60549    ,  2.80831e-26,  4.12418e-06])
46141   , -74641.5    , array([ 2.93708    ,  0.00104805 ,  1.60549    ,  2.80831e-26,  4.12418e-06])
46142   , -74641.5    , array([ 2.94001    ,  0.00104805 ,  1.60549    ,  2.80831e-26,  4.12418e-06])
46143   , -74645.8    , array([ 2.93708    ,  0.0010491  ,  1.60549    ,  2.80831e-26,  4.12418e-06])
46144   , -74641.5    , array([ 2.93708    ,  0.00104805 ,  1.60709    ,  2.80831e-26,  4.12418e-06])
46145   , -74641.5    , array([ 2.93708    ,  0.00104805 ,  1.60549    ,  2.81112e-26,  4.12418e-06])
46146   , -74637.2    , array([ 2.93708    ,  0.00104805 ,  1.60549    ,  2.80831e-26,  4.12831e-06])
46147   , -74641.2    , array([ 2.93707    ,  0.00104802 ,  1.60549    ,  2.80831e-26,  4.1243e-06 ])
46148   , -74641.2    , array([ 2.93707    ,  0.00104802 ,  1.60549    ,  2.80831e-26,  4.1243e-06 ])
46149   , -74641.2    , array([ 2.94001    ,  0.00104802 ,  1.60549    ,  2.80831e-26,  4.1243e-06 ])
46150   , -74645.5    , array([ 2.93707    ,  0.00104907 ,  1.60549    ,  2.80831e-26,  4.1243e-06 ])
46151   , -74641.2    , array([ 2.93707    ,  0.00104802 ,  1.60709    ,  2.80831e-26,  4.1243e-06 ])
46152   , -74641.2    , array([ 2.93707    ,  0.00104802 ,  1.60549    ,  2.81112e-26,  4.1243e-06 ])
46153   , -74636.9    , array([ 2.93707    ,  0.00104802 ,  1.60549    ,  2.80831e-26,  4.12843e-06])
46161   , -74641.2    , array([ 2.93707    ,  0.00104801 ,  1.60549    ,  2.80831e-26,  4.12433e-06])
46162   , -74641.2    , array([ 2.93707    ,  0.00104801 ,  1.60549    ,  2.80831e-26,  4.12433e-06])
46163   , -74641.2    , array([ 2.94001    ,  0.00104801 ,  1.60549    ,  2.80831e-26,  4.12433e-06])
46164   , -74645.4    , array([ 2.93707    ,  0.00104906 ,  1.60549    ,  2.80831e-26,  4.12433e-06])
46165   , -74641.2    , array([ 2.93707    ,  0.00104801 ,  1.60709    ,  2.80831e-26,  4.12433e-06])
46166   , -74641.2    , array([ 2.93707    ,  0.00104801 ,  1.60549    ,  2.81112e-26,  4.12433e-06])
46167   , -74636.9    , array([ 2.93707    ,  0.00104801 ,  1.60549    ,  2.80831e-26,  4.12846e-06])
46168   , -74641.1    , array([ 2.93707    ,  0.001048   ,  1.60549    ,  2.80831e-26,  4.12436e-06])
46169   , -74641.1    , array([ 2.93707    ,  0.001048   ,  1.60549    ,  2.80831e-26,  4.12436e-06])
46170   , -74641.1    , array([ 2.94001    ,  0.001048   ,  1.60549    ,  2.80831e-26,  4.12436e-06])
46171   , -74645.4    , array([ 2.93707    ,  0.00104905 ,  1.60549    ,  2.80831e-26,  4.12436e-06])
46172   , -74641.1    , array([ 2.93707    ,  0.001048   ,  1.60709    ,  2.80831e-26,  4.12436e-06])
46173   , -74641.1    , array([ 2.93707    ,  0.001048   ,  1.60549    ,  2.81112e-26,  4.12436e-06])
46174   , -74636.8    , array([ 2.93707    ,  0.001048   ,  1.60549    ,  2.80831e-26,  4.12849e-06])
46182   , -74641.1    , array([ 2.93707    ,  0.001048   ,  1.60549    ,  2.80831e-26,  4.12437e-06])
46183   , -74641.1    , array([ 2.93707    ,  0.001048   ,  1.60549    ,  2.80831e-26,  4.12437e-06])
46184   , -74641.1    , array([ 2.94001    ,  0.001048   ,  1.60549    ,  2.80831e-26,  4.12437e-06])
46185   , -74645.4    , array([ 2.93707    ,  0.00104905 ,  1.60549    ,  2.80831e-26,  4.12437e-06])
46186   , -74641.1    , array([ 2.93707    ,  0.001048   ,  1.60709    ,  2.80831e-26,  4.12437e-06])
46187   , -74641.1    , array([ 2.93707    ,  0.001048   ,  1.60549    ,  2.81112e-26,  4.12437e-06])
46188   , -74636.8    , array([ 2.93707    ,  0.001048   ,  1.60549    ,  2.80831e-26,  4.1285e-06 ])
46189   , -74641.1    , array([ 2.93707    ,  0.001048   ,  1.60549    ,  2.80831e-26,  4.12438e-06])
46190   , -74641.1    , array([ 2.93707    ,  0.001048   ,  1.60549    ,  2.80831e-26,  4.12438e-06])
46191   , -74641.1    , array([ 2.94001    ,  0.001048   ,  1.60549    ,  2.80831e-26,  4.12438e-06])
46192   , -74645.3    , array([ 2.93707    ,  0.00104905 ,  1.60549    ,  2.80831e-26,  4.12438e-06])
46193   , -74641.1    , array([ 2.93707    ,  0.001048   ,  1.60709    ,  2.80831e-26,  4.12438e-06])
46194   , -74641.1    , array([ 2.93707    ,  0.001048   ,  1.60549    ,  2.81112e-26,  4.12438e-06])
46195   , -74636.8    , array([ 2.93707    ,  0.001048   ,  1.60549    ,  2.80831e-26,  4.1285e-06 ])
46203   , -74641.1    , array([ 2.93707    ,  0.001048   ,  1.60549    ,  2.80831e-26,  4.12438e-06])
46204   , -74641.1    , array([ 2.93707    ,  0.001048   ,  1.60549    ,  2.80831e-26,  4.12438e-06])
46205   , -74641.1    , array([ 2.94001    ,  0.001048   ,  1.60549    ,  2.80831e-26,  4.12438e-06])
46206   , -74645.3    , array([ 2.93707    ,  0.00104905 ,  1.60549    ,  2.80831e-26,  4.12438e-06])
46207   , -74641.1    , array([ 2.93707    ,  0.001048   ,  1.60709    ,  2.80831e-26,  4.12438e-06])
46208   , -74641.1    , array([ 2.93707    ,  0.001048   ,  1.60549    ,  2.81112e-26,  4.12438e-06])
46209   , -74636.8    , array([ 2.93707    ,  0.001048   ,  1.60549    ,  2.80831e-26,  4.12851e-06])
46210   , -74641.1    , array([ 2.93707    ,  0.001048   ,  1.60549    ,  2.80831e-26,  4.12438e-06])
46211   , -74641.1    , array([ 2.93707    ,  0.001048   ,  1.60549    ,  2.80831e-26,  4.12438e-06])
46212   , -74641.1    , array([ 2.94001    ,  0.001048   ,  1.60549    ,  2.80831e-26,  4.12438e-06])
46213   , -74645.3    , array([ 2.93707    ,  0.00104905 ,  1.60549    ,  2.80831e-26,  4.12438e-06])
