154378  , -79089.4    , array([ 0.706637   ,  23.8588    ,  0.00092747 ,  2.75631e-14,  3.5076e-09 ])
154379  , -79089.4    , array([ 0.707344   ,  23.8588    ,  0.00092747 ,  2.75631e-14,  3.5076e-09 ])
154380  , -79089.4    , array([ 0.706637   ,  23.8827    ,  0.00092747 ,  2.75631e-14,  3.5076e-09 ])
154381  , -79089.4    , array([ 0.706637   ,  23.8588    ,  0.000928397,  2.75631e-14,  3.5076e-09 ])
154382  , -79089.4    , array([ 0.706637   ,  23.8588    ,  0.00092747 ,  2.75906e-14,  3.5076e-09 ])
154383  , -79089.4    , array([ 0.706637   ,  23.8588    ,  0.00092747 ,  2.75631e-14,  3.51111e-09])
154384  , -79089.4    , array([ 0.706637   ,  23.8588    ,  0.00092747 ,  2.75631e-14,  3.5076e-09 ])
154385  , -79089.4    , array([ 0.703843   ,  23.8547    ,  0.000927469,  2.75631e-14,  3.52236e-09])
154386  , -79089.4    , array([ 0.703843   ,  23.8547    ,  0.000927469,  2.75631e-14,  3.52236e-09])
154387  , -79089.4    , array([ 0.704547   ,  23.8547    ,  0.000927469,  2.75631e-14,  3.52236e-09])
154388  , -79089.4    , array([ 0.703843   ,  23.8785    ,  0.000927469,  2.75631e-14,  3.52236e-09])
154389  , -79089.4    , array([ 0.703843   ,  23.8547    ,  0.000928397,  2.75631e-14,  3.52236e-09])
154390  , -79089.4    , array([ 0.703843   ,  23.8547    ,  0.000927469,  2.75906e-14,  3.52236e-09])
154391  , -79089.4    , array([ 0.703843   ,  23.8547    ,  0.000927469,  2.75631e-14,  3.52588e-09])
154392  , -79089.4    , array([ 0.692775   ,  23.8382    ,  0.000927469,  2.75631e-14,  3.58199e-09])
154393  , -79089.4    , array([ 0.692775   ,  23.8382    ,  0.000927469,  2.75631e-14,  3.58199e-09])
154394  , -79089.4    , array([ 0.693469   ,  23.8382    ,  0.000927469,  2.75631e-14,  3.58199e-09])
154395  , -79089.4    , array([ 0.692775   ,  23.862     ,  0.000927469,  2.75631e-14,  3.58199e-09])
154396  , -79089.4    , array([ 0.692775   ,  23.8382    ,  0.000928397,  2.75631e-14,  3.58199e-09])
154397  , -79089.4    , array([ 0.692775   ,  23.8382    ,  0.000927469,  2.75906e-14,  3.58199e-09])
154398  , -79089.4    , array([ 0.692775   ,  23.8382    ,  0.000927469,  2.75631e-14,  3.58557e-09])
154399  , -79089.4    , array([ 0.65022    ,  23.7724    ,  0.000927468,  2.75631e-14,  3.83079e-09])
154400  , -79089.4    , array([ 0.65022    ,  23.7724    ,  0.000927468,  2.75631e-14,  3.83079e-09])
154401  , -79089.4    , array([ 0.650871   ,  23.7724    ,  0.000927468,  2.75631e-14,  3.83079e-09])
154402  , -79089.4    , array([ 0.65022    ,  23.7962    ,  0.000927468,  2.75631e-14,  3.83079e-09])
154403  , -79089.4    , array([ 0.65022    ,  23.7724    ,  0.000928395,  2.75631e-14,  3.83079e-09])
154404  , -79089.4    , array([ 0.65022    ,  23.7724    ,  0.000927468,  2.75906e-14,  3.83079e-09])
154405  , -79089.4    , array([ 0.65022    ,  23.7724    ,  0.000927468,  2.75631e-14,  3.83462e-09])
154406  , -79089.4    , array([ 0.504582   ,  23.5111    ,  0.000927461,  2.75631e-14,  5.01123e-09])
154407  , -79089.4    , array([ 0.504582   ,  23.5111    ,  0.000927461,  2.75631e-14,  5.01123e-09])
154408  , -79089.4    , array([ 0.505087   ,  23.5111    ,  0.000927461,  2.75631e-14,  5.01123e-09])
154409  , -79089.4    , array([ 0.504582   ,  23.5346    ,  0.000927461,  2.75631e-14,  5.01123e-09])
154410  , -79089.4    , array([ 0.504582   ,  23.5111    ,  0.000928389,  2.75631e-14,  5.01123e-09])
154411  , -79089.4    , array([ 0.504582   ,  23.5111    ,  0.000927461,  2.75906e-14,  5.01123e-09])
154412  , -79089.4    , array([ 0.504582   ,  23.5111    ,  0.000927461,  2.75631e-14,  5.01624e-09])
154413  , -79089.4    , array([ 0.182986   ,  22.4943    ,  0.000927437,  2.75631e-14,  1.46747e-08])
154414  , -79089.4    , array([ 0.182986   ,  22.4943    ,  0.000927437,  2.75631e-14,  1.46747e-08])
154415  , -79089.4    , array([ 0.183169   ,  22.4943    ,  0.000927437,  2.75631e-14,  1.46747e-08])
154416  , -79089.4    , array([ 0.182986   ,  22.5168    ,  0.000927437,  2.75631e-14,  1.46747e-08])
154417  , -79089.4    , array([ 0.182986   ,  22.4943    ,  0.000928365,  2.75631e-14,  1.46747e-08])
