4063    , -75402.1    , array([ 0.137135   ,  19.631     ,  3.91064e-23,  1.95212e-25,  0.00066937 ])
4064    , -75405.5    , array([ 0.137272   ,  19.631     ,  3.91064e-23,  1.95212e-25,  0.00066937 ])
4065    , -75402.2    , array([ 0.137135   ,  19.6506    ,  3.91064e-23,  1.95212e-25,  0.00066937 ])
4066    , -75402.1    , array([ 0.137135   ,  19.631     ,  3.91455e-23,  1.95212e-25,  0.00066937 ])
4067    , -75402.1    , array([ 0.137135   ,  19.631     ,  3.91064e-23,  1.95408e-25,  0.00066937 ])
4068    , -75398.7    , array([ 0.137135   ,  19.631     ,  3.91064e-23,  1.95212e-25,  0.00067004 ])
4069    , -75402.1    , array([ 0.137135   ,  19.631     ,  3.91064e-23,  1.95212e-25,  0.00066937 ])
4070    , -66678.4    , array([ 0.0675866  ,  19.4783    ,  3.91064e-23,  1.95212e-25,  0.00137614 ])
4071    , -66678.4    , array([ 0.0675866  ,  19.4783    ,  3.91064e-23,  1.95212e-25,  0.00137614 ])
4072    , -66687.4    , array([ 0.0676542  ,  19.4783    ,  3.91064e-23,  1.95212e-25,  0.00137614 ])
4073    , -66678.5    , array([ 0.0675866  ,  19.4978    ,  3.91064e-23,  1.95212e-25,  0.00137614 ])
4074    , -66678.4    , array([ 0.0675866  ,  19.4783    ,  3.91455e-23,  1.95212e-25,  0.00137614 ])
4075    , -66678.4    , array([ 0.0675866  ,  19.4783    ,  3.91064e-23,  1.95408e-25,  0.00137614 ])
4076    , -66669.2    , array([ 0.0675866  ,  19.4783    ,  3.91064e-23,  1.95212e-25,  0.00137751 ])
4077    , -399884     , array([ 0.00398762 ,  18.8793    ,  3.91064e-23,  1.95212e-25,  0.0245835  ])
4078    , -399884     , array([ 0.00398762 ,  18.8793    ,  3.91064e-23,  1.95212e-25,  0.0245835  ])
4079    , -399612     , array([ 0.00399161 ,  18.8793    ,  3.91064e-23,  1.95212e-25,  0.0245835  ])
4080    , -399884     , array([ 0.00398762 ,  18.8982    ,  3.91064e-23,  1.95212e-25,  0.0245835  ])
4081    , -399884     , array([ 0.00398762 ,  18.8793    ,  3.91455e-23,  1.95212e-25,  0.0245835  ])
