1996    , -3036.25    , array([ 6.03895    ,  0.0205097  ,  9.94181    ,  2.84626    ,  0.00621737 ])
1997    , -3036.25    , array([ 6.03895    ,  0.0205097  ,  9.94181    ,  2.84626    ,  0.00621737 ])
1998    , -3036.29    , array([ 6.04499    ,  0.0205097  ,  9.94181    ,  2.84626    ,  0.00621737 ])
1999    , -3042.52    , array([ 6.03895    ,  0.0205302  ,  9.94181    ,  2.84626    ,  0.00621737 ])
2000    , -3036.71    , array([ 6.03895    ,  0.0205097  ,  9.95175    ,  2.84626    ,  0.00621737 ])
2001    , -3036.37    , array([ 6.03895    ,  0.0205097  ,  9.94181    ,  2.84911    ,  0.00621737 ])
2002    , -3030.26    , array([ 6.03895    ,  0.0205097  ,  9.94181    ,  2.84626    ,  0.00622359 ])
2003    , -3036.24    , array([ 6.03893    ,  0.02051    ,  9.94157    ,  2.8463     ,  0.00621747 ])
2004    , -3036.24    , array([ 6.03893    ,  0.02051    ,  9.94157    ,  2.8463     ,  0.00621747 ])
2005    , -3036.27    , array([ 6.04497    ,  0.02051    ,  9.94157    ,  2.8463     ,  0.00621747 ])
2006    , -3042.5     , array([ 6.03893    ,  0.0205305  ,  9.94157    ,  2.8463     ,  0.00621747 ])
2007    , -3036.7     , array([ 6.03893    ,  0.02051    ,  9.95152    ,  2.8463     ,  0.00621747 ])
2008    , -3036.35    , array([ 6.03893    ,  0.02051    ,  9.94157    ,  2.84914    ,  0.00621747 ])
2009    , -3030.25    , array([ 6.03893    ,  0.02051    ,  9.94157    ,  2.8463     ,  0.00622369 ])
2010    , -2861.61    , array([ 4.72471    ,  0.0578613  ,  1.74134    ,  7.08857    ,  0.019415   ])
2011    , -2861.61    , array([ 4.72471    ,  0.0578613  ,  1.74134    ,  7.08857    ,  0.019415   ])
2012    , -2861.76    , array([ 4.72944    ,  0.0578613  ,  1.74134    ,  7.08857    ,  0.019415   ])
2013    , -2869.46    , array([ 4.72471    ,  0.0579191  ,  1.74134    ,  7.08857    ,  0.019415   ])
2014    , -2861.8     , array([ 4.72471    ,  0.0578613  ,  1.74308    ,  7.08857    ,  0.019415   ])
2015    , -2862.99    , array([ 4.72471    ,  0.0578613  ,  1.74134    ,  7.09566    ,  0.019415   ])
2016    , -2855.35    , array([ 4.72471    ,  0.0578613  ,  1.74134    ,  7.08857    ,  0.0194344  ])
2017    , -2719.79    , array([ 5.5398     ,  0.0295322  ,  5.389      ,  3.92264    ,  0.00927783 ])
2018    , -2719.79    , array([ 5.5398     ,  0.0295322  ,  5.389      ,  3.92264    ,  0.00927783 ])
2019    , -2719.85    , array([ 5.54534    ,  0.0295322  ,  5.389      ,  3.92264    ,  0.00927783 ])
2020    , -2725.79    , array([ 5.5398     ,  0.0295618  ,  5.389      ,  3.92264    ,  0.00927783 ])
2021    , -2720.12    , array([ 5.5398     ,  0.0295322  ,  5.3944     ,  3.92264    ,  0.00927783 ])
2022    , -2720.04    , array([ 5.5398     ,  0.0295322  ,  5.389      ,  3.92656    ,  0.00927783 ])
2023    , -2714.05    , array([ 5.5398     ,  0.0295322  ,  5.389      ,  3.92264    ,  0.00928711 ])
2024    , -2576.48    , array([ 3.06542    ,  0.118179   ,  2.78718    ,  2.15698    ,  0.0412058  ])
2025    , -2576.48    , array([ 3.06542    ,  0.118179   ,  2.78718    ,  2.15698    ,  0.0412058  ])
2026    , -2577.02    , array([ 3.06849    ,  0.118179   ,  2.78718    ,  2.15698    ,  0.0412058  ])
2027    , -2583.43    , array([ 3.06542    ,  0.118298   ,  2.78718    ,  2.15698    ,  0.0412058  ])
2028    , -2576.96    , array([ 3.06542    ,  0.118179   ,  2.78997    ,  2.15698    ,  0.0412058  ])
2029    , -2577.26    , array([ 3.06542    ,  0.118179   ,  2.78718    ,  2.15914    ,  0.0412058  ])
2030    , -2571.45    , array([ 3.06542    ,  0.118179   ,  2.78718    ,  2.15698    ,  0.041247   ])
2031    , -2494.83    , array([ 4.42451    ,  0.0500118  ,  4.19503    ,  3.12546    ,  0.0163462  ])
2032    , -2494.83    , array([ 4.42451    ,  0.0500118  ,  4.19503    ,  3.12546    ,  0.0163462  ])
2033    , -2494.97    , array([ 4.42894    ,  0.0500118  ,  4.19503    ,  3.12546    ,  0.0163462  ])
2034    , -2500.89    , array([ 4.42451    ,  0.0500618  ,  4.19503    ,  3.12546    ,  0.0163462  ])
2035    , -2495.23    , array([ 4.42451    ,  0.0500118  ,  4.19922    ,  3.12546    ,  0.0163462  ])
