189835  , -79051.9    , array([ 0.0145197  ,  0.327      ,  0.390655   ,  0.000262112,  6.40372e-07])
189836  , -79052      , array([ 0.0145342  ,  0.327      ,  0.390655   ,  0.000262112,  6.40372e-07])
189837  , -79051.9    , array([ 0.0145197  ,  0.327327   ,  0.390655   ,  0.000262112,  6.40372e-07])
189838  , -79051.9    , array([ 0.0145197  ,  0.327      ,  0.391045   ,  0.000262112,  6.40372e-07])
189839  , -79051.9    , array([ 0.0145197  ,  0.327      ,  0.390655   ,  0.000262375,  6.40372e-07])
189840  , -79051.9    , array([ 0.0145197  ,  0.327      ,  0.390655   ,  0.000262112,  6.41013e-07])
189841  , -79051.9    , array([ 0.0145197  ,  0.327      ,  0.390655   ,  0.000262112,  6.40372e-07])
189842  , -78938.2    , array([ 0.0072823  ,  0.312577   ,  0.39066    ,  0.000262112,  1.33699e-06])
189843  , -78938.2    , array([ 0.0072823  ,  0.312577   ,  0.39066    ,  0.000262112,  1.33699e-06])
189844  , -78938.3    , array([ 0.00728958 ,  0.312577   ,  0.39066    ,  0.000262112,  1.33699e-06])
189845  , -78938.2    , array([ 0.0072823  ,  0.31289    ,  0.39066    ,  0.000262112,  1.33699e-06])
189846  , -78938.2    , array([ 0.0072823  ,  0.312577   ,  0.391051   ,  0.000262112,  1.33699e-06])
189847  , -78938.2    , array([ 0.0072823  ,  0.312577   ,  0.39066    ,  0.000262375,  1.33699e-06])
189848  , -78938      , array([ 0.0072823  ,  0.312577   ,  0.39066    ,  0.000262112,  1.33833e-06])
189856  , -78938.2    , array([ 0.00728227 ,  0.312577   ,  0.39066    ,  0.000262112,  1.337e-06  ])
189857  , -78938.2    , array([ 0.00728227 ,  0.312577   ,  0.39066    ,  0.000262112,  1.337e-06  ])
189858  , -78938.3    , array([ 0.00728955 ,  0.312577   ,  0.39066    ,  0.000262112,  1.337e-06  ])
189859  , -78938.2    , array([ 0.00728227 ,  0.31289    ,  0.39066    ,  0.000262112,  1.337e-06  ])
189860  , -78938.2    , array([ 0.00728227 ,  0.312577   ,  0.391051   ,  0.000262112,  1.337e-06  ])
189861  , -78938.2    , array([ 0.00728227 ,  0.312577   ,  0.39066    ,  0.000262375,  1.337e-06  ])
189862  , -78938      , array([ 0.00728227 ,  0.312577   ,  0.39066    ,  0.000262112,  1.33833e-06])
189863  , -78938.2    , array([ 0.00728224 ,  0.312577   ,  0.39066    ,  0.000262112,  1.337e-06  ])
189864  , -78938.2    , array([ 0.00728224 ,  0.312577   ,  0.39066    ,  0.000262112,  1.337e-06  ])
189865  , -78938.3    , array([ 0.00728953 ,  0.312577   ,  0.39066    ,  0.000262112,  1.337e-06  ])
189866  , -78938.2    , array([ 0.00728224 ,  0.31289    ,  0.39066    ,  0.000262112,  1.337e-06  ])
189867  , -78938.2    , array([ 0.00728224 ,  0.312577   ,  0.391051   ,  0.000262112,  1.337e-06  ])
189868  , -78938.2    , array([ 0.00728224 ,  0.312577   ,  0.39066    ,  0.000262375,  1.337e-06  ])
189869  , -78938      , array([ 0.00728224 ,  0.312577   ,  0.39066    ,  0.000262112,  1.33834e-06])
189870  , -76643.4    , array([ 0.00183185 ,  0.285611   ,  0.390672   ,  0.000262112,  5.82805e-06])
189871  , -76643.4    , array([ 0.00183185 ,  0.285611   ,  0.390672   ,  0.000262112,  5.82805e-06])
189872  , -76645.7    , array([ 0.00183368 ,  0.285611   ,  0.390672   ,  0.000262112,  5.82805e-06])
189873  , -76643.5    , array([ 0.00183185 ,  0.285897   ,  0.390672   ,  0.000262112,  5.82805e-06])
189874  , -76643.4    , array([ 0.00183185 ,  0.285611   ,  0.391063   ,  0.000262112,  5.82805e-06])
189875  , -76643.4    , array([ 0.00183185 ,  0.285611   ,  0.390672   ,  0.000262375,  5.82805e-06])
189876  , -76641.1    , array([ 0.00183185 ,  0.285611   ,  0.390672   ,  0.000262112,  5.83388e-06])
189877  , -76643.4    , array([ 0.00183182 ,  0.285611   ,  0.390672   ,  0.000262112,  5.82815e-06])
189878  , -76643.4    , array([ 0.00183182 ,  0.285611   ,  0.390672   ,  0.000262112,  5.82815e-06])
189879  , -76645.7    , array([ 0.00183365 ,  0.285611   ,  0.390672   ,  0.000262112,  5.82815e-06])
189880  , -76643.4    , array([ 0.00183182 ,  0.285897   ,  0.390672   ,  0.000262112,  5.82815e-06])
189881  , -76643.4    , array([ 0.00183182 ,  0.285611   ,  0.391063   ,  0.000262112,  5.82815e-06])
189882  , -76643.4    , array([ 0.00183182 ,  0.285611   ,  0.390672   ,  0.000262375,  5.82815e-06])
189883  , -76641      , array([ 0.00183182 ,  0.285611   ,  0.390672   ,  0.000262112,  5.83398e-06])
189884  , -76643.3    , array([ 0.00183179 ,  0.285611   ,  0.390672   ,  0.000262112,  5.82824e-06])
189885  , -76643.3    , array([ 0.00183179 ,  0.285611   ,  0.390672   ,  0.000262112,  5.82824e-06])
189886  , -76645.6    , array([ 0.00183363 ,  0.285611   ,  0.390672   ,  0.000262112,  5.82824e-06])
189887  , -76643.3    , array([ 0.00183179 ,  0.285896   ,  0.390672   ,  0.000262112,  5.82824e-06])
189888  , -76643.3    , array([ 0.00183179 ,  0.285611   ,  0.391063   ,  0.000262112,  5.82824e-06])
189889  , -76643.3    , array([ 0.00183179 ,  0.285611   ,  0.390672   ,  0.000262375,  5.82824e-06])
189890  , -76641      , array([ 0.00183179 ,  0.285611   ,  0.390672   ,  0.000262112,  5.83407e-06])
189898  , -76643.3    , array([ 0.00183179 ,  0.285611   ,  0.390672   ,  0.000262112,  5.82826e-06])
189899  , -76643.3    , array([ 0.00183179 ,  0.285611   ,  0.390672   ,  0.000262112,  5.82826e-06])
189900  , -76645.6    , array([ 0.00183362 ,  0.285611   ,  0.390672   ,  0.000262112,  5.82826e-06])
189901  , -76643.3    , array([ 0.00183179 ,  0.285896   ,  0.390672   ,  0.000262112,  5.82826e-06])
189902  , -76643.3    , array([ 0.00183179 ,  0.285611   ,  0.391063   ,  0.000262112,  5.82826e-06])
189903  , -76643.3    , array([ 0.00183179 ,  0.285611   ,  0.390672   ,  0.000262375,  5.82826e-06])
189904  , -76640.9    , array([ 0.00183179 ,  0.285611   ,  0.390672   ,  0.000262112,  5.8341e-06 ])
189905  , -76643.3    , array([ 0.00183178 ,  0.28561    ,  0.390672   ,  0.000262112,  5.82829e-06])
189906  , -76643.3    , array([ 0.00183178 ,  0.28561    ,  0.390672   ,  0.000262112,  5.82829e-06])
189907  , -76645.6    , array([ 0.00183361 ,  0.28561    ,  0.390672   ,  0.000262112,  5.82829e-06])
189908  , -76643.3    , array([ 0.00183178 ,  0.285896   ,  0.390672   ,  0.000262112,  5.82829e-06])
189909  , -76643.3    , array([ 0.00183178 ,  0.28561    ,  0.391063   ,  0.000262112,  5.82829e-06])
189910  , -76643.3    , array([ 0.00183178 ,  0.28561    ,  0.390672   ,  0.000262375,  5.82829e-06])
189911  , -76640.9    , array([ 0.00183178 ,  0.28561    ,  0.390672   ,  0.000262112,  5.83412e-06])
189912  , -74345.1    , array([ 0.00129728 ,  0.279241   ,  0.390675   ,  0.000262112,  8.42138e-06])
189913  , -74345.1    , array([ 0.00129728 ,  0.279241   ,  0.390675   ,  0.000262112,  8.42138e-06])
189914  , -74349.4    , array([ 0.00129858 ,  0.279241   ,  0.390675   ,  0.000262112,  8.42138e-06])
189915  , -74345.2    , array([ 0.00129728 ,  0.27952    ,  0.390675   ,  0.000262112,  8.42138e-06])
189916  , -74345.1    , array([ 0.00129728 ,  0.279241   ,  0.391065   ,  0.000262112,  8.42138e-06])
189917  , -74345.1    , array([ 0.00129728 ,  0.279241   ,  0.390675   ,  0.000262375,  8.42138e-06])
189918  , -74340.8    , array([ 0.00129728 ,  0.279241   ,  0.390675   ,  0.000262112,  8.42981e-06])
189919  , -74345.1    , array([ 0.00129728 ,  0.279241   ,  0.390675   ,  0.000262112,  8.4214e-06 ])
189920  , -74345.1    , array([ 0.00129728 ,  0.279241   ,  0.390675   ,  0.000262112,  8.4214e-06 ])
189921  , -74349.4    , array([ 0.00129858 ,  0.279241   ,  0.390675   ,  0.000262112,  8.4214e-06 ])
189922  , -74345.2    , array([ 0.00129728 ,  0.27952    ,  0.390675   ,  0.000262112,  8.4214e-06 ])
189923  , -74345.1    , array([ 0.00129728 ,  0.279241   ,  0.391065   ,  0.000262112,  8.4214e-06 ])
189924  , -74345.1    , array([ 0.00129728 ,  0.279241   ,  0.390675   ,  0.000262375,  8.4214e-06 ])
189925  , -74340.8    , array([ 0.00129728 ,  0.279241   ,  0.390675   ,  0.000262112,  8.42983e-06])
189926  , -74345.1    , array([ 0.00129728 ,  0.279241   ,  0.390675   ,  0.000262112,  8.42142e-06])
