
Round_1_Replicate_1
20982   , -1422.84    , array([ 1.02088    ,  0.0677348  ,  3.77206    ,  2.6953     ,  0.0285185  ])
20983   , -1422.84    , array([ 1.02088    ,  0.0677348  ,  3.76034    ,  2.6953     ,  0.0285185  ])
20984   , -1422.84    , array([ 1.02088    ,  0.0677348  ,  3.78377    ,  2.6953     ,  0.0285185  ])
20985   , -1422.84    , array([ 1.02088    ,  0.0677348  ,  3.77206    ,  2.6953     ,  0.0285185  ])
20986   , -1460.22    , array([ 1.02088    ,  0.0677348  ,  3.77206    ,  3.6953     ,  0.0285185  ])
20987   , -1486.96    , array([ 1.02088    ,  0.0677348  ,  3.77206    ,  1.07727    ,  0.0285185  ])
20988   , -1422.55    , array([ 2.43851    ,  0.805142   ,  1.27537    ,  0.814661   ,  3.51367    ])
35047   , -5106.31    , array([ 2.43851    ,  0.805142   ,  1.27537    ,  0.814661   ,  4.51367    ])
35048   , -4590.98    , array([ 2.43851    ,  0.805142   ,  1.27537    ,  0.814661   ,  6.1317     ])
35049   , -4535.91    , array([ 2.43851    ,  0.805142   ,  1.27537    ,  0.814661   ,  6.44114    ])
35050   , -4463.98    , array([ 2.43851    ,  0.805142   ,  1.27537    ,  0.814661   ,  6.94182    ])
35051   , -4334.79    , array([ 2.43851    ,  0.805142   ,  1.27537    ,  0.814661   ,  8.38835    ])
35052   , -4247.18    , array([ 2.43851    ,  0.805142   ,  1.27537    ,  0.814661   ,  10.7289    ])
35053   , -4243.24    , array([ 2.43851    ,  0.805142   ,  1.27537    ,  0.814661   ,  10.9247    ])
35054   , -4237.54    , array([ 2.43851    ,  0.805142   ,  1.27537    ,  0.814661   ,  11.2417    ])
35055   , -4215.26    , array([ 2.43851    ,  0.805142   ,  1.27537    ,  0.814661   ,  13.23      ])
35056   , -4202.92    , array([ 2.43851    ,  0.805142   ,  1.27537    ,  0.814661   ,  16.4471    ])
35057   , -4203.4     , array([ 2.43851    ,  0.805142   ,  1.27537    ,  0.814661   ,  16.1927    ])
35058   , -4199.17    , array([ 2.43851    ,  0.805142   ,  1.27537    ,  0.814661   ,  21.6526    ])
35059   , -4199.63    , array([ 2.43851    ,  0.805142   ,  1.27537    ,  0.814661   ,  20.0245    ])
35061   , -4199.17    , array([ 2.43851    ,  0.805142   ,  1.27537    ,  0.814661   ,  21.6526    ])
35062   , -4198.83    , array([ 2.43851    ,  0.805142   ,  1.27537    ,  0.814661   ,  24.8698    ])
35063   , -4198.76    , array([ 2.43851    ,  0.805142   ,  1.27537    ,  0.814661   ,  26.8581    ])
35064   , -4198.75    , array([ 2.43851    ,  0.805142   ,  1.27537    ,  0.814661   ,  27.0915    ])
35065   , -4198.74    , array([ 2.43851    ,  0.805142   ,  1.27537    ,  0.814661   ,  28.2312    ])
35066   , -4198.73    , array([ 2.43851    ,  0.805142   ,  1.27537    ,  0.814661   ,  28.9355    ])
35067   , -4198.73    , array([ 2.43851    ,  0.805142   ,  1.27537    ,  0.814661   ,  29.3709    ])
35068   , -4198.72    , array([ 2.43851    ,  0.805142   ,  1.27537    ,  0.814661   ,  29.6399    ])
35070   , -4198.72    , array([ 2.43851    ,  0.805142   ,  1.27537    ,  0.814661   ,  29.6399    ])
35071   , -4522.87    , array([ 3.43851    ,  0.805142   ,  1.27537    ,  0.814661   ,  29.6399    ])
35072   , -14431.5    , array([ 0.820477   ,  0.805142   ,  1.27537    ,  0.814661   ,  29.6399    ])
35073   , -4198.72    , array([ 2.43851    ,  0.805142   ,  1.27537    ,  0.814661   ,  29.6399    ])
35074   , -5040.33    , array([ 1.82048    ,  0.805142   ,  1.27537    ,  0.814661   ,  29.6399    ])
35075   , -4182.36    , array([ 2.82048    ,  0.805142   ,  1.27537    ,  0.814661   ,  29.6399    ])
35076   , -4159.64    , array([ 2.64573    ,  0.805142   ,  1.27537    ,  0.814661   ,  29.6399    ])
35077   , -4159.7     , array([ 2.65517    ,  0.805142   ,  1.27537    ,  0.814661   ,  29.6399    ])
35078   , -4159.64    , array([ 2.64781    ,  0.805142   ,  1.27537    ,  0.814661   ,  29.6399    ])
35079   , -4159.65    , array([ 2.64366    ,  0.805142   ,  1.27537    ,  0.814661   ,  29.6399    ])
35080   , -4159.64    , array([ 2.64573    ,  0.805142   ,  1.27537    ,  0.814661   ,  29.6399    ])
35081   , -12210.5    , array([ 2.64573    ,  1.80514    ,  1.27537    ,  0.814661   ,  29.6399    ])
35083   , -4159.64    , array([ 2.64573    ,  0.805142   ,  1.27537    ,  0.814661   ,  29.6399    ])
35084   , -24662.4    , array([ 2.64573    ,  0.187108   ,  1.27537    ,  0.814661   ,  29.6399    ])
35085   , -6482.78    , array([ 2.64573    ,  1.18711    ,  1.27537    ,  0.814661   ,  29.6399    ])
35086   , -4585.05    , array([ 2.64573    ,  0.918659   ,  1.27537    ,  0.814661   ,  29.6399    ])
35087   , -4327.26    , array([ 2.64573    ,  0.64643    ,  1.27537    ,  0.814661   ,  29.6399    ])
35088   , -4094.57    , array([ 2.64573    ,  0.755712   ,  1.27537    ,  0.814661   ,  29.6399    ])
35089   , -4092.93    , array([ 2.64573    ,  0.750109   ,  1.27537    ,  0.814661   ,  29.6399    ])
35090   , -4092.55    , array([ 2.64573    ,  0.745072   ,  1.27537    ,  0.814661   ,  29.6399    ])
35091   , -4092.54    , array([ 2.64573    ,  0.745688   ,  1.27537    ,  0.814661   ,  29.6399    ])
35092   , -4092.54    , array([ 2.64573    ,  0.746282   ,  1.27537    ,  0.814661   ,  29.6399    ])
35093   , -4092.54    , array([ 2.64573    ,  0.745688   ,  1.27537    ,  0.814661   ,  29.6399    ])
35094   , -7327.77    , array([ 2.64573    ,  0.745688   ,  2.27537    ,  0.814661   ,  29.6399    ])
35096   , -4092.54    , array([ 2.64573    ,  0.745688   ,  1.27537    ,  0.814661   ,  29.6399    ])
35097   , -4281.45    , array([ 2.64573    ,  0.745688   ,  0.657339   ,  0.814661   ,  29.6399    ])
35098   , -5154.46    , array([ 2.64573    ,  0.745688   ,  1.65734    ,  0.814661   ,  29.6399    ])
35099   , -3718.95    , array([ 2.64573    ,  0.745688   ,  1.01588    ,  0.814661   ,  29.6399    ])
35100   , -3710.58    , array([ 2.64573    ,  0.745688   ,  0.997752   ,  0.814661   ,  29.6399    ])
35101   , -3703.96    , array([ 2.64573    ,  0.745688   ,  0.94137    ,  0.814661   ,  29.6399    ])
35102   , -3787.65    , array([ 2.64573    ,  0.745688   ,  0.83288    ,  0.814661   ,  29.6399    ])
35103   , -3702.71    , array([ 2.64573    ,  0.745688   ,  0.956846   ,  0.814661   ,  29.6399    ])
35104   , -3702.75    , array([ 2.64573    ,  0.745688   ,  0.960031   ,  0.814661   ,  29.6399    ])
35105   , -3702.77    , array([ 2.64573    ,  0.745688   ,  0.95366    ,  0.814661   ,  29.6399    ])
35106   , -3702.71    , array([ 2.64573    ,  0.745688   ,  0.956846   ,  0.814661   ,  29.6399    ])
35107   , -6091.03    , array([ 2.64573    ,  0.745688   ,  0.956846   ,  1.81466    ,  29.6399    ])
35109   , -3702.71    , array([ 2.64573    ,  0.745688   ,  0.956846   ,  0.814661   ,  29.6399    ])
35110   , -14560.2    , array([ 2.64573    ,  0.745688   ,  0.956846   ,  0.196627   ,  29.6399    ])
35111   , -3771.16    , array([ 2.64573    ,  0.745688   ,  0.956846   ,  1.19663    ,  29.6399    ])
35112   , -3498.14    , array([ 2.64573    ,  0.745688   ,  0.956846   ,  1.0006     ,  29.6399    ])
35113   , -3495.79    , array([ 2.64573    ,  0.745688   ,  0.956846   ,  0.991915   ,  29.6399    ])
35114   , -3494.11    , array([ 2.64573    ,  0.745688   ,  0.956846   ,  0.97872    ,  29.6399    ])
35115   , -3494.06    , array([ 2.64573    ,  0.745688   ,  0.956846   ,  0.975726   ,  29.6399    ])
35116   , -3494.09    , array([ 2.64573    ,  0.745688   ,  0.956846   ,  0.974115   ,  29.6399    ])
35117   , -3494.06    , array([ 2.64573    ,  0.745688   ,  0.956846   ,  0.975726   ,  29.6399    ])
35119   , -3494.15    , array([ 2.64573    ,  0.745688   ,  0.956846   ,  0.975726   ,  28.0219    ])
35120   , -3494.06    , array([ 2.64573    ,  0.745688   ,  0.956846   ,  0.975726   ,  29.6399    ])
35121   , -3494.09    , array([ 2.64573    ,  0.745688   ,  0.956846   ,  0.975726   ,  29.0219    ])
35123   , -3494.08    , array([ 2.64573    ,  0.745688   ,  0.956846   ,  0.975726   ,  29.3309    ])
35124   , -3494.06    , array([ 2.64573    ,  0.745688   ,  0.956846   ,  0.975726   ,  29.7858    ])
35125   , -3494.05    , array([ 2.64573    ,  0.745688   ,  0.956846   ,  0.975726   ,  29.876     ])
35126   , -3494.05    , array([ 2.64573    ,  0.745688   ,  0.956846   ,  0.975726   ,  29.9317    ])
35127   , -3494.05    , array([ 2.64573    ,  0.745688   ,  0.956846   ,  0.975726   ,  29.9661    ])
35128   , -3494.05    , array([ 2.64573    ,  0.745688   ,  0.956846   ,  0.975726   ,  29.9874    ])
35130   , -3494.05    , array([ 2.64573    ,  0.745688   ,  0.956846   ,  0.975726   ,  29.9793    ])
35131   , -3494.05    , array([ 2.64573    ,  0.745688   ,  0.956846   ,  0.975726   ,  29.9925    ])
35132   , -3494.05    , array([ 2.64573    ,  0.745688   ,  0.956846   ,  0.975726   ,  29.996     ])
35134   , -3494.05    , array([ 2.64573    ,  0.745688   ,  0.956846   ,  0.975726   ,  29.996     ])
35135   , -3164.04    , array([ 3.64573    ,  0.0695294  ,  4.12861    ,  2.72986    ,  0.0308838  ])
21084   , -1403.67    , array([ 1.06321    ,  0.0686321  ,  3.95033    ,  2.61813    ,  0.0301014  ])
21085   , -1396.33    , array([ 1.10554    ,  0.0695294  ,  4.12861    ,  2.72986    ,  0.0308838  ])
21086   , -1391.62    , array([ 1.17404    ,  0.0709812  ,  4.41707    ,  2.91065    ,  0.0321499  ])
21087   , -1391.62    , array([ 1.17616    ,  0.0710261  ,  4.42598    ,  2.91623    ,  0.032189   ])
21088   , -1391.63    , array([ 1.17958    ,  0.0710986  ,  4.44039    ,  2.92527    ,  0.0322522  ])
21089   , -1391.62    , array([ 1.17616    ,  0.0710261  ,  4.42598    ,  2.91623    ,  0.032189   ])
21090   , -1391.62    , array([ 1.17747    ,  0.0710538  ,  4.43148    ,  2.91968    ,  0.0322131  ])
21091   , -1391.62    , array([ 1.17616    ,  0.0710261  ,  4.42598    ,  2.91623    ,  0.032189   ])
21092   , -1579.51    , array([ 2.17616    ,  0.0710261  ,  4.42598    ,  2.91623    ,  0.032189   ])
21094   , -1391.62    , array([ 1.17616    ,  0.0710261  ,  4.42598    ,  2.91623    ,  0.032189   ])
21095   , -1740.93    , array([ 0.558124   ,  0.0710261  ,  4.42598    ,  2.91623    ,  0.032189   ])
21096   , -1460.4     , array([ 1.55812    ,  0.0710261  ,  4.42598    ,  2.91623    ,  0.032189   ])
21097   , -1401.61    , array([ 1.24633    ,  0.0710261  ,  4.42598    ,  2.91623    ,  0.032189   ])
21098   , -1385.11    , array([ 0.94009    ,  0.0710261  ,  4.42598    ,  2.91623    ,  0.032189   ])
21099   , -1380.56    , array([ 1.02132    ,  0.0710261  ,  4.42598    ,  2.91623    ,  0.032189   ])
21100   , -1380.63    , array([ 1.03256    ,  0.0710261  ,  4.42598    ,  2.91623    ,  0.032189   ])
21101   , -1380.56    , array([ 1.02286    ,  0.0710261  ,  4.42598    ,  2.91623    ,  0.032189   ])
21102   , -1380.56    , array([ 1.01977    ,  0.0710261  ,  4.42598    ,  2.91623    ,  0.032189   ])
21103   , -1380.56    , array([ 1.02132    ,  0.0710261  ,  4.42598    ,  2.91623    ,  0.032189   ])
21104   , -46976.6    , array([ 1.02132    ,  1.07103    ,  4.42598    ,  2.91623    ,  0.032189   ])
21106   , -1380.56    , array([ 1.02132    ,  0.0710261  ,  4.42598    ,  2.91623    ,  0.032189   ])
21108   , -31438.7    , array([ 1.02132    ,  0.452992   ,  4.42598    ,  2.91623    ,  0.032189   ])
21109   , -19283.2    , array([ 1.02132    ,  0.261766   ,  4.42598    ,  2.91623    ,  0.032189   ])
21112   , -7439.12    , array([ 1.02132    ,  0.143882   ,  4.42598    ,  2.91623    ,  0.032189   ])
21113   , -8309.58    , array([ 1.02132    ,  0.0365842  ,  4.42598    ,  2.91623    ,  0.032189   ])
21114   , -2197.48    , array([ 1.02132    ,  0.0917639  ,  4.42598    ,  2.91623    ,  0.032189   ])
21115   , -2055       , array([ 1.02132    ,  0.0579391  ,  4.42598    ,  2.91623    ,  0.032189   ])
21116   , -1391.48    , array([ 1.02132    ,  0.074068   ,  4.42598    ,  2.91623    ,  0.032189   ])
21117   , -1378.66    , array([ 1.02132    ,  0.0720219  ,  4.42598    ,  2.91623    ,  0.032189   ])
21118   , -1378.59    , array([ 1.02132    ,  0.071879   ,  4.42598    ,  2.91623    ,  0.032189   ])
21119   , -1378.59    , array([ 1.02132    ,  0.0718672  ,  4.42598    ,  2.91623    ,  0.032189   ])
