28093   , -3022.03    , array([ 0.017353   ,  1.63817    ,  1.09103e-87,  0.0811587  ])
28094   , -3022.03    , array([ 0.0173704  ,  1.63817    ,  1.09103e-87,  0.0811587  ])
28095   , -3023.34    , array([ 0.017353   ,  1.63981    ,  1.09103e-87,  0.0811587  ])
28096   , -3022.03    , array([ 0.017353   ,  1.63817    ,  1.09212e-87,  0.0811587  ])
28097   , -3022.67    , array([ 0.017353   ,  1.63817    ,  1.09103e-87,  0.0812399  ])
28098   , -3022.03    , array([ 0.017353   ,  1.63817    ,  1.09103e-87,  0.0811587  ])
28099   , -1931.76    , array([ 0.017353   ,  0.661884   ,  1.09103e-87,  0.0519618  ])
28100   , -1931.76    , array([ 0.017353   ,  0.661884   ,  1.09103e-87,  0.0519618  ])
28101   , -1931.76    , array([ 0.0173704  ,  0.661884   ,  1.09103e-87,  0.0519618  ])
28102   , -1932.73    , array([ 0.017353   ,  0.662547   ,  1.09103e-87,  0.0519618  ])
28103   , -1931.76    , array([ 0.017353   ,  0.661884   ,  1.09212e-87,  0.0519618  ])
28104   , -1931.43    , array([ 0.017353   ,  0.661884   ,  1.09103e-87,  0.0520138  ])
28105   , -2130.35    , array([ 0.017353   ,  0.0878459  ,  1.09103e-87,  0.104154   ])
28106   , -2130.35    , array([ 0.017353   ,  0.0878459  ,  1.09103e-87,  0.104154   ])
28107   , -2130.35    , array([ 0.0173704  ,  0.0878459  ,  1.09103e-87,  0.104154   ])
28108   , -2129.63    , array([ 0.017353   ,  0.0879337  ,  1.09103e-87,  0.104154   ])
28109   , -2130.35    , array([ 0.017353   ,  0.0878459  ,  1.09212e-87,  0.104154   ])
28110   , -2128.6     , array([ 0.017353   ,  0.0878459  ,  1.09103e-87,  0.104258   ])
28111   , -1300.4     , array([ 0.017353   ,  0.363711   ,  1.09103e-87,  0.0638582  ])
28112   , -1300.4     , array([ 0.017353   ,  0.363711   ,  1.09103e-87,  0.0638582  ])
28113   , -1300.4     , array([ 0.0173704  ,  0.363711   ,  1.09103e-87,  0.0638582  ])
28114   , -1301.04    , array([ 0.017353   ,  0.364075   ,  1.09103e-87,  0.0638582  ])
28115   , -1300.4     , array([ 0.017353   ,  0.363711   ,  1.09212e-87,  0.0638582  ])
28116   , -1299.79    , array([ 0.017353   ,  0.363711   ,  1.09103e-87,  0.0639221  ])
28117   , -1378.22    , array([ 0.017353   ,  0.109427   ,  1.09103e-87,  0.14737    ])
28118   , -1378.22    , array([ 0.017353   ,  0.109427   ,  1.09103e-87,  0.14737    ])
28119   , -1378.22    , array([ 0.0173704  ,  0.109427   ,  1.09103e-87,  0.14737    ])
28120   , -1378.15    , array([ 0.017353   ,  0.109537   ,  1.09103e-87,  0.14737    ])
28121   , -1378.22    , array([ 0.017353   ,  0.109427   ,  1.09212e-87,  0.14737    ])
28122   , -1376.2     , array([ 0.017353   ,  0.109427   ,  1.09103e-87,  0.147517   ])
28123   , -1114.39    , array([ 0.017353   ,  0.293522   ,  1.09103e-87,  0.0741395  ])
28124   , -1114.39    , array([ 0.017353   ,  0.293522   ,  1.09103e-87,  0.0741395  ])
28125   , -1114.39    , array([ 0.0173704  ,  0.293522   ,  1.09103e-87,  0.0741395  ])
28126   , -1114.62    , array([ 0.017353   ,  0.293816   ,  1.09103e-87,  0.0741395  ])
28127   , -1114.39    , array([ 0.017353   ,  0.293522   ,  1.09212e-87,  0.0741395  ])
28128   , -1113.82    , array([ 0.017353   ,  0.293522   ,  1.09103e-87,  0.0742137  ])
28129   , -949.279    , array([ 0.017353   ,  0.221938   ,  1.09103e-87,  0.121026   ])
28130   , -949.279    , array([ 0.017353   ,  0.221938   ,  1.09103e-87,  0.121026   ])
28131   , -949.279    , array([ 0.0173704  ,  0.221938   ,  1.09103e-87,  0.121026   ])
28132   , -948.539    , array([ 0.017353   ,  0.222161   ,  1.09103e-87,  0.121026   ])
28133   , -949.279    , array([ 0.017353   ,  0.221938   ,  1.09212e-87,  0.121026   ])
28134   , -948.865    , array([ 0.017353   ,  0.221938   ,  1.09103e-87,  0.121147   ])
28135   , -712.782    , array([ 0.017353   ,  0.237688   ,  1.09103e-87,  0.18083    ])
28136   , -712.782    , array([ 0.017353   ,  0.237688   ,  1.09103e-87,  0.18083    ])
28137   , -712.782    , array([ 0.0173704  ,  0.237688   ,  1.09103e-87,  0.18083    ])
28138   , -712.245    , array([ 0.017353   ,  0.237926   ,  1.09103e-87,  0.18083    ])
28139   , -712.782    , array([ 0.017353   ,  0.237688   ,  1.09212e-87,  0.18083    ])
28140   , -712.252    , array([ 0.017353   ,  0.237688   ,  1.09103e-87,  0.181011   ])
28141   , -1451.39    , array([ 0.017353   ,  0.312685   ,  1.09103e-87,  0.901234   ])
28142   , -1451.39    , array([ 0.017353   ,  0.312685   ,  1.09103e-87,  0.901234   ])
28143   , -1451.39    , array([ 0.0173704  ,  0.312685   ,  1.09103e-87,  0.901234   ])
28144   , -1450.45    , array([ 0.017353   ,  0.312997   ,  1.09103e-87,  0.901234   ])
28145   , -1451.39    , array([ 0.017353   ,  0.312685   ,  1.09212e-87,  0.901234   ])
28146   , -1453.31    , array([ 0.017353   ,  0.312685   ,  1.09103e-87,  0.902136   ])
28147   , -446.863    , array([ 0.017353   ,  0.258357   ,  1.09103e-87,  0.294695   ])
28148   , -446.863    , array([ 0.017353   ,  0.258357   ,  1.09103e-87,  0.294695   ])
28149   , -446.863    , array([ 0.0173704  ,  0.258357   ,  1.09103e-87,  0.294695   ])
28150   , -446.832    , array([ 0.017353   ,  0.258616   ,  1.09103e-87,  0.294695   ])
28151   , -446.863    , array([ 0.017353   ,  0.258357   ,  1.09212e-87,  0.294695   ])
28152   , -446.518    , array([ 0.017353   ,  0.258357   ,  1.09103e-87,  0.29499    ])
28159   , -446.861    , array([ 0.017353   ,  0.258357   ,  1.09103e-87,  0.294697   ])
28160   , -446.861    , array([ 0.017353   ,  0.258357   ,  1.09103e-87,  0.294697   ])
28161   , -446.861    , array([ 0.0173704  ,  0.258357   ,  1.09103e-87,  0.294697   ])
28162   , -446.83     , array([ 0.017353   ,  0.258616   ,  1.09103e-87,  0.294697   ])
28163   , -446.861    , array([ 0.017353   ,  0.258357   ,  1.09212e-87,  0.294697   ])
28164   , -446.516    , array([ 0.017353   ,  0.258357   ,  1.09103e-87,  0.294992   ])
28165   , -446.845    , array([ 0.017353   ,  0.258358   ,  1.09103e-87,  0.294711   ])
28166   , -446.845    , array([ 0.017353   ,  0.258358   ,  1.09103e-87,  0.294711   ])
28167   , -446.845    , array([ 0.0173704  ,  0.258358   ,  1.09103e-87,  0.294711   ])
28168   , -446.813    , array([ 0.017353   ,  0.258616   ,  1.09103e-87,  0.294711   ])
28169   , -446.845    , array([ 0.017353   ,  0.258358   ,  1.09212e-87,  0.294711   ])
28170   , -446.499    , array([ 0.017353   ,  0.258358   ,  1.09103e-87,  0.295006   ])
28171   , -2124.54    , array([ 0.017353   ,  0.270103   ,  1.09103e-87,  1.27579    ])
28172   , -2124.54    , array([ 0.017353   ,  0.270103   ,  1.09103e-87,  1.27579    ])
28173   , -2124.54    , array([ 0.0173704  ,  0.270103   ,  1.09103e-87,  1.27579    ])
28174   , -2123.86    , array([ 0.017353   ,  0.270374   ,  1.09103e-87,  1.27579    ])
28175   , -2124.54    , array([ 0.017353   ,  0.270103   ,  1.09212e-87,  1.27579    ])
28176   , -2125.49    , array([ 0.017353   ,  0.270103   ,  1.09103e-87,  1.27706    ])
28177   , -422.54     , array([ 0.017353   ,  0.25901    ,  1.09103e-87,  0.32025    ])
28178   , -422.54     , array([ 0.017353   ,  0.25901    ,  1.09103e-87,  0.32025    ])
28179   , -422.54     , array([ 0.0173704  ,  0.25901    ,  1.09103e-87,  0.32025    ])
28180   , -422.566    , array([ 0.017353   ,  0.259269   ,  1.09103e-87,  0.32025    ])
28181   , -422.54     , array([ 0.017353   ,  0.25901    ,  1.09212e-87,  0.32025    ])
28182   , -422.308    , array([ 0.017353   ,  0.25901    ,  1.09103e-87,  0.32057    ])
28183   , -411.885    , array([ 0.017353   ,  0.253945   ,  1.09103e-87,  0.38291    ])
28184   , -411.885    , array([ 0.017353   ,  0.253945   ,  1.09103e-87,  0.38291    ])
28185   , -411.885    , array([ 0.0173704  ,  0.253945   ,  1.09103e-87,  0.38291    ])
28186   , -411.924    , array([ 0.017353   ,  0.254199   ,  1.09103e-87,  0.38291    ])
28187   , -411.885    , array([ 0.017353   ,  0.253945   ,  1.09212e-87,  0.38291    ])
28188   , -412.053    , array([ 0.017353   ,  0.253945   ,  1.09103e-87,  0.383293   ])
28189   , -407.179    , array([ 0.017353   ,  0.254562   ,  1.09103e-87,  0.355819   ])
28190   , -407.179    , array([ 0.017353   ,  0.254562   ,  1.09103e-87,  0.355819   ])
28191   , -407.179    , array([ 0.0173704  ,  0.254562   ,  1.09103e-87,  0.355819   ])
28192   , -407.234    , array([ 0.017353   ,  0.254817   ,  1.09103e-87,  0.355819   ])
28193   , -407.179    , array([ 0.017353   ,  0.254562   ,  1.09212e-87,  0.355819   ])
28194   , -407.152    , array([ 0.017353   ,  0.254562   ,  1.09103e-87,  0.356175   ])
28195   , -406.503    , array([ 0.017353   ,  0.252167   ,  1.09103e-87,  0.359466   ])
28196   , -406.503    , array([ 0.017353   ,  0.252167   ,  1.09103e-87,  0.359466   ])
28197   , -406.503    , array([ 0.0173704  ,  0.252167   ,  1.09103e-87,  0.359466   ])
28198   , -406.555    , array([ 0.017353   ,  0.252419   ,  1.09103e-87,  0.359466   ])
28199   , -406.503    , array([ 0.017353   ,  0.252167   ,  1.09212e-87,  0.359466   ])
28200   , -406.5      , array([ 0.017353   ,  0.252167   ,  1.09103e-87,  0.359826   ])
28201   , -405.393    , array([ 0.017353   ,  0.245828   ,  1.09103e-87,  0.363336   ])
28202   , -405.393    , array([ 0.017353   ,  0.245828   ,  1.09103e-87,  0.363336   ])
28203   , -405.393    , array([ 0.0173704  ,  0.245828   ,  1.09103e-87,  0.363336   ])
28204   , -405.437    , array([ 0.017353   ,  0.246074   ,  1.09103e-87,  0.363336   ])
28205   , -405.393    , array([ 0.017353   ,  0.245828   ,  1.09212e-87,  0.363336   ])
28206   , -405.423    , array([ 0.017353   ,  0.245828   ,  1.09103e-87,  0.363699   ])
28207   , -403.766    , array([ 0.017353   ,  0.232657   ,  1.09103e-87,  0.365879   ])
28208   , -403.766    , array([ 0.017353   ,  0.232657   ,  1.09103e-87,  0.365879   ])
28209   , -403.766    , array([ 0.0173704  ,  0.232657   ,  1.09103e-87,  0.365879   ])
28210   , -403.792    , array([ 0.017353   ,  0.23289    ,  1.09103e-87,  0.365879   ])
28211   , -403.766    , array([ 0.017353   ,  0.232657   ,  1.09212e-87,  0.365879   ])
28212   , -403.838    , array([ 0.017353   ,  0.232657   ,  1.09103e-87,  0.366245   ])
28213   , -401.817    , array([ 0.017353   ,  0.216389   ,  1.09103e-87,  0.362514   ])
28214   , -401.817    , array([ 0.017353   ,  0.216389   ,  1.09103e-87,  0.362514   ])
28215   , -401.817    , array([ 0.0173704  ,  0.216389   ,  1.09103e-87,  0.362514   ])
28216   , -401.825    , array([ 0.017353   ,  0.216606   ,  1.09103e-87,  0.362514   ])
28217   , -401.817    , array([ 0.017353   ,  0.216389   ,  1.09212e-87,  0.362514   ])
28218   , -401.907    , array([ 0.017353   ,  0.216389   ,  1.09103e-87,  0.362876   ])
28219   , -398.941    , array([ 0.017353   ,  0.194859   ,  1.09103e-87,  0.350177   ])
28220   , -398.941    , array([ 0.017353   ,  0.194859   ,  1.09103e-87,  0.350177   ])
28221   , -398.941    , array([ 0.0173704  ,  0.194859   ,  1.09103e-87,  0.350177   ])
28222   , -398.942    , array([ 0.017353   ,  0.195054   ,  1.09103e-87,  0.350177   ])
28223   , -398.941    , array([ 0.017353   ,  0.194859   ,  1.09212e-87,  0.350177   ])
28224   , -399.004    , array([ 0.017353   ,  0.194859   ,  1.09103e-87,  0.350527   ])
28225   , -396.903    , array([ 0.017353   ,  0.173172   ,  1.09103e-87,  0.333899   ])
28226   , -396.903    , array([ 0.017353   ,  0.173172   ,  1.09103e-87,  0.333899   ])
28227   , -396.903    , array([ 0.0173704  ,  0.173172   ,  1.09103e-87,  0.333899   ])
28228   , -396.909    , array([ 0.017353   ,  0.173345   ,  1.09103e-87,  0.333899   ])
28229   , -396.903    , array([ 0.017353   ,  0.173172   ,  1.09212e-87,  0.333899   ])
28230   , -396.923    , array([ 0.017353   ,  0.173172   ,  1.09103e-87,  0.334234   ])
28231   , -396.067    , array([ 0.017353   ,  0.14527    ,  1.09103e-87,  0.314819   ])
28232   , -396.067    , array([ 0.017353   ,  0.14527    ,  1.09103e-87,  0.314819   ])
28233   , -396.067    , array([ 0.0173704  ,  0.14527    ,  1.09103e-87,  0.314819   ])
28234   , -396.031    , array([ 0.017353   ,  0.145415   ,  1.09103e-87,  0.314819   ])
28235   , -396.067    , array([ 0.017353   ,  0.14527    ,  1.09212e-87,  0.314819   ])
28236   , -396.167    , array([ 0.017353   ,  0.14527    ,  1.09103e-87,  0.315134   ])
28237   , -395.016    , array([ 0.017353   ,  0.134592   ,  1.09103e-87,  0.301079   ])
28238   , -395.016    , array([ 0.017353   ,  0.134592   ,  1.09103e-87,  0.301079   ])
28239   , -395.016    , array([ 0.0173704  ,  0.134592   ,  1.09103e-87,  0.301079   ])
28240   , -395.006    , array([ 0.017353   ,  0.134727   ,  1.09103e-87,  0.301079   ])
28241   , -395.016    , array([ 0.017353   ,  0.134592   ,  1.09212e-87,  0.301079   ])
28242   , -395.054    , array([ 0.017353   ,  0.134592   ,  1.09103e-87,  0.30138    ])
28243   , -394.85     , array([ 0.017353   ,  0.105462   ,  1.09103e-87,  0.267931   ])
28244   , -394.85     , array([ 0.017353   ,  0.105462   ,  1.09103e-87,  0.267931   ])
28245   , -394.85     , array([ 0.0173704  ,  0.105462   ,  1.09103e-87,  0.267931   ])
28246   , -394.785    , array([ 0.017353   ,  0.105567   ,  1.09103e-87,  0.267931   ])
28247   , -394.85     , array([ 0.017353   ,  0.105462   ,  1.09212e-87,  0.267931   ])
28248   , -394.979    , array([ 0.017353   ,  0.105462   ,  1.09103e-87,  0.2682     ])
28249   , -394.596    , array([ 0.017353   ,  0.104095   ,  1.09103e-87,  0.265486   ])
28250   , -394.596    , array([ 0.017353   ,  0.104095   ,  1.09103e-87,  0.265486   ])
28251   , -394.596    , array([ 0.0173704  ,  0.104095   ,  1.09103e-87,  0.265486   ])
28252   , -394.541    , array([ 0.017353   ,  0.104199   ,  1.09103e-87,  0.265486   ])
28253   , -394.596    , array([ 0.017353   ,  0.104095   ,  1.09212e-87,  0.265486   ])
28254   , -394.708    , array([ 0.017353   ,  0.104095   ,  1.09103e-87,  0.265751   ])
28255   , -394.342    , array([ 0.017353   ,  0.0991854  ,  1.09103e-87,  0.257992   ])
28256   , -394.342    , array([ 0.017353   ,  0.0991854  ,  1.09103e-87,  0.257992   ])
28257   , -394.342    , array([ 0.0173704  ,  0.0991854  ,  1.09103e-87,  0.257992   ])
28258   , -394.292    , array([ 0.017353   ,  0.0992846  ,  1.09103e-87,  0.257992   ])
