36504   , -46553.6    , array([ 0.219318   ,  4.68955    ,  1.7378e-56 ,  0.000190914,  0.0349061  ])
36505   , -46545.1    , array([ 0.219538   ,  4.68955    ,  1.7378e-56 ,  0.000190914,  0.0349061  ])
36506   , -46556.6    , array([ 0.219318   ,  4.69424    ,  1.7378e-56 ,  0.000190914,  0.0349061  ])
36507   , -46553.6    , array([ 0.219318   ,  4.68955    ,  1.73954e-56,  0.000190914,  0.0349061  ])
36508   , -46553.6    , array([ 0.219318   ,  4.68955    ,  1.7378e-56 ,  0.000191105,  0.0349061  ])
36509   , -46554.9    , array([ 0.219318   ,  4.68955    ,  1.7378e-56 ,  0.000190914,  0.034941   ])
36510   , -46553.6    , array([ 0.219318   ,  4.68955    ,  1.7378e-56 ,  0.000190914,  0.0349061  ])
36511   , -49185.8    , array([ 0.56388    ,  3.382      ,  1.7378e-56 ,  0.00019091 ,  0.030143   ])
36512   , -49185.8    , array([ 0.56388    ,  3.382      ,  1.7378e-56 ,  0.00019091 ,  0.030143   ])
36513   , -49195.4    , array([ 0.564444   ,  3.382      ,  1.7378e-56 ,  0.00019091 ,  0.030143   ])
36514   , -49191      , array([ 0.56388    ,  3.38539    ,  1.7378e-56 ,  0.00019091 ,  0.030143   ])
36515   , -49185.8    , array([ 0.56388    ,  3.382      ,  1.73954e-56,  0.00019091 ,  0.030143   ])
36516   , -49185.8    , array([ 0.56388    ,  3.382      ,  1.7378e-56 ,  0.000191101,  0.030143   ])
36517   , -49170.3    , array([ 0.56388    ,  3.382      ,  1.7378e-56 ,  0.00019091 ,  0.0301732  ])
36518   , -45155      , array([ 0.296913   ,  4.22274    ,  1.7378e-56 ,  0.000190913,  0.0333015  ])
36519   , -45155      , array([ 0.296913   ,  4.22274    ,  1.7378e-56 ,  0.000190913,  0.0333015  ])
36520   , -45155.2    , array([ 0.29721    ,  4.22274    ,  1.7378e-56 ,  0.000190913,  0.0333015  ])
36521   , -45158.5    , array([ 0.296913   ,  4.22697    ,  1.7378e-56 ,  0.000190913,  0.0333015  ])
36522   , -45155      , array([ 0.296913   ,  4.22274    ,  1.73954e-56,  0.000190913,  0.0333015  ])
36523   , -45155      , array([ 0.296913   ,  4.22274    ,  1.7378e-56 ,  0.000191104,  0.0333015  ])
36524   , -45148.4    , array([ 0.296913   ,  4.22274    ,  1.7378e-56 ,  0.000190913,  0.0333348  ])
36525   , -41845      , array([ 0.392993   ,  3.19293    ,  1.7378e-56 ,  0.00019091 ,  0.0445209  ])
36526   , -41845      , array([ 0.392993   ,  3.19293    ,  1.7378e-56 ,  0.00019091 ,  0.0445209  ])
36527   , -41845.2    , array([ 0.393386   ,  3.19293    ,  1.7378e-56 ,  0.00019091 ,  0.0445209  ])
36528   , -41850.6    , array([ 0.392993   ,  3.19613    ,  1.7378e-56 ,  0.00019091 ,  0.0445209  ])
36529   , -41845      , array([ 0.392993   ,  3.19293    ,  1.73954e-56,  0.00019091 ,  0.0445209  ])
36530   , -41845      , array([ 0.392993   ,  3.19293    ,  1.7378e-56 ,  0.000191101,  0.0445209  ])
36531   , -41837      , array([ 0.392993   ,  3.19293    ,  1.7378e-56 ,  0.00019091 ,  0.0445655  ])
36532   , -17264.2    , array([ 1.20617    ,  1.04369    ,  1.7378e-56 ,  0.000190897,  0.142222   ])
36533   , -17264.2    , array([ 1.20617    ,  1.04369    ,  1.7378e-56 ,  0.000190897,  0.142222   ])
36534   , -17260.4    , array([ 1.20738    ,  1.04369    ,  1.7378e-56 ,  0.000190897,  0.142222   ])
36535   , -17278.7    , array([ 1.20617    ,  1.04473    ,  1.7378e-56 ,  0.000190897,  0.142222   ])
36536   , -17264.2    , array([ 1.20617    ,  1.04369    ,  1.73954e-56,  0.000190897,  0.142222   ])
36537   , -17264.2    , array([ 1.20617    ,  1.04369    ,  1.7378e-56 ,  0.000191088,  0.142222   ])
36538   , -17259.6    , array([ 1.20617    ,  1.04369    ,  1.7378e-56 ,  0.000190897,  0.142365   ])
36546   , -17246.3    , array([ 1.20711    ,  1.04288    ,  1.7378e-56 ,  0.000190897,  0.142336   ])
36547   , -17246.3    , array([ 1.20711    ,  1.04288    ,  1.7378e-56 ,  0.000190897,  0.142336   ])
36548   , -17242.5    , array([ 1.20832    ,  1.04288    ,  1.7378e-56 ,  0.000190897,  0.142336   ])
36549   , -17260.8    , array([ 1.20711    ,  1.04393    ,  1.7378e-56 ,  0.000190897,  0.142336   ])
36550   , -17246.3    , array([ 1.20711    ,  1.04288    ,  1.73954e-56,  0.000190897,  0.142336   ])
36551   , -17246.3    , array([ 1.20711    ,  1.04288    ,  1.7378e-56 ,  0.000191088,  0.142336   ])
36552   , -17241.7    , array([ 1.20711    ,  1.04288    ,  1.7378e-56 ,  0.000190897,  0.142479   ])
36553   , -17004.6    , array([ 1.21989    ,  1.03199    ,  1.7378e-56 ,  0.000190897,  0.143898   ])
36554   , -17004.6    , array([ 1.21989    ,  1.03199    ,  1.7378e-56 ,  0.000190897,  0.143898   ])
36555   , -17000.7    , array([ 1.22111    ,  1.03199    ,  1.7378e-56 ,  0.000190897,  0.143898   ])
36556   , -17018.9    , array([ 1.21989    ,  1.03302    ,  1.7378e-56 ,  0.000190897,  0.143898   ])
36557   , -17004.6    , array([ 1.21989    ,  1.03199    ,  1.73954e-56,  0.000190897,  0.143898   ])
36558   , -17004.6    , array([ 1.21989    ,  1.03199    ,  1.7378e-56 ,  0.000191088,  0.143898   ])
36559   , -17000.2    , array([ 1.21989    ,  1.03199    ,  1.7378e-56 ,  0.000190897,  0.144042   ])
36560   , -352269     , array([ 11.4266    ,  0.110888   ,  1.7378e-56 ,  0.000190871,  1.45988    ])
36561   , -352269     , array([ 11.4266    ,  0.110888   ,  1.7378e-56 ,  0.000190871,  1.45988    ])
36562   , -352285     , array([ 11.438     ,  0.110888   ,  1.7378e-56 ,  0.000190871,  1.45988    ])
36563   , -352219     , array([ 11.4266    ,  0.110999   ,  1.7378e-56 ,  0.000190871,  1.45988    ])
36564   , -352269     , array([ 11.4266    ,  0.110888   ,  1.73954e-56,  0.000190871,  1.45988    ])
36565   , -352235     , array([ 11.4266    ,  0.110888   ,  1.7378e-56 ,  0.000191062,  1.45988    ])
36566   , -352289     , array([ 11.4266    ,  0.110888   ,  1.7378e-56 ,  0.000190871,  1.46134    ])
36567   , -15613.5    , array([ 1.3006     ,  0.968127   ,  1.7378e-56 ,  0.000190896,  0.153769   ])
36568   , -15613.5    , array([ 1.3006     ,  0.968127   ,  1.7378e-56 ,  0.000190896,  0.153769   ])
36569   , -15609.4    , array([ 1.3019     ,  0.968127   ,  1.7378e-56 ,  0.000190896,  0.153769   ])
36570   , -15627.1    , array([ 1.3006     ,  0.969096   ,  1.7378e-56 ,  0.000190896,  0.153769   ])
36571   , -15613.5    , array([ 1.3006     ,  0.968127   ,  1.73954e-56,  0.000190896,  0.153769   ])
36572   , -15613.5    , array([ 1.3006     ,  0.968127   ,  1.7378e-56 ,  0.000191087,  0.153769   ])
36573   , -15610.7    , array([ 1.3006     ,  0.968127   ,  1.7378e-56 ,  0.000190896,  0.153923   ])
36574   , -11972.4    , array([ 1.73787    ,  0.72514    ,  1.7378e-56 ,  0.000190893,  0.207603   ])
36575   , -11972.4    , array([ 1.73787    ,  0.72514    ,  1.7378e-56 ,  0.000190893,  0.207603   ])
36576   , -11968.2    , array([ 1.73961    ,  0.72514    ,  1.7378e-56 ,  0.000190893,  0.207603   ])
36577   , -11978.6    , array([ 1.73787    ,  0.725865   ,  1.7378e-56 ,  0.000190893,  0.207603   ])
36578   , -11972.4    , array([ 1.73787    ,  0.72514    ,  1.73954e-56,  0.000190893,  0.207603   ])
36579   , -11972.4    , array([ 1.73787    ,  0.72514    ,  1.7378e-56 ,  0.000191084,  0.207603   ])
36580   , -11980      , array([ 1.73787    ,  0.72514    ,  1.7378e-56 ,  0.000190893,  0.207811   ])
36588   , -11964.9    , array([ 1.73866    ,  0.724122   ,  1.7378e-56 ,  0.000190893,  0.207688   ])
36589   , -11964.9    , array([ 1.73866    ,  0.724122   ,  1.7378e-56 ,  0.000190893,  0.207688   ])
36590   , -11960.8    , array([ 1.7404     ,  0.724122   ,  1.7378e-56 ,  0.000190893,  0.207688   ])
36591   , -11971.1    , array([ 1.73866    ,  0.724846   ,  1.7378e-56 ,  0.000190893,  0.207688   ])
