303475  , -75998      , array([ 3.51135    ,  0.462099   ,  1.10742e-18,  1.02835e-23,  0.00114125 ])
303476  , -75998.2    , array([ 3.51486    ,  0.462099   ,  1.10742e-18,  1.02835e-23,  0.00114125 ])
303477  , -76000.7    , array([ 3.51135    ,  0.462561   ,  1.10742e-18,  1.02835e-23,  0.00114125 ])
303478  , -75998      , array([ 3.51135    ,  0.462099   ,  1.10853e-18,  1.02835e-23,  0.00114125 ])
303479  , -75998      , array([ 3.51135    ,  0.462099   ,  1.10742e-18,  1.02938e-23,  0.00114125 ])
303480  , -75995      , array([ 3.51135    ,  0.462099   ,  1.10742e-18,  1.02835e-23,  0.00114239 ])
303481  , -75998      , array([ 3.51135    ,  0.462099   ,  1.10742e-18,  1.02835e-23,  0.00114125 ])
303482  , -67681.7    , array([ 3.30471    ,  0.234104   ,  1.10742e-18,  1.02835e-23,  0.00240233 ])
303483  , -67681.7    , array([ 3.30471    ,  0.234104   ,  1.10742e-18,  1.02835e-23,  0.00240233 ])
303484  , -67682.1    , array([ 3.30802    ,  0.234104   ,  1.10742e-18,  1.02835e-23,  0.00240233 ])
303485  , -67691.5    , array([ 3.30471    ,  0.234338   ,  1.10742e-18,  1.02835e-23,  0.00240233 ])
303486  , -67681.7    , array([ 3.30471    ,  0.234104   ,  1.10853e-18,  1.02835e-23,  0.00240233 ])
303487  , -67681.7    , array([ 3.30471    ,  0.234104   ,  1.10742e-18,  1.02938e-23,  0.00240233 ])
303488  , -67671.4    , array([ 3.30471    ,  0.234104   ,  1.10742e-18,  1.02835e-23,  0.00240474 ])
303489  , -93363.1    , array([ 2.59281    ,  0.0154207  ,  1.10742e-18,  1.02835e-23,  0.0471671  ])
303490  , -93363.1    , array([ 2.59281    ,  0.0154207  ,  1.10742e-18,  1.02835e-23,  0.0471671  ])
303491  , -93363.5    , array([ 2.5954     ,  0.0154207  ,  1.10742e-18,  1.02835e-23,  0.0471671  ])
303492  , -93252.7    , array([ 2.59281    ,  0.0154361  ,  1.10742e-18,  1.02835e-23,  0.0471671  ])
303493  , -93363.1    , array([ 2.59281    ,  0.0154207  ,  1.10853e-18,  1.02835e-23,  0.0471671  ])
303494  , -93363.1    , array([ 2.59281    ,  0.0154207  ,  1.10742e-18,  1.02938e-23,  0.0471671  ])
303495  , -93471.3    , array([ 2.59281    ,  0.0154207  ,  1.10742e-18,  1.02835e-23,  0.0472143  ])
303496  , -10627      , array([ 2.93991    ,  0.0630741  ,  1.10742e-18,  1.02835e-23,  0.0100936  ])
303497  , -10627      , array([ 2.93991    ,  0.0630741  ,  1.10742e-18,  1.02835e-23,  0.0100936  ])
