5261    , -2826.14    , array([ 0.830198   ,  69.385     ,  1.33563e-60,  0.0203144  ])
5268    , -2825.57    , array([ 0.830198   ,  69.385     ,  1.33563e-60,  0.0202941  ])
5269    , -2825.57    , array([ 0.830198   ,  69.385     ,  1.33563e-60,  0.0202941  ])
5270    , -2825.57    , array([ 0.831029   ,  69.385     ,  1.33563e-60,  0.0202941  ])
5271    , -2825.58    , array([ 0.830198   ,  69.4545    ,  1.33563e-60,  0.0202941  ])
5272    , -2825.57    , array([ 0.830198   ,  69.385     ,  1.33697e-60,  0.0202941  ])
5273    , -2826.14    , array([ 0.830198   ,  69.385     ,  1.33563e-60,  0.0203144  ])
5274    , -2825.57    , array([ 0.830198   ,  69.385     ,  1.33563e-60,  0.0202941  ])
5275    , -2825.57    , array([ 0.830198   ,  69.385     ,  1.33563e-60,  0.0202941  ])
5276    , -2825.57    , array([ 0.831029   ,  69.385     ,  1.33563e-60,  0.0202941  ])
5277    , -2825.58    , array([ 0.830198   ,  69.4545    ,  1.33563e-60,  0.0202941  ])
5278    , -2825.57    , array([ 0.830198   ,  69.385     ,  1.33697e-60,  0.0202941  ])
5279    , -2826.14    , array([ 0.830198   ,  69.385     ,  1.33563e-60,  0.0203144  ])
5280    , -2810.09    , array([ 0.830198   ,  91.9614    ,  1.33563e-60,  0.0196711  ])
5281    , -2810.09    , array([ 0.830198   ,  91.9614    ,  1.33563e-60,  0.0196711  ])
5282    , -2810.09    , array([ 0.831029   ,  91.9614    ,  1.33563e-60,  0.0196711  ])
5283    , -2810.1     , array([ 0.830198   ,  92.0535    ,  1.33563e-60,  0.0196711  ])
5284    , -2810.09    , array([ 0.830198   ,  91.9614    ,  1.33697e-60,  0.0196711  ])
5285    , -2810.65    , array([ 0.830198   ,  91.9614    ,  1.33563e-60,  0.0196908  ])
5286    , -2810.09    , array([ 0.830198   ,  91.9614    ,  1.33563e-60,  0.0196711  ])
5287    , -2810.09    , array([ 0.830198   ,  91.9614    ,  1.33563e-60,  0.0196711  ])
5288    , -2810.09    , array([ 0.831029   ,  91.9614    ,  1.33563e-60,  0.0196711  ])
5289    , -2810.1     , array([ 0.830198   ,  92.0535    ,  1.33563e-60,  0.0196711  ])
5290    , -2810.09    , array([ 0.830198   ,  91.9614    ,  1.33697e-60,  0.0196711  ])
5291    , -2810.65    , array([ 0.830198   ,  91.9614    ,  1.33563e-60,  0.0196908  ])
5292    , -2810.09    , array([ 0.830198   ,  91.9614    ,  1.33563e-60,  0.0196711  ])
5293    , -2810.09    , array([ 0.830198   ,  91.9614    ,  1.33563e-60,  0.0196711  ])
5294    , -2810.09    , array([ 0.831029   ,  91.9614    ,  1.33563e-60,  0.0196711  ])
5295    , -2810.1     , array([ 0.830198   ,  92.0535    ,  1.33563e-60,  0.0196711  ])
5296    , -2810.09    , array([ 0.830198   ,  91.9614    ,  1.33697e-60,  0.0196711  ])
5297    , -2810.65    , array([ 0.830198   ,  91.9614    ,  1.33563e-60,  0.0196908  ])
5304    , -2810.09    , array([ 0.830198   ,  91.9614    ,  1.33563e-60,  0.0196711  ])
5305    , -2810.09    , array([ 0.830198   ,  91.9614    ,  1.33563e-60,  0.0196711  ])
5306    , -2810.09    , array([ 0.831029   ,  91.9614    ,  1.33563e-60,  0.0196711  ])
5307    , -2810.1     , array([ 0.830198   ,  92.0535    ,  1.33563e-60,  0.0196711  ])
5308    , -2810.09    , array([ 0.830198   ,  91.9614    ,  1.33697e-60,  0.0196711  ])
5309    , -2810.65    , array([ 0.830198   ,  91.9614    ,  1.33563e-60,  0.0196908  ])
5310    , -2810.09    , array([ 0.830198   ,  91.9614    ,  1.33563e-60,  0.0196711  ])
5311    , -2810.09    , array([ 0.830198   ,  91.9614    ,  1.33563e-60,  0.0196711  ])
5312    , -2810.09    , array([ 0.831029   ,  91.9614    ,  1.33563e-60,  0.0196711  ])
5313    , -2810.1     , array([ 0.830198   ,  92.0535    ,  1.33563e-60,  0.0196711  ])
5314    , -2810.09    , array([ 0.830198   ,  91.9614    ,  1.33697e-60,  0.0196711  ])
5315    , -2810.65    , array([ 0.830198   ,  91.9614    ,  1.33563e-60,  0.0196908  ])
5316    , -2806.21    , array([ 0.830198   ,  98.6713    ,  1.33563e-60,  0.0195184  ])
5317    , -2806.21    , array([ 0.830198   ,  98.6713    ,  1.33563e-60,  0.0195184  ])
5318    , -2806.21    , array([ 0.831029   ,  98.6713    ,  1.33563e-60,  0.0195184  ])
5319    , -2806.22    , array([ 0.830198   ,  98.77      ,  1.33563e-60,  0.0195184  ])
5320    , -2806.21    , array([ 0.830198   ,  98.6713    ,  1.33697e-60,  0.0195184  ])
5321    , -2806.77    , array([ 0.830198   ,  98.6713    ,  1.33563e-60,  0.019538   ])
5328    , -2806.21    , array([ 0.830198   ,  98.6713    ,  1.33563e-60,  0.0195184  ])
5329    , -2806.21    , array([ 0.830198   ,  98.6713    ,  1.33563e-60,  0.0195184  ])
5330    , -2806.21    , array([ 0.831029   ,  98.6713    ,  1.33563e-60,  0.0195184  ])
5331    , -2806.22    , array([ 0.830198   ,  98.77      ,  1.33563e-60,  0.0195184  ])
5332    , -2806.21    , array([ 0.830198   ,  98.6713    ,  1.33697e-60,  0.0195184  ])
5333    , -2806.77    , array([ 0.830198   ,  98.6713    ,  1.33563e-60,  0.019538   ])
5334    , -2806.21    , array([ 0.830198   ,  98.6713    ,  1.33563e-60,  0.0195184  ])
5335    , -2806.21    , array([ 0.830198   ,  98.6713    ,  1.33563e-60,  0.0195184  ])
5336    , -2806.21    , array([ 0.831029   ,  98.6713    ,  1.33563e-60,  0.0195184  ])
5337    , -2806.22    , array([ 0.830198   ,  98.77      ,  1.33563e-60,  0.0195184  ])
5338    , -2806.21    , array([ 0.830198   ,  98.6713    ,  1.33697e-60,  0.0195184  ])
5339    , -2806.77    , array([ 0.830198   ,  98.6713    ,  1.33563e-60,  0.019538   ])
5346    , -2806.21    , array([ 0.830198   ,  98.6713    ,  1.33563e-60,  0.0195184  ])
5347    , -2806.21    , array([ 0.830198   ,  98.6713    ,  1.33563e-60,  0.0195184  ])
5348    , -2806.21    , array([ 0.831029   ,  98.6713    ,  1.33563e-60,  0.0195184  ])
5349    , -2806.22    , array([ 0.830198   ,  98.77      ,  1.33563e-60,  0.0195184  ])
5350    , -2806.21    , array([ 0.830198   ,  98.6713    ,  1.33697e-60,  0.0195184  ])
5351    , -2806.77    , array([ 0.830198   ,  98.6713    ,  1.33563e-60,  0.019538   ])
5352    , -2806.21    , array([ 0.830198   ,  98.6713    ,  1.33563e-60,  0.0195184  ])
5353    , -2806.21    , array([ 0.830198   ,  98.6713    ,  1.33563e-60,  0.0195184  ])
5354    , -2806.21    , array([ 0.831029   ,  98.6713    ,  1.33563e-60,  0.0195184  ])
5355    , -2806.22    , array([ 0.830198   ,  98.77      ,  1.33563e-60,  0.0195184  ])
5356    , -2806.21    , array([ 0.830198   ,  98.6713    ,  1.33697e-60,  0.0195184  ])
5357    , -2806.77    , array([ 0.830198   ,  98.6713    ,  1.33563e-60,  0.019538   ])
5358    , -2805.58    , array([ 0.830198   ,  99.8245    ,  1.33563e-60,  0.0194933  ])
5359    , -2805.58    , array([ 0.830198   ,  99.8245    ,  1.33563e-60,  0.0194933  ])
5360    , -2805.58    , array([ 0.831029   ,  99.8245    ,  1.33563e-60,  0.0194933  ])
5361    , -2805.58    , array([ 0.830198   ,  99.9244    ,  1.33563e-60,  0.0194933  ])
5362    , -2805.58    , array([ 0.830198   ,  99.8245    ,  1.33697e-60,  0.0194933  ])
5363    , -2806.13    , array([ 0.830198   ,  99.8245    ,  1.33563e-60,  0.0195128  ])
5370    , -2805.58    , array([ 0.830198   ,  99.8245    ,  1.33563e-60,  0.0194933  ])
5371    , -2805.58    , array([ 0.830198   ,  99.8245    ,  1.33563e-60,  0.0194933  ])
5372    , -2805.58    , array([ 0.831029   ,  99.8245    ,  1.33563e-60,  0.0194933  ])
5373    , -2805.58    , array([ 0.830198   ,  99.9244    ,  1.33563e-60,  0.0194933  ])
5374    , -2805.58    , array([ 0.830198   ,  99.8245    ,  1.33697e-60,  0.0194933  ])
5375    , -2806.13    , array([ 0.830198   ,  99.8245    ,  1.33563e-60,  0.0195128  ])
5376    , -2805.58    , array([ 0.830198   ,  99.8245    ,  1.33563e-60,  0.0194933  ])
5377    , -2805.58    , array([ 0.830198   ,  99.8245    ,  1.33563e-60,  0.0194933  ])
5378    , -2805.58    , array([ 0.831029   ,  99.8245    ,  1.33563e-60,  0.0194933  ])
5379    , -2805.58    , array([ 0.830198   ,  99.9244    ,  1.33563e-60,  0.0194933  ])
5380    , -2805.58    , array([ 0.830198   ,  99.8245    ,  1.33697e-60,  0.0194933  ])
5381    , -2806.13    , array([ 0.830198   ,  99.8245    ,  1.33563e-60,  0.0195128  ])
5388    , -2805.58    , array([ 0.830198   ,  99.8245    ,  1.33563e-60,  0.0194933  ])
5389    , -2805.58    , array([ 0.830198   ,  99.8245    ,  1.33563e-60,  0.0194933  ])
5390    , -2805.58    , array([ 0.831029   ,  99.8245    ,  1.33563e-60,  0.0194933  ])
5391    , -2805.58    , array([ 0.830198   ,  99.9244    ,  1.33563e-60,  0.0194933  ])
5392    , -2805.58    , array([ 0.830198   ,  99.8245    ,  1.33697e-60,  0.0194933  ])
5393    , -2806.13    , array([ 0.830198   ,  99.8245    ,  1.33563e-60,  0.0195128  ])
5394    , -2805.58    , array([ 0.830198   ,  99.8245    ,  1.33563e-60,  0.0194933  ])
5395    , -2805.58    , array([ 0.830198   ,  99.8245    ,  1.33563e-60,  0.0194933  ])
5396    , -2805.58    , array([ 0.831029   ,  99.8245    ,  1.33563e-60,  0.0194933  ])
5397    , -2805.58    , array([ 0.830198   ,  99.9244    ,  1.33563e-60,  0.0194933  ])
5398    , -2805.58    , array([ 0.830198   ,  99.8245    ,  1.33697e-60,  0.0194933  ])
5399    , -2806.13    , array([ 0.830198   ,  99.8245    ,  1.33563e-60,  0.0195128  ])
5400    , -2805.58    , array([ 0.830198   ,  99.8245    ,  1.33563e-60,  0.0194933  ])
5401    , -2805.58    , array([ 0.830198   ,  99.8245    ,  1.33563e-60,  0.0194933  ])
5402    , -2805.58    , array([ 0.831029   ,  99.8245    ,  1.33563e-60,  0.0194933  ])
5403    , -2805.58    , array([ 0.830198   ,  99.9244    ,  1.33563e-60,  0.0194933  ])
5404    , -2805.58    , array([ 0.830198   ,  99.8245    ,  1.33697e-60,  0.0194933  ])
5405    , -2806.13    , array([ 0.830198   ,  99.8245    ,  1.33563e-60,  0.0195128  ])
5406    , -2805.58    , array([ 0.830198   ,  99.8245    ,  1.33563e-60,  0.0194933  ])
5407    , -2805.58    , array([ 0.830198   ,  99.8245    ,  1.33563e-60,  0.0194933  ])
5408    , -2805.58    , array([ 0.831029   ,  99.8245    ,  1.33563e-60,  0.0194933  ])
5409    , -2805.58    , array([ 0.830198   ,  99.9244    ,  1.33563e-60,  0.0194933  ])
5410    , -2805.58    , array([ 0.830198   ,  99.8245    ,  1.33697e-60,  0.0194933  ])
5411    , -2806.13    , array([ 0.830198   ,  99.8245    ,  1.33563e-60,  0.0195128  ])
5412    , -2805.58    , array([ 0.830198   ,  99.8245    ,  1.33563e-60,  0.0194933  ])
5413    , -2805.58    , array([ 0.830198   ,  99.8245    ,  1.33563e-60,  0.0194933  ])
5414    , -2805.58    , array([ 0.831029   ,  99.8245    ,  1.33563e-60,  0.0194933  ])
