[000:46:56]	35498.7102323	[     8.560,      3.911,      0.383,      0.022,      0.675,      7.209,      2.472,      1.992]	rmmmm
[000:47:04]	37903.6657165	[    10.306,      2.465,      0.383,      0.012,      1.530,      5.075,      2.472,      1.141]	cm
[000:47:17]	36607.5665777	[    10.306,      2.465,      0.383,      0.007,      1.530,     10.000,      2.472,      1.141]	cm
[000:47:24]	141406.734636	[     0.749,      0.079,      0.822,  3.135e-05,      2.909,      0.638,      0.996,      0.974]	cm
[000:47:34]	141025.678627	[     0.749,      0.079,      0.822,  3.135e-05,      2.909,      0.638,      0.741,      0.974]	cm
[000:48:05]	146399.864152	[     0.749,      0.079,      0.822,  3.135e-05,      2.909,      0.638,      0.843,      4.194]	c
[000:48:12]	53796.3223652	[    10.306,      2.465,      0.822,  3.135e-05,      2.909,      0.638,      2.472,      1.141]	c
[000:48:18]	21329.6779184	[     1.492,      1.652,      0.383,  3.135e-05,      1.530,      5.522,      3.116,      1.141]	c
[000:48:41]	839225.803725	[    43.347,      0.083,      0.227,  1.344e-06,      2.728,  8.546e-08,      0.820,      4.080]	r
[000:51:22]	630965.454064	[     0.009,      0.685,      0.254,  1.903e-08,      0.331,      0.025,      3.848,      3.391]	r
[000:51:34]	37683.6745526	[    10.594,      2.465,      0.383,      0.007,      1.530,     10.000,      1.799,      1.117]	cmm
[000:51:46]	33623.1210762	[     9.446,      2.465,      0.383,      0.007,      1.530,     10.000,      2.899,      1.418]	cmm
[000:55:11]	678911.016029	[     0.006,      0.685,      0.166,  1.903e-08,      0.331,      0.025,      3.848,      3.391]	rm
[000:56:51]	590770.401057	[     0.013,      0.685,      0.290,  1.903e-08,      0.331,      0.025,      3.848,      3.391]	rm
[000:59:25]	623864.017425	[     0.009,      0.685,      0.254,  1.903e-08,      0.331,      0.025,      2.246,      3.391]	rm
[001:02:15]	635811.880626	[     0.009,      0.685,      0.254,  1.903e-08,      0.331,      0.025,      5.000,      3.391]	rm
[001:02:26]	34879.4573928	[     1.492,      0.784,      4.184,  3.135e-05,      2.909,      3.381,      3.116,      4.194]	c
[001:02:34]	33847.0486362	[     6.229,      3.911,      0.383,      0.022,      0.675,      7.209,      0.741,      1.211]	c
[001:02:59]	27348.489794	[     1.492,      0.784,      4.184,      0.022,      0.675,      7.209,      3.019,      4.194]	c
[001:04:08]	565616.134305	[     0.014,      1.442,      0.134,      0.002,      0.462,      0.032,      4.976,      2.181]	r
[001:04:29]	670621.522919	[    16.450,      0.007,      8.437,      0.682,  1.237e-05,  7.947e-06,      0.202,      0.409]	r
[001:04:40]	33464.5981346	[     6.229,      3.911,      0.383,      0.022,      0.675,      7.209,      0.741,      1.554]	cm
[001:04:47]	33928.0109303	[     6.229,      3.911,      0.383,      0.022,      0.675,      7.209,      0.741,      1.105]	cm
[001:04:58]	34937.1456583	[     1.492,      0.520,      4.184,  3.135e-05,      2.909,      3.381,      3.116,      4.194]	cm
[001:05:09]	36050.5844269	[     1.492,      0.963,      4.184,  3.135e-05,      2.909,      3.381,      3.116,      4.194]	cm
