259854  , -79089      , array([ 0.316972   ,  0.157872   ,  3.21875    ,  2.17424e-42,  4.14121e-08])
259855  , -79089      , array([ 0.317289   ,  0.157872   ,  3.21875    ,  2.17424e-42,  4.14121e-08])
259856  , -79089      , array([ 0.316972   ,  0.15803    ,  3.21875    ,  2.17424e-42,  4.14121e-08])
259857  , -79089      , array([ 0.316972   ,  0.157872   ,  3.22197    ,  2.17424e-42,  4.14121e-08])
259858  , -79089      , array([ 0.316972   ,  0.157872   ,  3.21875    ,  2.17642e-42,  4.14121e-08])
259859  , -79089      , array([ 0.316972   ,  0.157872   ,  3.21875    ,  2.17424e-42,  4.14536e-08])
259860  , -79089      , array([ 0.316972   ,  0.157872   ,  3.21875    ,  2.17424e-42,  4.14121e-08])
259861  , -79088.6    , array([ 0.285582   ,  0.116016   ,  3.22004    ,  2.17424e-42,  6.26407e-08])
259862  , -79088.6    , array([ 0.285582   ,  0.116016   ,  3.22004    ,  2.17424e-42,  6.26407e-08])
259863  , -79088.6    , array([ 0.285867   ,  0.116016   ,  3.22004    ,  2.17424e-42,  6.26407e-08])
259864  , -79088.6    , array([ 0.285582   ,  0.116132   ,  3.22004    ,  2.17424e-42,  6.26407e-08])
259865  , -79088.6    , array([ 0.285582   ,  0.116016   ,  3.22327    ,  2.17424e-42,  6.26407e-08])
259866  , -79088.6    , array([ 0.285582   ,  0.116016   ,  3.22004    ,  2.17642e-42,  6.26407e-08])
259867  , -79088.6    , array([ 0.285582   ,  0.116016   ,  3.22004    ,  2.17424e-42,  6.27034e-08])
259868  , -79076.7    , array([ 0.188177   ,  0.0338355  ,  3.22521    ,  2.17424e-42,  3.27924e-07])
259869  , -79076.7    , array([ 0.188177   ,  0.0338355  ,  3.22521    ,  2.17424e-42,  3.27924e-07])
259870  , -79076.7    , array([ 0.188365   ,  0.0338355  ,  3.22521    ,  2.17424e-42,  3.27924e-07])
259871  , -79076.7    , array([ 0.188177   ,  0.0338693  ,  3.22521    ,  2.17424e-42,  3.27924e-07])
259872  , -79076.7    , array([ 0.188177   ,  0.0338355  ,  3.22844    ,  2.17424e-42,  3.27924e-07])
259873  , -79076.7    , array([ 0.188177   ,  0.0338355  ,  3.22521    ,  2.17642e-42,  3.27924e-07])
259874  , -79076.6    , array([ 0.188177   ,  0.0338355  ,  3.22521    ,  2.17424e-42,  3.28252e-07])
259882  , -79076.7    , array([ 0.188177   ,  0.0338354  ,  3.22521    ,  2.17424e-42,  3.27925e-07])
259883  , -79076.7    , array([ 0.188177   ,  0.0338354  ,  3.22521    ,  2.17424e-42,  3.27925e-07])
259884  , -79076.7    , array([ 0.188365   ,  0.0338354  ,  3.22521    ,  2.17424e-42,  3.27925e-07])
259885  , -79076.7    , array([ 0.188177   ,  0.0338693  ,  3.22521    ,  2.17424e-42,  3.27925e-07])
259886  , -79076.7    , array([ 0.188177   ,  0.0338354  ,  3.22844    ,  2.17424e-42,  3.27925e-07])
259887  , -79076.7    , array([ 0.188177   ,  0.0338354  ,  3.22521    ,  2.17642e-42,  3.27925e-07])
259888  , -79076.6    , array([ 0.188177   ,  0.0338354  ,  3.22521    ,  2.17424e-42,  3.28253e-07])
259889  , -79076.7    , array([ 0.188177   ,  0.0338354  ,  3.22521    ,  2.17424e-42,  3.27925e-07])
259890  , -79076.7    , array([ 0.188177   ,  0.0338354  ,  3.22521    ,  2.17424e-42,  3.27925e-07])
259891  , -79076.7    , array([ 0.188365   ,  0.0338354  ,  3.22521    ,  2.17424e-42,  3.27925e-07])
259892  , -79076.7    , array([ 0.188177   ,  0.0338693  ,  3.22521    ,  2.17424e-42,  3.27925e-07])
259893  , -79076.7    , array([ 0.188177   ,  0.0338354  ,  3.22844    ,  2.17424e-42,  3.27925e-07])
259894  , -79076.7    , array([ 0.188177   ,  0.0338354  ,  3.22521    ,  2.17642e-42,  3.27925e-07])
259895  , -79076.6    , array([ 0.188177   ,  0.0338354  ,  3.22521    ,  2.17424e-42,  3.28253e-07])
259896  , -75450.5    , array([ 0.0817034  ,  0.00287793 ,  3.23557    ,  2.17424e-42,  8.98686e-06])
259897  , -75450.5    , array([ 0.0817034  ,  0.00287793 ,  3.23557    ,  2.17424e-42,  8.98686e-06])
259898  , -75450.6    , array([ 0.0817852  ,  0.00287793 ,  3.23557    ,  2.17424e-42,  8.98686e-06])
259899  , -75454      , array([ 0.0817034  ,  0.00288081 ,  3.23557    ,  2.17424e-42,  8.98686e-06])
259900  , -75450.5    , array([ 0.0817034  ,  0.00287793 ,  3.23881    ,  2.17424e-42,  8.98686e-06])
259901  , -75450.5    , array([ 0.0817034  ,  0.00287793 ,  3.23557    ,  2.17642e-42,  8.98686e-06])
259902  , -75447      , array([ 0.0817034  ,  0.00287793 ,  3.23557    ,  2.17424e-42,  8.99585e-06])
259903  , -75449.8    , array([ 0.0817012  ,  0.00287769 ,  3.23557    ,  2.17424e-42,  8.98786e-06])
