303237  , -54610.5    , array([ 0.176269   ,  0.130263   ,  1.71845e-62,  6.50006e-52,  0.12591    ])
303238  , -15028.1    , array([ 0.239922   ,  0.102555   ,  1.71845e-62,  6.50006e-52,  0.0521916  ])
303239  , -15028.1    , array([ 0.239922   ,  0.102555   ,  1.71845e-62,  6.50006e-52,  0.0521916  ])
303240  , -15010.6    , array([ 0.240162   ,  0.102555   ,  1.71845e-62,  6.50006e-52,  0.0521916  ])
303241  , -15021.4    , array([ 0.239922   ,  0.102658   ,  1.71845e-62,  6.50006e-52,  0.0521916  ])
303242  , -15028.1    , array([ 0.239922   ,  0.102555   ,  1.72017e-62,  6.50006e-52,  0.0521916  ])
303243  , -15028.1    , array([ 0.239922   ,  0.102555   ,  1.71845e-62,  6.50657e-52,  0.0521916  ])
303244  , -15050.1    , array([ 0.239922   ,  0.102555   ,  1.71845e-62,  6.50006e-52,  0.0522438  ])
303245  , -5313.13    , array([ 0.413285   ,  0.124852   ,  1.71845e-62,  6.50006e-52,  0.0425216  ])
303246  , -5313.13    , array([ 0.413285   ,  0.124852   ,  1.71845e-62,  6.50006e-52,  0.0425216  ])
303247  , -5305.95    , array([ 0.413698   ,  0.124852   ,  1.71845e-62,  6.50006e-52,  0.0425216  ])
303248  , -5314.73    , array([ 0.413285   ,  0.124977   ,  1.71845e-62,  6.50006e-52,  0.0425216  ])
303249  , -5313.13    , array([ 0.413285   ,  0.124852   ,  1.72017e-62,  6.50006e-52,  0.0425216  ])
303250  , -5313.13    , array([ 0.413285   ,  0.124852   ,  1.71845e-62,  6.50657e-52,  0.0425216  ])
303251  , -5318.06    , array([ 0.413285   ,  0.124852   ,  1.71845e-62,  6.50006e-52,  0.0425641  ])
303252  , -3688.08    , array([ 0.510966   ,  0.119301   ,  1.71845e-62,  6.50006e-52,  0.0361005  ])
303253  , -3688.08    , array([ 0.510966   ,  0.119301   ,  1.71845e-62,  6.50006e-52,  0.0361005  ])
303254  , -3684.16    , array([ 0.511477   ,  0.119301   ,  1.71845e-62,  6.50006e-52,  0.0361005  ])
303255  , -3692.33    , array([ 0.510966   ,  0.119421   ,  1.71845e-62,  6.50006e-52,  0.0361005  ])
303256  , -3688.08    , array([ 0.510966   ,  0.119301   ,  1.72017e-62,  6.50006e-52,  0.0361005  ])
303257  , -3688.08    , array([ 0.510966   ,  0.119301   ,  1.71845e-62,  6.50657e-52,  0.0361005  ])
303258  , -3687.45    , array([ 0.510966   ,  0.119301   ,  1.71845e-62,  6.50006e-52,  0.0361366  ])
303259  , -2869.63    , array([ 0.593266   ,  0.104159   ,  1.71845e-62,  6.50006e-52,  0.0313081  ])
303260  , -2869.63    , array([ 0.593266   ,  0.104159   ,  1.71845e-62,  6.50006e-52,  0.0313081  ])
303261  , -2867.37    , array([ 0.593859   ,  0.104159   ,  1.71845e-62,  6.50006e-52,  0.0313081  ])
303262  , -2874.1     , array([ 0.593266   ,  0.104264   ,  1.71845e-62,  6.50006e-52,  0.0313081  ])
303263  , -2869.63    , array([ 0.593266   ,  0.104159   ,  1.72017e-62,  6.50006e-52,  0.0313081  ])
303264  , -2869.63    , array([ 0.593266   ,  0.104159   ,  1.71845e-62,  6.50657e-52,  0.0313081  ])
303265  , -2867.25    , array([ 0.593266   ,  0.104159   ,  1.71845e-62,  6.50006e-52,  0.0313394  ])
303266  , -2038.69    , array([ 0.732416   ,  0.0811283  ,  1.71845e-62,  6.50006e-52,  0.0262517  ])
303267  , -2038.69    , array([ 0.732416   ,  0.0811283  ,  1.71845e-62,  6.50006e-52,  0.0262517  ])
303268  , -2037.7     , array([ 0.733149   ,  0.0811283  ,  1.71845e-62,  6.50006e-52,  0.0262517  ])
303269  , -2041.34    , array([ 0.732416   ,  0.0812095  ,  1.71845e-62,  6.50006e-52,  0.0262517  ])
303270  , -2038.69    , array([ 0.732416   ,  0.0811283  ,  1.72017e-62,  6.50006e-52,  0.0262517  ])
303271  , -2038.69    , array([ 0.732416   ,  0.0811283  ,  1.71845e-62,  6.50657e-52,  0.0262517  ])
