249955  , -11167      , array([ 0.209989   ,  0.00394146 ,  6.9626e-16 ,  3.68368e-41,  0.00279538 ])
249956  , -11167      , array([ 0.210199   ,  0.00394146 ,  6.9626e-16 ,  3.68368e-41,  0.00279538 ])
249957  , -11141.8    , array([ 0.209989   ,  0.0039454  ,  6.9626e-16 ,  3.68368e-41,  0.00279538 ])
249958  , -11167      , array([ 0.209989   ,  0.00394146 ,  6.96957e-16,  3.68368e-41,  0.00279538 ])
249959  , -11167      , array([ 0.209989   ,  0.00394146 ,  6.9626e-16 ,  3.68737e-41,  0.00279538 ])
249960  , -11191.7    , array([ 0.209989   ,  0.00394146 ,  6.9626e-16 ,  3.68368e-41,  0.00279818 ])
249961  , -11167      , array([ 0.209989   ,  0.00394146 ,  6.9626e-16 ,  3.68368e-41,  0.00279538 ])
249962  , -9418.07    , array([ 0.210078   ,  0.00810298 ,  6.9626e-16 ,  3.68368e-41,  0.00137762 ])
249963  , -9418.07    , array([ 0.210078   ,  0.00810298 ,  6.9626e-16 ,  3.68368e-41,  0.00137762 ])
249964  , -9418.38    , array([ 0.210288   ,  0.00810298 ,  6.9626e-16 ,  3.68368e-41,  0.00137762 ])
249965  , -9436.25    , array([ 0.210078   ,  0.00811109 ,  6.9626e-16 ,  3.68368e-41,  0.00137762 ])
249966  , -9418.07    , array([ 0.210078   ,  0.00810298 ,  6.96957e-16,  3.68368e-41,  0.00137762 ])
249967  , -9418.07    , array([ 0.210078   ,  0.00810298 ,  6.9626e-16 ,  3.68737e-41,  0.00137762 ])
249968  , -9399.55    , array([ 0.210078   ,  0.00810298 ,  6.9626e-16 ,  3.68368e-41,  0.001379   ])
249969  , -1.78382e+06, array([ 0.0011791  ,  3.05628    ,  6.9626e-16 ,  3.68368e-41,  0.517358   ])
249970  , -1.78382e+06, array([ 0.0011791  ,  3.05628    ,  6.9626e-16 ,  3.68368e-41,  0.517358   ])
249971  , -1.78374e+06, array([ 0.00118028 ,  3.05628    ,  6.9626e-16 ,  3.68368e-41,  0.517358   ])
249972  , -1.78384e+06, array([ 0.0011791  ,  3.05933    ,  6.9626e-16 ,  3.68368e-41,  0.517358   ])
249973  , -1.78378e+06, array([ 0.0011791  ,  3.05628    ,  6.96957e-16,  3.68368e-41,  0.517358   ])
249974  , -1.78382e+06, array([ 0.0011791  ,  3.05628    ,  6.9626e-16 ,  3.68737e-41,  0.517358   ])
