Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params( )
our_model	Round_1_Replicate_1	-396.66	801.32	603.81	17781.85	2.4523,0.4163,30.0,0.8103
our_model	Round_1_Replicate_2	-393.47	794.94	597.83	45716.01	3.09,0.1627,3.3475,0.4857
our_model	Round_1_Replicate_3	-396.13	800.26	602.83	46104.3	0.1367,0.1607,0.01,0.3115
our_model	Round_1_Replicate_4	-394.98	797.96	599.86	21445.67	7.0678,0.3472,3.4404,0.8781
our_model	Round_1_Replicate_5	-395.55	799.1	600.71	27838.29	1.8257,0.2675,30.0,0.5721
our_model	Round_1_Replicate_6	-393.35	794.7	597.6	6942.25	28.6585,1.0714,29.7816,3.4102
our_model	Round_1_Replicate_7	-396.31	800.62	603.17	5838.83	30.0,1.2683,12.2124,3.0013
our_model	Round_1_Replicate_8	-394.83	797.66	599.58	29039.18	1.9965,0.2565,8.8436,0.5859
our_model	Round_1_Replicate_9	-397.07	802.14	604.57	4108.91	30.0,1.8006,16.9724,4.0183
our_model	Round_1_Replicate_10	-398.64	805.28	607.46	18626.58	30.0,0.3965,2.02,0.8688
our_model	Round_2_Replicate_1	-393.58	795.16	598.05	22679.95	4.9002,0.3278,8.5383,0.9327
our_model	Round_2_Replicate_2	-396.83	801.66	604.13	6032.81	7.2621,1.2267,30.0,2.3739
our_model	Round_2_Replicate_3	-394.57	797.14	598.99	6847.2	10.1026,1.0885,25.0764,2.6178
our_model	Round_2_Replicate_4	-393.71	795.42	597.73	13385.86	7.8667,0.5567,14.2507,1.5512
our_model	Round_2_Replicate_5	-399.92	807.84	609.78	2189.67	30.0,3.3693,30.0,6.4198
our_model	Round_2_Replicate_6	-397.06	802.12	604.55	2855.02	22.2814,2.5914,30.0,5.3269
our_model	Round_2_Replicate_7	-394.24	796.48	599.3	4128.69	29.039,1.7989,29.9989,4.7307
our_model	Round_2_Replicate_8	-394.3	796.6	599.41	4017.08	30.0,1.8487,30.0,4.8344
our_model	Round_2_Replicate_9	-395.19	798.38	600.4	6974.1	8.1198,1.0665,24.9376,2.3617
our_model	Round_2_Replicate_10	-393.32	794.64	597.56	12927.51	9.3781,0.5754,26.5606,1.7508
our_model	Round_3_Replicate_1	-395.17	798.34	600.28	40956.85	1.3076,0.1817,29.9659,0.3995
our_model	Round_3_Replicate_2	-394.63	797.26	600.87	66805.5	0.6848,0.1107,0.5302,0.2468
our_model	Round_3_Replicate_3	-398.66	805.32	607.48	9047.35	30.0,0.8164,5.7169,1.802
