43183   , -3450.11    , array([ 1.65092    ,  0.0102482  ,  9.91715    ,  1.18702e-07,  0.00282597 ])
43184   , -3375.35    , array([ 0.650918   ,  0.0102482  ,  9.91715    ,  1.18702e-07,  0.00282597 ])
43185   , -3323.06    , array([ 0.41485    ,  0.0102482  ,  9.91715    ,  1.18702e-07,  0.00282597 ])
43186   , -3274.72    , array([ 0.268952   ,  0.0102482  ,  9.91715    ,  1.18702e-07,  0.00282597 ])
43187   , -3261.79    , array([ 0.178782   ,  0.0102482  ,  9.91715    ,  1.18702e-07,  0.00282597 ])
43188   , -3307.95    , array([ 0.133838   ,  0.0102482  ,  9.91715    ,  1.18702e-07,  0.00282597 ])
43189   , -3260.51    , array([ 0.215591   ,  0.0102482  ,  9.91715    ,  1.18702e-07,  0.00282597 ])
43190   , -3259.2     , array([ 0.202381   ,  0.0102482  ,  9.91715    ,  1.18702e-07,  0.00282597 ])
43191   , -3259.14    , array([ 0.200242   ,  0.0102482  ,  9.91715    ,  1.18702e-07,  0.00282597 ])
43192   , -3259.12    , array([ 0.198057   ,  0.0102482  ,  9.91715    ,  1.18702e-07,  0.00282597 ])
43193   , -3259.15    , array([ 0.196405   ,  0.0102482  ,  9.91715    ,  1.18702e-07,  0.00282597 ])
43194   , -3259.12    , array([ 0.198057   ,  0.0102482  ,  9.91715    ,  1.18702e-07,  0.00282597 ])
43195   , -67183.5    , array([ 0.198057   ,  1.01025    ,  9.91715    ,  1.18702e-07,  0.00282597 ])
43197   , -3259.12    , array([ 0.198057   ,  0.0102482  ,  9.91715    ,  1.18702e-07,  0.00282597 ])
43199   , -63339.3    , array([ 0.198057   ,  0.392214   ,  9.91715    ,  1.18702e-07,  0.00282597 ])
43200   , -57882.9    , array([ 0.198057   ,  0.200746   ,  9.91715    ,  1.18702e-07,  0.00282597 ])
43203   , -44996.4    , array([ 0.198057   ,  0.0830117  ,  9.91715    ,  1.18702e-07,  0.00282597 ])
43205   , -27876.6    , array([ 0.198057   ,  0.0380414  ,  9.91715    ,  1.18702e-07,  0.00282597 ])
43207   , -13912.6    , array([ 0.198057   ,  0.0208643  ,  9.91715    ,  1.18702e-07,  0.00282597 ])
43209   , -6977.47    , array([ 0.198057   ,  0.0143032  ,  9.91715    ,  1.18702e-07,  0.00282597 ])
43211   , -4497.51    , array([ 0.198057   ,  0.0117971  ,  9.91715    ,  1.18702e-07,  0.00282597 ])
43213   , -3690.54    , array([ 0.198057   ,  0.0108398  ,  9.91715    ,  1.18702e-07,  0.00282597 ])
43215   , -3416.67    , array([ 0.198057   ,  0.0104742  ,  9.91715    ,  1.18702e-07,  0.00282597 ])
43216   , -3187.98    , array([ 0.198057   ,  0.0101412  ,  9.91715    ,  1.18702e-07,  0.00282597 ])
43217   , -3145.17    , array([ 0.198057   ,  0.0100751  ,  9.91715    ,  1.18702e-07,  0.00282597 ])
43218   , -3119.17    , array([ 0.198057   ,  0.0100343  ,  9.91715    ,  1.18702e-07,  0.00282597 ])
43219   , -3103.28    , array([ 0.198057   ,  0.010009   ,  9.91715    ,  1.18702e-07,  0.00282597 ])
43221   , -3109.33    , array([ 0.198057   ,  0.0100187  ,  9.91715    ,  1.18702e-07,  0.00282597 ])
43222   , -3099.55    , array([ 0.198057   ,  0.0100031  ,  9.91715    ,  1.18702e-07,  0.00282597 ])
43224   , -3101.08    , array([ 0.198057   ,  0.0100055  ,  9.91715    ,  1.18702e-07,  0.00282597 ])
43225   , -3099.55    , array([ 0.198057   ,  0.0100031  ,  9.91715    ,  1.18702e-07,  0.00282597 ])
43227   , -3074.07    , array([ 0.198057   ,  0.0100031  ,  8.29911    ,  1.18702e-07,  0.00282597 ])
43228   , -3086.72    , array([ 0.198057   ,  0.0100031  ,  9.10813    ,  1.18702e-07,  0.00282597 ])
43229   , -3034.42    , array([ 0.198057   ,  0.0100031  ,  5.68108    ,  1.18702e-07,  0.00282597 ])
43231   , -3034.42    , array([ 0.198057   ,  0.0100031  ,  5.68108    ,  1.18702e-07,  0.00282597 ])
43234   , -2992.82    , array([ 0.198057   ,  0.0100031  ,  2.77909    ,  1.18702e-07,  0.00282597 ])
43235   , -3013.3     , array([ 0.198057   ,  0.0100031  ,  4.23008    ,  1.18702e-07,  0.00282597 ])
43236   , -2968.38    , array([ 0.198057   ,  0.0100031  ,  0.985559   ,  1.18702e-07,  0.00282597 ])
43238   , -2977.6     , array([ 0.198057   ,  0.0100031  ,  1.67063    ,  1.18702e-07,  0.00282597 ])
43239   , -2962.76    , array([ 0.198057   ,  0.0100031  ,  0.562165   ,  1.18702e-07,  0.00282597 ])
43240   , -2959.32    , array([ 0.198057   ,  0.0100031  ,  0.300493   ,  1.18702e-07,  0.00282597 ])
43241   , -2957.2     , array([ 0.198057   ,  0.0100031  ,  0.13877    ,  1.18702e-07,  0.00282597 ])
43242   , -2955.89    , array([ 0.198057   ,  0.0100031  ,  0.0388204  ,  1.18702e-07,  0.00282597 ])
43243   , -2955.89    , array([ 0.198057   ,  0.0100031  ,  0.0388204  ,  1.18702e-07,  0.00282597 ])
43244   , -2975.86    , array([ 0.198057   ,  0.0100031  ,  0.0388204  ,  1          ,  0.00282597 ])
43246   , -2955.89    , array([ 0.198057   ,  0.0100031  ,  0.0388204  ,  1.18702e-07,  0.00282597 ])
43248   , -2963.45    , array([ 0.198057   ,  0.0100031  ,  0.0388204  ,  0.381966   ,  0.00282597 ])
43249   , -2959.66    , array([ 0.198057   ,  0.0100031  ,  0.0388204  ,  0.190983   ,  0.00282597 ])
43252   , -2957.33    , array([ 0.198057   ,  0.0100031  ,  0.0388204  ,  0.0729491  ,  0.00282597 ])
43254   , -2956.44    , array([ 0.198057   ,  0.0100031  ,  0.0388204  ,  0.0278642  ,  0.00282597 ])
43256   , -2956.1     , array([ 0.198057   ,  0.0100031  ,  0.0388204  ,  0.0106432  ,  0.00282597 ])
43258   , -2955.97    , array([ 0.198057   ,  0.0100031  ,  0.0388204  ,  0.00406543 ,  0.00282597 ])
43260   , -2955.92    , array([ 0.198057   ,  0.0100031  ,  0.0388204  ,  0.00155293 ,  0.00282597 ])
43262   , -2955.9     , array([ 0.198057   ,  0.0100031  ,  0.0388204  ,  0.000593239,  0.00282597 ])
43264   , -2955.9     , array([ 0.198057   ,  0.0100031  ,  0.0388204  ,  0.000226671,  0.00282597 ])
43266   , -2955.89    , array([ 0.198057   ,  0.0100031  ,  0.0388204  ,  8.66538e-05,  0.00282597 ])
43268   , -2955.89    , array([ 0.198057   ,  0.0100031  ,  0.0388204  ,  3.31722e-05,  0.00282597 ])
