13639   , -4553.31    , array([ 0.970076   ,  18.949     ,  4.32447    ,  0.0726568  ])
13640   , -4550.61    , array([ 0.971047   ,  18.949     ,  4.32447    ,  0.0726568  ])
13641   , -4553.52    , array([ 0.970076   ,  18.968     ,  4.32447    ,  0.0726568  ])
13642   , -4553.33    , array([ 0.970076   ,  18.949     ,  4.3288     ,  0.0726568  ])
13643   , -4555.94    , array([ 0.970076   ,  18.949     ,  4.32447    ,  0.0727295  ])
13644   , -3884.81    , array([ 1.1122     ,  49.5727    ,  4.87119    ,  0.0587054  ])
13645   , -3884.81    , array([ 1.1122     ,  49.5727    ,  4.87119    ,  0.0587054  ])
13646   , -3883.1     , array([ 1.11332    ,  49.5727    ,  4.87119    ,  0.0587054  ])
13647   , -3884.87    , array([ 1.1122     ,  49.6223    ,  4.87119    ,  0.0587054  ])
13648   , -3884.74    , array([ 1.1122     ,  49.5727    ,  4.87607    ,  0.0587054  ])
13649   , -3886.68    , array([ 1.1122     ,  49.5727    ,  4.87119    ,  0.0587641  ])
13656   , -3884.81    , array([ 1.11219    ,  49.573     ,  4.87108    ,  0.0587047  ])
13657   , -3884.81    , array([ 1.11219    ,  49.573     ,  4.87108    ,  0.0587047  ])
13658   , -3883.09    , array([ 1.11331    ,  49.573     ,  4.87108    ,  0.0587047  ])
13659   , -3884.86    , array([ 1.11219    ,  49.6226    ,  4.87108    ,  0.0587047  ])
13660   , -3884.74    , array([ 1.11219    ,  49.573     ,  4.87596    ,  0.0587047  ])
13661   , -3886.68    , array([ 1.11219    ,  49.573     ,  4.87108    ,  0.0587634  ])
13662   , -3884.8     , array([ 1.11218    ,  49.5734    ,  4.87097    ,  0.058704   ])
13663   , -3884.8     , array([ 1.11218    ,  49.5734    ,  4.87097    ,  0.058704   ])
13664   , -3883.09    , array([ 1.11329    ,  49.5734    ,  4.87097    ,  0.058704   ])
13665   , -3884.86    , array([ 1.11218    ,  49.623     ,  4.87097    ,  0.058704   ])
13666   , -3884.73    , array([ 1.11218    ,  49.5734    ,  4.87585    ,  0.058704   ])
13667   , -3886.68    , array([ 1.11218    ,  49.5734    ,  4.87097    ,  0.0587628  ])
13674   , -3884.8     , array([ 1.11218    ,  49.5735    ,  4.87094    ,  0.0587039  ])
13675   , -3884.8     , array([ 1.11218    ,  49.5735    ,  4.87094    ,  0.0587039  ])
13676   , -3883.09    , array([ 1.11329    ,  49.5735    ,  4.87094    ,  0.0587039  ])
13677   , -3884.86    , array([ 1.11218    ,  49.6231    ,  4.87094    ,  0.0587039  ])
13678   , -3884.73    , array([ 1.11218    ,  49.5735    ,  4.87582    ,  0.0587039  ])
13679   , -3886.68    , array([ 1.11218    ,  49.5735    ,  4.87094    ,  0.0587626  ])
13680   , -3884.8     , array([ 1.11218    ,  49.5736    ,  4.87092    ,  0.0587037  ])
13681   , -3884.8     , array([ 1.11218    ,  49.5736    ,  4.87092    ,  0.0587037  ])
13682   , -3883.09    , array([ 1.11329    ,  49.5736    ,  4.87092    ,  0.0587037  ])
13683   , -3884.86    , array([ 1.11218    ,  49.6232    ,  4.87092    ,  0.0587037  ])
13684   , -3884.73    , array([ 1.11218    ,  49.5736    ,  4.87579    ,  0.0587037  ])
13685   , -3886.68    , array([ 1.11218    ,  49.5736    ,  4.87092    ,  0.0587625  ])
13692   , -3884.8     , array([ 1.11218    ,  49.5736    ,  4.87091    ,  0.0587037  ])
13693   , -3884.8     , array([ 1.11218    ,  49.5736    ,  4.87091    ,  0.0587037  ])
13694   , -3883.09    , array([ 1.11329    ,  49.5736    ,  4.87091    ,  0.0587037  ])
13695   , -3884.86    , array([ 1.11218    ,  49.6232    ,  4.87091    ,  0.0587037  ])
13696   , -3884.73    , array([ 1.11218    ,  49.5736    ,  4.87578    ,  0.0587037  ])
13697   , -3886.68    , array([ 1.11218    ,  49.5736    ,  4.87091    ,  0.0587624  ])
13698   , -3884.8     , array([ 1.11218    ,  49.5736    ,  4.8709     ,  0.0587036  ])
13699   , -3884.8     , array([ 1.11218    ,  49.5736    ,  4.8709     ,  0.0587036  ])
13700   , -3883.09    , array([ 1.11329    ,  49.5736    ,  4.8709     ,  0.0587036  ])
13701   , -3884.86    , array([ 1.11218    ,  49.6232    ,  4.8709     ,  0.0587036  ])
13702   , -3884.73    , array([ 1.11218    ,  49.5736    ,  4.87578    ,  0.0587036  ])
13703   , -3886.68    , array([ 1.11218    ,  49.5736    ,  4.8709     ,  0.0587624  ])
13704   , -3017.41    , array([ 0.663755   ,  73.5816    ,  1.38429    ,  0.0315379  ])
13705   , -3017.41    , array([ 0.663755   ,  73.5816    ,  1.38429    ,  0.0315379  ])
13706   , -3016.46    , array([ 0.664419   ,  73.5816    ,  1.38429    ,  0.0315379  ])
13707   , -3017.43    , array([ 0.663755   ,  73.6552    ,  1.38429    ,  0.0315379  ])
13708   , -3018.67    , array([ 0.663755   ,  73.5816    ,  1.38567    ,  0.0315379  ])
13709   , -3018.93    , array([ 0.663755   ,  73.5816    ,  1.38429    ,  0.0315695  ])
13710   , -3017.4     , array([ 0.663754   ,  73.5817    ,  1.38428    ,  0.0315379  ])
13711   , -3017.4     , array([ 0.663754   ,  73.5817    ,  1.38428    ,  0.0315379  ])
13712   , -3016.45    , array([ 0.664418   ,  73.5817    ,  1.38428    ,  0.0315379  ])
13713   , -3017.42    , array([ 0.663754   ,  73.6553    ,  1.38428    ,  0.0315379  ])
13714   , -3018.67    , array([ 0.663754   ,  73.5817    ,  1.38567    ,  0.0315379  ])
13715   , -3018.92    , array([ 0.663754   ,  73.5817    ,  1.38428    ,  0.0315694  ])
13716   , -3017.4     , array([ 0.663753   ,  73.5818    ,  1.38428    ,  0.0315378  ])
13717   , -3017.4     , array([ 0.663753   ,  73.5818    ,  1.38428    ,  0.0315378  ])
13718   , -3016.45    , array([ 0.664417   ,  73.5818    ,  1.38428    ,  0.0315378  ])
13719   , -3017.41    , array([ 0.663753   ,  73.6554    ,  1.38428    ,  0.0315378  ])
13720   , -3018.66    , array([ 0.663753   ,  73.5818    ,  1.38566    ,  0.0315378  ])
13721   , -3018.91    , array([ 0.663753   ,  73.5818    ,  1.38428    ,  0.0315693  ])
13722   , -1774.46    , array([ 0.512772   ,  89.6456    ,  0.737962   ,  0.0231162  ])
13723   , -1774.46    , array([ 0.512772   ,  89.6456    ,  0.737962   ,  0.0231162  ])
13724   , -1774.33    , array([ 0.513285   ,  89.6456    ,  0.737962   ,  0.0231162  ])
13725   , -1774.47    , array([ 0.512772   ,  89.7353    ,  0.737962   ,  0.0231162  ])
13726   , -1776.11    , array([ 0.512772   ,  89.6456    ,  0.7387     ,  0.0231162  ])
