285209  , -39778.7    , array([ 0.0919549  ,  0.321688   ,  7.96629e-32,  1.17579e-56,  0.00897034 ])
285210  , -39769.4    , array([ 0.0919549  ,  0.321688   ,  7.96629e-32,  1.17461e-56,  0.00897931 ])
285211  , -186530     , array([ 1.27287    ,  0.0253935  ,  7.96629e-32,  1.17461e-56,  0.144512   ])
285212  , -186530     , array([ 1.27287    ,  0.0253935  ,  7.96629e-32,  1.17461e-56,  0.144512   ])
285213  , -186529     , array([ 1.27414    ,  0.0253935  ,  7.96629e-32,  1.17461e-56,  0.144512   ])
285214  , -186328     , array([ 1.27287    ,  0.0254189  ,  7.96629e-32,  1.17461e-56,  0.144512   ])
285215  , -186530     , array([ 1.27287    ,  0.0253935  ,  7.97426e-32,  1.17461e-56,  0.144512   ])
285216  , -186530     , array([ 1.27287    ,  0.0253935  ,  7.96629e-32,  1.17579e-56,  0.144512   ])
285217  , -186734     , array([ 1.27287    ,  0.0253935  ,  7.96629e-32,  1.17461e-56,  0.144657   ])
285218  , -12011.1    , array([ 0.223054   ,  0.136641   ,  7.96629e-32,  1.17461e-56,  0.0229014  ])
285219  , -12011.1    , array([ 0.223054   ,  0.136641   ,  7.96629e-32,  1.17461e-56,  0.0229014  ])
285220  , -12003      , array([ 0.223277   ,  0.136641   ,  7.96629e-32,  1.17461e-56,  0.0229014  ])
285221  , -12025      , array([ 0.223054   ,  0.136778   ,  7.96629e-32,  1.17461e-56,  0.0229014  ])
285222  , -12011.1    , array([ 0.223054   ,  0.136641   ,  7.97426e-32,  1.17461e-56,  0.0229014  ])
285223  , -12011.1    , array([ 0.223054   ,  0.136641   ,  7.96629e-32,  1.17579e-56,  0.0229014  ])
285224  , -12003.9    , array([ 0.223054   ,  0.136641   ,  7.96629e-32,  1.17461e-56,  0.0229243  ])
285225  , -8149.79    , array([ 0.406272   ,  0.0765523  ,  7.96629e-32,  1.17461e-56,  0.0431821  ])
285226  , -8149.79    , array([ 0.406272   ,  0.0765523  ,  7.96629e-32,  1.17461e-56,  0.0431821  ])
285227  , -8143.19    , array([ 0.406679   ,  0.0765523  ,  7.96629e-32,  1.17461e-56,  0.0431821  ])
285228  , -8137.15    , array([ 0.406272   ,  0.0766289  ,  7.96629e-32,  1.17461e-56,  0.0431821  ])
285229  , -8149.79    , array([ 0.406272   ,  0.0765523  ,  7.97426e-32,  1.17461e-56,  0.0431821  ])
285230  , -8149.79    , array([ 0.406272   ,  0.0765523  ,  7.96629e-32,  1.17579e-56,  0.0431821  ])
285231  , -8168.06    , array([ 0.406272   ,  0.0765523  ,  7.96629e-32,  1.17461e-56,  0.0432253  ])
285232  , -5816.78    , array([ 0.308005   ,  0.100037   ,  7.96629e-32,  1.17461e-56,  0.0322182  ])
285233  , -5816.78    , array([ 0.308005   ,  0.100037   ,  7.96629e-32,  1.17461e-56,  0.0322182  ])
285234  , -5808.87    , array([ 0.308313   ,  0.100037   ,  7.96629e-32,  1.17461e-56,  0.0322182  ])
285235  , -5819.65    , array([ 0.308005   ,  0.100137   ,  7.96629e-32,  1.17461e-56,  0.0322182  ])
285236  , -5816.78    , array([ 0.308005   ,  0.100037   ,  7.97426e-32,  1.17461e-56,  0.0322182  ])
285237  , -5816.78    , array([ 0.308005   ,  0.100037   ,  7.96629e-32,  1.17579e-56,  0.0322182  ])
285238  , -5820.76    , array([ 0.308005   ,  0.100037   ,  7.96629e-32,  1.17461e-56,  0.0322504  ])
285239  , -5602.81    , array([ 0.328599   ,  0.0939724  ,  7.96629e-32,  1.17461e-56,  0.0345011  ])
