39383   , -9675.51    , array([ 4.3552     ,  0.552578   ,  2.95303    ,  1.45946e-23])
39384   , -1223.71    , array([ 0.432644   ,  0.552578   ,  0.0886726  ,  1.458e-23  ])
39385   , -1223.71    , array([ 0.432644   ,  0.552578   ,  0.0886726  ,  1.458e-23  ])
39386   , -1224.62    , array([ 0.433077   ,  0.552578   ,  0.0886726  ,  1.458e-23  ])
39387   , -1223.71    , array([ 0.432644   ,  0.553131   ,  0.0886726  ,  1.458e-23  ])
39388   , -1223.06    , array([ 0.432644   ,  0.552578   ,  0.0887613  ,  1.458e-23  ])
39389   , -1223.71    , array([ 0.432644   ,  0.552578   ,  0.0886726  ,  1.45946e-23])
39390   , -1220.88    , array([ 0.433124   ,  0.552578   ,  0.0891955  ,  1.458e-23  ])
39391   , -1220.88    , array([ 0.433124   ,  0.552578   ,  0.0891955  ,  1.458e-23  ])
39392   , -1221.79    , array([ 0.433557   ,  0.552578   ,  0.0891955  ,  1.458e-23  ])
39393   , -1220.88    , array([ 0.433124   ,  0.553131   ,  0.0891955  ,  1.458e-23  ])
39394   , -1220.23    , array([ 0.433124   ,  0.552578   ,  0.0892847  ,  1.458e-23  ])
39395   , -1220.88    , array([ 0.433124   ,  0.552578   ,  0.0891955  ,  1.45946e-23])
39396   , -1209.56    , array([ 0.435046   ,  0.552578   ,  0.091318   ,  1.458e-23  ])
39397   , -1209.56    , array([ 0.435046   ,  0.552578   ,  0.091318   ,  1.458e-23  ])
39398   , -1210.48    , array([ 0.435481   ,  0.552578   ,  0.091318   ,  1.458e-23  ])
39399   , -1209.56    , array([ 0.435046   ,  0.553131   ,  0.091318   ,  1.458e-23  ])
39400   , -1208.9     , array([ 0.435046   ,  0.552578   ,  0.0914093  ,  1.458e-23  ])
39401   , -1209.56    , array([ 0.435046   ,  0.552578   ,  0.091318   ,  1.45946e-23])
39402   , -1164.41    , array([ 0.442821   ,  0.552578   ,  0.100325   ,  1.458e-23  ])
39403   , -1164.41    , array([ 0.442821   ,  0.552578   ,  0.100325   ,  1.458e-23  ])
39404   , -1165.37    , array([ 0.443265   ,  0.552578   ,  0.100325   ,  1.458e-23  ])
39405   , -1164.41    , array([ 0.442821   ,  0.553131   ,  0.100325   ,  1.458e-23  ])
39406   , -1163.75    , array([ 0.442821   ,  0.552578   ,  0.100425   ,  1.458e-23  ])
39407   , -1164.41    , array([ 0.442821   ,  0.552578   ,  0.100325   ,  1.45946e-23])
39408   , -994.831    , array([ 0.475338   ,  0.552578   ,  0.146158   ,  1.458e-23  ])
39409   , -994.831    , array([ 0.475338   ,  0.552578   ,  0.146158   ,  1.458e-23  ])
39410   , -995.978    , array([ 0.475814   ,  0.552578   ,  0.146158   ,  1.458e-23  ])
39411   , -994.831    , array([ 0.475338   ,  0.553131   ,  0.146158   ,  1.458e-23  ])
39412   , -994.208    , array([ 0.475338   ,  0.552578   ,  0.146304   ,  1.458e-23  ])
39413   , -994.831    , array([ 0.475338   ,  0.552578   ,  0.146158   ,  1.45946e-23])
39414   , -687.025    , array([ 0.491602   ,  0.552578   ,  0.326639   ,  1.458e-23  ])
39415   , -687.025    , array([ 0.491602   ,  0.552578   ,  0.326639   ,  1.458e-23  ])
39416   , -688.177    , array([ 0.492094   ,  0.552578   ,  0.326639   ,  1.458e-23  ])
39417   , -687.025    , array([ 0.491602   ,  0.553131   ,  0.326639   ,  1.458e-23  ])
39418   , -686.897    , array([ 0.491602   ,  0.552578   ,  0.326965   ,  1.458e-23  ])
39419   , -687.025    , array([ 0.491602   ,  0.552578   ,  0.326639   ,  1.45946e-23])
39420   , -486.53     , array([ 0.379661   ,  0.552578   ,  0.37316    ,  1.458e-23  ])
39421   , -486.53     , array([ 0.379661   ,  0.552578   ,  0.37316    ,  1.458e-23  ])
39422   , -486.976    , array([ 0.380041   ,  0.552578   ,  0.37316    ,  1.458e-23  ])
39423   , -486.53     , array([ 0.379661   ,  0.553131   ,  0.37316    ,  1.458e-23  ])
39424   , -486.62     , array([ 0.379661   ,  0.552578   ,  0.373533   ,  1.458e-23  ])
39425   , -486.53     , array([ 0.379661   ,  0.552578   ,  0.37316    ,  1.45946e-23])
39426   , -446.81     , array([ 0.305417   ,  0.552578   ,  0.296034   ,  1.458e-23  ])
39427   , -446.81     , array([ 0.305417   ,  0.552578   ,  0.296034   ,  1.458e-23  ])
39428   , -446.884    , array([ 0.305723   ,  0.552578   ,  0.296034   ,  1.458e-23  ])
39429   , -446.81     , array([ 0.305417   ,  0.553131   ,  0.296034   ,  1.458e-23  ])
39430   , -446.581    , array([ 0.305417   ,  0.552578   ,  0.29633    ,  1.458e-23  ])
39431   , -446.81     , array([ 0.305417   ,  0.552578   ,  0.296034   ,  1.45946e-23])
39432   , -418.815    , array([ 0.292837   ,  0.552578   ,  0.349296   ,  1.458e-23  ])
39433   , -418.815    , array([ 0.292837   ,  0.552578   ,  0.349296   ,  1.458e-23  ])
39434   , -418.925    , array([ 0.29313    ,  0.552578   ,  0.349296   ,  1.458e-23  ])
39435   , -418.815    , array([ 0.292837   ,  0.553131   ,  0.349296   ,  1.458e-23  ])
39436   , -418.776    , array([ 0.292837   ,  0.552578   ,  0.349646   ,  1.458e-23  ])
39437   , -418.815    , array([ 0.292837   ,  0.552578   ,  0.349296   ,  1.45946e-23])
39438   , -412.227    , array([ 0.265653   ,  0.552578   ,  0.37739    ,  1.458e-23  ])
39439   , -412.227    , array([ 0.265653   ,  0.552578   ,  0.37739    ,  1.458e-23  ])
39440   , -412.292    , array([ 0.265919   ,  0.552578   ,  0.37739    ,  1.458e-23  ])
39441   , -412.227    , array([ 0.265653   ,  0.553131   ,  0.37739    ,  1.458e-23  ])
39442   , -412.341    , array([ 0.265653   ,  0.552578   ,  0.377768   ,  1.458e-23  ])
39443   , -412.227    , array([ 0.265653   ,  0.552578   ,  0.37739    ,  1.45946e-23])
39444   , -406.654    , array([ 0.251461   ,  0.552578   ,  0.365437   ,  1.458e-23  ])
39445   , -406.654    , array([ 0.251461   ,  0.552578   ,  0.365437   ,  1.458e-23  ])
