6096    , -1766.92    , array([ 0.0310758  ,  0.498829   ,  0.00272624 ,  5.63272e-12])
6097    , -1766.94    , array([ 0.0310758  ,  0.498829   ,  0.00272352 ,  5.63835e-12])
6104    , -1766.94    , array([ 0.0310757  ,  0.498829   ,  0.00272353 ,  5.63272e-12])
6105    , -1766.94    , array([ 0.0310757  ,  0.498829   ,  0.00272353 ,  5.63272e-12])
6106    , -1766.92    , array([ 0.0311068  ,  0.498829   ,  0.00272353 ,  5.63272e-12])
6107    , -1766.94    , array([ 0.0310757  ,  0.499328   ,  0.00272353 ,  5.63272e-12])
6108    , -1766.92    , array([ 0.0310757  ,  0.498829   ,  0.00272626 ,  5.63272e-12])
6109    , -1766.94    , array([ 0.0310757  ,  0.498829   ,  0.00272353 ,  5.63835e-12])
6110    , -1766.94    , array([ 0.0310756  ,  0.498829   ,  0.0027236  ,  5.63272e-12])
6111    , -1766.94    , array([ 0.0310756  ,  0.498829   ,  0.0027236  ,  5.63272e-12])
6112    , -1766.92    , array([ 0.0311067  ,  0.498829   ,  0.0027236  ,  5.63272e-12])
6113    , -1766.94    , array([ 0.0310756  ,  0.499328   ,  0.0027236  ,  5.63272e-12])
6114    , -1766.91    , array([ 0.0310756  ,  0.498829   ,  0.00272632 ,  5.63272e-12])
6115    , -1766.94    , array([ 0.0310756  ,  0.498829   ,  0.0027236  ,  5.63835e-12])
6116    , -2336.8     , array([ 0.00797218 ,  0.498829   ,  4.58576    ,  5.63272e-12])
6117    , -2336.8     , array([ 0.00797218 ,  0.498829   ,  4.58576    ,  5.63272e-12])
6118    , -2336.8     , array([ 0.00798016 ,  0.498829   ,  4.58576    ,  5.63272e-12])
6119    , -2336.8     , array([ 0.00797218 ,  0.499328   ,  4.58576    ,  5.63272e-12])
6120    , -2336.8     , array([ 0.00797218 ,  0.498829   ,  4.59035    ,  5.63272e-12])
6121    , -2336.8     , array([ 0.00797218 ,  0.498829   ,  4.58576    ,  5.63835e-12])
6122    , -1797.04    , array([ 0.0295903  ,  0.498829   ,  0.00355865 ,  5.63272e-12])
6123    , -1797.04    , array([ 0.0295903  ,  0.498829   ,  0.00355865 ,  5.63272e-12])
6124    , -1796.76    , array([ 0.0296199  ,  0.498829   ,  0.00355865 ,  5.63272e-12])
6125    , -1797.04    , array([ 0.0295903  ,  0.499328   ,  0.00355865 ,  5.63272e-12])
6126    , -1797.26    , array([ 0.0295903  ,  0.498829   ,  0.00356221 ,  5.63272e-12])
6127    , -1797.04    , array([ 0.0295903  ,  0.498829   ,  0.00355865 ,  5.63835e-12])
6128    , -1766.73    , array([ 0.0309584  ,  0.498829   ,  0.00278035 ,  5.63272e-12])
6129    , -1766.73    , array([ 0.0309584  ,  0.498829   ,  0.00278035 ,  5.63272e-12])
6130    , -1766.7     , array([ 0.0309894  ,  0.498829   ,  0.00278035 ,  5.63272e-12])
6131    , -1766.73    , array([ 0.0309584  ,  0.499328   ,  0.00278035 ,  5.63272e-12])
6132    , -1766.72    , array([ 0.0309584  ,  0.498829   ,  0.00278313 ,  5.63272e-12])
6133    , -1766.73    , array([ 0.0309584  ,  0.498829   ,  0.00278035 ,  5.63835e-12])
6134    , -1766.29    , array([ 0.0313387  ,  0.498829   ,  0.00281947 ,  5.63272e-12])
6135    , -1766.29    , array([ 0.0313387  ,  0.498829   ,  0.00281947 ,  5.63272e-12])
6136    , -1766.26    , array([ 0.0313701  ,  0.498829   ,  0.00281947 ,  5.63272e-12])
6137    , -1766.29    , array([ 0.0313387  ,  0.499328   ,  0.00281947 ,  5.63272e-12])
6138    , -1766.28    , array([ 0.0313387  ,  0.498829   ,  0.0028223  ,  5.63272e-12])
6139    , -1766.29    , array([ 0.0313387  ,  0.498829   ,  0.00281947 ,  5.63835e-12])
6140    , -1764.46    , array([ 0.0329073  ,  0.498829   ,  0.00298156 ,  5.63272e-12])
6141    , -1764.46    , array([ 0.0329073  ,  0.498829   ,  0.00298156 ,  5.63272e-12])
6142    , -1764.43    , array([ 0.0329402  ,  0.498829   ,  0.00298156 ,  5.63272e-12])
6143    , -1764.46    , array([ 0.0329073  ,  0.499328   ,  0.00298156 ,  5.63272e-12])
