119740  , -78512.5    , array([ 0.00545212 ,  0.66045    ,  2.0122e-25 ,  0.291816   ,  3.93377e-06])
119741  , -78512.5    , array([ 0.00545212 ,  0.66045    ,  2.01019e-25,  0.292108   ,  3.93377e-06])
119742  , -78511.9    , array([ 0.00545212 ,  0.66045    ,  2.01019e-25,  0.291816   ,  3.93771e-06])
119743  , -78512.5    , array([ 0.00545204 ,  0.66045    ,  2.01019e-25,  0.291816   ,  3.93383e-06])
119744  , -78512.5    , array([ 0.00545204 ,  0.66045    ,  2.01019e-25,  0.291816   ,  3.93383e-06])
119745  , -78513      , array([ 0.00545749 ,  0.66045    ,  2.01019e-25,  0.291816   ,  3.93383e-06])
119746  , -78512.5    , array([ 0.00545204 ,  0.661111   ,  2.01019e-25,  0.291816   ,  3.93383e-06])
119747  , -78512.5    , array([ 0.00545204 ,  0.66045    ,  2.0122e-25 ,  0.291816   ,  3.93383e-06])
119748  , -78512.5    , array([ 0.00545204 ,  0.66045    ,  2.01019e-25,  0.292108   ,  3.93383e-06])
119749  , -78511.9    , array([ 0.00545204 ,  0.66045    ,  2.01019e-25,  0.291816   ,  3.93777e-06])
119750  , -70696.6    , array([ 0.001331   ,  0.638267   ,  2.01019e-25,  0.291813   ,  1.67032e-05])
119751  , -70696.6    , array([ 0.001331   ,  0.638267   ,  2.01019e-25,  0.291813   ,  1.67032e-05])
119752  , -70703.5    , array([ 0.00133233 ,  0.638267   ,  2.01019e-25,  0.291813   ,  1.67032e-05])
119753  , -70696.6    , array([ 0.001331   ,  0.638906   ,  2.01019e-25,  0.291813   ,  1.67032e-05])
119754  , -70696.6    , array([ 0.001331   ,  0.638267   ,  2.0122e-25 ,  0.291813   ,  1.67032e-05])
119755  , -70696.6    , array([ 0.001331   ,  0.638267   ,  2.01019e-25,  0.292105   ,  1.67032e-05])
119756  , -70689.7    , array([ 0.001331   ,  0.638267   ,  2.01019e-25,  0.291813   ,  1.672e-05  ])
119757  , -70696      , array([ 0.00133094 ,  0.638267   ,  2.01019e-25,  0.291813   ,  1.6704e-05 ])
119758  , -70696      , array([ 0.00133094 ,  0.638267   ,  2.01019e-25,  0.291813   ,  1.6704e-05 ])
119759  , -70702.9    , array([ 0.00133227 ,  0.638267   ,  2.01019e-25,  0.291813   ,  1.6704e-05 ])
119760  , -70696      , array([ 0.00133094 ,  0.638905   ,  2.01019e-25,  0.291813   ,  1.6704e-05 ])
119761  , -70696      , array([ 0.00133094 ,  0.638267   ,  2.0122e-25 ,  0.291813   ,  1.6704e-05 ])
119762  , -70696      , array([ 0.00133094 ,  0.638267   ,  2.01019e-25,  0.292105   ,  1.6704e-05 ])
119763  , -70689      , array([ 0.00133094 ,  0.638267   ,  2.01019e-25,  0.291813   ,  1.67208e-05])
119764  , -70695.3    , array([ 0.00133088 ,  0.638266   ,  2.01019e-25,  0.291813   ,  1.67048e-05])
119765  , -70695.3    , array([ 0.00133088 ,  0.638266   ,  2.01019e-25,  0.291813   ,  1.67048e-05])
119766  , -70702.2    , array([ 0.00133221 ,  0.638266   ,  2.01019e-25,  0.291813   ,  1.67048e-05])
119767  , -70695.3    , array([ 0.00133088 ,  0.638904   ,  2.01019e-25,  0.291813   ,  1.67048e-05])
119768  , -70695.3    , array([ 0.00133088 ,  0.638266   ,  2.0122e-25 ,  0.291813   ,  1.67048e-05])
119769  , -70695.3    , array([ 0.00133088 ,  0.638266   ,  2.01019e-25,  0.292105   ,  1.67048e-05])
119770  , -70688.4    , array([ 0.00133088 ,  0.638266   ,  2.01019e-25,  0.291813   ,  1.67216e-05])
119778  , -70695.2    , array([ 0.00133086 ,  0.638266   ,  2.01019e-25,  0.291813   ,  1.6705e-05 ])
119779  , -70695.2    , array([ 0.00133086 ,  0.638266   ,  2.01019e-25,  0.291813   ,  1.6705e-05 ])
119780  , -70702.1    , array([ 0.00133219 ,  0.638266   ,  2.01019e-25,  0.291813   ,  1.6705e-05 ])
119781  , -70695.2    , array([ 0.00133086 ,  0.638904   ,  2.01019e-25,  0.291813   ,  1.6705e-05 ])
119782  , -70695.2    , array([ 0.00133086 ,  0.638266   ,  2.0122e-25 ,  0.291813   ,  1.6705e-05 ])
119783  , -70695.2    , array([ 0.00133086 ,  0.638266   ,  2.01019e-25,  0.292105   ,  1.6705e-05 ])
119784  , -70688.2    , array([ 0.00133086 ,  0.638266   ,  2.01019e-25,  0.291813   ,  1.67218e-05])
119785  , -70695      , array([ 0.00133085 ,  0.638265   ,  2.01019e-25,  0.291813   ,  1.67052e-05])
119786  , -70695      , array([ 0.00133085 ,  0.638265   ,  2.01019e-25,  0.291813   ,  1.67052e-05])
119787  , -70701.9    , array([ 0.00133218 ,  0.638265   ,  2.01019e-25,  0.291813   ,  1.67052e-05])
119788  , -70695      , array([ 0.00133085 ,  0.638904   ,  2.01019e-25,  0.291813   ,  1.67052e-05])
119789  , -70695      , array([ 0.00133085 ,  0.638265   ,  2.0122e-25 ,  0.291813   ,  1.67052e-05])
119790  , -70695      , array([ 0.00133085 ,  0.638265   ,  2.01019e-25,  0.292105   ,  1.67052e-05])
119791  , -70688      , array([ 0.00133085 ,  0.638265   ,  2.01019e-25,  0.291813   ,  1.6722e-05 ])
119799  , -70694.9    , array([ 0.00133084 ,  0.638265   ,  2.01019e-25,  0.291813   ,  1.67053e-05])
119800  , -70694.9    , array([ 0.00133084 ,  0.638265   ,  2.01019e-25,  0.291813   ,  1.67053e-05])
