110623  , -79079.3    , array([ 0.00350528 ,  0.500958   ,  4.37565e-21,  0.0172428  ,  4.4207e-08 ])
110624  , -79079.3    , array([ 0.00350879 ,  0.500958   ,  4.37565e-21,  0.0172428  ,  4.4207e-08 ])
110625  , -79079.3    , array([ 0.00350528 ,  0.501459   ,  4.37565e-21,  0.0172428  ,  4.4207e-08 ])
110626  , -79079.3    , array([ 0.00350528 ,  0.500958   ,  4.38003e-21,  0.0172428  ,  4.4207e-08 ])
110627  , -79079.3    , array([ 0.00350528 ,  0.500958   ,  4.37565e-21,  0.01726    ,  4.4207e-08 ])
110628  , -79079.3    , array([ 0.00350528 ,  0.500958   ,  4.37565e-21,  0.0172428  ,  4.42512e-08])
110629  , -79079.3    , array([ 0.00350528 ,  0.500958   ,  4.37565e-21,  0.0172428  ,  4.4207e-08 ])
110630  , -79047.2    , array([ 0.00172317 ,  0.497309   ,  4.37565e-21,  0.0172428  ,  9.06559e-08])
110631  , -79047.2    , array([ 0.00172317 ,  0.497309   ,  4.37565e-21,  0.0172428  ,  9.06559e-08])
110632  , -79047.3    , array([ 0.00172489 ,  0.497309   ,  4.37565e-21,  0.0172428  ,  9.06559e-08])
110633  , -79047.2    , array([ 0.00172317 ,  0.497806   ,  4.37565e-21,  0.0172428  ,  9.06559e-08])
110634  , -79047.2    , array([ 0.00172317 ,  0.497309   ,  4.38003e-21,  0.0172428  ,  9.06559e-08])
110635  , -79047.2    , array([ 0.00172317 ,  0.497309   ,  4.37565e-21,  0.01726    ,  9.06559e-08])
110636  , -79047.2    , array([ 0.00172317 ,  0.497309   ,  4.37565e-21,  0.0172428  ,  9.07466e-08])
110644  , -79047.2    , array([ 0.00172316 ,  0.497309   ,  4.37565e-21,  0.0172428  ,  9.0656e-08 ])
110645  , -79047.2    , array([ 0.00172316 ,  0.497309   ,  4.37565e-21,  0.0172428  ,  9.0656e-08 ])
110646  , -79047.3    , array([ 0.00172489 ,  0.497309   ,  4.37565e-21,  0.0172428  ,  9.0656e-08 ])
110647  , -79047.2    , array([ 0.00172316 ,  0.497806   ,  4.37565e-21,  0.0172428  ,  9.0656e-08 ])
110648  , -79047.2    , array([ 0.00172316 ,  0.497309   ,  4.38003e-21,  0.0172428  ,  9.0656e-08 ])
110649  , -79047.2    , array([ 0.00172316 ,  0.497309   ,  4.37565e-21,  0.01726    ,  9.0656e-08 ])
110650  , -79047.2    , array([ 0.00172316 ,  0.497309   ,  4.37565e-21,  0.0172428  ,  9.07467e-08])
110651  , -79047.2    , array([ 0.00172316 ,  0.497309   ,  4.37565e-21,  0.0172428  ,  9.06561e-08])
110652  , -79047.2    , array([ 0.00172316 ,  0.497309   ,  4.37565e-21,  0.0172428  ,  9.06561e-08])
110653  , -79047.3    , array([ 0.00172489 ,  0.497309   ,  4.37565e-21,  0.0172428  ,  9.06561e-08])
110654  , -79047.2    , array([ 0.00172316 ,  0.497806   ,  4.37565e-21,  0.0172428  ,  9.06561e-08])
110655  , -79047.2    , array([ 0.00172316 ,  0.497309   ,  4.38003e-21,  0.0172428  ,  9.06561e-08])
110656  , -79047.2    , array([ 0.00172316 ,  0.497309   ,  4.37565e-21,  0.01726    ,  9.06561e-08])
110657  , -79047.2    , array([ 0.00172316 ,  0.497309   ,  4.37565e-21,  0.0172428  ,  9.07469e-08])
110665  , -79047.2    , array([ 0.00172316 ,  0.497309   ,  4.37565e-21,  0.0172428  ,  9.06562e-08])
110666  , -79047.2    , array([ 0.00172316 ,  0.497309   ,  4.37565e-21,  0.0172428  ,  9.06562e-08])
110667  , -79047.3    , array([ 0.00172489 ,  0.497309   ,  4.37565e-21,  0.0172428  ,  9.06562e-08])
110668  , -79047.2    , array([ 0.00172316 ,  0.497806   ,  4.37565e-21,  0.0172428  ,  9.06562e-08])
110669  , -79047.2    , array([ 0.00172316 ,  0.497309   ,  4.38003e-21,  0.0172428  ,  9.06562e-08])
110670  , -79047.2    , array([ 0.00172316 ,  0.497309   ,  4.37565e-21,  0.01726    ,  9.06562e-08])
110671  , -79047.2    , array([ 0.00172316 ,  0.497309   ,  4.37565e-21,  0.0172428  ,  9.07469e-08])
110672  , -79047.2    , array([ 0.00172316 ,  0.497309   ,  4.37565e-21,  0.0172428  ,  9.06562e-08])
110673  , -79047.2    , array([ 0.00172316 ,  0.497309   ,  4.37565e-21,  0.0172428  ,  9.06562e-08])
110674  , -79047.3    , array([ 0.00172489 ,  0.497309   ,  4.37565e-21,  0.0172428  ,  9.06562e-08])
110675  , -79047.2    , array([ 0.00172316 ,  0.497806   ,  4.37565e-21,  0.0172428  ,  9.06562e-08])
110676  , -79047.2    , array([ 0.00172316 ,  0.497309   ,  4.38003e-21,  0.0172428  ,  9.06562e-08])
110677  , -79047.2    , array([ 0.00172316 ,  0.497309   ,  4.37565e-21,  0.01726    ,  9.06562e-08])
110678  , -79047.2    , array([ 0.00172316 ,  0.497309   ,  4.37565e-21,  0.0172428  ,  9.07469e-08])
110686  , -79047.2    , array([ 0.00172316 ,  0.497309   ,  4.37565e-21,  0.0172428  ,  9.06562e-08])
110687  , -79047.2    , array([ 0.00172316 ,  0.497309   ,  4.37565e-21,  0.0172428  ,  9.06562e-08])
110688  , -79047.3    , array([ 0.00172489 ,  0.497309   ,  4.37565e-21,  0.0172428  ,  9.06562e-08])
110689  , -79047.2    , array([ 0.00172316 ,  0.497806   ,  4.37565e-21,  0.0172428  ,  9.06562e-08])
110690  , -79047.2    , array([ 0.00172316 ,  0.497309   ,  4.38003e-21,  0.0172428  ,  9.06562e-08])
110691  , -79047.2    , array([ 0.00172316 ,  0.497309   ,  4.37565e-21,  0.01726    ,  9.06562e-08])
110692  , -79047.2    , array([ 0.00172316 ,  0.497309   ,  4.37565e-21,  0.0172428  ,  9.07469e-08])
110693  , -79047.2    , array([ 0.00172316 ,  0.497309   ,  4.37565e-21,  0.0172428  ,  9.06562e-08])
110694  , -79047.2    , array([ 0.00172316 ,  0.497309   ,  4.37565e-21,  0.0172428  ,  9.06562e-08])
110695  , -79047.3    , array([ 0.00172489 ,  0.497309   ,  4.37565e-21,  0.0172428  ,  9.06562e-08])
