147069  , -33719.9    , array([ 0.249376   ,  0.184284   ,  9.23812e-13,  0.00154008 ,  0.00890256 ])
147070  , -33723.7    , array([ 0.249626   ,  0.184284   ,  9.23812e-13,  0.00154008 ,  0.00890256 ])
147071  , -33738.7    , array([ 0.249376   ,  0.184468   ,  9.23812e-13,  0.00154008 ,  0.00890256 ])
147072  , -33719.9    , array([ 0.249376   ,  0.184284   ,  9.24736e-13,  0.00154008 ,  0.00890256 ])
147073  , -33719.9    , array([ 0.249376   ,  0.184284   ,  9.23812e-13,  0.00154162 ,  0.00890256 ])
147074  , -33696.9    , array([ 0.249376   ,  0.184284   ,  9.23812e-13,  0.00154008 ,  0.00891146 ])
147075  , -33719.9    , array([ 0.249376   ,  0.184284   ,  9.23812e-13,  0.00154008 ,  0.00890256 ])
147076  , -8945.24    , array([ 0.219293   ,  0.0978812  ,  9.23812e-13,  0.00154006 ,  0.0193564  ])
147077  , -8945.24    , array([ 0.219293   ,  0.0978812  ,  9.23812e-13,  0.00154006 ,  0.0193564  ])
147078  , -8938.67    , array([ 0.219513   ,  0.0978812  ,  9.23812e-13,  0.00154006 ,  0.0193564  ])
147079  , -8957.38    , array([ 0.219293   ,  0.0979791  ,  9.23812e-13,  0.00154006 ,  0.0193564  ])
147080  , -8945.24    , array([ 0.219293   ,  0.0978812  ,  9.24736e-13,  0.00154006 ,  0.0193564  ])
147081  , -8945.24    , array([ 0.219293   ,  0.0978812  ,  9.23812e-13,  0.0015416  ,  0.0193564  ])
147082  , -8938.61    , array([ 0.219293   ,  0.0978812  ,  9.23812e-13,  0.00154006 ,  0.0193757  ])
147083  , -134081     , array([ 2.40055    ,  0.00751418 ,  9.23812e-13,  0.00153986 ,  0.0312152  ])
147084  , -134081     , array([ 2.40055    ,  0.00751418 ,  9.23812e-13,  0.00153986 ,  0.0312152  ])
147085  , -134082     , array([ 2.40296    ,  0.00751418 ,  9.23812e-13,  0.00153986 ,  0.0312152  ])
147086  , -133932     , array([ 2.40055    ,  0.0075217  ,  9.23812e-13,  0.00153986 ,  0.0312152  ])
147087  , -134081     , array([ 2.40055    ,  0.00751418 ,  9.24736e-13,  0.00153986 ,  0.0312152  ])
147088  , -134081     , array([ 2.40055    ,  0.00751418 ,  9.23812e-13,  0.0015414  ,  0.0312152  ])
147089  , -134227     , array([ 2.40055    ,  0.00751418 ,  9.23812e-13,  0.00153986 ,  0.0312464  ])
147090  , -3059.91    , array([ 0.366361   ,  0.056444   ,  9.23812e-13,  0.00154001 ,  0.0214453  ])
147091  , -3059.91    , array([ 0.366361   ,  0.056444   ,  9.23812e-13,  0.00154001 ,  0.0214453  ])
147092  , -3056.74    , array([ 0.366727   ,  0.056444   ,  9.23812e-13,  0.00154001 ,  0.0214453  ])
147093  , -3057.91    , array([ 0.366361   ,  0.0565004  ,  9.23812e-13,  0.00154001 ,  0.0214453  ])
147094  , -3059.91    , array([ 0.366361   ,  0.056444   ,  9.24736e-13,  0.00154001 ,  0.0214453  ])
147095  , -3059.91    , array([ 0.366361   ,  0.056444   ,  9.23812e-13,  0.00154156 ,  0.0214453  ])
147096  , -3064.3     , array([ 0.366361   ,  0.056444   ,  9.23812e-13,  0.00154001 ,  0.0214668  ])
147104  , -3059.66    , array([ 0.366496   ,  0.0564662  ,  9.23812e-13,  0.00154002 ,  0.0214537  ])
147105  , -3059.66    , array([ 0.366496   ,  0.0564662  ,  9.23812e-13,  0.00154002 ,  0.0214537  ])
147106  , -3056.49    , array([ 0.366863   ,  0.0564662  ,  9.23812e-13,  0.00154002 ,  0.0214537  ])
147107  , -3057.66    , array([ 0.366496   ,  0.0565227  ,  9.23812e-13,  0.00154002 ,  0.0214537  ])
147108  , -3059.66    , array([ 0.366496   ,  0.0564662  ,  9.24736e-13,  0.00154002 ,  0.0214537  ])
147109  , -3059.66    , array([ 0.366496   ,  0.0564662  ,  9.23812e-13,  0.00154156 ,  0.0214537  ])
147110  , -3064.05    , array([ 0.366496   ,  0.0564662  ,  9.23812e-13,  0.00154002 ,  0.0214752  ])
147111  , -3059.33    , array([ 0.366675   ,  0.0564956  ,  9.23812e-13,  0.00154002 ,  0.0214648  ])
147112  , -3059.33    , array([ 0.366675   ,  0.0564956  ,  9.23812e-13,  0.00154002 ,  0.0214648  ])
147113  , -3056.16    , array([ 0.367042   ,  0.0564956  ,  9.23812e-13,  0.00154002 ,  0.0214648  ])
147114  , -3057.33    , array([ 0.366675   ,  0.0565521  ,  9.23812e-13,  0.00154002 ,  0.0214648  ])
147115  , -3059.33    , array([ 0.366675   ,  0.0564956  ,  9.24736e-13,  0.00154002 ,  0.0214648  ])
147116  , -3059.33    , array([ 0.366675   ,  0.0564956  ,  9.23812e-13,  0.00154156 ,  0.0214648  ])
147117  , -3063.73    , array([ 0.366675   ,  0.0564956  ,  9.23812e-13,  0.00154002 ,  0.0214863  ])
147125  , -3059.27    , array([ 0.366709   ,  0.0565011  ,  9.23812e-13,  0.00154002 ,  0.0214669  ])
147126  , -3059.27    , array([ 0.366709   ,  0.0565011  ,  9.23812e-13,  0.00154002 ,  0.0214669  ])
147127  , -3056.1     , array([ 0.367076   ,  0.0565011  ,  9.23812e-13,  0.00154002 ,  0.0214669  ])
147128  , -3057.27    , array([ 0.366709   ,  0.0565576  ,  9.23812e-13,  0.00154002 ,  0.0214669  ])
147129  , -3059.27    , array([ 0.366709   ,  0.0565011  ,  9.24736e-13,  0.00154002 ,  0.0214669  ])
147130  , -3059.27    , array([ 0.366709   ,  0.0565011  ,  9.23812e-13,  0.00154156 ,  0.0214669  ])
147131  , -3063.66    , array([ 0.366709   ,  0.0565011  ,  9.23812e-13,  0.00154002 ,  0.0214884  ])
147132  , -3059.19    , array([ 0.366753   ,  0.0565085  ,  9.23812e-13,  0.00154002 ,  0.0214697  ])
147133  , -3059.19    , array([ 0.366753   ,  0.0565085  ,  9.23812e-13,  0.00154002 ,  0.0214697  ])
147134  , -3056.02    , array([ 0.36712    ,  0.0565085  ,  9.23812e-13,  0.00154002 ,  0.0214697  ])
147135  , -3057.19    , array([ 0.366753   ,  0.056565   ,  9.23812e-13,  0.00154002 ,  0.0214697  ])
147136  , -3059.19    , array([ 0.366753   ,  0.0565085  ,  9.24736e-13,  0.00154002 ,  0.0214697  ])
147137  , -3059.19    , array([ 0.366753   ,  0.0565085  ,  9.23812e-13,  0.00154156 ,  0.0214697  ])
147138  , -3063.58    , array([ 0.366753   ,  0.0565085  ,  9.23812e-13,  0.00154002 ,  0.0214912  ])
147139  , -79619.6    , array([ 38.6301    ,  8.11904    ,  9.23812e-13,  0.00154884 ,  3.00477    ])
147140  , -79619.6    , array([ 38.6301    ,  8.11904    ,  9.23812e-13,  0.00154884 ,  3.00477    ])
147141  , -79629.3    , array([ 38.6687    ,  8.11904    ,  9.23812e-13,  0.00154884 ,  3.00477    ])
147142  , -79622.9    , array([ 38.6301    ,  8.12716    ,  9.23812e-13,  0.00154884 ,  3.00477    ])
147143  , -79619.6    , array([ 38.6301    ,  8.11904    ,  9.24736e-13,  0.00154884 ,  3.00477    ])
147144  , -79619.3    , array([ 38.6301    ,  8.11904    ,  9.23812e-13,  0.00155039 ,  3.00477    ])
147145  , -79642.6    , array([ 38.6301    ,  8.11904    ,  9.23812e-13,  0.00154884 ,  3.00778    ])
147146  , -2994.75    , array([ 0.405125   ,  0.0628361  ,  9.23812e-13,  0.0015402  ,  0.0238605  ])
147147  , -2994.75    , array([ 0.405125   ,  0.0628361  ,  9.23812e-13,  0.0015402  ,  0.0238605  ])
147148  , -2991.63    , array([ 0.40553    ,  0.0628361  ,  9.23812e-13,  0.0015402  ,  0.0238605  ])
147149  , -2992.84    , array([ 0.405125   ,  0.062899   ,  9.23812e-13,  0.0015402  ,  0.0238605  ])
147150  , -2994.75    , array([ 0.405125   ,  0.0628361  ,  9.24736e-13,  0.0015402  ,  0.0238605  ])
147151  , -2994.75    , array([ 0.405125   ,  0.0628361  ,  9.23812e-13,  0.00154175 ,  0.0238605  ])
147152  , -2999.07    , array([ 0.405125   ,  0.0628361  ,  9.23812e-13,  0.0015402  ,  0.0238843  ])
147153  , -2930.31    , array([ 0.453063   ,  0.0707974  ,  9.23812e-13,  0.00154042 ,  0.0268666  ])
147154  , -2930.31    , array([ 0.453063   ,  0.0707974  ,  9.23812e-13,  0.00154042 ,  0.0268666  ])
147155  , -2927.24    , array([ 0.453517   ,  0.0707974  ,  9.23812e-13,  0.00154042 ,  0.0268666  ])
147156  , -2928.49    , array([ 0.453063   ,  0.0708682  ,  9.23812e-13,  0.00154042 ,  0.0268666  ])
147157  , -2930.31    , array([ 0.453063   ,  0.0707974  ,  9.24736e-13,  0.00154042 ,  0.0268666  ])
147158  , -2930.31    , array([ 0.453063   ,  0.0707974  ,  9.23812e-13,  0.00154196 ,  0.0268666  ])
147159  , -2934.56    , array([ 0.453063   ,  0.0707974  ,  9.23812e-13,  0.00154042 ,  0.0268935  ])
147160  , -2686.11    , array([ 0.515076   ,  0.0763702  ,  9.23812e-13,  0.00167536 ,  0.0286232  ])
147161  , -2686.11    , array([ 0.515076   ,  0.0763702  ,  9.23812e-13,  0.00167536 ,  0.0286232  ])
147162  , -2683.45    , array([ 0.515591   ,  0.0763702  ,  9.23812e-13,  0.00167536 ,  0.0286232  ])
147163  , -2684.67    , array([ 0.515076   ,  0.0764466  ,  9.23812e-13,  0.00167536 ,  0.0286232  ])
147164  , -2686.11    , array([ 0.515076   ,  0.0763702  ,  9.24736e-13,  0.00167536 ,  0.0286232  ])
147165  , -2686.11    , array([ 0.515076   ,  0.0763702  ,  9.23812e-13,  0.00167704 ,  0.0286232  ])
147166  , -2689.7     , array([ 0.515076   ,  0.0763702  ,  9.23812e-13,  0.00167536 ,  0.0286518  ])
147167  , -2272.93    , array([ 0.597574   ,  0.0756999  ,  9.23812e-13,  0.00217709 ,  0.0277492  ])
147168  , -2272.93    , array([ 0.597574   ,  0.0756999  ,  9.23812e-13,  0.00217709 ,  0.0277492  ])
147169  , -2271.08    , array([ 0.598172   ,  0.0756999  ,  9.23812e-13,  0.00217709 ,  0.0277492  ])
147170  , -2272.09    , array([ 0.597574   ,  0.0757756  ,  9.23812e-13,  0.00217709 ,  0.0277492  ])
147171  , -2272.93    , array([ 0.597574   ,  0.0756999  ,  9.24736e-13,  0.00217709 ,  0.0277492  ])
147172  , -2272.93    , array([ 0.597574   ,  0.0756999  ,  9.23812e-13,  0.00217927 ,  0.0277492  ])
147173  , -2275.25    , array([ 0.597574   ,  0.0756999  ,  9.23812e-13,  0.00217709 ,  0.0277769  ])
147174  , -1786.12    , array([ 0.965565   ,  0.0845699  ,  9.23812e-13,  0.00506013 ,  0.0303131  ])
147175  , -1786.12    , array([ 0.965565   ,  0.0845699  ,  9.23812e-13,  0.00506013 ,  0.0303131  ])
147176  , -1785.49    , array([ 0.966531   ,  0.0845699  ,  9.23812e-13,  0.00506013 ,  0.0303131  ])
147177  , -1786.09    , array([ 0.965565   ,  0.0846545  ,  9.23812e-13,  0.00506013 ,  0.0303131  ])
147178  , -1786.12    , array([ 0.965565   ,  0.0845699  ,  9.24736e-13,  0.00506013 ,  0.0303131  ])
147179  , -1786.12    , array([ 0.965565   ,  0.0845699  ,  9.23812e-13,  0.00506519 ,  0.0303131  ])
147180  , -1786.84    , array([ 0.965565   ,  0.0845699  ,  9.23812e-13,  0.00506013 ,  0.0303434  ])
147181  , -1695.59    , array([ 0.928138   ,  0.0608507  ,  9.23812e-13,  0.0112652  ,  0.0214355  ])
147182  , -1695.59    , array([ 0.928138   ,  0.0608507  ,  9.23812e-13,  0.0112652  ,  0.0214355  ])
147183  , -1695.29    , array([ 0.929067   ,  0.0608507  ,  9.23812e-13,  0.0112652  ,  0.0214355  ])
147184  , -1695.87    , array([ 0.928138   ,  0.0609116  ,  9.23812e-13,  0.0112652  ,  0.0214355  ])
147185  , -1695.59    , array([ 0.928138   ,  0.0608507  ,  9.24736e-13,  0.0112652  ,  0.0214355  ])
147186  , -1695.59    , array([ 0.928138   ,  0.0608507  ,  9.23812e-13,  0.0112765  ,  0.0214355  ])
147187  , -1695.38    , array([ 0.928138   ,  0.0608507  ,  9.23812e-13,  0.0112652  ,  0.021457   ])
147188  , -1638.92    , array([ 1.23904    ,  0.0677457  ,  9.23812e-13,  0.0274312  ,  0.024364   ])
147189  , -1638.92    , array([ 1.23904    ,  0.0677457  ,  9.23812e-13,  0.0274312  ,  0.024364   ])
147190  , -1638.82    , array([ 1.24028    ,  0.0677457  ,  9.23812e-13,  0.0274312  ,  0.024364   ])
