239029  , -40334.7    , array([ 1.06881    ,  7.35324    ,  3.10437e-60,  5.49708e-27,  0.160509   ])
239030  , -40333.6    , array([ 1.06988    ,  7.35324    ,  3.10437e-60,  5.49708e-27,  0.160509   ])
239031  , -40341.5    , array([ 1.06881    ,  7.3606     ,  3.10437e-60,  5.49708e-27,  0.160509   ])
239032  , -40334.7    , array([ 1.06881    ,  7.35324    ,  3.10748e-60,  5.49708e-27,  0.160509   ])
239033  , -40334.7    , array([ 1.06881    ,  7.35324    ,  3.10437e-60,  5.50258e-27,  0.160509   ])
239034  , -40334.8    , array([ 1.06881    ,  7.35324    ,  3.10437e-60,  5.49708e-27,  0.16067    ])
239035  , -42036      , array([ 0.532728   ,  6.45795    ,  3.10437e-60,  5.49708e-27,  0.0756854  ])
239036  , -42036      , array([ 0.532728   ,  6.45795    ,  3.10437e-60,  5.49708e-27,  0.0756854  ])
239037  , -42033.7    , array([ 0.533261   ,  6.45795    ,  3.10437e-60,  5.49708e-27,  0.0756854  ])
239038  , -42040.3    , array([ 0.532728   ,  6.46442    ,  3.10437e-60,  5.49708e-27,  0.0756854  ])
239039  , -42036      , array([ 0.532728   ,  6.45795    ,  3.10748e-60,  5.49708e-27,  0.0756854  ])
239040  , -42036      , array([ 0.532728   ,  6.45795    ,  3.10437e-60,  5.50258e-27,  0.0756854  ])
239041  , -42033.1    , array([ 0.532728   ,  6.45795    ,  3.10437e-60,  5.49708e-27,  0.0757611  ])
239042  , -40328      , array([ 1.02805    ,  7.30013    ,  3.10437e-60,  5.49708e-27,  0.153911   ])
239043  , -40328      , array([ 1.02805    ,  7.30013    ,  3.10437e-60,  5.49708e-27,  0.153911   ])
239044  , -40326.9    , array([ 1.02908    ,  7.30013    ,  3.10437e-60,  5.49708e-27,  0.153911   ])
239045  , -40334.7    , array([ 1.02805    ,  7.30743    ,  3.10437e-60,  5.49708e-27,  0.153911   ])
239046  , -40328      , array([ 1.02805    ,  7.30013    ,  3.10748e-60,  5.49708e-27,  0.153911   ])
239047  , -40328      , array([ 1.02805    ,  7.30013    ,  3.10437e-60,  5.50258e-27,  0.153911   ])
239048  , -40327.8    , array([ 1.02805    ,  7.30013    ,  3.10437e-60,  5.49708e-27,  0.154065   ])
239049  , -40314.4    , array([ 1.02865    ,  7.2863     ,  3.10437e-60,  5.49708e-27,  0.154079   ])
239050  , -40314.4    , array([ 1.02865    ,  7.2863     ,  3.10437e-60,  5.49708e-27,  0.154079   ])
239051  , -40313.4    , array([ 1.02968    ,  7.2863     ,  3.10437e-60,  5.49708e-27,  0.154079   ])
239052  , -40321.2    , array([ 1.02865    ,  7.29359    ,  3.10437e-60,  5.49708e-27,  0.154079   ])
239053  , -40314.4    , array([ 1.02865    ,  7.2863     ,  3.10748e-60,  5.49708e-27,  0.154079   ])
239054  , -40314.4    , array([ 1.02865    ,  7.2863     ,  3.10437e-60,  5.50258e-27,  0.154079   ])
239055  , -40314.3    , array([ 1.02865    ,  7.2863     ,  3.10437e-60,  5.49708e-27,  0.154234   ])
