134071  , -70452.5    , array([ 0.326573   ,  8.7296     ,  0.932158   ,  2.66618e-18,  0.269764   ])
134072  , -70463.9    , array([ 0.326573   ,  8.7296     ,  0.931226   ,  2.66885e-18,  0.269764   ])
134073  , -70492.1    , array([ 0.326573   ,  8.7296     ,  0.931226   ,  2.66618e-18,  0.270034   ])
134074  , -43265.4    , array([ 0.870907   ,  12.2834    ,  0.97228    ,  2.66618e-18,  0.148588   ])
134075  , -43265.4    , array([ 0.870907   ,  12.2834    ,  0.97228    ,  2.66618e-18,  0.148588   ])
134076  , -43265.8    , array([ 0.871778   ,  12.2834    ,  0.97228    ,  2.66618e-18,  0.148588   ])
134077  , -43269.5    , array([ 0.870907   ,  12.2957    ,  0.97228    ,  2.66618e-18,  0.148588   ])
134078  , -43265.6    , array([ 0.870907   ,  12.2834    ,  0.973253   ,  2.66618e-18,  0.148588   ])
134079  , -43265.4    , array([ 0.870907   ,  12.2834    ,  0.97228    ,  2.66885e-18,  0.148588   ])
134080  , -43265.9    , array([ 0.870907   ,  12.2834    ,  0.97228    ,  2.66618e-18,  0.148737   ])
134088  , -43259      , array([ 0.870357   ,  12.2653    ,  0.972195   ,  2.66618e-18,  0.148606   ])
134089  , -43259      , array([ 0.870357   ,  12.2653    ,  0.972195   ,  2.66618e-18,  0.148606   ])
134090  , -43259.5    , array([ 0.871228   ,  12.2653    ,  0.972195   ,  2.66618e-18,  0.148606   ])
134091  , -43263.1    , array([ 0.870357   ,  12.2775    ,  0.972195   ,  2.66618e-18,  0.148606   ])
134092  , -43259.2    , array([ 0.870357   ,  12.2653    ,  0.973168   ,  2.66618e-18,  0.148606   ])
134093  , -43259      , array([ 0.870357   ,  12.2653    ,  0.972195   ,  2.66885e-18,  0.148606   ])
134094  , -43259.6    , array([ 0.870357   ,  12.2653    ,  0.972195   ,  2.66618e-18,  0.148755   ])
134095  , -40303.2    , array([ 0.500765   ,  3.35813    ,  0.900653   ,  2.66618e-18,  0.165252   ])
134096  , -40303.2    , array([ 0.500765   ,  3.35813    ,  0.900653   ,  2.66618e-18,  0.165252   ])
134097  , -40283.7    , array([ 0.501266   ,  3.35813    ,  0.900653   ,  2.66618e-18,  0.165252   ])
134098  , -40313      , array([ 0.500765   ,  3.36149    ,  0.900653   ,  2.66618e-18,  0.165252   ])
134099  , -40300.4    , array([ 0.500765   ,  3.35813    ,  0.901554   ,  2.66618e-18,  0.165252   ])
134100  , -40303.2    , array([ 0.500765   ,  3.35813    ,  0.900653   ,  2.66885e-18,  0.165252   ])
134101  , -40312.8    , array([ 0.500765   ,  3.35813    ,  0.900653   ,  2.66618e-18,  0.165418   ])
134102  , -29156.9    , array([ 0.432466   ,  0.708454   ,  1.33828    ,  2.66618e-18,  0.363729   ])
134103  , -29156.9    , array([ 0.432466   ,  0.708454   ,  1.33828    ,  2.66618e-18,  0.363729   ])
134104  , -29128.1    , array([ 0.432899   ,  0.708454   ,  1.33828    ,  2.66618e-18,  0.363729   ])
134105  , -29165.2    , array([ 0.432466   ,  0.709163   ,  1.33828    ,  2.66618e-18,  0.363729   ])
134106  , -29141.8    , array([ 0.432466   ,  0.708454   ,  1.33962    ,  2.66618e-18,  0.363729   ])
134107  , -29156.9    , array([ 0.432466   ,  0.708454   ,  1.33828    ,  2.66885e-18,  0.363729   ])
134108  , -29166.5    , array([ 0.432466   ,  0.708454   ,  1.33828    ,  2.66618e-18,  0.364092   ])
134116  , -29155.6    , array([ 0.432454   ,  0.708249   ,  1.33838    ,  2.66618e-18,  0.363782   ])
134117  , -29155.6    , array([ 0.432454   ,  0.708249   ,  1.33838    ,  2.66618e-18,  0.363782   ])
134118  , -29126.8    , array([ 0.432887   ,  0.708249   ,  1.33838    ,  2.66618e-18,  0.363782   ])
134119  , -29163.9    , array([ 0.432454   ,  0.708957   ,  1.33838    ,  2.66618e-18,  0.363782   ])
134120  , -29140.5    , array([ 0.432454   ,  0.708249   ,  1.33971    ,  2.66618e-18,  0.363782   ])
134121  , -29155.6    , array([ 0.432454   ,  0.708249   ,  1.33838    ,  2.66885e-18,  0.363782   ])
134122  , -29165.2    , array([ 0.432454   ,  0.708249   ,  1.33838    ,  2.66618e-18,  0.364146   ])
