Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params( )
our_model	Round_1_Replicate_1	-1544.92	3099.84	469.48	19762.18	0.9347,0.1576,5.7685,0.4497,0.0699
our_model	Round_1_Replicate_2	-1404.23	2818.46	190.33	19856.78	0.9788,0.1323,5.5474,0.6114,0.0592
our_model	Round_1_Replicate_3	-2125.66	4261.32	1568.57	5153.71	3.6583,0.4225,0.7654,1.954,30.0
our_model	Round_1_Replicate_4	-1354.96	2719.92	85.66	19784.41	1.0001,0.1233,4.9597,2.3682,0.0648
our_model	Round_1_Replicate_5	-2511.28	5032.56	2269.65	4568.46	3.8738,0.6651,0.681,1.1864,30.0
our_model	Round_1_Replicate_6	-1320.43	2650.86	19.05	19911.48	1.0069,0.1109,5.067,1.8073,0.0536
our_model	Round_1_Replicate_7	-2097.76	4205.52	1515.28	6162.84	3.0799,0.3391,0.9172,2.4455,30.0
our_model	Round_1_Replicate_8	-3640.45	7290.9	4284.77	17054.89	1.1627,0.3894,4.0973,0.01,0.1943
our_model	Round_1_Replicate_9	-3066.38	6142.76	3227.5	5374.02	3.0957,0.7303,0.8243,1.0302,30.0
our_model	Round_1_Replicate_10	-1993.82	3997.64	1306.99	5209.04	3.7913,0.3072,0.7942,2.7741,30.0
our_model	Round_2_Replicate_1	-1359.97	2729.94	98.88	20305.36	0.8842,0.0796,4.9414,2.7318,0.0365
our_model	Round_2_Replicate_2	-1317.15	2644.3	12.39	19999.47	0.9637,0.1041,4.8689,2.4094,0.0513
our_model	Round_2_Replicate_3	-1471.01	2952.02	306.63	19270.8	1.1164,0.1515,4.5358,1.6106,0.0775
our_model	Round_2_Replicate_4	-1310.95	2631.9	0.03	19995.79	1.0007,0.1003,4.993,2.4726,0.05
our_model	Round_2_Replicate_5	-1352.06	2714.12	81.78	20026.83	1.0336,0.0778,4.0229,3.6482,0.0369
our_model	Round_2_Replicate_6	-1372.16	2754.32	121.13	19489.8	1.3769,0.0963,4.0569,2.8266,0.0473
our_model	Round_2_Replicate_7	-1662.67	3335.34	747.13	20594.47	0.736,0.0388,3.2801,5.6125,0.016
our_model	Round_2_Replicate_8	-1747.13	3504.26	956.15	20405.06	0.965,0.0282,0.624,9.6766,0.0121
our_model	Round_2_Replicate_9	-1311.63	2633.26	1.39	19990.67	1.0123,0.0997,5.0538,2.38,0.0492
our_model	Round_2_Replicate_10	-1451.01	2912.02	292.1	19895.16	1.3932,0.0613,3.6207,4.3442,0.0279
our_model	Round_3_Replicate_1	-1316.24	2642.48	10.63	19914.17	1.0139,0.1073,4.9526,1.9673,0.0519
our_model	Round_3_Replicate_2	-1312.07	2634.14	2.28	20028.65	0.9977,0.0963,4.9912,2.7877,0.0486
our_model	Round_3_Replicate_3	-1316.06	2642.12	10.28	20100.16	0.9382,0.0999,5.0534,2.5407,0.0496
our_model	Round_3_Replicate_4	-1318.96	2647.92	15.95	19948.59	1.0412,0.0919,4.4883,2.6319,0.0442
our_model	Round_3_Replicate_5	-1377.23	2764.46	138.26	20046.66	1.1243,0.0737,4.5324,2.7488,0.034
our_model	Round_3_Replicate_6	-1316.09	2642.18	10.33	20028.82	1.0052,0.092,4.8327,2.9675,0.0456
our_model	Round_3_Replicate_7	-1542.46	3094.92	491.11	20020.28	1.408,0.0472,2.8098,6.323,0.0212
our_model	Round_3_Replicate_8	-1324.83	2659.66	27.86	20187.1	0.9255,0.0903,5.0333,2.5918,0.0433
our_model	Round_3_Replicate_9	-2807.74	5625.48	2869.06	40874.55	0.3971,0.0715,8.2933,9.2765,0.6224
our_model	Round_3_Replicate_10	-1381.92	2773.84	145.74	20199.16	0.998,0.0678,4.4295,4.3809,0.0329
our_model	Round_4_Replicate_1	-1325.42	2660.84	29.28	20083.94	1.0021,0.0855,4.7802,3.0085,0.0414
our_model	Round_4_Replicate_2	-1333.16	2676.32	45.06	19919.98	1.1281,0.0859,4.69,2.9333,0.0414
our_model	Round_4_Replicate_3	-1342.91	2695.82	63.1	19724.39	1.0494,0.123,4.9408,1.7306,0.0611
our_model	Round_4_Replicate_4	-1311.17	2632.34	0.48	19995.93	0.9972,0.1016,5.0325,2.3759,0.0505
our_model	Round_4_Replicate_5	-1311.05	2632.1	0.25	19992.98	1.0005,0.1009,4.9971,2.5042,0.0508
our_model	Round_4_Replicate_6	-1318.73	2647.46	15.59	20074.86	0.9425,0.1091,5.3514,2.0891,0.0548
our_model	Round_4_Replicate_7	-1311.77	2633.54	1.69	20035.49	0.9934,0.0966,4.9941,2.7124,0.0485
our_model	Round_4_Replicate_8	-1314.41	2638.82	7.01	20084.94	0.9815,0.0941,5.0954,2.507,0.0459
our_model	Round_4_Replicate_9	-1317.17	2644.34	12.57	20061.45	1.0031,0.09,4.9016,2.9913,0.0449
our_model	Round_4_Replicate_10	-1312.05	2634.1	2.24	19929.5	1.0191,0.103,4.8905,2.4059,0.0512
our_model	Round_4_Replicate_11	-1312.54	2635.08	3.22	20033.53	0.9991,0.095,4.939,2.7552,0.0475
our_model	Round_4_Replicate_12	-1316.8	2643.6	11.71	19823.71	1.0694,0.1057,4.7931,2.3588,0.0533
our_model	Round_4_Replicate_13	-1318.58	2647.16	15.42	20081.89	0.9923,0.0893,4.9112,2.892,0.0438
our_model	Round_4_Replicate_14	-1313.1	2636.2	4.34	20027.75	1.0025,0.0943,4.9095,2.7653,0.0468
our_model	Round_4_Replicate_15	-1339.91	2689.82	58.62	20073.56	1.0092,0.0853,4.6864,2.1527,0.0385
our_model	Round_4_Replicate_16	-1311.26	2632.52	0.65	20000.91	0.9904,0.1016,4.9909,2.4755,0.051
our_model	Round_4_Replicate_17	-1334.82	2679.64	47.33	19937.93	1.068,0.084,4.1585,3.5871,0.0413
our_model	Round_4_Replicate_18	-1328.67	2667.34	36.12	20155.4	0.9831,0.0854,5.2027,2.8387,0.0411
our_model	Round_4_Replicate_19	-1353.32	2716.64	86.35	19913.46	1.1719,0.0796,4.5226,3.3441,0.0379
our_model	Round_4_Replicate_20	-1312.64	2635.28	3.42	19990.44	0.9903,0.1051,5.0984,2.2958,0.0529
