330476  , -67190      , array([ 0.0220061  ,  0.38812    ,  4.76584e-07,  1.0456e-44 ,  0.00038662 ])
330477  , -67198.3    , array([ 0.0220281  ,  0.38812    ,  4.76584e-07,  1.0456e-44 ,  0.00038662 ])
330478  , -67191      , array([ 0.0220061  ,  0.388508   ,  4.76584e-07,  1.0456e-44 ,  0.00038662 ])
330479  , -67190      , array([ 0.0220061  ,  0.38812    ,  4.77061e-07,  1.0456e-44 ,  0.00038662 ])
330480  , -67190      , array([ 0.0220061  ,  0.38812    ,  4.76584e-07,  1.04664e-44,  0.00038662 ])
330481  , -67180.9    , array([ 0.0220061  ,  0.38812    ,  4.76584e-07,  1.0456e-44 ,  0.000387007])
330482  , -67190      , array([ 0.0220061  ,  0.38812    ,  4.76584e-07,  1.0456e-44 ,  0.00038662 ])
330483  , -54027.7    , array([ 0.0112359  ,  0.360119   ,  4.76584e-07,  1.0456e-44 ,  0.00081855 ])
330484  , -54027.7    , array([ 0.0112359  ,  0.360119   ,  4.76584e-07,  1.0456e-44 ,  0.00081855 ])
330485  , -54032.1    , array([ 0.0112472  ,  0.360119   ,  4.76584e-07,  1.0456e-44 ,  0.00081855 ])
330486  , -54029.1    , array([ 0.0112359  ,  0.360479   ,  4.76584e-07,  1.0456e-44 ,  0.00081855 ])
330487  , -54027.7    , array([ 0.0112359  ,  0.360119   ,  4.77061e-07,  1.0456e-44 ,  0.00081855 ])
330488  , -54027.7    , array([ 0.0112359  ,  0.360119   ,  4.76584e-07,  1.04664e-44,  0.00081855 ])
330489  , -54021.8    , array([ 0.0112359  ,  0.360119   ,  4.76584e-07,  1.0456e-44 ,  0.000819369])
330497  , -54026.5    , array([ 0.0112377  ,  0.359998   ,  4.76584e-07,  1.0456e-44 ,  0.000818746])
330498  , -54026.5    , array([ 0.0112377  ,  0.359998   ,  4.76584e-07,  1.0456e-44 ,  0.000818746])
330499  , -54030.9    , array([ 0.011249   ,  0.359998   ,  4.76584e-07,  1.0456e-44 ,  0.000818746])
330500  , -54027.9    , array([ 0.0112377  ,  0.360358   ,  4.76584e-07,  1.0456e-44 ,  0.000818746])
330501  , -54026.5    , array([ 0.0112377  ,  0.359998   ,  4.77061e-07,  1.0456e-44 ,  0.000818746])
330502  , -54026.5    , array([ 0.0112377  ,  0.359998   ,  4.76584e-07,  1.04664e-44,  0.000818746])
330503  , -54020.6    , array([ 0.0112377  ,  0.359998   ,  4.76584e-07,  1.0456e-44 ,  0.000819565])
330504  , -54025.4    , array([ 0.0112396  ,  0.359878   ,  4.76584e-07,  1.0456e-44 ,  0.000818942])
330505  , -54025.4    , array([ 0.0112396  ,  0.359878   ,  4.76584e-07,  1.0456e-44 ,  0.000818942])
330506  , -54029.7    , array([ 0.0112508  ,  0.359878   ,  4.76584e-07,  1.0456e-44 ,  0.000818942])
330507  , -54026.7    , array([ 0.0112396  ,  0.360238   ,  4.76584e-07,  1.0456e-44 ,  0.000818942])
330508  , -54025.4    , array([ 0.0112396  ,  0.359878   ,  4.77061e-07,  1.0456e-44 ,  0.000818942])
330509  , -54025.4    , array([ 0.0112396  ,  0.359878   ,  4.76584e-07,  1.04664e-44,  0.000818942])
330510  , -54019.4    , array([ 0.0112396  ,  0.359878   ,  4.76584e-07,  1.0456e-44 ,  0.000819761])
330511  , -44652.4    , array([ 0.0689864  ,  0.00822388 ,  4.76584e-07,  1.0456e-44 ,  0.0121774  ])
330512  , -44652.4    , array([ 0.0689864  ,  0.00822388 ,  4.76584e-07,  1.0456e-44 ,  0.0121774  ])
330513  , -44642.4    , array([ 0.0690554  ,  0.00822388 ,  4.76584e-07,  1.0456e-44 ,  0.0121774  ])
330514  , -44599.5    , array([ 0.0689864  ,  0.00823211 ,  4.76584e-07,  1.0456e-44 ,  0.0121774  ])
330515  , -44652.4    , array([ 0.0689864  ,  0.00822388 ,  4.77061e-07,  1.0456e-44 ,  0.0121774  ])
330516  , -44652.4    , array([ 0.0689864  ,  0.00822388 ,  4.76584e-07,  1.04664e-44,  0.0121774  ])
330517  , -44713.1    , array([ 0.0689864  ,  0.00822388 ,  4.76584e-07,  1.0456e-44 ,  0.0121896  ])
