246964  , -78318.8    , array([ 3.1278     ,  0.181618   ,  2.19568e-72,  3.153e-26  ,  0.000115091])
246965  , -78318.8    , array([ 3.13093    ,  0.181618   ,  2.19568e-72,  3.153e-26  ,  0.000115091])
246966  , -78319.5    , array([ 3.1278     ,  0.1818     ,  2.19568e-72,  3.153e-26  ,  0.000115091])
246967  , -78318.8    , array([ 3.1278     ,  0.181618   ,  2.19788e-72,  3.153e-26  ,  0.000115091])
246968  , -78318.8    , array([ 3.1278     ,  0.181618   ,  2.19568e-72,  3.15616e-26,  0.000115091])
246969  , -78318      , array([ 3.1278     ,  0.181618   ,  2.19568e-72,  3.153e-26  ,  0.000115207])
246970  , -78318.8    , array([ 3.1278     ,  0.181618   ,  2.19568e-72,  3.153e-26  ,  0.000115091])
246971  , -76003.9    , array([ 3.04281    ,  0.0903009  ,  2.19568e-72,  3.153e-26  ,  0.000238526])
246972  , -76003.9    , array([ 3.04281    ,  0.0903009  ,  2.19568e-72,  3.153e-26  ,  0.000238526])
246973  , -76003.9    , array([ 3.04586    ,  0.0903009  ,  2.19568e-72,  3.153e-26  ,  0.000238526])
246974  , -76006.8    , array([ 3.04281    ,  0.0903912  ,  2.19568e-72,  3.153e-26  ,  0.000238526])
246975  , -76003.9    , array([ 3.04281    ,  0.0903009  ,  2.19788e-72,  3.153e-26  ,  0.000238526])
246976  , -76003.9    , array([ 3.04281    ,  0.0903009  ,  2.19568e-72,  3.15616e-26,  0.000238526])
246977  , -76000.9    , array([ 3.04281    ,  0.0903009  ,  2.19568e-72,  3.153e-26  ,  0.000238765])
246978  , -14206.5    , array([ 2.72535    ,  0.00551856 ,  2.19568e-72,  3.153e-26  ,  0.00440055 ])
246979  , -14206.5    , array([ 2.72535    ,  0.00551856 ,  2.19568e-72,  3.153e-26  ,  0.00440055 ])
246980  , -14206.5    , array([ 2.72807    ,  0.00551856 ,  2.19568e-72,  3.153e-26  ,  0.00440055 ])
246981  , -14176.9    , array([ 2.72535    ,  0.00552408 ,  2.19568e-72,  3.153e-26  ,  0.00440055 ])
246982  , -14206.5    , array([ 2.72535    ,  0.00551856 ,  2.19788e-72,  3.153e-26  ,  0.00440055 ])
246983  , -14206.5    , array([ 2.72535    ,  0.00551856 ,  2.19568e-72,  3.15616e-26,  0.00440055 ])
246984  , -14235.3    , array([ 2.72535    ,  0.00551856 ,  2.19568e-72,  3.153e-26  ,  0.00440495 ])
246985  , -73977.1    , array([ 3.01199    ,  0.0697464  ,  2.19568e-72,  3.153e-26  ,  0.000312264])
246986  , -73977.1    , array([ 3.01199    ,  0.0697464  ,  2.19568e-72,  3.153e-26  ,  0.000312264])
246987  , -73977.2    , array([ 3.015      ,  0.0697464  ,  2.19568e-72,  3.153e-26  ,  0.000312264])
246988  , -73981.9    , array([ 3.01199    ,  0.0698161  ,  2.19568e-72,  3.153e-26  ,  0.000312264])
246989  , -73977.1    , array([ 3.01199    ,  0.0697464  ,  2.19788e-72,  3.153e-26  ,  0.000312264])
246990  , -73977.1    , array([ 3.01199    ,  0.0697464  ,  2.19568e-72,  3.15616e-26,  0.000312264])
246991  , -73972.2    , array([ 3.01199    ,  0.0697464  ,  2.19568e-72,  3.153e-26  ,  0.000312576])
246992  , -3006.97    , array([ 2.77955    ,  0.00909462 ,  2.19568e-72,  3.153e-26  ,  0.00261358 ])
246993  , -3006.97    , array([ 2.77955    ,  0.00909462 ,  2.19568e-72,  3.153e-26  ,  0.00261358 ])
246994  , -3007       , array([ 2.78233    ,  0.00909462 ,  2.19568e-72,  3.153e-26  ,  0.00261358 ])
246995  , -3012.76    , array([ 2.77955    ,  0.00910372 ,  2.19568e-72,  3.153e-26  ,  0.00261358 ])
246996  , -3006.97    , array([ 2.77955    ,  0.00909462 ,  2.19788e-72,  3.153e-26  ,  0.00261358 ])
246997  , -3006.97    , array([ 2.77955    ,  0.00909462 ,  2.19568e-72,  3.15616e-26,  0.00261358 ])
246998  , -3001.03    , array([ 2.77955    ,  0.00909462 ,  2.19568e-72,  3.153e-26  ,  0.00261619 ])
246999  , -2438.71    , array([ 2.76943    ,  0.00829067 ,  2.19568e-72,  3.153e-26  ,  0.00287843 ])
247000  , -2438.71    , array([ 2.76943    ,  0.00829067 ,  2.19568e-72,  3.153e-26  ,  0.00287843 ])
247001  , -2438.73    , array([ 2.7722     ,  0.00829067 ,  2.19568e-72,  3.153e-26  ,  0.00287843 ])
247002  , -2438.67    , array([ 2.76943    ,  0.00829897 ,  2.19568e-72,  3.153e-26  ,  0.00287843 ])
247003  , -2438.71    , array([ 2.76943    ,  0.00829067 ,  2.19788e-72,  3.153e-26  ,  0.00287843 ])
247004  , -2438.71    , array([ 2.76943    ,  0.00829067 ,  2.19568e-72,  3.15616e-26,  0.00287843 ])
247005  , -2438.54    , array([ 2.76943    ,  0.00829067 ,  2.19568e-72,  3.153e-26  ,  0.00288131 ])
247013  , -2437.25    , array([ 2.76648    ,  0.00833015 ,  2.19568e-72,  3.153e-26  ,  0.00289648 ])
247014  , -2437.25    , array([ 2.76648    ,  0.00833015 ,  2.19568e-72,  3.153e-26  ,  0.00289648 ])
247015  , -2437.28    , array([ 2.76924    ,  0.00833015 ,  2.19568e-72,  3.153e-26  ,  0.00289648 ])
247016  , -2437.16    , array([ 2.76648    ,  0.00833848 ,  2.19568e-72,  3.153e-26  ,  0.00289648 ])
247017  , -2437.25    , array([ 2.76648    ,  0.00833015 ,  2.19788e-72,  3.153e-26  ,  0.00289648 ])
247018  , -2437.25    , array([ 2.76648    ,  0.00833015 ,  2.19568e-72,  3.15616e-26,  0.00289648 ])
247019  , -2437.13    , array([ 2.76648    ,  0.00833015 ,  2.19568e-72,  3.153e-26  ,  0.00289938 ])
247020  , -2436.29    , array([ 2.76446    ,  0.00835731 ,  2.19568e-72,  3.153e-26  ,  0.00290892 ])
247021  , -2436.29    , array([ 2.76446    ,  0.00835731 ,  2.19568e-72,  3.153e-26  ,  0.00290892 ])
247022  , -2436.31    , array([ 2.76722    ,  0.00835731 ,  2.19568e-72,  3.153e-26  ,  0.00290892 ])
247023  , -2436.17    , array([ 2.76446    ,  0.00836568 ,  2.19568e-72,  3.153e-26  ,  0.00290892 ])
247024  , -2436.29    , array([ 2.76446    ,  0.00835731 ,  2.19788e-72,  3.153e-26  ,  0.00290892 ])
247025  , -2436.29    , array([ 2.76446    ,  0.00835731 ,  2.19568e-72,  3.15616e-26,  0.00290892 ])
247026  , -2436.19    , array([ 2.76446    ,  0.00835731 ,  2.19568e-72,  3.153e-26  ,  0.00291183 ])
247034  , -2435.97    , array([ 2.76378    ,  0.00836648 ,  2.19568e-72,  3.153e-26  ,  0.00291312 ])
247035  , -2435.97    , array([ 2.76378    ,  0.00836648 ,  2.19568e-72,  3.153e-26  ,  0.00291312 ])
247036  , -2435.99    , array([ 2.76654    ,  0.00836648 ,  2.19568e-72,  3.153e-26  ,  0.00291312 ])
247037  , -2435.84    , array([ 2.76378    ,  0.00837485 ,  2.19568e-72,  3.153e-26  ,  0.00291312 ])
247038  , -2435.97    , array([ 2.76378    ,  0.00836648 ,  2.19788e-72,  3.153e-26  ,  0.00291312 ])
247039  , -2435.97    , array([ 2.76378    ,  0.00836648 ,  2.19568e-72,  3.15616e-26,  0.00291312 ])
247040  , -2435.88    , array([ 2.76378    ,  0.00836648 ,  2.19568e-72,  3.153e-26  ,  0.00291604 ])
247041  , -2435.76    , array([ 2.76332    ,  0.00837268 ,  2.19568e-72,  3.153e-26  ,  0.00291597 ])
247042  , -2435.76    , array([ 2.76332    ,  0.00837268 ,  2.19568e-72,  3.153e-26  ,  0.00291597 ])
247043  , -2435.78    , array([ 2.76608    ,  0.00837268 ,  2.19568e-72,  3.153e-26  ,  0.00291597 ])
247044  , -2435.62    , array([ 2.76332    ,  0.00838105 ,  2.19568e-72,  3.153e-26  ,  0.00291597 ])
247045  , -2435.76    , array([ 2.76332    ,  0.00837268 ,  2.19788e-72,  3.153e-26  ,  0.00291597 ])
247046  , -2435.76    , array([ 2.76332    ,  0.00837268 ,  2.19568e-72,  3.15616e-26,  0.00291597 ])
247047  , -2435.68    , array([ 2.76332    ,  0.00837268 ,  2.19568e-72,  3.153e-26  ,  0.00291888 ])
247055  , -2435.68    , array([ 2.76315    ,  0.00837493 ,  2.19568e-72,  3.153e-26  ,  0.002917   ])
247056  , -2435.68    , array([ 2.76315    ,  0.00837493 ,  2.19568e-72,  3.153e-26  ,  0.002917   ])
247057  , -2435.7     , array([ 2.76591    ,  0.00837493 ,  2.19568e-72,  3.153e-26  ,  0.002917   ])
247058  , -2435.54    , array([ 2.76315    ,  0.00838331 ,  2.19568e-72,  3.153e-26  ,  0.002917   ])
247059  , -2435.68    , array([ 2.76315    ,  0.00837493 ,  2.19788e-72,  3.153e-26  ,  0.002917   ])
247060  , -2435.68    , array([ 2.76315    ,  0.00837493 ,  2.19568e-72,  3.15616e-26,  0.002917   ])
247061  , -2435.6     , array([ 2.76315    ,  0.00837493 ,  2.19568e-72,  3.153e-26  ,  0.00291992 ])
247062  , -2435.63    , array([ 2.76304    ,  0.00837644 ,  2.19568e-72,  3.153e-26  ,  0.00291769 ])
247063  , -2435.63    , array([ 2.76304    ,  0.00837644 ,  2.19568e-72,  3.153e-26  ,  0.00291769 ])
247064  , -2435.65    , array([ 2.7658     ,  0.00837644 ,  2.19568e-72,  3.153e-26  ,  0.00291769 ])
247065  , -2435.49    , array([ 2.76304    ,  0.00838483 ,  2.19568e-72,  3.153e-26  ,  0.00291769 ])
247066  , -2435.63    , array([ 2.76304    ,  0.00837644 ,  2.19788e-72,  3.153e-26  ,  0.00291769 ])
247067  , -2435.63    , array([ 2.76304    ,  0.00837644 ,  2.19568e-72,  3.15616e-26,  0.00291769 ])
247068  , -2435.55    , array([ 2.76304    ,  0.00837644 ,  2.19568e-72,  3.153e-26  ,  0.00292061 ])
247076  , -2435.61    , array([ 2.763      ,  0.008377   ,  2.19568e-72,  3.153e-26  ,  0.00291795 ])
247077  , -2435.61    , array([ 2.763      ,  0.008377   ,  2.19568e-72,  3.153e-26  ,  0.00291795 ])
247078  , -2435.63    , array([ 2.76576    ,  0.008377   ,  2.19568e-72,  3.153e-26  ,  0.00291795 ])
247079  , -2435.47    , array([ 2.763      ,  0.00838539 ,  2.19568e-72,  3.153e-26  ,  0.00291795 ])
247080  , -2435.61    , array([ 2.763      ,  0.008377   ,  2.19788e-72,  3.153e-26  ,  0.00291795 ])
247081  , -2435.61    , array([ 2.763      ,  0.008377   ,  2.19568e-72,  3.15616e-26,  0.00291795 ])
247082  , -2435.54    , array([ 2.763      ,  0.008377   ,  2.19568e-72,  3.153e-26  ,  0.00292087 ])
247083  , -2435.6     , array([ 2.76297    ,  0.00837738 ,  2.19568e-72,  3.153e-26  ,  0.00291812 ])
247084  , -2435.6     , array([ 2.76297    ,  0.00837738 ,  2.19568e-72,  3.153e-26  ,  0.00291812 ])
247085  , -2435.62    , array([ 2.76573    ,  0.00837738 ,  2.19568e-72,  3.153e-26  ,  0.00291812 ])
247086  , -2435.45    , array([ 2.76297    ,  0.00838576 ,  2.19568e-72,  3.153e-26  ,  0.00291812 ])
247087  , -2435.6     , array([ 2.76297    ,  0.00837738 ,  2.19788e-72,  3.153e-26  ,  0.00291812 ])
