Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params( )
our_model	Round_1_Replicate_1	-2139.11	4288.22	1594.05	4999.23	3.76,0.4435,0.7418,1.8575,30.0
our_model	Round_1_Replicate_2	-2011.92	4033.84	1345.42	8814.14	2.2164,0.1962,1.3321,4.3122,30.0
our_model	Round_1_Replicate_3	-2387.19	4784.38	2048.83	5082.55	3.5412,0.5514,0.7548,1.4488,30.0
our_model	Round_1_Replicate_4	-2030.91	4071.82	1384.21	6004.86	3.2271,0.3047,0.9024,2.7612,30.0
our_model	Round_1_Replicate_5	-2005.96	4021.92	1332.99	9012.93	2.1741,0.1878,1.3653,4.5151,30.0
our_model	Round_1_Replicate_6	-2080.83	4171.66	1482.61	5311.62	3.5901,0.3824,0.7917,2.1755,30.0
our_model	Round_1_Replicate_7	-2042.39	4094.78	1449.29	18086.53	1.7401,0.198,3.5828,0.1495,0.0833
our_model	Round_1_Replicate_8	-2659.49	5328.98	2530.29	3545.2	4.9141,0.9287,0.5316,0.8392,30.0
our_model	Round_1_Replicate_9	-1999.37	4008.74	1319.01	7819.89	2.5154,0.2106,1.1884,4.037,30.0
our_model	Round_1_Replicate_10	-2064.12	4138.24	1450.17	4480.32	4.2791,0.4392,0.6689,1.9011,30.0
our_model	Round_2_Replicate_1	-1980.26	3970.52	1271.09	6767.45	2.9896,0.1952,1.0629,4.4402,30.0
our_model	Round_2_Replicate_2	-1980.24	3970.48	1272.02	4622.64	4.3686,0.291,0.7232,2.9745,30.0
our_model	Round_2_Replicate_3	-1979.78	3969.56	1271.61	12034.11	1.6744,0.1133,1.8785,7.6294,30.0
our_model	Round_2_Replicate_4	-1981.15	3972.3	1276.81	5046.56	3.9709,0.2835,0.7818,3.037,30.0
our_model	Round_2_Replicate_5	-1984.72	3979.44	1286.13	4803.61	4.1476,0.312,0.7388,2.7486,30.0
our_model	Round_2_Replicate_6	-1980.34	3970.68	1272.18	4499.99	4.4886,0.2986,0.704,2.8988,30.0
our_model	Round_2_Replicate_7	-1980.6	3971.2	1271.29	6551.22	3.092,0.1997,1.0308,4.3445,30.0
our_model	Round_2_Replicate_8	-1979.78	3969.56	1271.68	10325.69	1.9519,0.132,1.6128,6.5471,30.0
our_model	Round_2_Replicate_9	-1980.75	3971.5	1275.69	5539.03	3.6203,0.2567,0.859,3.3558,30.0
our_model	Round_2_Replicate_10	-1979.78	3969.56	1271.68	8020.57	2.5129,0.17,1.2527,5.0855,30.0
our_model	Round_2_Replicate_11	-1982.4	3974.8	1280.37	5845.12	3.418,0.2504,0.9025,3.4307,30.0
our_model	Round_2_Replicate_12	-1979.78	3969.56	1271.63	7609.79	2.6483,0.1791,1.1882,4.8265,30.0
our_model	Round_2_Replicate_13	-2000.67	4011.34	1321.77	6301.59	3.1191,0.2628,0.957,3.2333,30.0
our_model	Round_2_Replicate_14	-1981.35	3972.7	1271.96	8897.53	2.2811,0.1446,1.4043,6.0092,30.0
our_model	Round_2_Replicate_15	-1979.78	3969.56	1271.62	9787.32	2.0588,0.1393,1.5279,6.2049,30.0
our_model	Round_2_Replicate_16	-2022.27	4054.54	1366.71	5967.03	3.2589,0.2994,0.8987,2.8168,30.0
our_model	Round_2_Replicate_17	-1983.71	3977.42	1274.98	8844.18	2.3042,0.1404,1.4053,6.2025,30.0
our_model	Round_2_Replicate_18	-1995.75	4001.5	1311.2	7886.74	2.4999,0.2052,1.2011,4.1493,30.0
our_model	Round_2_Replicate_19	-1982.86	3975.72	1273.81	8095.21	2.5142,0.1551,1.2835,5.61,30.0
our_model	Round_2_Replicate_20	-1980.71	3971.42	1271.38	6248.32	3.2428,0.2088,0.9835,4.1548,30.0
