310910  , -66548.4    , array([ 0.379463   ,  5.80607    ,  3.75126e-19,  0.00131639 ,  0.00674045 ])
310911  , -66557      , array([ 0.379842   ,  5.80607    ,  3.75126e-19,  0.00131639 ,  0.00674045 ])
310912  , -66549.5    , array([ 0.379463   ,  5.81187    ,  3.75126e-19,  0.00131639 ,  0.00674045 ])
310913  , -66548.4    , array([ 0.379463   ,  5.80607    ,  3.75501e-19,  0.00131639 ,  0.00674045 ])
310914  , -66548.4    , array([ 0.379463   ,  5.80607    ,  3.75126e-19,  0.00131771 ,  0.00674045 ])
310915  , -66538.4    , array([ 0.379463   ,  5.80607    ,  3.75126e-19,  0.00131639 ,  0.00674719 ])
310916  , -66548.4    , array([ 0.379463   ,  5.80607    ,  3.75126e-19,  0.00131639 ,  0.00674045 ])
310917  , -51268.8    , array([ 0.196517   ,  5.35629    ,  3.75126e-19,  0.00131637 ,  0.0144416  ])
310918  , -51268.8    , array([ 0.196517   ,  5.35629    ,  3.75126e-19,  0.00131637 ,  0.0144416  ])
310919  , -51275.2    , array([ 0.196714   ,  5.35629    ,  3.75126e-19,  0.00131637 ,  0.0144416  ])
310920  , -51270.4    , array([ 0.196517   ,  5.36165    ,  3.75126e-19,  0.00131637 ,  0.0144416  ])
310921  , -51268.8    , array([ 0.196517   ,  5.35629    ,  3.75501e-19,  0.00131637 ,  0.0144416  ])
310922  , -51268.8    , array([ 0.196517   ,  5.35629    ,  3.75126e-19,  0.00131769 ,  0.0144416  ])
310923  , -51259.1    , array([ 0.196517   ,  5.35629    ,  3.75126e-19,  0.00131637 ,  0.0144561  ])
310924  , -107953     , array([ 0.209694   ,  1.97097    ,  3.75126e-19,  0.00131561 ,  0.303836   ])
310925  , -107953     , array([ 0.209694   ,  1.97097    ,  3.75126e-19,  0.00131561 ,  0.303836   ])
310926  , -107871     , array([ 0.209904   ,  1.97097    ,  3.75126e-19,  0.00131561 ,  0.303836   ])
310927  , -107968     , array([ 0.209694   ,  1.97294    ,  3.75126e-19,  0.00131561 ,  0.303836   ])
310928  , -107953     , array([ 0.209694   ,  1.97097    ,  3.75501e-19,  0.00131561 ,  0.303836   ])
310929  , -107953     , array([ 0.209694   ,  1.97097    ,  3.75126e-19,  0.00131693 ,  0.303836   ])
310930  , -108023     , array([ 0.209694   ,  1.97097    ,  3.75126e-19,  0.00131561 ,  0.30414    ])
310931  , -46933.6    , array([ 0.199349   ,  4.29677    ,  3.75126e-19,  0.00131621 ,  0.028268   ])
310932  , -46933.6    , array([ 0.199349   ,  4.29677    ,  3.75126e-19,  0.00131621 ,  0.028268   ])
310933  , -46927.5    , array([ 0.199549   ,  4.29677    ,  3.75126e-19,  0.00131621 ,  0.028268   ])
310934  , -46936.3    , array([ 0.199349   ,  4.30107    ,  3.75126e-19,  0.00131621 ,  0.028268   ])
310935  , -46933.6    , array([ 0.199349   ,  4.29677    ,  3.75501e-19,  0.00131621 ,  0.028268   ])
310936  , -46933.6    , array([ 0.199349   ,  4.29677    ,  3.75126e-19,  0.00131752 ,  0.028268   ])
310937  , -46932.9    , array([ 0.199349   ,  4.29677    ,  3.75126e-19,  0.00131621 ,  0.0282963  ])
310938  , -71852.2    , array([ 0.0370725  ,  0.00345661 ,  3.75126e-19,  0.00131873 ,  0.00746573 ])
310939  , -71852.2    , array([ 0.0370725  ,  0.00345661 ,  3.75126e-19,  0.00131873 ,  0.00746573 ])
310940  , -71841.7    , array([ 0.0371096  ,  0.00345661 ,  3.75126e-19,  0.00131873 ,  0.00746573 ])
310941  , -71772      , array([ 0.0370725  ,  0.00346007 ,  3.75126e-19,  0.00131873 ,  0.00746573 ])
310942  , -71852.2    , array([ 0.0370725  ,  0.00345661 ,  3.75501e-19,  0.00131873 ,  0.00746573 ])
310943  , -71852.2    , array([ 0.0370725  ,  0.00345661 ,  3.75126e-19,  0.00132005 ,  0.00746573 ])
310944  , -71940.8    , array([ 0.0370725  ,  0.00345661 ,  3.75126e-19,  0.00131873 ,  0.0074732  ])
310945  , -33771.2    , array([ 0.105764   ,  0.293178   ,  3.75126e-19,  0.00131716 ,  0.0171167  ])
310946  , -33771.2    , array([ 0.105764   ,  0.293178   ,  3.75126e-19,  0.00131716 ,  0.0171167  ])
310947  , -33755.8    , array([ 0.10587    ,  0.293178   ,  3.75126e-19,  0.00131716 ,  0.0171167  ])
310948  , -33784.9    , array([ 0.105764   ,  0.293471   ,  3.75126e-19,  0.00131716 ,  0.0171167  ])
310949  , -33771.2    , array([ 0.105764   ,  0.293178   ,  3.75501e-19,  0.00131716 ,  0.0171167  ])
310950  , -33771.2    , array([ 0.105764   ,  0.293178   ,  3.75126e-19,  0.00131847 ,  0.0171167  ])
310951  , -33769.9    , array([ 0.105764   ,  0.293178   ,  3.75126e-19,  0.00131716 ,  0.0171338  ])
310952  , -14089.6    , array([ 0.0616125  ,  0.0297258  ,  3.75126e-19,  0.00131797 ,  0.0111605  ])
310953  , -14089.6    , array([ 0.0616125  ,  0.0297258  ,  3.75126e-19,  0.00131797 ,  0.0111605  ])
310954  , -14071.6    , array([ 0.0616742  ,  0.0297258  ,  3.75126e-19,  0.00131797 ,  0.0111605  ])
310955  , -14090.2    , array([ 0.0616125  ,  0.0297555  ,  3.75126e-19,  0.00131797 ,  0.0111605  ])
310956  , -14089.6    , array([ 0.0616125  ,  0.0297258  ,  3.75501e-19,  0.00131797 ,  0.0111605  ])
310957  , -14089.6    , array([ 0.0616125  ,  0.0297258  ,  3.75126e-19,  0.00131929 ,  0.0111605  ])
310958  , -14105.3    , array([ 0.0616125  ,  0.0297258  ,  3.75126e-19,  0.00131797 ,  0.0111717  ])
310966  , -14089.4    , array([ 0.0616112  ,  0.0297234  ,  3.75126e-19,  0.00131797 ,  0.0111602  ])
310967  , -14089.4    , array([ 0.0616112  ,  0.0297234  ,  3.75126e-19,  0.00131797 ,  0.0111602  ])
310968  , -14071.5    , array([ 0.0616729  ,  0.0297234  ,  3.75126e-19,  0.00131797 ,  0.0111602  ])
310969  , -14090.1    , array([ 0.0616112  ,  0.0297531  ,  3.75126e-19,  0.00131797 ,  0.0111602  ])
310970  , -14089.4    , array([ 0.0616112  ,  0.0297234  ,  3.75501e-19,  0.00131797 ,  0.0111602  ])
310971  , -14089.4    , array([ 0.0616112  ,  0.0297234  ,  3.75126e-19,  0.00131929 ,  0.0111602  ])
310972  , -14105.2    , array([ 0.0616112  ,  0.0297234  ,  3.75126e-19,  0.00131797 ,  0.0111714  ])
310973  , -13995      , array([ 0.0595099  ,  0.0260108  ,  3.75126e-19,  0.00133019 ,  0.0106563  ])
310974  , -13995      , array([ 0.0595099  ,  0.0260108  ,  3.75126e-19,  0.00133019 ,  0.0106563  ])
310975  , -13977.7    , array([ 0.0595694  ,  0.0260108  ,  3.75126e-19,  0.00133019 ,  0.0106563  ])
310976  , -13993.4    , array([ 0.0595099  ,  0.0260368  ,  3.75126e-19,  0.00133019 ,  0.0106563  ])
310977  , -13995      , array([ 0.0595099  ,  0.0260108  ,  3.75501e-19,  0.00133019 ,  0.0106563  ])
310978  , -13995      , array([ 0.0595099  ,  0.0260108  ,  3.75126e-19,  0.00133152 ,  0.0106563  ])
310979  , -14012.5    , array([ 0.0595099  ,  0.0260108  ,  3.75126e-19,  0.00133019 ,  0.010667   ])
310980  , -13804.9    , array([ 0.0603141  ,  0.0261633  ,  3.75126e-19,  0.0013399  ,  0.0106871  ])
310981  , -13804.9    , array([ 0.0603141  ,  0.0261633  ,  3.75126e-19,  0.0013399  ,  0.0106871  ])
310982  , -13787.8    , array([ 0.0603745  ,  0.0261633  ,  3.75126e-19,  0.0013399  ,  0.0106871  ])
310983  , -13803.3    , array([ 0.0603141  ,  0.0261895  ,  3.75126e-19,  0.0013399  ,  0.0106871  ])
310984  , -13804.9    , array([ 0.0603141  ,  0.0261633  ,  3.75501e-19,  0.0013399  ,  0.0106871  ])
310985  , -13804.9    , array([ 0.0603141  ,  0.0261633  ,  3.75126e-19,  0.00134124 ,  0.0106871  ])
310986  , -13822.2    , array([ 0.0603141  ,  0.0261633  ,  3.75126e-19,  0.0013399  ,  0.0106978  ])
310987  , -13066.3    , array([ 0.0636413  ,  0.0267823  ,  3.75126e-19,  0.00137948 ,  0.0108113  ])
310988  , -13066.3    , array([ 0.0636413  ,  0.0267823  ,  3.75126e-19,  0.00137948 ,  0.0108113  ])
310989  , -13050      , array([ 0.063705   ,  0.0267823  ,  3.75126e-19,  0.00137948 ,  0.0108113  ])
310990  , -13064.8    , array([ 0.0636413  ,  0.0268091  ,  3.75126e-19,  0.00137948 ,  0.0108113  ])
310991  , -13066.3    , array([ 0.0636413  ,  0.0267823  ,  3.75501e-19,  0.00137948 ,  0.0108113  ])
310992  , -13066.3    , array([ 0.0636413  ,  0.0267823  ,  3.75126e-19,  0.00138086 ,  0.0108113  ])
