295167  , -79089.4    , array([ 2.84067    ,  0.179511   ,  5.28752    ,  7.31715e-33,  6.18849e-12])
295168  , -79089.4    , array([ 2.84351    ,  0.179511   ,  5.28752    ,  7.31715e-33,  6.18849e-12])
295169  , -79089.4    , array([ 2.84067    ,  0.179691   ,  5.28752    ,  7.31715e-33,  6.18849e-12])
295170  , -79089.4    , array([ 2.84067    ,  0.179511   ,  5.29281    ,  7.31715e-33,  6.18849e-12])
295171  , -79089.4    , array([ 2.84067    ,  0.179511   ,  5.28752    ,  7.32447e-33,  6.18849e-12])
295172  , -79089.4    , array([ 2.84067    ,  0.179511   ,  5.28752    ,  7.31715e-33,  6.19468e-12])
295173  , -79089.4    , array([ 2.84067    ,  0.179511   ,  5.28752    ,  7.31715e-33,  6.18849e-12])
295174  , -79089.4    , array([ 2.84066    ,  0.179504   ,  5.28752    ,  7.31715e-33,  6.18875e-12])
295175  , -79089.4    , array([ 2.84066    ,  0.179504   ,  5.28752    ,  7.31715e-33,  6.18875e-12])
295176  , -79089.4    , array([ 2.8435     ,  0.179504   ,  5.28752    ,  7.31715e-33,  6.18875e-12])
295177  , -79089.4    , array([ 2.84066    ,  0.179683   ,  5.28752    ,  7.31715e-33,  6.18875e-12])
295178  , -79089.4    , array([ 2.84066    ,  0.179504   ,  5.29281    ,  7.31715e-33,  6.18875e-12])
295179  , -79089.4    , array([ 2.84066    ,  0.179504   ,  5.28752    ,  7.32447e-33,  6.18875e-12])
295180  , -79089.4    , array([ 2.84066    ,  0.179504   ,  5.28752    ,  7.31715e-33,  6.19494e-12])
295181  , -79089.4    , array([ 2.84064    ,  0.179475   ,  5.28752    ,  7.31715e-33,  6.1898e-12 ])
295182  , -79089.4    , array([ 2.84064    ,  0.179475   ,  5.28752    ,  7.31715e-33,  6.1898e-12 ])
295183  , -79089.4    , array([ 2.84349    ,  0.179475   ,  5.28752    ,  7.31715e-33,  6.1898e-12 ])
295184  , -79089.4    , array([ 2.84064    ,  0.179654   ,  5.28752    ,  7.31715e-33,  6.1898e-12 ])
295185  , -79089.4    , array([ 2.84064    ,  0.179475   ,  5.29281    ,  7.31715e-33,  6.1898e-12 ])
295186  , -79089.4    , array([ 2.84064    ,  0.179475   ,  5.28752    ,  7.32447e-33,  6.1898e-12 ])
295187  , -79089.4    , array([ 2.84064    ,  0.179475   ,  5.28752    ,  7.31715e-33,  6.19599e-12])
295188  , -79089.4    , array([ 2.84057    ,  0.179359   ,  5.2875     ,  7.31715e-33,  6.19399e-12])
295189  , -79089.4    , array([ 2.84057    ,  0.179359   ,  5.2875     ,  7.31715e-33,  6.19399e-12])
295190  , -79089.4    , array([ 2.84341    ,  0.179359   ,  5.2875     ,  7.31715e-33,  6.19399e-12])
295191  , -79089.4    , array([ 2.84057    ,  0.179538   ,  5.2875     ,  7.31715e-33,  6.19399e-12])
295192  , -79089.4    , array([ 2.84057    ,  0.179359   ,  5.29279    ,  7.31715e-33,  6.19399e-12])
295193  , -79089.4    , array([ 2.84057    ,  0.179359   ,  5.2875     ,  7.32447e-33,  6.19399e-12])
295194  , -79089.4    , array([ 2.84057    ,  0.179359   ,  5.2875     ,  7.31715e-33,  6.20019e-12])
295195  , -79089.4    , array([ 2.84026    ,  0.178896   ,  5.28742    ,  7.31715e-33,  6.21078e-12])
295196  , -79089.4    , array([ 2.84026    ,  0.178896   ,  5.28742    ,  7.31715e-33,  6.21078e-12])
295197  , -79089.4    , array([ 2.8431     ,  0.178896   ,  5.28742    ,  7.31715e-33,  6.21078e-12])
295198  , -79089.4    , array([ 2.84026    ,  0.179075   ,  5.28742    ,  7.31715e-33,  6.21078e-12])
295199  , -79089.4    , array([ 2.84026    ,  0.178896   ,  5.29271    ,  7.31715e-33,  6.21078e-12])
295200  , -79089.4    , array([ 2.84026    ,  0.178896   ,  5.28742    ,  7.32447e-33,  6.21078e-12])
295201  , -79089.4    , array([ 2.84026    ,  0.178896   ,  5.28742    ,  7.31715e-33,  6.217e-12  ])
295202  , -79089.4    , array([ 2.83905    ,  0.177056   ,  5.2871     ,  7.31715e-33,  6.27841e-12])
295203  , -79089.4    , array([ 2.83905    ,  0.177056   ,  5.2871     ,  7.31715e-33,  6.27841e-12])
295204  , -79089.4    , array([ 2.84189    ,  0.177056   ,  5.2871     ,  7.31715e-33,  6.27841e-12])
295205  , -79089.4    , array([ 2.83905    ,  0.177233   ,  5.2871     ,  7.31715e-33,  6.27841e-12])
295206  , -79089.4    , array([ 2.83905    ,  0.177056   ,  5.29239    ,  7.31715e-33,  6.27841e-12])
295207  , -79089.4    , array([ 2.83905    ,  0.177056   ,  5.2871     ,  7.32447e-33,  6.27841e-12])
295208  , -79089.4    , array([ 2.83905    ,  0.177056   ,  5.2871     ,  7.31715e-33,  6.28469e-12])
295209  , -79089.4    , array([ 2.83419    ,  0.169884   ,  5.28584    ,  7.31715e-33,  6.55635e-12])
295210  , -79089.4    , array([ 2.83419    ,  0.169884   ,  5.28584    ,  7.31715e-33,  6.55635e-12])
295211  , -79089.4    , array([ 2.83702    ,  0.169884   ,  5.28584    ,  7.31715e-33,  6.55635e-12])
295212  , -79089.4    , array([ 2.83419    ,  0.170054   ,  5.28584    ,  7.31715e-33,  6.55635e-12])
295213  , -79089.4    , array([ 2.83419    ,  0.169884   ,  5.29113    ,  7.31715e-33,  6.55635e-12])
295214  , -79089.4    , array([ 2.83419    ,  0.169884   ,  5.28584    ,  7.32447e-33,  6.55635e-12])
295215  , -79089.4    , array([ 2.83419    ,  0.169884   ,  5.28584    ,  7.31715e-33,  6.56291e-12])
295216  , -79089.4    , array([ 2.81482    ,  0.143986   ,  5.2808     ,  7.31715e-33,  7.79673e-12])
295217  , -79089.4    , array([ 2.81482    ,  0.143986   ,  5.2808     ,  7.31715e-33,  7.79673e-12])
295218  , -79089.4    , array([ 2.81764    ,  0.143986   ,  5.2808     ,  7.31715e-33,  7.79673e-12])
295219  , -79089.4    , array([ 2.81482    ,  0.14413    ,  5.2808     ,  7.31715e-33,  7.79673e-12])
295220  , -79089.4    , array([ 2.81482    ,  0.143986   ,  5.28609    ,  7.31715e-33,  7.79673e-12])
295221  , -79089.4    , array([ 2.81482    ,  0.143986   ,  5.2808     ,  7.32447e-33,  7.79673e-12])
295222  , -79089.4    , array([ 2.81482    ,  0.143986   ,  5.2808     ,  7.31715e-33,  7.80453e-12])
295223  , -79089.4    , array([ 2.7387     ,  0.0742993  ,  5.2607     ,  7.31715e-33,  1.55925e-11])
295224  , -79089.4    , array([ 2.7387     ,  0.0742993  ,  5.2607     ,  7.31715e-33,  1.55925e-11])
295225  , -79089.4    , array([ 2.74144    ,  0.0742993  ,  5.2607     ,  7.31715e-33,  1.55925e-11])
295226  , -79089.4    , array([ 2.7387     ,  0.0743736  ,  5.2607     ,  7.31715e-33,  1.55925e-11])
295227  , -79089.4    , array([ 2.7387     ,  0.0742993  ,  5.26596    ,  7.31715e-33,  1.55925e-11])
295228  , -79089.4    , array([ 2.7387     ,  0.0742993  ,  5.2607     ,  7.32447e-33,  1.55925e-11])
295229  , -79089.4    , array([ 2.7387     ,  0.0742993  ,  5.2607     ,  7.31715e-33,  1.56081e-11])
295230  , -79089.4    , array([ 2.45422    ,  0.00526802 ,  5.18103    ,  7.31715e-33,  2.49415e-10])
295231  , -79089.4    , array([ 2.45422    ,  0.00526802 ,  5.18103    ,  7.31715e-33,  2.49415e-10])
295232  , -79089.4    , array([ 2.45668    ,  0.00526802 ,  5.18103    ,  7.31715e-33,  2.49415e-10])
295233  , -79089.4    , array([ 2.45422    ,  0.00527329 ,  5.18103    ,  7.31715e-33,  2.49415e-10])
295234  , -79089.4    , array([ 2.45422    ,  0.00526802 ,  5.18622    ,  7.31715e-33,  2.49415e-10])
295235  , -79089.4    , array([ 2.45422    ,  0.00526802 ,  5.18103    ,  7.32447e-33,  2.49415e-10])
295236  , -79089.4    , array([ 2.45422    ,  0.00526802 ,  5.18103    ,  7.31715e-33,  2.49665e-10])
295244  , -79089.4    , array([ 2.45422    ,  0.00526802 ,  5.18103    ,  7.31715e-33,  2.49415e-10])
295245  , -79089.4    , array([ 2.45422    ,  0.00526802 ,  5.18103    ,  7.31715e-33,  2.49415e-10])
295246  , -79089.4    , array([ 2.45668    ,  0.00526802 ,  5.18103    ,  7.31715e-33,  2.49415e-10])
