44456   , -1768.28    , array([ 0.147242   ,  29.648     ,  0.00951017 ,  2.13945e-90])
44457   , -1768       , array([ 0.147095   ,  29.6777    ,  0.00951017 ,  2.13945e-90])
44458   , -1767.7     , array([ 0.147095   ,  29.648     ,  0.00951968 ,  2.13945e-90])
44459   , -1768       , array([ 0.147095   ,  29.648     ,  0.00951017 ,  2.14159e-90])
44460   , -1731.78    , array([ 0.310031   ,  29.648     ,  0.0229995  ,  2.13945e-90])
44461   , -1731.78    , array([ 0.310031   ,  29.648     ,  0.0229995  ,  2.13945e-90])
44462   , -1732.27    , array([ 0.310341   ,  29.648     ,  0.0229995  ,  2.13945e-90])
44463   , -1731.78    , array([ 0.310031   ,  29.6777    ,  0.0229995  ,  2.13945e-90])
44464   , -1731.37    , array([ 0.310031   ,  29.648     ,  0.0230225  ,  2.13945e-90])
44465   , -1731.78    , array([ 0.310031   ,  29.648     ,  0.0229995  ,  2.14159e-90])
44466   , -1692.85    , array([ 0.540987   ,  29.648     ,  0.0574316  ,  2.13945e-90])
44467   , -1692.85    , array([ 0.540987   ,  29.648     ,  0.0574316  ,  2.13945e-90])
44468   , -1693.82    , array([ 0.541528   ,  29.648     ,  0.0574316  ,  2.13945e-90])
44469   , -1692.85    , array([ 0.540987   ,  29.6777    ,  0.0574316  ,  2.13945e-90])
44470   , -1692.37    , array([ 0.540987   ,  29.648     ,  0.0574891  ,  2.13945e-90])
44471   , -1692.85    , array([ 0.540987   ,  29.648     ,  0.0574316  ,  2.14159e-90])
44472   , -1688.17    , array([ 0.411613   ,  29.648     ,  0.0366472  ,  2.13945e-90])
44473   , -1688.17    , array([ 0.411613   ,  29.648     ,  0.0366472  ,  2.13945e-90])
44474   , -1688.84    , array([ 0.412025   ,  29.648     ,  0.0366472  ,  2.13945e-90])
44475   , -1688.17    , array([ 0.411613   ,  29.6777    ,  0.0366472  ,  2.13945e-90])
44476   , -1687.7     , array([ 0.411613   ,  29.648     ,  0.0366838  ,  2.13945e-90])
44477   , -1688.17    , array([ 0.411613   ,  29.648     ,  0.0366472  ,  2.14159e-90])
44478   , -1601.07    , array([ 0.473367   ,  29.648     ,  0.0540158  ,  2.13945e-90])
44479   , -1601.07    , array([ 0.473367   ,  29.648     ,  0.0540158  ,  2.13945e-90])
44480   , -1601.94    , array([ 0.47384    ,  29.648     ,  0.0540158  ,  2.13945e-90])
44481   , -1601.07    , array([ 0.473367   ,  29.6777    ,  0.0540158  ,  2.13945e-90])
44482   , -1600.55    , array([ 0.473367   ,  29.648     ,  0.0540699  ,  2.13945e-90])
44483   , -1601.07    , array([ 0.473367   ,  29.648     ,  0.0540158  ,  2.14159e-90])
44484   , -1788.47    , array([ 0.828002   ,  29.648     ,  0.254944   ,  2.13945e-90])
44485   , -1788.47    , array([ 0.828002   ,  29.648     ,  0.254944   ,  2.13945e-90])
44486   , -1791.17    , array([ 0.828831   ,  29.648     ,  0.254944   ,  2.13945e-90])
44487   , -1788.47    , array([ 0.828002   ,  29.6777    ,  0.254944   ,  2.13945e-90])
44488   , -1788.25    , array([ 0.828002   ,  29.648     ,  0.255199   ,  2.13945e-90])
44489   , -1788.47    , array([ 0.828002   ,  29.648     ,  0.254944   ,  2.14159e-90])
44490   , -1508.25    , array([ 0.587323   ,  29.648     ,  0.0982887  ,  2.13945e-90])
44491   , -1508.25    , array([ 0.587323   ,  29.648     ,  0.0982887  ,  2.13945e-90])
44492   , -1509.6     , array([ 0.587911   ,  29.648     ,  0.0982887  ,  2.13945e-90])
44493   , -1508.25    , array([ 0.587323   ,  29.6777    ,  0.0982887  ,  2.13945e-90])
44494   , -1507.7     , array([ 0.587323   ,  29.648     ,  0.098387   ,  2.13945e-90])
44495   , -1508.25    , array([ 0.587323   ,  29.648     ,  0.0982887  ,  2.14159e-90])
44496   , -1261.07    , array([ 0.670987   ,  29.648     ,  0.266178   ,  2.13945e-90])
44497   , -1261.07    , array([ 0.670987   ,  29.648     ,  0.266178   ,  2.13945e-90])
44498   , -1263.24    , array([ 0.671658   ,  29.648     ,  0.266178   ,  2.13945e-90])
44499   , -1261.07    , array([ 0.670987   ,  29.6777    ,  0.266178   ,  2.13945e-90])
44500   , -1260.75    , array([ 0.670987   ,  29.648     ,  0.266445   ,  2.13945e-90])
44501   , -1261.07    , array([ 0.670987   ,  29.648     ,  0.266178   ,  2.14159e-90])
44502   , -927.996    , array([ 0.580834   ,  29.648     ,  0.473146   ,  2.13945e-90])
44503   , -927.996    , array([ 0.580834   ,  29.648     ,  0.473146   ,  2.13945e-90])
44504   , -929.523    , array([ 0.581415   ,  29.648     ,  0.473146   ,  2.13945e-90])
44505   , -927.996    , array([ 0.580834   ,  29.6777    ,  0.473146   ,  2.13945e-90])
44506   , -928.213    , array([ 0.580834   ,  29.648     ,  0.473619   ,  2.13945e-90])
44507   , -927.996    , array([ 0.580834   ,  29.648     ,  0.473146   ,  2.14159e-90])
44508   , -499.591    , array([ 0.392087   ,  29.648     ,  0.339333   ,  2.13945e-90])
44509   , -499.591    , array([ 0.392087   ,  29.648     ,  0.339333   ,  2.13945e-90])
44510   , -500.111    , array([ 0.39248    ,  29.648     ,  0.339333   ,  2.13945e-90])
44511   , -499.591    , array([ 0.392087   ,  29.6777    ,  0.339333   ,  2.13945e-90])
44512   , -499.558    , array([ 0.392087   ,  29.648     ,  0.339672   ,  2.13945e-90])
44513   , -499.591    , array([ 0.392087   ,  29.648     ,  0.339333   ,  2.14159e-90])
44514   , -434.514    , array([ 0.323519   ,  29.648     ,  0.340737   ,  2.13945e-90])
44515   , -434.514    , array([ 0.323519   ,  29.648     ,  0.340737   ,  2.13945e-90])
44516   , -434.706    , array([ 0.323842   ,  29.648     ,  0.340737   ,  2.13945e-90])
44517   , -434.514    , array([ 0.323519   ,  29.6777    ,  0.340737   ,  2.13945e-90])
44518   , -434.466    , array([ 0.323519   ,  29.648     ,  0.341078   ,  2.13945e-90])
44519   , -434.514    , array([ 0.323519   ,  29.648     ,  0.340737   ,  2.14159e-90])
44520   , -416.654    , array([ 0.287951   ,  29.648     ,  0.362887   ,  2.13945e-90])
44521   , -416.654    , array([ 0.287951   ,  29.648     ,  0.362887   ,  2.13945e-90])
44522   , -416.761    , array([ 0.288239   ,  29.648     ,  0.362887   ,  2.13945e-90])
44523   , -416.654    , array([ 0.287951   ,  29.6777    ,  0.362887   ,  2.13945e-90])
44524   , -416.679    , array([ 0.287951   ,  29.648     ,  0.36325    ,  2.13945e-90])
44525   , -416.654    , array([ 0.287951   ,  29.648     ,  0.362887   ,  2.14159e-90])
44526   , -406.054    , array([ 0.249408   ,  29.648     ,  0.356385   ,  2.13945e-90])
44527   , -406.054    , array([ 0.249408   ,  29.648     ,  0.356385   ,  2.13945e-90])
44528   , -406.105    , array([ 0.249658   ,  29.648     ,  0.356385   ,  2.13945e-90])
44529   , -406.054    , array([ 0.249408   ,  29.6777    ,  0.356385   ,  2.13945e-90])
44530   , -406.031    , array([ 0.249408   ,  29.648     ,  0.356741   ,  2.13945e-90])
44531   , -406.054    , array([ 0.249408   ,  29.648     ,  0.356385   ,  2.14159e-90])
44532   , -403.699    , array([ 0.214823   ,  29.648     ,  0.368176   ,  2.13945e-90])
44533   , -403.699    , array([ 0.214823   ,  29.648     ,  0.368176   ,  2.13945e-90])
44534   , -403.688    , array([ 0.215038   ,  29.648     ,  0.368176   ,  2.13945e-90])
