Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params( )
our_model	Round_1_Replicate_4	-2104.63	4219.26	1528.33	8095.95	2.3401,0.2609,1.2042,3.1753,30.0
our_model	Round_1_Replicate_5	-2246.97	4503.94	1808.69	2227.82	8.5286,1.0623,0.3237,0.7727,30.0
our_model	Round_1_Replicate_6	-2170.28	4350.56	1652.65	7170.39	2.6041,0.3216,1.0637,2.5489,30.0
our_model	Round_1_Replicate_7	-2391.83	4793.66	2058.79	3417.4	5.2822,0.82,0.5066,0.9747,30.0
our_model	Round_1_Replicate_8	-1403.74	2817.48	192.4	20312.46	0.8828,0.1158,6.7877,0.795,0.053
our_model	Round_1_Replicate_9	-2398.1	4806.2	2068.6	4479.16	4.012,0.6301,0.6646,1.2665,30.0
our_model	Round_1_Replicate_10	-1329.9	2669.8	37.4	19901.54	1.0016,0.1079,4.9057,3.0393,0.0577
our_model	Round_2_Replicate_1	-1973.64	3957.28	1260.39	36519.64	0.5462,0.0386,5.8629,22.2593,1.9923
our_model	Round_2_Replicate_2	-2115.58	4241.16	1549.73	32538.98	0.556,0.0673,5.1901,11.8903,1.3145
our_model	Round_2_Replicate_3	-1784.67	3579.34	1048.74	20386.45	1.0333,0.0253,0.0101,11.1892,0.0108
our_model	Round_2_Replicate_4	-1662.48	3334.96	735.04	20072.51	1.4196,0.0355,0.4489,9.6952,0.0155
our_model	Round_2_Replicate_5	-1413.2	2836.4	212.73	19983.86	1.2157,0.0659,3.9171,3.5482,0.0296
our_model	Round_2_Replicate_6	-1352.5	2715.0	83.67	20117.26	1.0152,0.0756,4.519,4.3212,0.0384
our_model	Round_2_Replicate_7	-1777.46	3564.92	1031.09	20364.46	1.0709,0.0257,0.0101,11.1454,0.0111
our_model	Round_2_Replicate_8	-1762.78	3535.56	986.6	20372.77	1.0358,0.0262,0.2168,12.3183,0.0116
our_model	Round_2_Replicate_9	-1313.3	2636.6	4.76	20042.66	1.0009,0.0939,4.9619,2.7114,0.0466
our_model	Round_2_Replicate_10	-1822.36	3654.72	1121.55	20366.55	1.1628,0.0216,0.01,18.5776,0.0101
our_model	Round_3_Replicate_1	-1379.83	2769.66	141.27	20263.35	0.9682,0.0686,4.8065,4.7241,0.0347
our_model	Round_3_Replicate_2	-1327.96	2665.92	34.61	20045.64	1.034,0.086,4.716,2.7135,0.0417
our_model	Round_3_Replicate_3	-1638.99	3287.98	695.13	20304.75	1.0101,0.0368,1.4686,7.5902,0.0158
our_model	Round_3_Replicate_4	-1552.03	3114.06	507.3	19917.8	1.6026,0.0475,2.585,6.7871,0.0217
our_model	Round_3_Replicate_5	-1351.32	2712.64	79.77	19689.19	1.0619,0.1257,4.9797,1.7116,0.0633
our_model	Round_3_Replicate_6	-1313.71	2637.42	5.59	20007.81	1.0202,0.0939,4.8942,2.6388,0.0462
our_model	Round_3_Replicate_7	-1328.65	2667.3	35.65	20162.9	0.9536,0.085,4.8571,3.073,0.0413
our_model	Round_3_Replicate_8	-1315.39	2640.78	8.88	19941.12	1.0438,0.0936,4.6288,2.8608,0.0463
our_model	Round_3_Replicate_9	-1311.09	2632.18	0.33	19985.82	1.0024,0.101,4.9812,2.4017,0.0501
