279302  , -26798.5    , array([ 1.71592    ,  2.17343    ,  2.58773e-49,  0.0808229  ,  0.178781   ])
279310  , -26794.2    , array([ 1.71771    ,  2.1727     ,  2.58773e-49,  0.0808215  ,  0.178792   ])
279311  , -26794.2    , array([ 1.71771    ,  2.1727     ,  2.58773e-49,  0.0808215  ,  0.178792   ])
279312  , -26795.4    , array([ 1.71943    ,  2.1727     ,  2.58773e-49,  0.0808215  ,  0.178792   ])
279313  , -26809.6    , array([ 1.71771    ,  2.17487    ,  2.58773e-49,  0.0808215  ,  0.178792   ])
279314  , -26794.2    , array([ 1.71771    ,  2.1727     ,  2.59032e-49,  0.0808215  ,  0.178792   ])
279315  , -26794.5    , array([ 1.71771    ,  2.1727     ,  2.58773e-49,  0.0809023  ,  0.178792   ])
279316  , -26786.8    , array([ 1.71771    ,  2.1727     ,  2.58773e-49,  0.0808215  ,  0.178971   ])
279317  , -26681.5    , array([ 1.73501    ,  2.16573    ,  2.58773e-49,  0.080808   ,  0.180628   ])
279318  , -26681.5    , array([ 1.73501    ,  2.16573    ,  2.58773e-49,  0.080808   ,  0.180628   ])
279319  , -26682.8    , array([ 1.73675    ,  2.16573    ,  2.58773e-49,  0.080808   ,  0.180628   ])
279320  , -26697      , array([ 1.73501    ,  2.16789    ,  2.58773e-49,  0.080808   ,  0.180628   ])
279321  , -26681.5    , array([ 1.73501    ,  2.16573    ,  2.59032e-49,  0.080808   ,  0.180628   ])
279322  , -26681.8    , array([ 1.73501    ,  2.16573    ,  2.58773e-49,  0.0808889  ,  0.180628   ])
279323  , -26674.2    , array([ 1.73501    ,  2.16573    ,  2.58773e-49,  0.080808   ,  0.180809   ])
279331  , -26678.6    , array([ 1.73546    ,  2.16555    ,  2.58773e-49,  0.0808077  ,  0.180675   ])
279332  , -26678.6    , array([ 1.73546    ,  2.16555    ,  2.58773e-49,  0.0808077  ,  0.180675   ])
279333  , -26679.9    , array([ 1.7372     ,  2.16555    ,  2.58773e-49,  0.0808077  ,  0.180675   ])
279334  , -26694.1    , array([ 1.73546    ,  2.16771    ,  2.58773e-49,  0.0808077  ,  0.180675   ])
279335  , -26678.6    , array([ 1.73546    ,  2.16555    ,  2.59032e-49,  0.0808077  ,  0.180675   ])
279336  , -26678.9    , array([ 1.73546    ,  2.16555    ,  2.58773e-49,  0.0808885  ,  0.180675   ])
279337  , -26671.3    , array([ 1.73546    ,  2.16555    ,  2.58773e-49,  0.0808077  ,  0.180856   ])
279338  , -26650.9    , array([ 1.73977    ,  2.16383    ,  2.58773e-49,  0.0808044  ,  0.181132   ])
279339  , -26650.9    , array([ 1.73977    ,  2.16383    ,  2.58773e-49,  0.0808044  ,  0.181132   ])
279340  , -26652.1    , array([ 1.74151    ,  2.16383    ,  2.58773e-49,  0.0808044  ,  0.181132   ])
279341  , -26666.4    , array([ 1.73977    ,  2.16599    ,  2.58773e-49,  0.0808044  ,  0.181132   ])
279342  , -26650.9    , array([ 1.73977    ,  2.16383    ,  2.59032e-49,  0.0808044  ,  0.181132   ])
279343  , -26651.2    , array([ 1.73977    ,  2.16383    ,  2.58773e-49,  0.0808852  ,  0.181132   ])
279344  , -26643.6    , array([ 1.73977    ,  2.16383    ,  2.58773e-49,  0.0808044  ,  0.181314   ])
279345  , -49252.4    , array([ 11.1794    ,  1.19137    ,  2.58773e-49,  0.0783508  ,  1.20599    ])
279346  , -49252.4    , array([ 11.1794    ,  1.19137    ,  2.58773e-49,  0.0783508  ,  1.20599    ])
279347  , -49259.8    , array([ 11.1906    ,  1.19137    ,  2.58773e-49,  0.0783508  ,  1.20599    ])
279348  , -49233.8    , array([ 11.1794    ,  1.19256    ,  2.58773e-49,  0.0783508  ,  1.20599    ])
279349  , -49252.4    , array([ 11.1794    ,  1.19137    ,  2.59032e-49,  0.0783508  ,  1.20599    ])
279350  , -49246      , array([ 11.1794    ,  1.19137    ,  2.58773e-49,  0.0784292  ,  1.20599    ])
279351  , -49284      , array([ 11.1794    ,  1.19137    ,  2.58773e-49,  0.0783508  ,  1.2072     ])
279352  , -22517.6    , array([ 2.90403    ,  1.83588    ,  2.58773e-49,  0.0801211  ,  0.305318   ])
279353  , -22517.6    , array([ 2.90403    ,  1.83588    ,  2.58773e-49,  0.0801211  ,  0.305318   ])
279354  , -22518.1    , array([ 2.90693    ,  1.83588    ,  2.58773e-49,  0.0801211  ,  0.305318   ])
279355  , -22532      , array([ 2.90403    ,  1.83771    ,  2.58773e-49,  0.0801211  ,  0.305318   ])
279356  , -22517.6    , array([ 2.90403    ,  1.83588    ,  2.59032e-49,  0.0801211  ,  0.305318   ])
279357  , -22517.8    , array([ 2.90403    ,  1.83588    ,  2.58773e-49,  0.0802012  ,  0.305318   ])
279358  , -22518.2    , array([ 2.90403    ,  1.83588    ,  2.58773e-49,  0.0801211  ,  0.305623   ])
279359  , -22265      , array([ 3.33645    ,  1.75592    ,  2.58773e-49,  0.0799369  ,  0.351711   ])
279360  , -22265      , array([ 3.33645    ,  1.75592    ,  2.58773e-49,  0.0799369  ,  0.351711   ])
279361  , -22265.5    , array([ 3.33978    ,  1.75592    ,  2.58773e-49,  0.0799369  ,  0.351711   ])
279362  , -22277.9    , array([ 3.33645    ,  1.75768    ,  2.58773e-49,  0.0799369  ,  0.351711   ])
279363  , -22265      , array([ 3.33645    ,  1.75592    ,  2.59032e-49,  0.0799369  ,  0.351711   ])
279364  , -22265.1    , array([ 3.33645    ,  1.75592    ,  2.58773e-49,  0.0800169  ,  0.351711   ])
279365  , -22268.6    , array([ 3.33645    ,  1.75592    ,  2.58773e-49,  0.0799369  ,  0.352063   ])
279373  , -22261.9    , array([ 3.39401    ,  1.74524    ,  2.58773e-49,  0.0799136  ,  0.357896   ])
279374  , -22261.9    , array([ 3.39401    ,  1.74524    ,  2.58773e-49,  0.0799136  ,  0.357896   ])
279375  , -22262.4    , array([ 3.3974     ,  1.74524    ,  2.58773e-49,  0.0799136  ,  0.357896   ])
279376  , -22274.6    , array([ 3.39401    ,  1.74699    ,  2.58773e-49,  0.0799136  ,  0.357896   ])
279377  , -22261.9    , array([ 3.39401    ,  1.74524    ,  2.59032e-49,  0.0799136  ,  0.357896   ])
279378  , -22262      , array([ 3.39401    ,  1.74524    ,  2.58773e-49,  0.0799936  ,  0.357896   ])
279379  , -22265.9    , array([ 3.39401    ,  1.74524    ,  2.58773e-49,  0.0799136  ,  0.358254   ])
279380  , -22255.6    , array([ 3.39519    ,  1.74377    ,  2.58773e-49,  0.0816173  ,  0.358022   ])
279381  , -22255.6    , array([ 3.39519    ,  1.74377    ,  2.58773e-49,  0.0816173  ,  0.358022   ])
279382  , -22256.2    , array([ 3.39859    ,  1.74377    ,  2.58773e-49,  0.0816173  ,  0.358022   ])
279383  , -22268.4    , array([ 3.39519    ,  1.74551    ,  2.58773e-49,  0.0816173  ,  0.358022   ])
279384  , -22255.6    , array([ 3.39519    ,  1.74377    ,  2.59032e-49,  0.0816173  ,  0.358022   ])
279385  , -22255.8    , array([ 3.39519    ,  1.74377    ,  2.58773e-49,  0.081699   ,  0.358022   ])
279386  , -22259.6    , array([ 3.39519    ,  1.74377    ,  2.58773e-49,  0.0816173  ,  0.35838    ])
279387  , -22231.5    , array([ 3.39992    ,  1.73788    ,  2.58773e-49,  0.0888031  ,  0.358527   ])
279388  , -22231.5    , array([ 3.39992    ,  1.73788    ,  2.58773e-49,  0.0888031  ,  0.358527   ])
279389  , -22232.1    , array([ 3.40332    ,  1.73788    ,  2.58773e-49,  0.0888031  ,  0.358527   ])
279390  , -22244.2    , array([ 3.39992    ,  1.73962    ,  2.58773e-49,  0.0888031  ,  0.358527   ])
279391  , -22231.5    , array([ 3.39992    ,  1.73788    ,  2.59032e-49,  0.0888031  ,  0.358527   ])
279392  , -22231.7    , array([ 3.39992    ,  1.73788    ,  2.58773e-49,  0.088892   ,  0.358527   ])
279393  , -22235.5    , array([ 3.39992    ,  1.73788    ,  2.58773e-49,  0.0888031  ,  0.358886   ])
279394  , -22150.7    , array([ 3.41891    ,  1.71455    ,  2.58773e-49,  0.124455   ,  0.360554   ])
279395  , -22150.7    , array([ 3.41891    ,  1.71455    ,  2.58773e-49,  0.124455   ,  0.360554   ])
279396  , -22151.4    , array([ 3.42233    ,  1.71455    ,  2.58773e-49,  0.124455   ,  0.360554   ])
279397  , -22163.5    , array([ 3.41891    ,  1.71626    ,  2.58773e-49,  0.124455   ,  0.360554   ])
279398  , -22150.7    , array([ 3.41891    ,  1.71455    ,  2.59032e-49,  0.124455   ,  0.360554   ])
279399  , -22150.9    , array([ 3.41891    ,  1.71455    ,  2.58773e-49,  0.12458    ,  0.360554   ])
279400  , -22154.5    , array([ 3.41891    ,  1.71455    ,  2.58773e-49,  0.124455   ,  0.360915   ])
279401  , -21927.1    , array([ 3.39133    ,  1.68923    ,  2.58773e-49,  0.125989   ,  0.357603   ])
279402  , -21927.1    , array([ 3.39133    ,  1.68923    ,  2.58773e-49,  0.125989   ,  0.357603   ])
279403  , -21927.7    , array([ 3.39472    ,  1.68923    ,  2.58773e-49,  0.125989   ,  0.357603   ])
279404  , -21939.8    , array([ 3.39133    ,  1.69092    ,  2.58773e-49,  0.125989   ,  0.357603   ])
279405  , -21927.1    , array([ 3.39133    ,  1.68923    ,  2.59032e-49,  0.125989   ,  0.357603   ])
279406  , -21927.3    , array([ 3.39133    ,  1.68923    ,  2.58773e-49,  0.126115   ,  0.357603   ])
279407  , -21930.9    , array([ 3.39133    ,  1.68923    ,  2.58773e-49,  0.125989   ,  0.357961   ])
279408  , -21046.6    , array([ 3.28321    ,  1.59162    ,  2.58773e-49,  0.132315   ,  0.346039   ])
279409  , -21046.6    , array([ 3.28321    ,  1.59162    ,  2.58773e-49,  0.132315   ,  0.346039   ])
279410  , -21047.1    , array([ 3.28649    ,  1.59162    ,  2.58773e-49,  0.132315   ,  0.346039   ])
279411  , -21059.1    , array([ 3.28321    ,  1.59321    ,  2.58773e-49,  0.132315   ,  0.346039   ])
279412  , -21046.6    , array([ 3.28321    ,  1.59162    ,  2.59032e-49,  0.132315   ,  0.346039   ])
279413  , -21046.9    , array([ 3.28321    ,  1.59162    ,  2.58773e-49,  0.132448   ,  0.346039   ])
279414  , -21050.5    , array([ 3.28321    ,  1.59162    ,  2.58773e-49,  0.132315   ,  0.346385   ])
279415  , -17757.6    , array([ 2.8841     ,  1.25442    ,  2.58773e-49,  0.160962   ,  0.303402   ])
279416  , -17757.6    , array([ 2.8841     ,  1.25442    ,  2.58773e-49,  0.160962   ,  0.303402   ])
279417  , -17757.2    , array([ 2.88699    ,  1.25442    ,  2.58773e-49,  0.160962   ,  0.303402   ])
279418  , -17768.6    , array([ 2.8841     ,  1.25568    ,  2.58773e-49,  0.160962   ,  0.303402   ])
279419  , -17757.6    , array([ 2.8841     ,  1.25442    ,  2.59032e-49,  0.160962   ,  0.303402   ])
279420  , -17757.7    , array([ 2.8841     ,  1.25442    ,  2.58773e-49,  0.161123   ,  0.303402   ])
279421  , -17761.8    , array([ 2.8841     ,  1.25442    ,  2.58773e-49,  0.160962   ,  0.303705   ])
279422  , -10379.7    , array([ 2.17569    ,  0.635108   ,  2.58773e-49,  0.335472   ,  0.207985   ])
279423  , -10379.7    , array([ 2.17569    ,  0.635108   ,  2.58773e-49,  0.335472   ,  0.207985   ])
279424  , -10378.4    , array([ 2.17786    ,  0.635108   ,  2.58773e-49,  0.335472   ,  0.207985   ])
279425  , -10385.9    , array([ 2.17569    ,  0.635744   ,  2.58773e-49,  0.335472   ,  0.207985   ])
279426  , -10379.7    , array([ 2.17569    ,  0.635108   ,  2.59032e-49,  0.335472   ,  0.207985   ])
279427  , -10379.7    , array([ 2.17569    ,  0.635108   ,  2.58773e-49,  0.335807   ,  0.207985   ])
279428  , -10384.8    , array([ 2.17569    ,  0.635108   ,  2.58773e-49,  0.335472   ,  0.208193   ])
279429  , -3155.27    , array([ 1.1722     ,  0.15982    ,  2.58773e-49,  3.33098    ,  0.0818035  ])
279430  , -3155.27    , array([ 1.1722     ,  0.15982    ,  2.58773e-49,  3.33098    ,  0.0818035  ])
279431  , -3153.75    , array([ 1.17337    ,  0.15982    ,  2.58773e-49,  3.33098    ,  0.0818035  ])
279432  , -3156.87    , array([ 1.1722     ,  0.15998    ,  2.58773e-49,  3.33098    ,  0.0818035  ])
279433  , -3155.27    , array([ 1.1722     ,  0.15982    ,  2.59032e-49,  3.33098    ,  0.0818035  ])
279434  , -3155.47    , array([ 1.1722     ,  0.15982    ,  2.58773e-49,  3.33432    ,  0.0818035  ])
279435  , -3157.36    , array([ 1.1722     ,  0.15982    ,  2.58773e-49,  3.33098    ,  0.0818853  ])
279436  , -3210.4     , array([ 1.02488    ,  0.106798   ,  2.58773e-49,  2.19793    ,  0.0597118  ])
279437  , -3210.4     , array([ 1.02488    ,  0.106798   ,  2.58773e-49,  2.19793    ,  0.0597118  ])
279438  , -3208.9     , array([ 1.0259     ,  0.106798   ,  2.58773e-49,  2.19793    ,  0.0597118  ])
279439  , -3204.5     , array([ 1.02488    ,  0.106905   ,  2.58773e-49,  2.19793    ,  0.0597118  ])
279440  , -3210.4     , array([ 1.02488    ,  0.106798   ,  2.59032e-49,  2.19793    ,  0.0597118  ])
279441  , -3209.05    , array([ 1.02488    ,  0.106798   ,  2.58773e-49,  2.20013    ,  0.0597118  ])
279442  , -3217.28    , array([ 1.02488    ,  0.106798   ,  2.58773e-49,  2.19793    ,  0.0597715  ])
279443  , -2912.93    , array([ 1.10498    ,  0.13386    ,  2.58773e-49,  2.77446    ,  0.0712292  ])
279444  , -2912.93    , array([ 1.10498    ,  0.13386    ,  2.58773e-49,  2.77446    ,  0.0712292  ])
279445  , -2911.39    , array([ 1.10608    ,  0.13386    ,  2.58773e-49,  2.77446    ,  0.0712292  ])
279446  , -2911.09    , array([ 1.10498    ,  0.133994   ,  2.58773e-49,  2.77446    ,  0.0712292  ])
279447  , -2912.93    , array([ 1.10498    ,  0.13386    ,  2.59032e-49,  2.77446    ,  0.0712292  ])
279448  , -2912.17    , array([ 1.10498    ,  0.13386    ,  2.58773e-49,  2.77724    ,  0.0712292  ])
279449  , -2917.01    , array([ 1.10498    ,  0.13386    ,  2.58773e-49,  2.77446    ,  0.0713005  ])
279450  , -2502.6     , array([ 1.02697    ,  0.107725   ,  2.58773e-49,  4.32104    ,  0.0605176  ])
279451  , -2502.6     , array([ 1.02697    ,  0.107725   ,  2.58773e-49,  4.32104    ,  0.0605176  ])
279452  , -2501.23    , array([ 1.028      ,  0.107725   ,  2.58773e-49,  4.32104    ,  0.0605176  ])
279453  , -2501.28    , array([ 1.02697    ,  0.107833   ,  2.58773e-49,  4.32104    ,  0.0605176  ])
279454  , -2502.6     , array([ 1.02697    ,  0.107725   ,  2.59032e-49,  4.32104    ,  0.0605176  ])
279455  , -2502.04    , array([ 1.02697    ,  0.107725   ,  2.58773e-49,  4.32537    ,  0.0605176  ])
279456  , -2505.52    , array([ 1.02697    ,  0.107725   ,  2.58773e-49,  4.32104    ,  0.0605782  ])
279464  , -2502.6     , array([ 1.02697    ,  0.107725   ,  2.58773e-49,  4.32105    ,  0.0605176  ])
279465  , -2502.6     , array([ 1.02697    ,  0.107725   ,  2.58773e-49,  4.32105    ,  0.0605176  ])
279466  , -2501.23    , array([ 1.028      ,  0.107725   ,  2.58773e-49,  4.32105    ,  0.0605176  ])
279467  , -2501.28    , array([ 1.02697    ,  0.107833   ,  2.58773e-49,  4.32105    ,  0.0605176  ])
279468  , -2502.6     , array([ 1.02697    ,  0.107725   ,  2.59032e-49,  4.32105    ,  0.0605176  ])
279469  , -2502.04    , array([ 1.02697    ,  0.107725   ,  2.58773e-49,  4.32537    ,  0.0605176  ])
279470  , -2505.52    , array([ 1.02697    ,  0.107725   ,  2.58773e-49,  4.32105    ,  0.0605781  ])
279471  , -2213.25    , array([ 0.964979   ,  0.0784251  ,  2.58773e-49,  8.87729    ,  0.0487618  ])
279472  , -2213.25    , array([ 0.964979   ,  0.0784251  ,  2.58773e-49,  8.87729    ,  0.0487618  ])
279473  , -2212.24    , array([ 0.965944   ,  0.0784251  ,  2.58773e-49,  8.87729    ,  0.0487618  ])
279474  , -2214.1     , array([ 0.964979   ,  0.0785035  ,  2.58773e-49,  8.87729    ,  0.0487618  ])
279475  , -2213.25    , array([ 0.964979   ,  0.0784251  ,  2.59032e-49,  8.87729    ,  0.0487618  ])
279476  , -2213.84    , array([ 0.964979   ,  0.0784251  ,  2.58773e-49,  8.88617    ,  0.0487618  ])
279477  , -2214.21    , array([ 0.964979   ,  0.0784251  ,  2.58773e-49,  8.87729    ,  0.0488106  ])
279478  , -2013.12    , array([ 0.894387   ,  0.0613134  ,  2.58773e-49,  9.09148    ,  0.0374452  ])
279479  , -2013.12    , array([ 0.894387   ,  0.0613134  ,  2.58773e-49,  9.09148    ,  0.0374452  ])
279480  , -2012.25    , array([ 0.895282   ,  0.0613134  ,  2.58773e-49,  9.09148    ,  0.0374452  ])
