20121   , -2491.5     , array([ 0.157152   ,  15.3636    ,  1.13468e-20,  0.00776257 ])
20122   , -2491.5     , array([ 0.157309   ,  15.3636    ,  1.13468e-20,  0.00776257 ])
20123   , -2491.51    , array([ 0.157152   ,  15.3789    ,  1.13468e-20,  0.00776257 ])
20124   , -2491.5     , array([ 0.157152   ,  15.3636    ,  1.13582e-20,  0.00776257 ])
20125   , -2491.67    , array([ 0.157152   ,  15.3636    ,  1.13468e-20,  0.00777033 ])
20126   , -2491.5     , array([ 0.157152   ,  15.3636    ,  1.13468e-20,  0.00776257 ])
20127   , -2389.57    , array([ 0.157152   ,  14.3121    ,  1.13468e-20,  0.00283433 ])
20128   , -2389.57    , array([ 0.157152   ,  14.3121    ,  1.13468e-20,  0.00283433 ])
20129   , -2389.57    , array([ 0.157309   ,  14.3121    ,  1.13468e-20,  0.00283433 ])
20130   , -2389.57    , array([ 0.157152   ,  14.3264    ,  1.13468e-20,  0.00283433 ])
20131   , -2389.57    , array([ 0.157152   ,  14.3121    ,  1.13582e-20,  0.00283433 ])
20132   , -2389.62    , array([ 0.157152   ,  14.3121    ,  1.13468e-20,  0.00283716 ])
20133   , -2368.37    , array([ 0.157152   ,  9.44079    ,  1.13468e-20,  0.00179165 ])
20134   , -2368.37    , array([ 0.157152   ,  9.44079    ,  1.13468e-20,  0.00179165 ])
20135   , -2368.37    , array([ 0.157309   ,  9.44079    ,  1.13468e-20,  0.00179165 ])
20136   , -2368.37    , array([ 0.157152   ,  9.45024    ,  1.13468e-20,  0.00179165 ])
20137   , -2368.37    , array([ 0.157152   ,  9.44079    ,  1.13582e-20,  0.00179165 ])
20138   , -2368.4     , array([ 0.157152   ,  9.44079    ,  1.13468e-20,  0.00179344 ])
20139   , -2213.94    , array([ 0.157152   ,  0.114048   ,  1.13468e-20,  0.00091329 ])
20140   , -2213.94    , array([ 0.157152   ,  0.114048   ,  1.13468e-20,  0.00091329 ])
20141   , -2213.94    , array([ 0.157309   ,  0.114048   ,  1.13468e-20,  0.00091329 ])
20142   , -2214.07    , array([ 0.157152   ,  0.114162   ,  1.13468e-20,  0.00091329 ])
20143   , -2213.94    , array([ 0.157152   ,  0.114048   ,  1.13582e-20,  0.00091329 ])
20144   , -2213.83    , array([ 0.157152   ,  0.114048   ,  1.13468e-20,  0.000914204])
