269192  , -78060.2    , array([ 1.97351    ,  1.23677    ,  0.00527938 ,  5.20413e-57,  0.000758539])
269193  , -78060.5    , array([ 1.97549    ,  1.23677    ,  0.00527938 ,  5.20413e-57,  0.000758539])
269194  , -78060.9    , array([ 1.97351    ,  1.23801    ,  0.00527938 ,  5.20413e-57,  0.000758539])
269195  , -78060.2    , array([ 1.97351    ,  1.23677    ,  0.00528466 ,  5.20413e-57,  0.000758539])
269196  , -78060.2    , array([ 1.97351    ,  1.23677    ,  0.00527938 ,  5.20933e-57,  0.000758539])
269197  , -78059.2    , array([ 1.97351    ,  1.23677    ,  0.00527938 ,  5.20413e-57,  0.000759298])
269198  , -78060.2    , array([ 1.97351    ,  1.23677    ,  0.00527938 ,  5.20413e-57,  0.000758539])
269199  , -75491.4    , array([ 1.55583    ,  0.706695   ,  0.00527941 ,  5.20413e-57,  0.00169905 ])
269200  , -75491.4    , array([ 1.55583    ,  0.706695   ,  0.00527941 ,  5.20413e-57,  0.00169905 ])
269201  , -75492.3    , array([ 1.55739    ,  0.706695   ,  0.00527941 ,  5.20413e-57,  0.00169905 ])
269202  , -75494.1    , array([ 1.55583    ,  0.707402   ,  0.00527941 ,  5.20413e-57,  0.00169905 ])
269203  , -75491.4    , array([ 1.55583    ,  0.706695   ,  0.00528469 ,  5.20413e-57,  0.00169905 ])
269204  , -75491.4    , array([ 1.55583    ,  0.706695   ,  0.00527941 ,  5.20933e-57,  0.00169905 ])
269205  , -75488      , array([ 1.55583    ,  0.706695   ,  0.00527941 ,  5.20413e-57,  0.00170075 ])
269206  , -6295.34    , array([ 0.600971   ,  0.0753368  ,  0.00527954 ,  5.20413e-57,  0.0427683  ])
269207  , -6295.34    , array([ 0.600971   ,  0.0753368  ,  0.00527954 ,  5.20413e-57,  0.0427683  ])
269208  , -6292.02    , array([ 0.601572   ,  0.0753368  ,  0.00527954 ,  5.20413e-57,  0.0427683  ])
269209  , -6281.74    , array([ 0.600971   ,  0.0754122  ,  0.00527954 ,  5.20413e-57,  0.0427683  ])
269210  , -6295.34    , array([ 0.600971   ,  0.0753368  ,  0.00528483 ,  5.20413e-57,  0.0427683  ])
269211  , -6295.34    , array([ 0.600971   ,  0.0753368  ,  0.00527954 ,  5.20933e-57,  0.0427683  ])
269212  , -6311.82    , array([ 0.600971   ,  0.0753368  ,  0.00527954 ,  5.20413e-57,  0.0428111  ])
269213  , -70758.6    , array([ 1.32216    ,  0.481835   ,  0.00527943 ,  5.20413e-57,  0.00295042 ])
269214  , -70758.6    , array([ 1.32216    ,  0.481835   ,  0.00527943 ,  5.20413e-57,  0.00295042 ])
269215  , -70760.1    , array([ 1.32349    ,  0.481835   ,  0.00527943 ,  5.20413e-57,  0.00295042 ])
269216  , -70764.8    , array([ 1.32216    ,  0.482317   ,  0.00527943 ,  5.20413e-57,  0.00295042 ])
269217  , -70758.6    , array([ 1.32216    ,  0.481835   ,  0.00528472 ,  5.20413e-57,  0.00295042 ])
269218  , -70758.6    , array([ 1.32216    ,  0.481835   ,  0.00527943 ,  5.20933e-57,  0.00295042 ])
269219  , -70750.9    , array([ 1.32216    ,  0.481835   ,  0.00527943 ,  5.20413e-57,  0.00295337 ])
269220  , -2429.53    , array([ 0.667357   ,  0.0964053  ,  0.00527953 ,  5.20413e-57,  0.0299783  ])
269221  , -2429.53    , array([ 0.667357   ,  0.0964053  ,  0.00527953 ,  5.20413e-57,  0.0299783  ])
269222  , -2427.93    , array([ 0.668025   ,  0.0964053  ,  0.00527953 ,  5.20413e-57,  0.0299783  ])
269223  , -2433.21    , array([ 0.667357   ,  0.0965018  ,  0.00527953 ,  5.20413e-57,  0.0299783  ])
269224  , -2429.53    , array([ 0.667357   ,  0.0964053  ,  0.00528481 ,  5.20413e-57,  0.0299783  ])
269225  , -2429.53    , array([ 0.667357   ,  0.0964053  ,  0.00527953 ,  5.20933e-57,  0.0299783  ])
269226  , -2427.34    , array([ 0.667357   ,  0.0964053  ,  0.00527953 ,  5.20413e-57,  0.0300083  ])
269227  , -2316.34    , array([ 0.657118   ,  0.0929604  ,  0.00527953 ,  5.20413e-57,  0.0315921  ])
269228  , -2316.34    , array([ 0.657118   ,  0.0929604  ,  0.00527953 ,  5.20413e-57,  0.0315921  ])
269229  , -2314.47    , array([ 0.657776   ,  0.0929604  ,  0.00527953 ,  5.20413e-57,  0.0315921  ])
269230  , -2317.68    , array([ 0.657118   ,  0.0930534  ,  0.00527953 ,  5.20413e-57,  0.0315921  ])
269231  , -2316.34    , array([ 0.657118   ,  0.0929604  ,  0.00528481 ,  5.20413e-57,  0.0315921  ])
269232  , -2316.34    , array([ 0.657118   ,  0.0929604  ,  0.00527953 ,  5.20933e-57,  0.0315921  ])
269233  , -2316.71    , array([ 0.657118   ,  0.0929604  ,  0.00527953 ,  5.20413e-57,  0.0316237  ])
269241  , -2308.92    , array([ 0.661162   ,  0.090534   ,  0.00527958 ,  5.20413e-57,  0.0322857  ])
269242  , -2308.92    , array([ 0.661162   ,  0.090534   ,  0.00527958 ,  5.20413e-57,  0.0322857  ])
269243  , -2307       , array([ 0.661824   ,  0.090534   ,  0.00527958 ,  5.20413e-57,  0.0322857  ])
269244  , -2308.96    , array([ 0.661162   ,  0.0906246  ,  0.00527958 ,  5.20413e-57,  0.0322857  ])
269245  , -2308.92    , array([ 0.661162   ,  0.090534   ,  0.00528486 ,  5.20413e-57,  0.0322857  ])
269246  , -2308.92    , array([ 0.661162   ,  0.090534   ,  0.00527958 ,  5.20933e-57,  0.0322857  ])
269247  , -2310.64    , array([ 0.661162   ,  0.090534   ,  0.00527958 ,  5.20413e-57,  0.032318   ])
269248  , -2294.18    , array([ 0.689601   ,  0.0939656  ,  0.00528413 ,  5.20413e-57,  0.0335278  ])
269249  , -2294.18    , array([ 0.689601   ,  0.0939656  ,  0.00528413 ,  5.20413e-57,  0.0335278  ])
269250  , -2292.31    , array([ 0.690291   ,  0.0939656  ,  0.00528413 ,  5.20413e-57,  0.0335278  ])
269251  , -2294.23    , array([ 0.689601   ,  0.0940596  ,  0.00528413 ,  5.20413e-57,  0.0335278  ])
269252  , -2294.18    , array([ 0.689601   ,  0.0939656  ,  0.00528941 ,  5.20413e-57,  0.0335278  ])
269253  , -2294.18    , array([ 0.689601   ,  0.0939656  ,  0.00528413 ,  5.20933e-57,  0.0335278  ])
269254  , -2295.89    , array([ 0.689601   ,  0.0939656  ,  0.00528413 ,  5.20413e-57,  0.0335613  ])
269255  , -2265.29    , array([ 0.692346   ,  0.0927453  ,  0.00529621 ,  5.20413e-57,  0.0331076  ])
269256  , -2265.29    , array([ 0.692346   ,  0.0927453  ,  0.00529621 ,  5.20413e-57,  0.0331076  ])
269257  , -2263.48    , array([ 0.693038   ,  0.0927453  ,  0.00529621 ,  5.20413e-57,  0.0331076  ])
269258  , -2265.33    , array([ 0.692346   ,  0.0928381  ,  0.00529621 ,  5.20413e-57,  0.0331076  ])
269259  , -2265.29    , array([ 0.692346   ,  0.0927453  ,  0.0053015  ,  5.20413e-57,  0.0331076  ])
269260  , -2265.29    , array([ 0.692346   ,  0.0927453  ,  0.00529621 ,  5.20933e-57,  0.0331076  ])
269261  , -2266.96    , array([ 0.692346   ,  0.0927453  ,  0.00529621 ,  5.20413e-57,  0.0331407  ])
269262  , -2159.98    , array([ 0.703434   ,  0.0880208  ,  0.0053448  ,  5.20413e-57,  0.0314789  ])
269263  , -2159.98    , array([ 0.703434   ,  0.0880208  ,  0.0053448  ,  5.20413e-57,  0.0314789  ])
269264  , -2158.38    , array([ 0.704138   ,  0.0880208  ,  0.0053448  ,  5.20413e-57,  0.0314789  ])
269265  , -2159.94    , array([ 0.703434   ,  0.0881088  ,  0.0053448  ,  5.20413e-57,  0.0314789  ])
269266  , -2159.98    , array([ 0.703434   ,  0.0880208  ,  0.00535015 ,  5.20413e-57,  0.0314789  ])
269267  , -2159.98    , array([ 0.703434   ,  0.0880208  ,  0.0053448  ,  5.20933e-57,  0.0314789  ])
269268  , -2161.48    , array([ 0.703434   ,  0.0880208  ,  0.0053448  ,  5.20413e-57,  0.0315104  ])
269269  , -1937.24    , array([ 0.789215   ,  0.0830442  ,  0.00667073 ,  5.20413e-57,  0.0296608  ])
269270  , -1937.24    , array([ 0.789215   ,  0.0830442  ,  0.00667073 ,  5.20413e-57,  0.0296608  ])
269271  , -1936.16    , array([ 0.790005   ,  0.0830442  ,  0.00667073 ,  5.20413e-57,  0.0296608  ])
269272  , -1937.22    , array([ 0.789215   ,  0.0831273  ,  0.00667073 ,  5.20413e-57,  0.0296608  ])
269273  , -1937.23    , array([ 0.789215   ,  0.0830442  ,  0.00667741 ,  5.20413e-57,  0.0296608  ])
269274  , -1937.24    , array([ 0.789215   ,  0.0830442  ,  0.00667073 ,  5.20933e-57,  0.0296608  ])
269275  , -1938.22    , array([ 0.789215   ,  0.0830442  ,  0.00667073 ,  5.20413e-57,  0.0296905  ])
269276  , -1698.48    , array([ 1.00772    ,  0.0744168  ,  0.0316987  ,  5.20413e-57,  0.0265718  ])
269277  , -1698.48    , array([ 1.00772    ,  0.0744168  ,  0.0316987  ,  5.20413e-57,  0.0265718  ])
269278  , -1698.09    , array([ 1.00873    ,  0.0744168  ,  0.0316987  ,  5.20413e-57,  0.0265718  ])
269279  , -1698.51    , array([ 1.00772    ,  0.0744913  ,  0.0316987  ,  5.20413e-57,  0.0265718  ])
269280  , -1698.48    , array([ 1.00772    ,  0.0744168  ,  0.0317304  ,  5.20413e-57,  0.0265718  ])
269281  , -1698.48    , array([ 1.00772    ,  0.0744168  ,  0.0316987  ,  5.20933e-57,  0.0265718  ])
269282  , -1698.79    , array([ 1.00772    ,  0.0744168  ,  0.0316987  ,  5.20413e-57,  0.0265984  ])
269283  , -1873.37    , array([ 1.20293    ,  0.0709502  ,  7.76156    ,  5.20413e-57,  0.0254131  ])
269284  , -1873.37    , array([ 1.20293    ,  0.0709502  ,  7.76156    ,  5.20413e-57,  0.0254131  ])
269285  , -1873.75    , array([ 1.20414    ,  0.0709502  ,  7.76156    ,  5.20413e-57,  0.0254131  ])
269286  , -1876.63    , array([ 1.20293    ,  0.0710212  ,  7.76156    ,  5.20413e-57,  0.0254131  ])
269287  , -1874.22    , array([ 1.20293    ,  0.0709502  ,  7.76933    ,  5.20413e-57,  0.0254131  ])
269288  , -1873.37    , array([ 1.20293    ,  0.0709502  ,  7.76156    ,  5.20933e-57,  0.0254131  ])
269289  , -1870.23    , array([ 1.20293    ,  0.0709502  ,  7.76156    ,  5.20413e-57,  0.0254385  ])
269290  , -1646.63    , array([ 1.08365    ,  0.0729747  ,  0.302734   ,  5.20413e-57,  0.0260902  ])
269291  , -1646.63    , array([ 1.08365    ,  0.0729747  ,  0.302734   ,  5.20413e-57,  0.0260902  ])
269292  , -1646.38    , array([ 1.08473    ,  0.0729747  ,  0.302734   ,  5.20413e-57,  0.0260902  ])
269293  , -1646.78    , array([ 1.08365    ,  0.0730477  ,  0.302734   ,  5.20413e-57,  0.0260902  ])
269294  , -1646.61    , array([ 1.08365    ,  0.0729747  ,  0.303037   ,  5.20413e-57,  0.0260902  ])
269295  , -1646.63    , array([ 1.08365    ,  0.0729747  ,  0.302734   ,  5.20933e-57,  0.0260902  ])
269296  , -1646.66    , array([ 1.08365    ,  0.0729747  ,  0.302734   ,  5.20413e-57,  0.0261163  ])
269297  , -1559.05    , array([ 1.15296    ,  0.0717659  ,  2.07727    ,  5.20413e-57,  0.0256861  ])
269298  , -1559.05    , array([ 1.15296    ,  0.0717659  ,  2.07727    ,  5.20413e-57,  0.0256861  ])
269299  , -1559.03    , array([ 1.15411    ,  0.0717659  ,  2.07727    ,  5.20413e-57,  0.0256861  ])
269300  , -1560.02    , array([ 1.15296    ,  0.0718377  ,  2.07727    ,  5.20413e-57,  0.0256861  ])
269301  , -1559.02    , array([ 1.15296    ,  0.0717659  ,  2.07934    ,  5.20413e-57,  0.0256861  ])
269302  , -1559.05    , array([ 1.15296    ,  0.0717659  ,  2.07727    ,  5.20933e-57,  0.0256861  ])
269303  , -1557.95    , array([ 1.15296    ,  0.0717659  ,  2.07727    ,  5.20413e-57,  0.0257118  ])
269304  , -1565.45    , array([ 1.17086    ,  0.0714687  ,  3.35207    ,  5.20413e-57,  0.0255867  ])
269305  , -1565.45    , array([ 1.17086    ,  0.0714687  ,  3.35207    ,  5.20413e-57,  0.0255867  ])
269306  , -1565.54    , array([ 1.17203    ,  0.0714687  ,  3.35207    ,  5.20413e-57,  0.0255867  ])
269307  , -1566.97    , array([ 1.17086    ,  0.0715402  ,  3.35207    ,  5.20413e-57,  0.0255867  ])
269308  , -1565.52    , array([ 1.17086    ,  0.0714687  ,  3.35542    ,  5.20413e-57,  0.0255867  ])
269309  , -1565.45    , array([ 1.17086    ,  0.0714687  ,  3.35207    ,  5.20933e-57,  0.0255867  ])
269310  , -1563.73    , array([ 1.17086    ,  0.0714687  ,  3.35207    ,  5.20413e-57,  0.0256123  ])
269311  , -1556.07    , array([ 1.15967    ,  0.0716539  ,  2.48748    ,  5.20413e-57,  0.0256486  ])
269312  , -1556.07    , array([ 1.15967    ,  0.0716539  ,  2.48748    ,  5.20413e-57,  0.0256486  ])
269313  , -1556.09    , array([ 1.16083    ,  0.0716539  ,  2.48748    ,  5.20413e-57,  0.0256486  ])
269314  , -1557.22    , array([ 1.15967    ,  0.0717255  ,  2.48748    ,  5.20413e-57,  0.0256486  ])
269315  , -1556.07    , array([ 1.15967    ,  0.0716539  ,  2.48997    ,  5.20413e-57,  0.0256486  ])
269316  , -1556.07    , array([ 1.15967    ,  0.0716539  ,  2.48748    ,  5.20933e-57,  0.0256486  ])
269317  , -1554.76    , array([ 1.15967    ,  0.0716539  ,  2.48748    ,  5.20413e-57,  0.0256743  ])
269325  , -1556.07    , array([ 1.15967    ,  0.0716539  ,  2.48748    ,  5.20413e-57,  0.0256486  ])
269326  , -1556.07    , array([ 1.15967    ,  0.0716539  ,  2.48748    ,  5.20413e-57,  0.0256486  ])
269327  , -1556.09    , array([ 1.16083    ,  0.0716539  ,  2.48748    ,  5.20413e-57,  0.0256486  ])
269328  , -1557.22    , array([ 1.15967    ,  0.0717255  ,  2.48748    ,  5.20413e-57,  0.0256486  ])
269329  , -1556.07    , array([ 1.15967    ,  0.0716539  ,  2.48997    ,  5.20413e-57,  0.0256486  ])
269330  , -1556.07    , array([ 1.15967    ,  0.0716539  ,  2.48748    ,  5.20933e-57,  0.0256486  ])
269331  , -1554.76    , array([ 1.15967    ,  0.0716539  ,  2.48748    ,  5.20413e-57,  0.0256743  ])
269332  , -1556.07    , array([ 1.15967    ,  0.0716539  ,  2.4875     ,  5.20413e-57,  0.0256486  ])
269333  , -1556.07    , array([ 1.15967    ,  0.0716539  ,  2.4875     ,  5.20413e-57,  0.0256486  ])
269334  , -1556.09    , array([ 1.16083    ,  0.0716539  ,  2.4875     ,  5.20413e-57,  0.0256486  ])
269335  , -1557.22    , array([ 1.15967    ,  0.0717255  ,  2.4875     ,  5.20413e-57,  0.0256486  ])
269336  , -1556.07    , array([ 1.15967    ,  0.0716539  ,  2.48999    ,  5.20413e-57,  0.0256486  ])
269337  , -1556.07    , array([ 1.15967    ,  0.0716539  ,  2.4875     ,  5.20933e-57,  0.0256486  ])
269338  , -1554.76    , array([ 1.15967    ,  0.0716539  ,  2.4875     ,  5.20413e-57,  0.0256743  ])
269346  , -1556.07    , array([ 1.15967    ,  0.0716539  ,  2.4875     ,  5.20413e-57,  0.0256486  ])
269347  , -1556.07    , array([ 1.15967    ,  0.0716539  ,  2.4875     ,  5.20413e-57,  0.0256486  ])
269348  , -1556.09    , array([ 1.16083    ,  0.0716539  ,  2.4875     ,  5.20413e-57,  0.0256486  ])
269349  , -1557.22    , array([ 1.15967    ,  0.0717255  ,  2.4875     ,  5.20413e-57,  0.0256486  ])
269350  , -1556.07    , array([ 1.15967    ,  0.0716539  ,  2.48999    ,  5.20413e-57,  0.0256486  ])
269351  , -1556.07    , array([ 1.15967    ,  0.0716539  ,  2.4875     ,  5.20933e-57,  0.0256486  ])
269352  , -1554.76    , array([ 1.15967    ,  0.0716539  ,  2.4875     ,  5.20413e-57,  0.0256743  ])
269353  , -1556.07    , array([ 1.15967    ,  0.0716539  ,  2.4875     ,  5.20413e-57,  0.0256486  ])
269354  , -1556.07    , array([ 1.15967    ,  0.0716539  ,  2.4875     ,  5.20413e-57,  0.0256486  ])
269355  , -1556.09    , array([ 1.16083    ,  0.0716539  ,  2.4875     ,  5.20413e-57,  0.0256486  ])
269356  , -1557.22    , array([ 1.15967    ,  0.0717255  ,  2.4875     ,  5.20413e-57,  0.0256486  ])
269357  , -1556.07    , array([ 1.15967    ,  0.0716539  ,  2.48999    ,  5.20413e-57,  0.0256486  ])
269358  , -1556.07    , array([ 1.15967    ,  0.0716539  ,  2.4875     ,  5.20933e-57,  0.0256486  ])
269359  , -1554.76    , array([ 1.15967    ,  0.0716539  ,  2.4875     ,  5.20413e-57,  0.0256743  ])
269367  , -1556.07    , array([ 1.15967    ,  0.0716539  ,  2.4875     ,  5.20413e-57,  0.0256486  ])
269368  , -1556.07    , array([ 1.15967    ,  0.0716539  ,  2.4875     ,  5.20413e-57,  0.0256486  ])
269369  , -1556.09    , array([ 1.16083    ,  0.0716539  ,  2.4875     ,  5.20413e-57,  0.0256486  ])
269370  , -1557.22    , array([ 1.15967    ,  0.0717255  ,  2.4875     ,  5.20413e-57,  0.0256486  ])
269371  , -1556.07    , array([ 1.15967    ,  0.0716539  ,  2.48999    ,  5.20413e-57,  0.0256486  ])
269372  , -1556.07    , array([ 1.15967    ,  0.0716539  ,  2.4875     ,  5.20933e-57,  0.0256486  ])
269373  , -1554.76    , array([ 1.15967    ,  0.0716539  ,  2.4875     ,  5.20413e-57,  0.0256743  ])
269374  , -1556.07    , array([ 1.15967    ,  0.0716539  ,  2.4875     ,  5.20413e-57,  0.0256486  ])
269375  , -1556.07    , array([ 1.15967    ,  0.0716539  ,  2.4875     ,  5.20413e-57,  0.0256486  ])
269376  , -1556.09    , array([ 1.16083    ,  0.0716539  ,  2.4875     ,  5.20413e-57,  0.0256486  ])
269377  , -1557.22    , array([ 1.15967    ,  0.0717255  ,  2.4875     ,  5.20413e-57,  0.0256486  ])
269378  , -1556.07    , array([ 1.15967    ,  0.0716539  ,  2.48999    ,  5.20413e-57,  0.0256486  ])
269379  , -1556.07    , array([ 1.15967    ,  0.0716539  ,  2.4875     ,  5.20933e-57,  0.0256486  ])
269380  , -1554.76    , array([ 1.15967    ,  0.0716539  ,  2.4875     ,  5.20413e-57,  0.0256743  ])
269388  , -1556.07    , array([ 1.15967    ,  0.0716539  ,  2.4875     ,  5.20413e-57,  0.0256486  ])
269389  , -1556.07    , array([ 1.15967    ,  0.0716539  ,  2.4875     ,  5.20413e-57,  0.0256486  ])
269390  , -1556.09    , array([ 1.16083    ,  0.0716539  ,  2.4875     ,  5.20413e-57,  0.0256486  ])
269391  , -1557.22    , array([ 1.15967    ,  0.0717255  ,  2.4875     ,  5.20413e-57,  0.0256486  ])
269392  , -1556.07    , array([ 1.15967    ,  0.0716539  ,  2.48999    ,  5.20413e-57,  0.0256486  ])
269393  , -1556.07    , array([ 1.15967    ,  0.0716539  ,  2.4875     ,  5.20933e-57,  0.0256486  ])
269394  , -1554.76    , array([ 1.15967    ,  0.0716539  ,  2.4875     ,  5.20413e-57,  0.0256743  ])
269395  , -1556.07    , array([ 1.15967    ,  0.0716539  ,  2.48751    ,  5.20413e-57,  0.0256486  ])
269396  , -1556.07    , array([ 1.15967    ,  0.0716539  ,  2.48751    ,  5.20413e-57,  0.0256486  ])
269397  , -1556.09    , array([ 1.16083    ,  0.0716539  ,  2.48751    ,  5.20413e-57,  0.0256486  ])
269398  , -1557.22    , array([ 1.15967    ,  0.0717255  ,  2.48751    ,  5.20413e-57,  0.0256486  ])
269399  , -1556.07    , array([ 1.15967    ,  0.0716539  ,  2.48999    ,  5.20413e-57,  0.0256486  ])
269400  , -1556.07    , array([ 1.15967    ,  0.0716539  ,  2.48751    ,  5.20933e-57,  0.0256486  ])
269401  , -1554.76    , array([ 1.15967    ,  0.0716539  ,  2.48751    ,  5.20413e-57,  0.0256743  ])
