125027  , -77100.7    , array([ 0.147819   ,  0.447574   ,  1.07838e-83,  0.0844524  ,  0.000253902])
125028  , -77102      , array([ 0.147967   ,  0.447574   ,  1.07838e-83,  0.0844524  ,  0.000253902])
125029  , -77101.4    , array([ 0.147819   ,  0.448021   ,  1.07838e-83,  0.0844524  ,  0.000253902])
125030  , -77100.7    , array([ 0.147819   ,  0.447574   ,  1.07946e-83,  0.0844524  ,  0.000253902])
125031  , -77100.7    , array([ 0.147819   ,  0.447574   ,  1.07838e-83,  0.0845369  ,  0.000253902])
125032  , -77098.8    , array([ 0.147819   ,  0.447574   ,  1.07838e-83,  0.0844524  ,  0.000254156])
125033  , -77100.7    , array([ 0.147819   ,  0.447574   ,  1.07838e-83,  0.0844524  ,  0.000253902])
125034  , -72509.5    , array([ 0.0862321  ,  0.342099   ,  1.07838e-83,  0.0844495  ,  0.000571212])
125035  , -72509.5    , array([ 0.0862321  ,  0.342099   ,  1.07838e-83,  0.0844495  ,  0.000571212])
125036  , -72513.7    , array([ 0.0863184  ,  0.342099   ,  1.07838e-83,  0.0844495  ,  0.000571212])
125037  , -72511.2    , array([ 0.0862321  ,  0.342442   ,  1.07838e-83,  0.0844495  ,  0.000571212])
125038  , -72509.5    , array([ 0.0862321  ,  0.342099   ,  1.07946e-83,  0.0844495  ,  0.000571212])
125039  , -72509.5    , array([ 0.0862321  ,  0.342099   ,  1.07838e-83,  0.084534   ,  0.000571212])
125040  , -72503.5    , array([ 0.0862321  ,  0.342099   ,  1.07838e-83,  0.0844495  ,  0.000571784])
125041  , -143308     , array([ 0.0099867  ,  0.116763   ,  1.07838e-83,  0.0844381  ,  0.0146326  ])
125042  , -143308     , array([ 0.0099867  ,  0.116763   ,  1.07838e-83,  0.0844381  ,  0.0146326  ])
125043  , -143205     , array([ 0.00999669 ,  0.116763   ,  1.07838e-83,  0.0844381  ,  0.0146326  ])
125044  , -143326     , array([ 0.0099867  ,  0.116879   ,  1.07838e-83,  0.0844381  ,  0.0146326  ])
125045  , -143308     , array([ 0.0099867  ,  0.116763   ,  1.07946e-83,  0.0844381  ,  0.0146326  ])
125046  , -143308     , array([ 0.0099867  ,  0.116763   ,  1.07838e-83,  0.0845226  ,  0.0146326  ])
125047  , -143380     , array([ 0.0099867  ,  0.116763   ,  1.07838e-83,  0.0844381  ,  0.0146472  ])
125048  , -55878.3    , array([ 0.0432462  ,  0.242493   ,  1.07838e-83,  0.0844459  ,  0.00161328 ])
125049  , -55878.3    , array([ 0.0432462  ,  0.242493   ,  1.07838e-83,  0.0844459  ,  0.00161328 ])
125050  , -55887      , array([ 0.0432894  ,  0.242493   ,  1.07838e-83,  0.0844459  ,  0.00161328 ])
125051  , -55883      , array([ 0.0432462  ,  0.242736   ,  1.07838e-83,  0.0844459  ,  0.00161328 ])
125052  , -55878.3    , array([ 0.0432462  ,  0.242493   ,  1.07946e-83,  0.0844459  ,  0.00161328 ])
125053  , -55878.3    , array([ 0.0432462  ,  0.242493   ,  1.07838e-83,  0.0845304  ,  0.00161328 ])
125054  , -55864.8    , array([ 0.0432462  ,  0.242493   ,  1.07838e-83,  0.0844459  ,  0.00161489 ])
125055  , -46767      , array([ 0.0293709  ,  0.199946   ,  1.07838e-83,  0.0844438  ,  0.00288736 ])
125056  , -46767      , array([ 0.0293709  ,  0.199946   ,  1.07838e-83,  0.0844438  ,  0.00288736 ])
125057  , -46764.5    , array([ 0.0294002  ,  0.199946   ,  1.07838e-83,  0.0844438  ,  0.00288736 ])
