24914   , -2249.04    , array([ 0.0689314  ,  0.00167807 ,  6.33216e-39,  8.27111e-06])
24915   , -2248.96    , array([ 0.0689314  ,  0.00167639 ,  6.33849e-39,  8.27111e-06])
24916   , -2248.88    , array([ 0.0689314  ,  0.00167639 ,  6.33216e-39,  8.27939e-06])
24917   , -2248.96    , array([ 0.0689314  ,  0.00167639 ,  6.33216e-39,  8.27111e-06])
24918   , -2248.96    , array([ 0.0689314  ,  0.00167639 ,  6.33216e-39,  8.27111e-06])
24919   , -2248.96    , array([ 0.0690004  ,  0.00167639 ,  6.33216e-39,  8.27111e-06])
24920   , -2249.04    , array([ 0.0689314  ,  0.00167807 ,  6.33216e-39,  8.27111e-06])
24921   , -2248.96    , array([ 0.0689314  ,  0.00167639 ,  6.33849e-39,  8.27111e-06])
24922   , -2248.88    , array([ 0.0689314  ,  0.00167639 ,  6.33216e-39,  8.27939e-06])
24929   , -2248.96    , array([ 0.0689314  ,  0.00167639 ,  6.33216e-39,  8.27111e-06])
24930   , -2248.96    , array([ 0.0689314  ,  0.00167639 ,  6.33216e-39,  8.27111e-06])
24931   , -2248.96    , array([ 0.0690004  ,  0.00167639 ,  6.33216e-39,  8.27111e-06])
24932   , -2249.04    , array([ 0.0689314  ,  0.00167807 ,  6.33216e-39,  8.27111e-06])
24933   , -2248.96    , array([ 0.0689314  ,  0.00167639 ,  6.33849e-39,  8.27111e-06])
24934   , -2248.88    , array([ 0.0689314  ,  0.00167639 ,  6.33216e-39,  8.27939e-06])
24935   , -2248.96    , array([ 0.0689314  ,  0.00167639 ,  6.33216e-39,  8.27111e-06])
24936   , -2248.96    , array([ 0.0689314  ,  0.00167639 ,  6.33216e-39,  8.27111e-06])
24937   , -2248.96    , array([ 0.0690004  ,  0.00167639 ,  6.33216e-39,  8.27111e-06])
24938   , -2249.04    , array([ 0.0689314  ,  0.00167807 ,  6.33216e-39,  8.27111e-06])
24939   , -2248.96    , array([ 0.0689314  ,  0.00167639 ,  6.33849e-39,  8.27111e-06])
24940   , -2248.88    , array([ 0.0689314  ,  0.00167639 ,  6.33216e-39,  8.27939e-06])
24947   , -2248.96    , array([ 0.0689314  ,  0.00167639 ,  6.33216e-39,  8.27111e-06])
24948   , -2248.96    , array([ 0.0689314  ,  0.00167639 ,  6.33216e-39,  8.27111e-06])
24949   , -2248.96    , array([ 0.0690004  ,  0.00167639 ,  6.33216e-39,  8.27111e-06])
24950   , -2249.04    , array([ 0.0689314  ,  0.00167807 ,  6.33216e-39,  8.27111e-06])
24951   , -2248.96    , array([ 0.0689314  ,  0.00167639 ,  6.33849e-39,  8.27111e-06])
24952   , -2248.88    , array([ 0.0689314  ,  0.00167639 ,  6.33216e-39,  8.27939e-06])
24953   , -2248.96    , array([ 0.0689314  ,  0.00167639 ,  6.33216e-39,  8.27111e-06])
24954   , -2248.96    , array([ 0.0689314  ,  0.00167639 ,  6.33216e-39,  8.27111e-06])
24955   , -2248.96    , array([ 0.0690004  ,  0.00167639 ,  6.33216e-39,  8.27111e-06])
24956   , -2249.04    , array([ 0.0689314  ,  0.00167807 ,  6.33216e-39,  8.27111e-06])
24957   , -2248.96    , array([ 0.0689314  ,  0.00167639 ,  6.33849e-39,  8.27111e-06])
24958   , -2248.88    , array([ 0.0689314  ,  0.00167639 ,  6.33216e-39,  8.27939e-06])
24959   , -2231.68    , array([ 0.0689314  ,  0.00128356 ,  6.33216e-39,  7.69522e-06])
24960   , -2231.68    , array([ 0.0689314  ,  0.00128356 ,  6.33216e-39,  7.69522e-06])
24961   , -2231.68    , array([ 0.0690004  ,  0.00128356 ,  6.33216e-39,  7.69522e-06])
24962   , -2231.78    , array([ 0.0689314  ,  0.00128485 ,  6.33216e-39,  7.69522e-06])
24963   , -2231.68    , array([ 0.0689314  ,  0.00128356 ,  6.33849e-39,  7.69522e-06])
24964   , -2231.59    , array([ 0.0689314  ,  0.00128356 ,  6.33216e-39,  7.70292e-06])
24965   , -2231.68    , array([ 0.0689314  ,  0.00128356 ,  6.33216e-39,  7.69522e-06])
24966   , -2231.68    , array([ 0.0689314  ,  0.00128356 ,  6.33216e-39,  7.69522e-06])
24967   , -2231.68    , array([ 0.0690004  ,  0.00128356 ,  6.33216e-39,  7.69522e-06])
24968   , -2231.78    , array([ 0.0689314  ,  0.00128485 ,  6.33216e-39,  7.69522e-06])
24969   , -2231.68    , array([ 0.0689314  ,  0.00128356 ,  6.33849e-39,  7.69522e-06])
24970   , -2231.59    , array([ 0.0689314  ,  0.00128356 ,  6.33216e-39,  7.70292e-06])
24971   , -2231.68    , array([ 0.0689314  ,  0.00128356 ,  6.33216e-39,  7.69522e-06])
24972   , -2231.68    , array([ 0.0689314  ,  0.00128356 ,  6.33216e-39,  7.69522e-06])
24973   , -2231.68    , array([ 0.0690004  ,  0.00128356 ,  6.33216e-39,  7.69522e-06])
24974   , -2231.78    , array([ 0.0689314  ,  0.00128485 ,  6.33216e-39,  7.69522e-06])
24975   , -2231.68    , array([ 0.0689314  ,  0.00128356 ,  6.33849e-39,  7.69522e-06])
24976   , -2231.59    , array([ 0.0689314  ,  0.00128356 ,  6.33216e-39,  7.70292e-06])
24977   , -2221.95    , array([ 0.0689314  ,  0.00112315 ,  6.33216e-39,  7.4225e-06 ])
24978   , -2221.95    , array([ 0.0689314  ,  0.00112315 ,  6.33216e-39,  7.4225e-06 ])
24979   , -2221.95    , array([ 0.0690004  ,  0.00112315 ,  6.33216e-39,  7.4225e-06 ])
24980   , -2222.05    , array([ 0.0689314  ,  0.00112427 ,  6.33216e-39,  7.4225e-06 ])
24981   , -2221.95    , array([ 0.0689314  ,  0.00112315 ,  6.33849e-39,  7.4225e-06 ])
24982   , -2221.84    , array([ 0.0689314  ,  0.00112315 ,  6.33216e-39,  7.42992e-06])
24983   , -2221.95    , array([ 0.0689314  ,  0.00112315 ,  6.33216e-39,  7.4225e-06 ])
24984   , -2221.95    , array([ 0.0689314  ,  0.00112315 ,  6.33216e-39,  7.4225e-06 ])
24985   , -2221.95    , array([ 0.0690004  ,  0.00112315 ,  6.33216e-39,  7.4225e-06 ])
24986   , -2222.05    , array([ 0.0689314  ,  0.00112427 ,  6.33216e-39,  7.4225e-06 ])
24987   , -2221.95    , array([ 0.0689314  ,  0.00112315 ,  6.33849e-39,  7.4225e-06 ])
24988   , -2221.84    , array([ 0.0689314  ,  0.00112315 ,  6.33216e-39,  7.42992e-06])
24989   , -2221.95    , array([ 0.0689314  ,  0.00112315 ,  6.33216e-39,  7.4225e-06 ])
24990   , -2221.95    , array([ 0.0689314  ,  0.00112315 ,  6.33216e-39,  7.4225e-06 ])
24991   , -2221.95    , array([ 0.0690004  ,  0.00112315 ,  6.33216e-39,  7.4225e-06 ])
24992   , -2222.05    , array([ 0.0689314  ,  0.00112427 ,  6.33216e-39,  7.4225e-06 ])
24993   , -2221.95    , array([ 0.0689314  ,  0.00112315 ,  6.33849e-39,  7.4225e-06 ])
24994   , -2221.84    , array([ 0.0689314  ,  0.00112315 ,  6.33216e-39,  7.42992e-06])
24995   , -2216.78    , array([ 0.0689314  ,  0.00105063 ,  6.33216e-39,  7.28978e-06])
24996   , -2216.78    , array([ 0.0689314  ,  0.00105063 ,  6.33216e-39,  7.28978e-06])
24997   , -2216.78    , array([ 0.0690004  ,  0.00105063 ,  6.33216e-39,  7.28978e-06])
24998   , -2216.89    , array([ 0.0689314  ,  0.00105168 ,  6.33216e-39,  7.28978e-06])
24999   , -2216.78    , array([ 0.0689314  ,  0.00105063 ,  6.33849e-39,  7.28978e-06])
25000   , -2216.68    , array([ 0.0689314  ,  0.00105063 ,  6.33216e-39,  7.29707e-06])
25001   , -2216.78    , array([ 0.0689314  ,  0.00105063 ,  6.33216e-39,  7.28978e-06])
25002   , -2216.78    , array([ 0.0689314  ,  0.00105063 ,  6.33216e-39,  7.28978e-06])
25003   , -2216.78    , array([ 0.0690004  ,  0.00105063 ,  6.33216e-39,  7.28978e-06])
25004   , -2216.89    , array([ 0.0689314  ,  0.00105168 ,  6.33216e-39,  7.28978e-06])
25005   , -2216.78    , array([ 0.0689314  ,  0.00105063 ,  6.33849e-39,  7.28978e-06])
25006   , -2216.68    , array([ 0.0689314  ,  0.00105063 ,  6.33216e-39,  7.29707e-06])
25007   , -2216.78    , array([ 0.0689314  ,  0.00105063 ,  6.33216e-39,  7.28978e-06])
25008   , -2216.78    , array([ 0.0689314  ,  0.00105063 ,  6.33216e-39,  7.28978e-06])
25009   , -2216.78    , array([ 0.0690004  ,  0.00105063 ,  6.33216e-39,  7.28978e-06])
25010   , -2216.89    , array([ 0.0689314  ,  0.00105168 ,  6.33216e-39,  7.28978e-06])
25011   , -2216.78    , array([ 0.0689314  ,  0.00105063 ,  6.33849e-39,  7.28978e-06])
25012   , -2216.68    , array([ 0.0689314  ,  0.00105063 ,  6.33216e-39,  7.29707e-06])
25013   , -2214.13    , array([ 0.0689314  ,  0.00101614 ,  6.33216e-39,  7.22431e-06])
25014   , -2214.13    , array([ 0.0689314  ,  0.00101614 ,  6.33216e-39,  7.22431e-06])
25015   , -2214.13    , array([ 0.0690004  ,  0.00101614 ,  6.33216e-39,  7.22431e-06])
25016   , -2214.24    , array([ 0.0689314  ,  0.00101716 ,  6.33216e-39,  7.22431e-06])
25017   , -2214.13    , array([ 0.0689314  ,  0.00101614 ,  6.33849e-39,  7.22431e-06])
25018   , -2214.02    , array([ 0.0689314  ,  0.00101614 ,  6.33216e-39,  7.23154e-06])
25019   , -2214.13    , array([ 0.0689314  ,  0.00101614 ,  6.33216e-39,  7.22431e-06])
25020   , -2214.13    , array([ 0.0689314  ,  0.00101614 ,  6.33216e-39,  7.22431e-06])
25021   , -2214.13    , array([ 0.0690004  ,  0.00101614 ,  6.33216e-39,  7.22431e-06])
25022   , -2214.24    , array([ 0.0689314  ,  0.00101716 ,  6.33216e-39,  7.22431e-06])
25023   , -2214.13    , array([ 0.0689314  ,  0.00101614 ,  6.33849e-39,  7.22431e-06])
25024   , -2214.02    , array([ 0.0689314  ,  0.00101614 ,  6.33216e-39,  7.23154e-06])
25025   , -2214.13    , array([ 0.0689314  ,  0.00101614 ,  6.33216e-39,  7.22431e-06])
25026   , -2214.13    , array([ 0.0689314  ,  0.00101614 ,  6.33216e-39,  7.22431e-06])
25027   , -2214.13    , array([ 0.0690004  ,  0.00101614 ,  6.33216e-39,  7.22431e-06])
25028   , -2214.24    , array([ 0.0689314  ,  0.00101716 ,  6.33216e-39,  7.22431e-06])
25029   , -2214.13    , array([ 0.0689314  ,  0.00101614 ,  6.33849e-39,  7.22431e-06])
25030   , -2214.02    , array([ 0.0689314  ,  0.00101614 ,  6.33216e-39,  7.23154e-06])
25034   , -2212.89    , array([ 0.0689314  ,  0.00100032 ,  6.33216e-39,  7.1918e-06 ])
25037   , -2213.71    , array([ 0.0689314  ,  0.00101089 ,  6.33216e-39,  7.2142e-06 ])
25038   , -2213.71    , array([ 0.0689314  ,  0.00101089 ,  6.33216e-39,  7.2142e-06 ])
25039   , -2213.71    , array([ 0.0690004  ,  0.00101089 ,  6.33216e-39,  7.2142e-06 ])
25040   , -2213.82    , array([ 0.0689314  ,  0.0010119  ,  6.33216e-39,  7.2142e-06 ])
25041   , -2213.71    , array([ 0.0689314  ,  0.00101089 ,  6.33849e-39,  7.2142e-06 ])
