23622   , -308000     , array([ 0.00723106 ,  1.39348    ,  1.82314e-19,  4.45953e-66,  0.0318299  ])
23623   , -307794     , array([ 0.00723829 ,  1.39348    ,  1.82314e-19,  4.45953e-66,  0.0318299  ])
23624   , -308005     , array([ 0.00723106 ,  1.39487    ,  1.82314e-19,  4.45953e-66,  0.0318299  ])
23625   , -308000     , array([ 0.00723106 ,  1.39348    ,  1.82496e-19,  4.45953e-66,  0.0318299  ])
23626   , -308000     , array([ 0.00723106 ,  1.39348    ,  1.82314e-19,  4.46399e-66,  0.0318299  ])
23627   , -308177     , array([ 0.00723106 ,  1.39348    ,  1.82314e-19,  4.45953e-66,  0.0318618  ])
23628   , -308000     , array([ 0.00723106 ,  1.39348    ,  1.82314e-19,  4.45953e-66,  0.0318299  ])
23629   , -136209     , array([ 0.0155853  ,  1.36817    ,  1.82314e-19,  4.45953e-66,  0.0165212  ])
23630   , -136209     , array([ 0.0155853  ,  1.36817    ,  1.82314e-19,  4.45953e-66,  0.0165212  ])
23631   , -136125     , array([ 0.0156009  ,  1.36817    ,  1.82314e-19,  4.45953e-66,  0.0165212  ])
23632   , -136213     , array([ 0.0155853  ,  1.36954    ,  1.82314e-19,  4.45953e-66,  0.0165212  ])
23633   , -136209     , array([ 0.0155853  ,  1.36817    ,  1.82496e-19,  4.45953e-66,  0.0165212  ])
23634   , -136209     , array([ 0.0155853  ,  1.36817    ,  1.82314e-19,  4.46399e-66,  0.0165212  ])
23635   , -136276     , array([ 0.0155853  ,  1.36817    ,  1.82314e-19,  4.45953e-66,  0.0165377  ])
23643   , -136006     , array([ 0.0158383  ,  1.35216    ,  1.82314e-19,  4.45953e-66,  0.016822   ])
23644   , -136006     , array([ 0.0158383  ,  1.35216    ,  1.82314e-19,  4.45953e-66,  0.016822   ])
23645   , -135922     , array([ 0.0158541  ,  1.35216    ,  1.82314e-19,  4.45953e-66,  0.016822   ])
23646   , -136010     , array([ 0.0158383  ,  1.35352    ,  1.82314e-19,  4.45953e-66,  0.016822   ])
23647   , -136006     , array([ 0.0158383  ,  1.35216    ,  1.82496e-19,  4.45953e-66,  0.016822   ])
23648   , -136006     , array([ 0.0158383  ,  1.35216    ,  1.82314e-19,  4.46399e-66,  0.016822   ])
23649   , -136073     , array([ 0.0158383  ,  1.35216    ,  1.82314e-19,  4.45953e-66,  0.0168388  ])
23650   , -135795     , array([ 0.0161001  ,  1.33605    ,  1.82314e-19,  4.45953e-66,  0.017134   ])
23651   , -135795     , array([ 0.0161001  ,  1.33605    ,  1.82314e-19,  4.45953e-66,  0.017134   ])
23652   , -135711     , array([ 0.0161163  ,  1.33605    ,  1.82314e-19,  4.45953e-66,  0.017134   ])
23653   , -135799     , array([ 0.0161001  ,  1.33738    ,  1.82314e-19,  4.45953e-66,  0.017134   ])
23654   , -135795     , array([ 0.0161001  ,  1.33605    ,  1.82496e-19,  4.45953e-66,  0.017134   ])
23655   , -135795     , array([ 0.0161001  ,  1.33605    ,  1.82314e-19,  4.46399e-66,  0.017134   ])
23656   , -135861     , array([ 0.0161001  ,  1.33605    ,  1.82314e-19,  4.45953e-66,  0.0171512  ])
23664   , -135740     , array([ 0.0161676  ,  1.33197    ,  1.82314e-19,  4.45953e-66,  0.0172145  ])
23665   , -135740     , array([ 0.0161676  ,  1.33197    ,  1.82314e-19,  4.45953e-66,  0.0172145  ])
23666   , -135656     , array([ 0.0161838  ,  1.33197    ,  1.82314e-19,  4.45953e-66,  0.0172145  ])
23667   , -135745     , array([ 0.0161676  ,  1.3333     ,  1.82314e-19,  4.45953e-66,  0.0172145  ])
23668   , -135740     , array([ 0.0161676  ,  1.33197    ,  1.82496e-19,  4.45953e-66,  0.0172145  ])
23669   , -135740     , array([ 0.0161676  ,  1.33197    ,  1.82314e-19,  4.46399e-66,  0.0172145  ])
23670   , -135807     , array([ 0.0161676  ,  1.33197    ,  1.82314e-19,  4.45953e-66,  0.0172317  ])
23671   , -135685     , array([ 0.0162356  ,  1.32788    ,  1.82314e-19,  4.45953e-66,  0.0172957  ])
23672   , -135685     , array([ 0.0162356  ,  1.32788    ,  1.82314e-19,  4.45953e-66,  0.0172957  ])
23673   , -135601     , array([ 0.0162519  ,  1.32788    ,  1.82314e-19,  4.45953e-66,  0.0172957  ])
23674   , -135690     , array([ 0.0162356  ,  1.32921    ,  1.82314e-19,  4.45953e-66,  0.0172957  ])
23675   , -135685     , array([ 0.0162356  ,  1.32788    ,  1.82496e-19,  4.45953e-66,  0.0172957  ])
23676   , -135685     , array([ 0.0162356  ,  1.32788    ,  1.82314e-19,  4.46399e-66,  0.0172957  ])
23677   , -135751     , array([ 0.0162356  ,  1.32788    ,  1.82314e-19,  4.45953e-66,  0.017313   ])
23685   , -135672     , array([ 0.0162528  ,  1.32686    ,  1.82314e-19,  4.45953e-66,  0.0173162  ])
23686   , -135672     , array([ 0.0162528  ,  1.32686    ,  1.82314e-19,  4.45953e-66,  0.0173162  ])
23687   , -135587     , array([ 0.016269   ,  1.32686    ,  1.82314e-19,  4.45953e-66,  0.0173162  ])
23688   , -135676     , array([ 0.0162528  ,  1.32819    ,  1.82314e-19,  4.45953e-66,  0.0173162  ])
23689   , -135672     , array([ 0.0162528  ,  1.32686    ,  1.82496e-19,  4.45953e-66,  0.0173162  ])
23690   , -135672     , array([ 0.0162528  ,  1.32686    ,  1.82314e-19,  4.46399e-66,  0.0173162  ])
23691   , -135738     , array([ 0.0162528  ,  1.32686    ,  1.82314e-19,  4.45953e-66,  0.0173335  ])
23692   , -135658     , array([ 0.01627    ,  1.32584    ,  1.82314e-19,  4.45953e-66,  0.0173367  ])
23693   , -135658     , array([ 0.01627    ,  1.32584    ,  1.82314e-19,  4.45953e-66,  0.0173367  ])
23694   , -135573     , array([ 0.0162862  ,  1.32584    ,  1.82314e-19,  4.45953e-66,  0.0173367  ])
23695   , -135662     , array([ 0.01627    ,  1.32716    ,  1.82314e-19,  4.45953e-66,  0.0173367  ])
23696   , -135658     , array([ 0.01627    ,  1.32584    ,  1.82496e-19,  4.45953e-66,  0.0173367  ])
23697   , -135658     , array([ 0.01627    ,  1.32584    ,  1.82314e-19,  4.46399e-66,  0.0173367  ])
23698   , -135724     , array([ 0.01627    ,  1.32584    ,  1.82314e-19,  4.45953e-66,  0.0173541  ])
23699   , -335876     , array([ 0.524575   ,  0.104605   ,  1.82314e-19,  4.45953e-66,  0.850241   ])
23700   , -335876     , array([ 0.524575   ,  0.104605   ,  1.82314e-19,  4.45953e-66,  0.850241   ])
23701   , -335812     , array([ 0.5251     ,  0.104605   ,  1.82314e-19,  4.45953e-66,  0.850241   ])
23702   , -335594     , array([ 0.524575   ,  0.104709   ,  1.82314e-19,  4.45953e-66,  0.850241   ])
23703   , -335876     , array([ 0.524575   ,  0.104605   ,  1.82496e-19,  4.45953e-66,  0.850241   ])
23704   , -335876     , array([ 0.524575   ,  0.104605   ,  1.82314e-19,  4.46399e-66,  0.850241   ])
23705   , -336237     , array([ 0.524575   ,  0.104605   ,  1.82314e-19,  4.45953e-66,  0.851092   ])
23706   , -109247     , array([ 0.0516339  ,  0.569854   ,  1.82314e-19,  4.45953e-66,  0.0632531  ])
23707   , -109247     , array([ 0.0516339  ,  0.569854   ,  1.82314e-19,  4.45953e-66,  0.0632531  ])
23708   , -109165     , array([ 0.0516856  ,  0.569854   ,  1.82314e-19,  4.45953e-66,  0.0632531  ])
23709   , -109262     , array([ 0.0516339  ,  0.570424   ,  1.82314e-19,  4.45953e-66,  0.0632531  ])
23710   , -109247     , array([ 0.0516339  ,  0.569854   ,  1.82496e-19,  4.45953e-66,  0.0632531  ])
23711   , -109247     , array([ 0.0516339  ,  0.569854   ,  1.82314e-19,  4.46399e-66,  0.0632531  ])
23712   , -109303     , array([ 0.0516339  ,  0.569854   ,  1.82314e-19,  4.45953e-66,  0.0633164  ])
23713   , -89250.3    , array([ 0.152706   ,  0.257889   ,  1.82314e-19,  4.45953e-66,  0.21324    ])
23714   , -89250.3    , array([ 0.152706   ,  0.257889   ,  1.82314e-19,  4.45953e-66,  0.21324    ])
23715   , -89176.6    , array([ 0.152859   ,  0.257889   ,  1.82314e-19,  4.45953e-66,  0.21324    ])
23716   , -89244      , array([ 0.152706   ,  0.258147   ,  1.82314e-19,  4.45953e-66,  0.21324    ])
23717   , -89250.3    , array([ 0.152706   ,  0.257889   ,  1.82496e-19,  4.45953e-66,  0.21324    ])
23718   , -89250.3    , array([ 0.152706   ,  0.257889   ,  1.82314e-19,  4.46399e-66,  0.21324    ])
23719   , -89328.6    , array([ 0.152706   ,  0.257889   ,  1.82314e-19,  4.45953e-66,  0.213454   ])
23720   , -90104.4    , array([ 0.101978   ,  0.346455   ,  1.82314e-19,  4.45953e-66,  0.135626   ])
23721   , -90104.4    , array([ 0.101978   ,  0.346455   ,  1.82314e-19,  4.45953e-66,  0.135626   ])
23722   , -90025.6    , array([ 0.10208    ,  0.346455   ,  1.82314e-19,  4.45953e-66,  0.135626   ])
23723   , -90115.1    , array([ 0.101978   ,  0.346801   ,  1.82314e-19,  4.45953e-66,  0.135626   ])
23724   , -90104.4    , array([ 0.101978   ,  0.346455   ,  1.82496e-19,  4.45953e-66,  0.135626   ])
23725   , -90104.4    , array([ 0.101978   ,  0.346455   ,  1.82314e-19,  4.46399e-66,  0.135626   ])
23726   , -90165.7    , array([ 0.101978   ,  0.346455   ,  1.82314e-19,  4.45953e-66,  0.135762   ])
23727   , -87797.6    , array([ 0.129363   ,  0.291146   ,  1.82314e-19,  4.45953e-66,  0.177062   ])
23728   , -87797.6    , array([ 0.129363   ,  0.291146   ,  1.82314e-19,  4.45953e-66,  0.177062   ])
23729   , -87721.6    , array([ 0.129493   ,  0.291146   ,  1.82314e-19,  4.45953e-66,  0.177062   ])
23730   , -87800.2    , array([ 0.129363   ,  0.291437   ,  1.82314e-19,  4.45953e-66,  0.177062   ])
23731   , -87797.6    , array([ 0.129363   ,  0.291146   ,  1.82496e-19,  4.45953e-66,  0.177062   ])
23732   , -87797.6    , array([ 0.129363   ,  0.291146   ,  1.82314e-19,  4.46399e-66,  0.177062   ])
23733   , -87867.2    , array([ 0.129363   ,  0.291146   ,  1.82314e-19,  4.45953e-66,  0.177239   ])
23741   , -87782.4    , array([ 0.129246   ,  0.288969   ,  1.82314e-19,  4.45953e-66,  0.176895   ])
23742   , -87782.4    , array([ 0.129246   ,  0.288969   ,  1.82314e-19,  4.45953e-66,  0.176895   ])
23743   , -87706.3    , array([ 0.129375   ,  0.288969   ,  1.82314e-19,  4.45953e-66,  0.176895   ])
23744   , -87784.8    , array([ 0.129246   ,  0.289259   ,  1.82314e-19,  4.45953e-66,  0.176895   ])
23745   , -87782.4    , array([ 0.129246   ,  0.288969   ,  1.82496e-19,  4.45953e-66,  0.176895   ])
23746   , -87782.4    , array([ 0.129246   ,  0.288969   ,  1.82314e-19,  4.46399e-66,  0.176895   ])
23747   , -87852      , array([ 0.129246   ,  0.288969   ,  1.82314e-19,  4.45953e-66,  0.177072   ])
23748   , -87683      , array([ 0.127586   ,  0.25968    ,  1.82314e-19,  4.45953e-66,  0.174528   ])
23749   , -87683      , array([ 0.127586   ,  0.25968    ,  1.82314e-19,  4.45953e-66,  0.174528   ])
23750   , -87607.7    , array([ 0.127714   ,  0.25968    ,  1.82314e-19,  4.45953e-66,  0.174528   ])
23751   , -87683      , array([ 0.127586   ,  0.259939   ,  1.82314e-19,  4.45953e-66,  0.174528   ])
23752   , -87683      , array([ 0.127586   ,  0.25968    ,  1.82496e-19,  4.45953e-66,  0.174528   ])
23753   , -87683      , array([ 0.127586   ,  0.25968    ,  1.82314e-19,  4.46399e-66,  0.174528   ])
23754   , -87754.4    , array([ 0.127586   ,  0.25968    ,  1.82314e-19,  4.45953e-66,  0.174702   ])
23755   , -87452.3    , array([ 0.127291   ,  0.258495   ,  1.82314e-19,  4.45953e-66,  0.173538   ])
23756   , -87452.3    , array([ 0.127291   ,  0.258495   ,  1.82314e-19,  4.45953e-66,  0.173538   ])
23757   , -87377.1    , array([ 0.127418   ,  0.258495   ,  1.82314e-19,  4.45953e-66,  0.173538   ])
23758   , -87452.3    , array([ 0.127291   ,  0.258754   ,  1.82314e-19,  4.45953e-66,  0.173538   ])
23759   , -87452.3    , array([ 0.127291   ,  0.258495   ,  1.82496e-19,  4.45953e-66,  0.173538   ])
23760   , -87452.3    , array([ 0.127291   ,  0.258495   ,  1.82314e-19,  4.46399e-66,  0.173538   ])
23761   , -87523.4    , array([ 0.127291   ,  0.258495   ,  1.82314e-19,  4.45953e-66,  0.173711   ])
23762   , -86537.1    , array([ 0.126118   ,  0.253812   ,  1.82314e-19,  4.45953e-66,  0.169633   ])
23763   , -86537.1    , array([ 0.126118   ,  0.253812   ,  1.82314e-19,  4.45953e-66,  0.169633   ])
23764   , -86462.5    , array([ 0.126244   ,  0.253812   ,  1.82314e-19,  4.45953e-66,  0.169633   ])
23765   , -86537.1    , array([ 0.126118   ,  0.254066   ,  1.82314e-19,  4.45953e-66,  0.169633   ])
23766   , -86537.1    , array([ 0.126118   ,  0.253812   ,  1.82496e-19,  4.45953e-66,  0.169633   ])
23767   , -86537.1    , array([ 0.126118   ,  0.253812   ,  1.82314e-19,  4.46399e-66,  0.169633   ])
23768   , -86607.4    , array([ 0.126118   ,  0.253812   ,  1.82314e-19,  4.45953e-66,  0.169803   ])
23769   , -82997.1    , array([ 0.121533   ,  0.235912   ,  1.82314e-19,  4.45953e-66,  0.154875   ])
23770   , -82997.1    , array([ 0.121533   ,  0.235912   ,  1.82314e-19,  4.45953e-66,  0.154875   ])
23771   , -82925      , array([ 0.121655   ,  0.235912   ,  1.82314e-19,  4.45953e-66,  0.154875   ])
23772   , -82997.2    , array([ 0.121533   ,  0.236148   ,  1.82314e-19,  4.45953e-66,  0.154875   ])
23773   , -82997.1    , array([ 0.121533   ,  0.235912   ,  1.82496e-19,  4.45953e-66,  0.154875   ])
23774   , -82997.1    , array([ 0.121533   ,  0.235912   ,  1.82314e-19,  4.46399e-66,  0.154875   ])
23775   , -83064.2    , array([ 0.121533   ,  0.235912   ,  1.82314e-19,  4.45953e-66,  0.15503    ])
23776   , -70510.9    , array([ 0.104802   ,  0.176078   ,  1.82314e-19,  4.45953e-66,  0.107611   ])
23777   , -70510.9    , array([ 0.104802   ,  0.176078   ,  1.82314e-19,  4.45953e-66,  0.107611   ])
23778   , -70447.5    , array([ 0.104907   ,  0.176078   ,  1.82314e-19,  4.45953e-66,  0.107611   ])
23779   , -70511.4    , array([ 0.104802   ,  0.176254   ,  1.82314e-19,  4.45953e-66,  0.107611   ])
23780   , -70510.9    , array([ 0.104802   ,  0.176078   ,  1.82496e-19,  4.45953e-66,  0.107611   ])
23781   , -70510.9    , array([ 0.104802   ,  0.176078   ,  1.82314e-19,  4.46399e-66,  0.107611   ])
