221428  , -79082.6    , array([ 2.72093    ,  0.00155946 ,  2.50368e-10,  0.00767206 ,  9.13648e-09])
221429  , -79082.6    , array([ 2.72093    ,  0.00155946 ,  2.50368e-10,  0.0076644  ,  9.14562e-09])
221430  , -79082.6    , array([ 2.72093    ,  0.00155946 ,  2.50368e-10,  0.0076644  ,  9.13648e-09])
221431  , -79082.6    , array([ 2.72093    ,  0.00155946 ,  2.50368e-10,  0.0076644  ,  9.13648e-09])
221432  , -79082.6    , array([ 2.72365    ,  0.00155946 ,  2.50368e-10,  0.0076644  ,  9.13648e-09])
221433  , -79082.6    , array([ 2.72093    ,  0.00156102 ,  2.50368e-10,  0.0076644  ,  9.13648e-09])
221434  , -79082.6    , array([ 2.72093    ,  0.00155946 ,  2.50618e-10,  0.0076644  ,  9.13648e-09])
221435  , -79082.6    , array([ 2.72093    ,  0.00155946 ,  2.50368e-10,  0.00767206 ,  9.13648e-09])
221436  , -79082.6    , array([ 2.72093    ,  0.00155946 ,  2.50368e-10,  0.0076644  ,  9.14562e-09])
221437  , -79082.6    , array([ 2.72093    ,  0.00155946 ,  2.50368e-10,  0.0076644  ,  9.13648e-09])
221438  , -79082.6    , array([ 2.72093    ,  0.00155946 ,  2.50368e-10,  0.0076644  ,  9.13648e-09])
221439  , -79082.6    , array([ 2.72365    ,  0.00155946 ,  2.50368e-10,  0.0076644  ,  9.13648e-09])
221440  , -79082.6    , array([ 2.72093    ,  0.00156102 ,  2.50368e-10,  0.0076644  ,  9.13648e-09])
221441  , -79082.6    , array([ 2.72093    ,  0.00155946 ,  2.50618e-10,  0.0076644  ,  9.13648e-09])
221442  , -79082.6    , array([ 2.72093    ,  0.00155946 ,  2.50368e-10,  0.00767206 ,  9.13648e-09])
221443  , -79082.6    , array([ 2.72093    ,  0.00155946 ,  2.50368e-10,  0.0076644  ,  9.14562e-09])
221451  , -79082.6    , array([ 2.72093    ,  0.00155946 ,  2.50368e-10,  0.0076644  ,  9.13648e-09])
221452  , -79082.6    , array([ 2.72093    ,  0.00155946 ,  2.50368e-10,  0.0076644  ,  9.13648e-09])
221453  , -79082.6    , array([ 2.72365    ,  0.00155946 ,  2.50368e-10,  0.0076644  ,  9.13648e-09])
221454  , -79082.6    , array([ 2.72093    ,  0.00156102 ,  2.50368e-10,  0.0076644  ,  9.13648e-09])
221455  , -79082.6    , array([ 2.72093    ,  0.00155946 ,  2.50618e-10,  0.0076644  ,  9.13648e-09])
