101622  , -79089.4    , array([ 0.334094   ,  0.71419    ,  4.64101e-26,  4.08869e-31,  4.7162e-25 ])
101623  , -79089.4    , array([ 0.334094   ,  0.71419    ,  4.64101e-26,  4.08869e-31,  4.7162e-25 ])
101624  , -79089.4    , array([ 1.33409    ,  0.71419    ,  4.64101e-26,  4.08869e-31,  4.7162e-25 ])
101625  , -79089.4    , array([ 2.95213    ,  0.71419    ,  4.64101e-26,  4.08869e-31,  4.7162e-25 ])
101626  , -79089.4    , array([ 1.33409    ,  0.71419    ,  4.64101e-26,  4.08869e-31,  4.7162e-25 ])
101627  , -79089.4    , array([ 1.95213    ,  0.71419    ,  4.64101e-26,  4.08869e-31,  4.7162e-25 ])
101628  , -79089.4    , array([ 2.33409    ,  0.71419    ,  4.64101e-26,  4.08869e-31,  4.7162e-25 ])
101629  , -79089.4    , array([ 2.57016    ,  0.71419    ,  4.64101e-26,  4.08869e-31,  4.7162e-25 ])
101630  , -79089.4    , array([ 2.71606    ,  0.71419    ,  4.64101e-26,  4.08869e-31,  4.7162e-25 ])
101631  , -79089.4    , array([ 2.80623    ,  0.71419    ,  4.64101e-26,  4.08869e-31,  4.7162e-25 ])
101632  , -79089.4    , array([ 2.86196    ,  0.71419    ,  4.64101e-26,  4.08869e-31,  4.7162e-25 ])
101633  , -79089.4    , array([ 2.8964     ,  0.71419    ,  4.64101e-26,  4.08869e-31,  4.7162e-25 ])
101634  , -79089.4    , array([ 2.92202    ,  0.71419    ,  4.64101e-26,  4.08869e-31,  4.7162e-25 ])
101635  , -79089.4    , array([ 2.92202    ,  0.71419    ,  4.64101e-26,  4.08869e-31,  4.7162e-25 ])
101636  , -79089.4    , array([ 2.92202    ,  1.71419    ,  4.64101e-26,  4.08869e-31,  4.7162e-25 ])
101637  , -79089.4    , array([ 2.92202    ,  3.33222    ,  4.64101e-26,  4.08869e-31,  4.7162e-25 ])
101638  , -79089.4    , array([ 2.92202    ,  1.71419    ,  4.64101e-26,  4.08869e-31,  4.7162e-25 ])
101639  , -79089.4    , array([ 2.92202    ,  2.33222    ,  4.64101e-26,  4.08869e-31,  4.7162e-25 ])
101640  , -79089.4    , array([ 2.92202    ,  2.71419    ,  4.64101e-26,  4.08869e-31,  4.7162e-25 ])
101641  , -79089.4    , array([ 2.92202    ,  2.95026    ,  4.64101e-26,  4.08869e-31,  4.7162e-25 ])
101642  , -79089.4    , array([ 2.92202    ,  3.09616    ,  4.64101e-26,  4.08869e-31,  4.7162e-25 ])
101643  , -79089.4    , array([ 2.92202    ,  3.18633    ,  4.64101e-26,  4.08869e-31,  4.7162e-25 ])
101644  , -79089.4    , array([ 2.92202    ,  3.24205    ,  4.64101e-26,  4.08869e-31,  4.7162e-25 ])
101645  , -79089.4    , array([ 2.92202    ,  3.2765     ,  4.64101e-26,  4.08869e-31,  4.7162e-25 ])
101646  , -79089.4    , array([ 2.92202    ,  3.30212    ,  4.64101e-26,  4.08869e-31,  4.7162e-25 ])
101647  , -79089.4    , array([ 2.92202    ,  3.30212    ,  4.64101e-26,  4.08869e-31,  4.7162e-25 ])
101648  , -79089.4    , array([ 2.92202    ,  3.30212    ,  1          ,  4.08869e-31,  4.7162e-25 ])
101649  , -79089.4    , array([ 2.92202    ,  3.30212    ,  2.61803    ,  4.08869e-31,  4.7162e-25 ])
101650  , -79089.4    , array([ 2.92202    ,  3.30212    ,  1          ,  4.08869e-31,  4.7162e-25 ])
101651  , -79089.4    , array([ 2.92202    ,  3.30212    ,  1.61803    ,  4.08869e-31,  4.7162e-25 ])
101652  , -79089.4    , array([ 2.92202    ,  3.30212    ,  2          ,  4.08869e-31,  4.7162e-25 ])
101653  , -79089.4    , array([ 2.92202    ,  3.30212    ,  2.23607    ,  4.08869e-31,  4.7162e-25 ])
101654  , -79089.4    , array([ 2.92202    ,  3.30212    ,  2.38197    ,  4.08869e-31,  4.7162e-25 ])
101655  , -79089.4    , array([ 2.92202    ,  3.30212    ,  2.47214    ,  4.08869e-31,  4.7162e-25 ])
101656  , -79089.4    , array([ 2.92202    ,  3.30212    ,  2.52786    ,  4.08869e-31,  4.7162e-25 ])
101657  , -79089.4    , array([ 2.92202    ,  3.30212    ,  2.56231    ,  4.08869e-31,  4.7162e-25 ])
101658  , -79089.4    , array([ 2.92202    ,  3.30212    ,  2.58793    ,  4.08869e-31,  4.7162e-25 ])
101659  , -79089.4    , array([ 2.92202    ,  3.30212    ,  2.58793    ,  4.08869e-31,  4.7162e-25 ])
101660  , -79089.4    , array([ 2.92202    ,  3.30212    ,  2.58793    ,  1          ,  4.7162e-25 ])
101661  , -79089.4    , array([ 2.92202    ,  3.30212    ,  2.58793    ,  2.61803    ,  4.7162e-25 ])
101662  , -79089.4    , array([ 2.92202    ,  3.30212    ,  2.58793    ,  1          ,  4.7162e-25 ])
101663  , -79089.4    , array([ 2.92202    ,  3.30212    ,  2.58793    ,  1.61803    ,  4.7162e-25 ])
101664  , -79089.4    , array([ 2.92202    ,  3.30212    ,  2.58793    ,  2          ,  4.7162e-25 ])
101665  , -79089.4    , array([ 2.92202    ,  3.30212    ,  2.58793    ,  2.23607    ,  4.7162e-25 ])
101666  , -79089.4    , array([ 2.92202    ,  3.30212    ,  2.58793    ,  2.38197    ,  4.7162e-25 ])
101667  , -79089.4    , array([ 2.92202    ,  3.30212    ,  2.58793    ,  2.47214    ,  4.7162e-25 ])
101668  , -79089.4    , array([ 2.92202    ,  3.30212    ,  2.58793    ,  2.52786    ,  4.7162e-25 ])
101669  , -79089.4    , array([ 2.92202    ,  3.30212    ,  2.58793    ,  2.56231    ,  4.7162e-25 ])
101670  , -79089.4    , array([ 2.92202    ,  3.30212    ,  2.58793    ,  2.58793    ,  4.7162e-25 ])
101671  , -79089.4    , array([ 2.92202    ,  3.30212    ,  2.58793    ,  2.58793    ,  4.7162e-25 ])
101672  , -58209.6    , array([ 2.92202    ,  3.30212    ,  2.58793    ,  2.58793    ,  1          ])
101673  , -56188      , array([ 2.92202    ,  3.30212    ,  2.58793    ,  2.58793    ,  2.61803    ])
101674  , -57734.7    , array([ 2.92202    ,  3.30212    ,  2.58793    ,  2.58793    ,  1.89233    ])
101676  , -56188      , array([ 2.92202    ,  3.30212    ,  2.58793    ,  2.58793    ,  2.61803    ])
101677  , -53723.9    , array([ 2.92202    ,  3.30212    ,  2.58793    ,  2.58793    ,  3.61803    ])
101678  , -52229      , array([ 2.92202    ,  3.30212    ,  2.58793    ,  2.58793    ,  4.23607    ])
101679  , -51359.8    , array([ 2.92202    ,  3.30212    ,  2.58793    ,  2.58793    ,  4.61803    ])
101680  , -50850.6    , array([ 2.92202    ,  3.30212    ,  2.58793    ,  2.58793    ,  4.8541     ])
101682  , -51042.4    , array([ 2.92202    ,  3.30212    ,  2.58793    ,  2.58793    ,  4.76393    ])
101683  , -50733.9    , array([ 2.92202    ,  3.30212    ,  2.58793    ,  2.58793    ,  4.90983    ])
101685  , -50733.9    , array([ 2.92202    ,  3.30212    ,  2.58793    ,  2.58793    ,  4.90983    ])
101686  , -53719.2    , array([ 3.92202    ,  3.30212    ,  2.58793    ,  2.58793    ,  4.90983    ])
101687  , -46048.8    , array([ 1.30399    ,  3.30212    ,  2.58793    ,  2.58793    ,  4.90983    ])
101689  , -46048.8    , array([ 1.30399    ,  3.30212    ,  2.58793    ,  2.58793    ,  4.90983    ])
101693  , -56335.7    , array([ 0.423578   ,  3.30212    ,  2.58793    ,  2.58793    ,  4.90983    ])
101694  , -47015.3    , array([ 0.863976   ,  3.30212    ,  2.58793    ,  2.58793    ,  4.90983    ])
