169625  , -5822.77    , array([ 65.6901    ,  0.021081   ,  0.000887162,  3.68045e-05,  0.0120833  ])
169626  , -5822.77    , array([ 65.7558    ,  0.021081   ,  0.000887162,  3.68045e-05,  0.0120833  ])
169627  , -5806.49    , array([ 65.6901    ,  0.0211021  ,  0.000887162,  3.68045e-05,  0.0120833  ])
169628  , -5822.77    , array([ 65.6901    ,  0.021081   ,  0.000888049,  3.68045e-05,  0.0120833  ])
169629  , -5822.77    , array([ 65.6901    ,  0.021081   ,  0.000887162,  3.68414e-05,  0.0120833  ])
169630  , -5838.3     , array([ 65.6901    ,  0.021081   ,  0.000887162,  3.68045e-05,  0.0120954  ])
169638  , -5822.72    , array([ 65.7008    ,  0.0210804  ,  0.000887229,  3.68072e-05,  0.0120829  ])
169639  , -5822.72    , array([ 65.7008    ,  0.0210804  ,  0.000887229,  3.68072e-05,  0.0120829  ])
169640  , -5822.72    , array([ 65.7665    ,  0.0210804  ,  0.000887229,  3.68072e-05,  0.0120829  ])
169641  , -5806.44    , array([ 65.7008    ,  0.0211015  ,  0.000887229,  3.68072e-05,  0.0120829  ])
169642  , -5822.72    , array([ 65.7008    ,  0.0210804  ,  0.000888116,  3.68072e-05,  0.0120829  ])
169643  , -5822.72    , array([ 65.7008    ,  0.0210804  ,  0.000887229,  3.6844e-05 ,  0.0120829  ])
169644  , -5838.26    , array([ 65.7008    ,  0.0210804  ,  0.000887229,  3.68072e-05,  0.012095   ])
169652  , -5822.7     , array([ 65.7054    ,  0.0210802  ,  0.000887258,  3.68084e-05,  0.0120828  ])
169653  , -5822.7     , array([ 65.7054    ,  0.0210802  ,  0.000887258,  3.68084e-05,  0.0120828  ])
169654  , -5822.7     , array([ 65.7711    ,  0.0210802  ,  0.000887258,  3.68084e-05,  0.0120828  ])
169655  , -5806.42    , array([ 65.7054    ,  0.0211013  ,  0.000887258,  3.68084e-05,  0.0120828  ])
169656  , -5822.7     , array([ 65.7054    ,  0.0210802  ,  0.000888146,  3.68084e-05,  0.0120828  ])
169657  , -5822.7     , array([ 65.7054    ,  0.0210802  ,  0.000887258,  3.68452e-05,  0.0120828  ])
169658  , -5838.23    , array([ 65.7054    ,  0.0210802  ,  0.000887258,  3.68084e-05,  0.0120949  ])
169666  , -5822.69    , array([ 65.7074    ,  0.0210801  ,  0.000887271,  3.68089e-05,  0.0120827  ])
169667  , -5822.69    , array([ 65.7074    ,  0.0210801  ,  0.000887271,  3.68089e-05,  0.0120827  ])
169668  , -5822.69    , array([ 65.7731    ,  0.0210801  ,  0.000887271,  3.68089e-05,  0.0120827  ])
169669  , -5806.41    , array([ 65.7074    ,  0.0211012  ,  0.000887271,  3.68089e-05,  0.0120827  ])
169670  , -5822.69    , array([ 65.7074    ,  0.0210801  ,  0.000888158,  3.68089e-05,  0.0120827  ])
169671  , -5822.69    , array([ 65.7074    ,  0.0210801  ,  0.000887271,  3.68457e-05,  0.0120827  ])
169672  , -5838.22    , array([ 65.7074    ,  0.0210801  ,  0.000887271,  3.68089e-05,  0.0120948  ])
169680  , -5822.68    , array([ 65.7083    ,  0.02108    ,  0.000887276,  3.68091e-05,  0.0120827  ])
169681  , -5822.68    , array([ 65.7083    ,  0.02108    ,  0.000887276,  3.68091e-05,  0.0120827  ])
169682  , -5822.69    , array([ 65.774     ,  0.02108    ,  0.000887276,  3.68091e-05,  0.0120827  ])
169683  , -5806.41    , array([ 65.7083    ,  0.0211011  ,  0.000887276,  3.68091e-05,  0.0120827  ])
169684  , -5822.68    , array([ 65.7083    ,  0.02108    ,  0.000888164,  3.68091e-05,  0.0120827  ])
169685  , -5822.68    , array([ 65.7083    ,  0.02108    ,  0.000887276,  3.68459e-05,  0.0120827  ])
169686  , -5838.22    , array([ 65.7083    ,  0.02108    ,  0.000887276,  3.68091e-05,  0.0120948  ])
169694  , -5822.68    , array([ 65.7087    ,  0.02108    ,  0.000887279,  3.68092e-05,  0.0120827  ])
169695  , -5822.68    , array([ 65.7087    ,  0.02108    ,  0.000887279,  3.68092e-05,  0.0120827  ])
169696  , -5822.69    , array([ 65.7744    ,  0.02108    ,  0.000887279,  3.68092e-05,  0.0120827  ])
169697  , -5806.4     , array([ 65.7087    ,  0.0211011  ,  0.000887279,  3.68092e-05,  0.0120827  ])
169698  , -5822.68    , array([ 65.7087    ,  0.02108    ,  0.000888166,  3.68092e-05,  0.0120827  ])
169699  , -5822.68    , array([ 65.7087    ,  0.02108    ,  0.000887279,  3.6846e-05 ,  0.0120827  ])
169700  , -5838.22    , array([ 65.7087    ,  0.02108    ,  0.000887279,  3.68092e-05,  0.0120947  ])
169708  , -5822.68    , array([ 65.7088    ,  0.02108    ,  0.00088728 ,  3.68093e-05,  0.0120826  ])
169709  , -5822.68    , array([ 65.7088    ,  0.02108    ,  0.00088728 ,  3.68093e-05,  0.0120826  ])
169710  , -5822.69    , array([ 65.7746    ,  0.02108    ,  0.00088728 ,  3.68093e-05,  0.0120826  ])
169711  , -5806.4     , array([ 65.7088    ,  0.0211011  ,  0.00088728 ,  3.68093e-05,  0.0120826  ])
169712  , -5822.68    , array([ 65.7088    ,  0.02108    ,  0.000888167,  3.68093e-05,  0.0120826  ])
169713  , -5822.68    , array([ 65.7088    ,  0.02108    ,  0.00088728 ,  3.68461e-05,  0.0120826  ])
169714  , -5838.22    , array([ 65.7088    ,  0.02108    ,  0.00088728 ,  3.68093e-05,  0.0120947  ])
169722  , -5822.68    , array([ 65.7089    ,  0.02108    ,  0.00088728 ,  3.68093e-05,  0.0120826  ])
169723  , -5822.68    , array([ 65.7089    ,  0.02108    ,  0.00088728 ,  3.68093e-05,  0.0120826  ])
169724  , -5822.69    , array([ 65.7747    ,  0.02108    ,  0.00088728 ,  3.68093e-05,  0.0120826  ])
169725  , -5806.4     , array([ 65.7089    ,  0.0211011  ,  0.00088728 ,  3.68093e-05,  0.0120826  ])
169726  , -5822.68    , array([ 65.7089    ,  0.02108    ,  0.000888168,  3.68093e-05,  0.0120826  ])
