8544    , -2219.19    , array([ 0.0307831  ,  0.0326085  ,  0.00742843 ,  2.4862e-26 ])
8545    , -2217.83    , array([ 0.0308139  ,  0.0326085  ,  0.00742843 ,  2.4862e-26 ])
8546    , -2219.19    , array([ 0.0307831  ,  0.0326411  ,  0.00742843 ,  2.4862e-26 ])
8547    , -2220.29    , array([ 0.0307831  ,  0.0326085  ,  0.00743587 ,  2.4862e-26 ])
8548    , -2219.19    , array([ 0.0307831  ,  0.0326085  ,  0.00742843 ,  2.48868e-26])
8549    , -2219.19    , array([ 0.0307831  ,  0.0326085  ,  0.00742843 ,  2.4862e-26 ])
8550    , -1804.88    , array([ 0.0675386  ,  0.0326085  ,  0.00393814 ,  2.4862e-26 ])
8551    , -1804.88    , array([ 0.0675386  ,  0.0326085  ,  0.00393814 ,  2.4862e-26 ])
8552    , -1805.09    , array([ 0.0676061  ,  0.0326085  ,  0.00393814 ,  2.4862e-26 ])
8553    , -1804.88    , array([ 0.0675386  ,  0.0326411  ,  0.00393814 ,  2.4862e-26 ])
8554    , -1804.65    , array([ 0.0675386  ,  0.0326085  ,  0.00394208 ,  2.4862e-26 ])
8555    , -1804.88    , array([ 0.0675386  ,  0.0326085  ,  0.00393814 ,  2.48868e-26])
8562    , -1804.88    , array([ 0.06754    ,  0.0326085  ,  0.00393824 ,  2.4862e-26 ])
8563    , -1804.88    , array([ 0.06754    ,  0.0326085  ,  0.00393824 ,  2.4862e-26 ])
8564    , -1805.09    , array([ 0.0676075  ,  0.0326085  ,  0.00393824 ,  2.4862e-26 ])
8565    , -1804.88    , array([ 0.06754    ,  0.0326411  ,  0.00393824 ,  2.4862e-26 ])
8566    , -1804.65    , array([ 0.06754    ,  0.0326085  ,  0.00394218 ,  2.4862e-26 ])
8567    , -1804.88    , array([ 0.06754    ,  0.0326085  ,  0.00393824 ,  2.48868e-26])
8568    , -1804.88    , array([ 0.0675414  ,  0.0326085  ,  0.00393833 ,  2.4862e-26 ])
