297173  , -33414.5    , array([ 26.3279    ,  0.0100598  ,  2.38334e-06,  0.0397619  ,  0.000654626])
297174  , -33414.6    , array([ 26.3542    ,  0.0100598  ,  2.38334e-06,  0.0397619  ,  0.000654626])
297175  , -33441.1    , array([ 26.3279    ,  0.0100699  ,  2.38334e-06,  0.0397619  ,  0.000654626])
297176  , -33414.5    , array([ 26.3279    ,  0.0100598  ,  2.38572e-06,  0.0397619  ,  0.000654626])
297177  , -33414.5    , array([ 26.3279    ,  0.0100598  ,  2.38334e-06,  0.0398016  ,  0.000654626])
297178  , -33388      , array([ 26.3279    ,  0.0100598  ,  2.38334e-06,  0.0397619  ,  0.000655281])
297179  , -33414.5    , array([ 26.3279    ,  0.0100598  ,  2.38334e-06,  0.0397619  ,  0.000654626])
297180  , -3488.75    , array([ 26.3234    ,  0.00492608 ,  2.38334e-06,  0.039761   ,  0.0013373  ])
297181  , -3488.75    , array([ 26.3234    ,  0.00492608 ,  2.38334e-06,  0.039761   ,  0.0013373  ])
297182  , -3488.76    , array([ 26.3497    ,  0.00492608 ,  2.38334e-06,  0.039761   ,  0.0013373  ])
297183  , -3496.14    , array([ 26.3234    ,  0.00493101 ,  2.38334e-06,  0.039761   ,  0.0013373  ])
297184  , -3488.75    , array([ 26.3234    ,  0.00492608 ,  2.38572e-06,  0.039761   ,  0.0013373  ])
297185  , -3488.75    , array([ 26.3234    ,  0.00492608 ,  2.38334e-06,  0.0398008  ,  0.0013373  ])
297186  , -3481.31    , array([ 26.3234    ,  0.00492608 ,  2.38334e-06,  0.039761   ,  0.00133864 ])
297194  , -3488.66    , array([ 26.3234    ,  0.00492824 ,  2.38334e-06,  0.0397609  ,  0.0013379  ])
297195  , -3488.66    , array([ 26.3234    ,  0.00492824 ,  2.38334e-06,  0.0397609  ,  0.0013379  ])
297196  , -3488.66    , array([ 26.3498    ,  0.00492824 ,  2.38334e-06,  0.0397609  ,  0.0013379  ])
297197  , -3496.04    , array([ 26.3234    ,  0.00493317 ,  2.38334e-06,  0.0397609  ,  0.0013379  ])
297198  , -3488.66    , array([ 26.3234    ,  0.00492824 ,  2.38572e-06,  0.0397609  ,  0.0013379  ])
297199  , -3488.66    , array([ 26.3234    ,  0.00492824 ,  2.38334e-06,  0.0398007  ,  0.0013379  ])
297200  , -3481.22    , array([ 26.3234    ,  0.00492824 ,  2.38334e-06,  0.0397609  ,  0.00133924 ])
297201  , -3488.57    , array([ 26.3235    ,  0.00493041 ,  2.38334e-06,  0.0397608  ,  0.0013385  ])
297202  , -3488.57    , array([ 26.3235    ,  0.00493041 ,  2.38334e-06,  0.0397608  ,  0.0013385  ])
297203  , -3488.57    , array([ 26.3498    ,  0.00493041 ,  2.38334e-06,  0.0397608  ,  0.0013385  ])
297204  , -3495.95    , array([ 26.3235    ,  0.00493534 ,  2.38334e-06,  0.0397608  ,  0.0013385  ])
297205  , -3488.57    , array([ 26.3235    ,  0.00493041 ,  2.38572e-06,  0.0397608  ,  0.0013385  ])
297206  , -3488.57    , array([ 26.3235    ,  0.00493041 ,  2.38334e-06,  0.0398006  ,  0.0013385  ])
297207  , -3481.13    , array([ 26.3235    ,  0.00493041 ,  2.38334e-06,  0.0397608  ,  0.00133984 ])
297215  , -3488.54    , array([ 26.3235    ,  0.00493095 ,  2.38334e-06,  0.0397607  ,  0.00133865 ])
297216  , -3488.54    , array([ 26.3235    ,  0.00493095 ,  2.38334e-06,  0.0397607  ,  0.00133865 ])
297217  , -3488.54    , array([ 26.3498    ,  0.00493095 ,  2.38334e-06,  0.0397607  ,  0.00133865 ])
297218  , -3495.92    , array([ 26.3235    ,  0.00493589 ,  2.38334e-06,  0.0397607  ,  0.00133865 ])
297219  , -3488.54    , array([ 26.3235    ,  0.00493095 ,  2.38572e-06,  0.0397607  ,  0.00133865 ])
297220  , -3488.54    , array([ 26.3235    ,  0.00493095 ,  2.38334e-06,  0.0398005  ,  0.00133865 ])
297221  , -3481.1     , array([ 26.3235    ,  0.00493095 ,  2.38334e-06,  0.0397607  ,  0.00133999 ])
297222  , -3488.52    , array([ 26.3235    ,  0.0049315  ,  2.38334e-06,  0.0397607  ,  0.0013388  ])
297223  , -3488.52    , array([ 26.3235    ,  0.0049315  ,  2.38334e-06,  0.0397607  ,  0.0013388  ])
297224  , -3488.52    , array([ 26.3498    ,  0.0049315  ,  2.38334e-06,  0.0397607  ,  0.0013388  ])
297225  , -3495.9     , array([ 26.3235    ,  0.00493643 ,  2.38334e-06,  0.0397607  ,  0.0013388  ])
297226  , -3488.52    , array([ 26.3235    ,  0.0049315  ,  2.38572e-06,  0.0397607  ,  0.0013388  ])
297227  , -3488.52    , array([ 26.3235    ,  0.0049315  ,  2.38334e-06,  0.0398005  ,  0.0013388  ])
297228  , -3481.08    , array([ 26.3235    ,  0.0049315  ,  2.38334e-06,  0.0397607  ,  0.00134014 ])
297236  , -3488.51    , array([ 26.3235    ,  0.00493163 ,  2.38334e-06,  0.0397607  ,  0.00133884 ])
297237  , -3488.51    , array([ 26.3235    ,  0.00493163 ,  2.38334e-06,  0.0397607  ,  0.00133884 ])
297238  , -3488.51    , array([ 26.3498    ,  0.00493163 ,  2.38334e-06,  0.0397607  ,  0.00133884 ])
297239  , -3495.89    , array([ 26.3235    ,  0.00493657 ,  2.38334e-06,  0.0397607  ,  0.00133884 ])
297240  , -3488.51    , array([ 26.3235    ,  0.00493163 ,  2.38572e-06,  0.0397607  ,  0.00133884 ])
297241  , -3488.51    , array([ 26.3235    ,  0.00493163 ,  2.38334e-06,  0.0398005  ,  0.00133884 ])
297242  , -3481.07    , array([ 26.3235    ,  0.00493163 ,  2.38334e-06,  0.0397607  ,  0.00134018 ])
297243  , -3488.51    , array([ 26.3235    ,  0.00493177 ,  2.38334e-06,  0.0397607  ,  0.00133888 ])
297244  , -3488.51    , array([ 26.3235    ,  0.00493177 ,  2.38334e-06,  0.0397607  ,  0.00133888 ])
297245  , -3488.51    , array([ 26.3498    ,  0.00493177 ,  2.38334e-06,  0.0397607  ,  0.00133888 ])
297246  , -3495.89    , array([ 26.3235    ,  0.0049367  ,  2.38334e-06,  0.0397607  ,  0.00133888 ])
297247  , -3488.51    , array([ 26.3235    ,  0.00493177 ,  2.38572e-06,  0.0397607  ,  0.00133888 ])
297248  , -3488.51    , array([ 26.3235    ,  0.00493177 ,  2.38334e-06,  0.0398005  ,  0.00133888 ])
297249  , -3481.07    , array([ 26.3235    ,  0.00493177 ,  2.38334e-06,  0.0397607  ,  0.00134021 ])
297250  , -11988      , array([ 26.7106    ,  0.5518     ,  2.38333e-06,  0.0383603  ,  0.162342   ])
