4065    , -2336.77    , array([ 0.0254517  ,  0.00244523 ,  3.37063e-09,  3.54092e-09])
4066    , -2336.77    , array([ 0.0254263  ,  0.00244768 ,  3.37063e-09,  3.54092e-09])
4067    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.374e-09  ,  3.54092e-09])
4068    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.37063e-09,  3.54446e-09])
4069    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.37063e-09,  3.54092e-09])
4070    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.37063e-09,  3.54092e-09])
4071    , -2336.77    , array([ 0.0254517  ,  0.00244523 ,  3.37063e-09,  3.54092e-09])
4072    , -2336.77    , array([ 0.0254263  ,  0.00244768 ,  3.37063e-09,  3.54092e-09])
4073    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.374e-09  ,  3.54092e-09])
4074    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.37063e-09,  3.54446e-09])
4075    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.37063e-09,  3.54092e-09])
4076    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.37063e-09,  3.54092e-09])
4077    , -2336.77    , array([ 0.0254517  ,  0.00244523 ,  3.37063e-09,  3.54092e-09])
4078    , -2336.77    , array([ 0.0254263  ,  0.00244768 ,  3.37063e-09,  3.54092e-09])
4079    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.374e-09  ,  3.54092e-09])
4080    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.37063e-09,  3.54446e-09])
4081    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.37063e-09,  3.54092e-09])
4082    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.37063e-09,  3.54092e-09])
4083    , -2336.77    , array([ 0.0254517  ,  0.00244523 ,  3.37063e-09,  3.54092e-09])
4084    , -2336.77    , array([ 0.0254263  ,  0.00244768 ,  3.37063e-09,  3.54092e-09])
4085    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.374e-09  ,  3.54092e-09])
4086    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.37063e-09,  3.54446e-09])
4087    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.37063e-09,  3.54092e-09])
4088    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.37063e-09,  3.54092e-09])
4089    , -2336.77    , array([ 0.0254517  ,  0.00244523 ,  3.37063e-09,  3.54092e-09])
4090    , -2336.77    , array([ 0.0254263  ,  0.00244768 ,  3.37063e-09,  3.54092e-09])
4091    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.374e-09  ,  3.54092e-09])
4092    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.37063e-09,  3.54446e-09])
4093    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.37063e-09,  3.54092e-09])
4094    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.37063e-09,  3.54092e-09])
4095    , -2336.77    , array([ 0.0254517  ,  0.00244523 ,  3.37063e-09,  3.54092e-09])
4096    , -2336.77    , array([ 0.0254263  ,  0.00244768 ,  3.37063e-09,  3.54092e-09])
4097    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.374e-09  ,  3.54092e-09])
4098    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.37063e-09,  3.54446e-09])
4099    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.37063e-09,  3.54092e-09])
4100    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.37063e-09,  3.54092e-09])
4101    , -2336.77    , array([ 0.0254517  ,  0.00244523 ,  3.37063e-09,  3.54092e-09])
4102    , -2336.77    , array([ 0.0254263  ,  0.00244768 ,  3.37063e-09,  3.54092e-09])
4103    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.374e-09  ,  3.54092e-09])
4104    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.37063e-09,  3.54446e-09])
4105    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.37063e-09,  3.54092e-09])
4106    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.37063e-09,  3.54092e-09])
4107    , -2336.77    , array([ 0.0254517  ,  0.00244523 ,  3.37063e-09,  3.54092e-09])
4108    , -2336.77    , array([ 0.0254263  ,  0.00244768 ,  3.37063e-09,  3.54092e-09])
4109    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.374e-09  ,  3.54092e-09])
4110    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.37063e-09,  3.54446e-09])
4111    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.37063e-09,  3.54092e-09])
4112    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.37063e-09,  3.54092e-09])
4113    , -2336.77    , array([ 0.0254517  ,  0.00244523 ,  3.37063e-09,  3.54092e-09])
4114    , -2336.77    , array([ 0.0254263  ,  0.00244768 ,  3.37063e-09,  3.54092e-09])
4115    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.374e-09  ,  3.54092e-09])
4116    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.37063e-09,  3.54446e-09])
4117    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.37063e-09,  3.54092e-09])
4118    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.37063e-09,  3.54092e-09])
4119    , -2336.77    , array([ 0.0254517  ,  0.00244523 ,  3.37063e-09,  3.54092e-09])
4120    , -2336.77    , array([ 0.0254263  ,  0.00244768 ,  3.37063e-09,  3.54092e-09])
4121    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.374e-09  ,  3.54092e-09])
4122    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.37063e-09,  3.54446e-09])
4123    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.37063e-09,  3.54092e-09])
4124    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.37063e-09,  3.54092e-09])
4125    , -2336.77    , array([ 0.0254517  ,  0.00244523 ,  3.37063e-09,  3.54092e-09])
4126    , -2336.77    , array([ 0.0254263  ,  0.00244768 ,  3.37063e-09,  3.54092e-09])
4127    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.374e-09  ,  3.54092e-09])
4128    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.37063e-09,  3.54446e-09])
4129    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.37063e-09,  3.54092e-09])
4130    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.37063e-09,  3.54092e-09])
4131    , -2336.77    , array([ 0.0254517  ,  0.00244523 ,  3.37063e-09,  3.54092e-09])
4132    , -2336.77    , array([ 0.0254263  ,  0.00244768 ,  3.37063e-09,  3.54092e-09])
4133    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.374e-09  ,  3.54092e-09])
4134    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.37063e-09,  3.54446e-09])
4135    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.37063e-09,  3.54092e-09])
4136    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.37063e-09,  3.54092e-09])
4137    , -2336.77    , array([ 0.0254517  ,  0.00244523 ,  3.37063e-09,  3.54092e-09])
4138    , -2336.77    , array([ 0.0254263  ,  0.00244768 ,  3.37063e-09,  3.54092e-09])
4139    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.374e-09  ,  3.54092e-09])
4140    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.37063e-09,  3.54446e-09])
4141    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.37063e-09,  3.54092e-09])
4142    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.37063e-09,  3.54092e-09])
4143    , -2336.77    , array([ 0.0254517  ,  0.00244523 ,  3.37063e-09,  3.54092e-09])
4144    , -2336.77    , array([ 0.0254263  ,  0.00244768 ,  3.37063e-09,  3.54092e-09])
4145    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.374e-09  ,  3.54092e-09])
4146    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.37063e-09,  3.54446e-09])
4147    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.37063e-09,  3.54092e-09])
4148    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.37063e-09,  3.54092e-09])
4149    , -2336.77    , array([ 0.0254517  ,  0.00244523 ,  3.37063e-09,  3.54092e-09])
