8857    , -397.745    , array([ 4.01676    ,  0.183935   ,  2.25226e-11,  0.341919   ])
8858    , -396.438    , array([ 4.01676    ,  0.155351   ,  2.25226e-11,  0.323758   ])
8859    , -396.438    , array([ 4.01676    ,  0.155351   ,  2.25226e-11,  0.323758   ])
8860    , -396.438    , array([ 4.02078    ,  0.155351   ,  2.25226e-11,  0.323758   ])
8861    , -396.411    , array([ 4.01676    ,  0.155507   ,  2.25226e-11,  0.323758   ])
8862    , -396.438    , array([ 4.01676    ,  0.155351   ,  2.25452e-11,  0.323758   ])
8863    , -396.526    , array([ 4.01676    ,  0.155351   ,  2.25226e-11,  0.324082   ])
8864    , -395.044    , array([ 4.01676    ,  0.137277   ,  2.25227e-11,  0.302665   ])
8865    , -395.044    , array([ 4.01676    ,  0.137277   ,  2.25227e-11,  0.302665   ])
8866    , -395.044    , array([ 4.02078    ,  0.137277   ,  2.25227e-11,  0.302665   ])
8867    , -395.048    , array([ 4.01676    ,  0.137415   ,  2.25227e-11,  0.302665   ])
8868    , -395.044    , array([ 4.01676    ,  0.137277   ,  2.25452e-11,  0.302665   ])
8869    , -395.052    , array([ 4.01676    ,  0.137277   ,  2.25227e-11,  0.302968   ])
8870    , -396.011    , array([ 4.01676    ,  0.104561   ,  2.25227e-11,  0.268629   ])
8871    , -396.011    , array([ 4.01676    ,  0.104561   ,  2.25227e-11,  0.268629   ])
8872    , -396.011    , array([ 4.02078    ,  0.104561   ,  2.25227e-11,  0.268629   ])
8873    , -395.905    , array([ 4.01676    ,  0.104665   ,  2.25227e-11,  0.268629   ])
8874    , -396.011    , array([ 4.01676    ,  0.104561   ,  2.25452e-11,  0.268629   ])
8875    , -396.212    , array([ 4.01676    ,  0.104561   ,  2.25227e-11,  0.268897   ])
8876    , -394.678    , array([ 4.01676    ,  0.124326   ,  2.25227e-11,  0.289803   ])
8877    , -394.678    , array([ 4.01676    ,  0.124326   ,  2.25227e-11,  0.289803   ])
8878    , -394.678    , array([ 4.02078    ,  0.124326   ,  2.25227e-11,  0.289803   ])
