254038  , -71079.3    , array([ 0.0114525  ,  0.261278   ,  1.25601e-06,  6.11663e-38,  0.00012645 ])
254039  , -60448.4    , array([ 0.00300209 ,  0.222188   ,  1.25601e-06,  6.11663e-38,  0.00056812 ])
254040  , -60448.4    , array([ 0.00300209 ,  0.222188   ,  1.25601e-06,  6.11663e-38,  0.00056812 ])
254041  , -60426.8    , array([ 0.00300509 ,  0.222188   ,  1.25601e-06,  6.11663e-38,  0.00056812 ])
254042  , -60449.7    , array([ 0.00300209 ,  0.22241    ,  1.25601e-06,  6.11663e-38,  0.00056812 ])
254043  , -60448.4    , array([ 0.00300209 ,  0.222188   ,  1.25727e-06,  6.11663e-38,  0.00056812 ])
254044  , -60448.4    , array([ 0.00300209 ,  0.222188   ,  1.25601e-06,  6.12275e-38,  0.00056812 ])
254045  , -60468.6    , array([ 0.00300209 ,  0.222188   ,  1.25601e-06,  6.11663e-38,  0.000568688])
254046  , -65559.7    , array([ 0.00829625 ,  0.251279   ,  1.25601e-06,  6.11663e-38,  0.000181432])
254047  , -65559.7    , array([ 0.00829625 ,  0.251279   ,  1.25601e-06,  6.11663e-38,  0.000181432])
254048  , -65568.8    , array([ 0.00830455 ,  0.251279   ,  1.25601e-06,  6.11663e-38,  0.000181432])
254049  , -65560.4    , array([ 0.00829625 ,  0.25153    ,  1.25601e-06,  6.11663e-38,  0.000181432])
254050  , -65559.7    , array([ 0.00829625 ,  0.251279   ,  1.25727e-06,  6.11663e-38,  0.000181432])
254051  , -65559.7    , array([ 0.00829625 ,  0.251279   ,  1.25601e-06,  6.12275e-38,  0.000181432])
254052  , -65550      , array([ 0.00829625 ,  0.251279   ,  1.25601e-06,  6.11663e-38,  0.000181613])
254053  , -53943.8    , array([ 0.00421224 ,  0.231486   ,  1.25601e-06,  6.11663e-38,  0.00038839 ])
254054  , -53943.8    , array([ 0.00421224 ,  0.231486   ,  1.25601e-06,  6.11663e-38,  0.00038839 ])
254055  , -53943.9    , array([ 0.00421646 ,  0.231486   ,  1.25601e-06,  6.11663e-38,  0.00038839 ])
254056  , -53944.8    , array([ 0.00421224 ,  0.231718   ,  1.25601e-06,  6.11663e-38,  0.00038839 ])
254057  , -53943.8    , array([ 0.00421224 ,  0.231486   ,  1.25727e-06,  6.11663e-38,  0.00038839 ])
254058  , -53943.8    , array([ 0.00421224 ,  0.231486   ,  1.25601e-06,  6.12275e-38,  0.00038839 ])
254059  , -53942.7    , array([ 0.00421224 ,  0.231486   ,  1.25601e-06,  6.11663e-38,  0.000388779])
254067  , -53940.3    , array([ 0.00421332 ,  0.231084   ,  1.25601e-06,  6.11663e-38,  0.000389037])
254068  , -53940.3    , array([ 0.00421332 ,  0.231084   ,  1.25601e-06,  6.11663e-38,  0.000389037])
254069  , -53940.3    , array([ 0.00421753 ,  0.231084   ,  1.25601e-06,  6.11663e-38,  0.000389037])
254070  , -53941.2    , array([ 0.00421332 ,  0.231315   ,  1.25601e-06,  6.11663e-38,  0.000389037])
254071  , -53940.3    , array([ 0.00421332 ,  0.231084   ,  1.25727e-06,  6.11663e-38,  0.000389037])
254072  , -53940.3    , array([ 0.00421332 ,  0.231084   ,  1.25601e-06,  6.12275e-38,  0.000389037])
254073  , -53939.1    , array([ 0.00421332 ,  0.231084   ,  1.25601e-06,  6.11663e-38,  0.000389427])
254074  , -53923.9    , array([ 0.00421841 ,  0.229194   ,  1.25601e-06,  6.11663e-38,  0.000392109])
254075  , -53923.9    , array([ 0.00421841 ,  0.229194   ,  1.25601e-06,  6.11663e-38,  0.000392109])
254076  , -53923.8    , array([ 0.00422263 ,  0.229194   ,  1.25601e-06,  6.11663e-38,  0.000392109])
254077  , -53924.9    , array([ 0.00421841 ,  0.229424   ,  1.25601e-06,  6.11663e-38,  0.000392109])
254078  , -53923.9    , array([ 0.00421841 ,  0.229194   ,  1.25727e-06,  6.11663e-38,  0.000392109])
254079  , -53923.9    , array([ 0.00421841 ,  0.229194   ,  1.25601e-06,  6.12275e-38,  0.000392109])
254080  , -53922.9    , array([ 0.00421841 ,  0.229194   ,  1.25601e-06,  6.11663e-38,  0.000392502])
254088  , -53923.1    , array([ 0.00421867 ,  0.2291     ,  1.25601e-06,  6.11663e-38,  0.000392264])
254089  , -53923.1    , array([ 0.00421867 ,  0.2291     ,  1.25601e-06,  6.11663e-38,  0.000392264])
254090  , -53923      , array([ 0.00422289 ,  0.2291     ,  1.25601e-06,  6.11663e-38,  0.000392264])
254091  , -53924.1    , array([ 0.00421867 ,  0.229329   ,  1.25601e-06,  6.11663e-38,  0.000392264])
254092  , -53923.1    , array([ 0.00421867 ,  0.2291     ,  1.25727e-06,  6.11663e-38,  0.000392264])
