97994   , -79089.4    , array([ 0.0196237  ,  1.41375    ,  2.4273e-06 ,  6.16832e-72,  6.46353e-12])
97995   , -79089.4    , array([ 0.0196434  ,  1.41375    ,  2.4273e-06 ,  6.16832e-72,  6.46353e-12])
97996   , -79089.4    , array([ 0.0196237  ,  1.41517    ,  2.4273e-06 ,  6.16832e-72,  6.46353e-12])
97997   , -79089.4    , array([ 0.0196237  ,  1.41375    ,  2.42973e-06,  6.16832e-72,  6.46353e-12])
97998   , -79089.4    , array([ 0.0196237  ,  1.41375    ,  2.4273e-06 ,  6.17449e-72,  6.46353e-12])
97999   , -79089.4    , array([ 0.0196237  ,  1.41375    ,  2.4273e-06 ,  6.16832e-72,  6.47e-12   ])
98000   , -79089.4    , array([ 0.0196237  ,  1.41375    ,  2.4273e-06 ,  6.16832e-72,  6.46353e-12])
98001   , -79089.4    , array([ 0.0196186  ,  1.41375    ,  2.4273e-06 ,  6.16832e-72,  6.46527e-12])
98002   , -79089.4    , array([ 0.0196186  ,  1.41375    ,  2.4273e-06 ,  6.16832e-72,  6.46527e-12])
98003   , -79089.4    , array([ 0.0196382  ,  1.41375    ,  2.4273e-06 ,  6.16832e-72,  6.46527e-12])
98004   , -79089.4    , array([ 0.0196186  ,  1.41516    ,  2.4273e-06 ,  6.16832e-72,  6.46527e-12])
98005   , -79089.4    , array([ 0.0196186  ,  1.41375    ,  2.42973e-06,  6.16832e-72,  6.46527e-12])
98006   , -79089.4    , array([ 0.0196186  ,  1.41375    ,  2.4273e-06 ,  6.17449e-72,  6.46527e-12])
98007   , -79089.4    , array([ 0.0196186  ,  1.41375    ,  2.4273e-06 ,  6.16832e-72,  6.47174e-12])
98008   , -79089.4    , array([ 0.019598   ,  1.41372    ,  2.4273e-06 ,  6.16832e-72,  6.47222e-12])
98009   , -79089.4    , array([ 0.019598   ,  1.41372    ,  2.4273e-06 ,  6.16832e-72,  6.47222e-12])
98010   , -79089.4    , array([ 0.0196176  ,  1.41372    ,  2.4273e-06 ,  6.16832e-72,  6.47222e-12])
98011   , -79089.4    , array([ 0.019598   ,  1.41513    ,  2.4273e-06 ,  6.16832e-72,  6.47222e-12])
98012   , -79089.4    , array([ 0.019598   ,  1.41372    ,  2.42973e-06,  6.16832e-72,  6.47222e-12])
98013   , -79089.4    , array([ 0.019598   ,  1.41372    ,  2.4273e-06 ,  6.17449e-72,  6.47222e-12])
98014   , -79089.4    , array([ 0.019598   ,  1.41372    ,  2.4273e-06 ,  6.16832e-72,  6.4787e-12 ])
98015   , -79089.4    , array([ 0.0195158  ,  1.41359    ,  2.4273e-06 ,  6.16832e-72,  6.50013e-12])
98016   , -79089.4    , array([ 0.0195158  ,  1.41359    ,  2.4273e-06 ,  6.16832e-72,  6.50013e-12])
98017   , -79089.4    , array([ 0.0195353  ,  1.41359    ,  2.4273e-06 ,  6.16832e-72,  6.50013e-12])
98018   , -79089.4    , array([ 0.0195158  ,  1.41501    ,  2.4273e-06 ,  6.16832e-72,  6.50013e-12])
98019   , -79089.4    , array([ 0.0195158  ,  1.41359    ,  2.42973e-06,  6.16832e-72,  6.50013e-12])
98020   , -79089.4    , array([ 0.0195158  ,  1.41359    ,  2.4273e-06 ,  6.17449e-72,  6.50013e-12])
98021   , -79089.4    , array([ 0.0195158  ,  1.41359    ,  2.4273e-06 ,  6.16832e-72,  6.50663e-12])
98022   , -79089.4    , array([ 0.0191904  ,  1.41311    ,  2.4273e-06 ,  6.16832e-72,  6.61295e-12])
