3659    , -79089.4    , array([ 1.09015    ,  0.304154   ,  0.0619091  ,  0.108748   ,  6.62007e-65])
3660    , -79089.4    , array([ 1.09015    ,  0.304154   ,  0.0619091  ,  0.108748   ,  6.62007e-65])
3661    , -79089.4    , array([ 2.09015    ,  0.304154   ,  0.0619091  ,  0.108748   ,  6.62007e-65])
3662    , -79089.4    , array([ 3.70818    ,  0.304154   ,  0.0619091  ,  0.108748   ,  6.62007e-65])
3663    , -79089.4    , array([ 2.09015    ,  0.304154   ,  0.0619091  ,  0.108748   ,  6.62007e-65])
3664    , -79089.4    , array([ 2.70818    ,  0.304154   ,  0.0619091  ,  0.108748   ,  6.62007e-65])
3665    , -79089.4    , array([ 3.09015    ,  0.304154   ,  0.0619091  ,  0.108748   ,  6.62007e-65])
3666    , -79089.4    , array([ 3.32622    ,  0.304154   ,  0.0619091  ,  0.108748   ,  6.62007e-65])
3667    , -79089.4    , array([ 3.47212    ,  0.304154   ,  0.0619091  ,  0.108748   ,  6.62007e-65])
3668    , -79089.4    , array([ 3.56229    ,  0.304154   ,  0.0619091  ,  0.108748   ,  6.62007e-65])
3669    , -79089.4    , array([ 3.61801    ,  0.304154   ,  0.0619091  ,  0.108748   ,  6.62007e-65])
3670    , -79089.4    , array([ 3.65246    ,  0.304154   ,  0.0619091  ,  0.108748   ,  6.62007e-65])
3671    , -79089.4    , array([ 3.67808    ,  0.304154   ,  0.0619091  ,  0.108748   ,  6.62007e-65])
3672    , -79089.4    , array([ 3.67808    ,  0.304154   ,  0.0619091  ,  0.108748   ,  6.62007e-65])
3673    , -79089.4    , array([ 3.67808    ,  1.30415    ,  0.0619091  ,  0.108748   ,  6.62007e-65])
3674    , -79089.4    , array([ 3.67808    ,  2.92219    ,  0.0619091  ,  0.108748   ,  6.62007e-65])
3675    , -79089.4    , array([ 3.67808    ,  1.30415    ,  0.0619091  ,  0.108748   ,  6.62007e-65])
3676    , -79089.4    , array([ 3.67808    ,  1.92219    ,  0.0619091  ,  0.108748   ,  6.62007e-65])
3677    , -79089.4    , array([ 3.67808    ,  2.30415    ,  0.0619091  ,  0.108748   ,  6.62007e-65])
3678    , -79089.4    , array([ 3.67808    ,  2.54022    ,  0.0619091  ,  0.108748   ,  6.62007e-65])
3679    , -79089.4    , array([ 3.67808    ,  2.68612    ,  0.0619091  ,  0.108748   ,  6.62007e-65])
3680    , -79089.4    , array([ 3.67808    ,  2.77629    ,  0.0619091  ,  0.108748   ,  6.62007e-65])
3681    , -79089.4    , array([ 3.67808    ,  2.83202    ,  0.0619091  ,  0.108748   ,  6.62007e-65])
3682    , -79089.4    , array([ 3.67808    ,  2.86646    ,  0.0619091  ,  0.108748   ,  6.62007e-65])
3683    , -79089.4    , array([ 3.67808    ,  2.89208    ,  0.0619091  ,  0.108748   ,  6.62007e-65])
3684    , -79089.4    , array([ 3.67808    ,  2.89208    ,  0.0619091  ,  0.108748   ,  6.62007e-65])
3685    , -79089.4    , array([ 3.67808    ,  2.89208    ,  1.06191    ,  0.108748   ,  6.62007e-65])
3686    , -79089.4    , array([ 3.67808    ,  2.89208    ,  2.67994    ,  0.108748   ,  6.62007e-65])
3687    , -79089.4    , array([ 3.67808    ,  2.89208    ,  1.06191    ,  0.108748   ,  6.62007e-65])
3688    , -79089.4    , array([ 3.67808    ,  2.89208    ,  1.67994    ,  0.108748   ,  6.62007e-65])
3689    , -79089.4    , array([ 3.67808    ,  2.89208    ,  2.06191    ,  0.108748   ,  6.62007e-65])
3690    , -79089.4    , array([ 3.67808    ,  2.89208    ,  2.29798    ,  0.108748   ,  6.62007e-65])
3691    , -79089.4    , array([ 3.67808    ,  2.89208    ,  2.44388    ,  0.108748   ,  6.62007e-65])
3692    , -79089.4    , array([ 3.67808    ,  2.89208    ,  2.53405    ,  0.108748   ,  6.62007e-65])
3693    , -79089.4    , array([ 3.67808    ,  2.89208    ,  2.58977    ,  0.108748   ,  6.62007e-65])
3694    , -79089.4    , array([ 3.67808    ,  2.89208    ,  2.62422    ,  0.108748   ,  6.62007e-65])
3695    , -79089.4    , array([ 3.67808    ,  2.89208    ,  2.64984    ,  0.108748   ,  6.62007e-65])
3696    , -79089.4    , array([ 3.67808    ,  2.89208    ,  2.64984    ,  0.108748   ,  6.62007e-65])
