78001   , -69534.1    , array([ 6.75495    ,  0.0230162  ,  0.000413115,  5.38289e-38,  0.000203418])
78002   , -69534.1    , array([ 6.76171    ,  0.0230162  ,  0.000413115,  5.38289e-38,  0.000203418])
78003   , -69542.8    , array([ 6.75495    ,  0.0230392  ,  0.000413115,  5.38289e-38,  0.000203418])
78004   , -69534.1    , array([ 6.75495    ,  0.0230162  ,  0.000413529,  5.38289e-38,  0.000203418])
78005   , -69534.1    , array([ 6.75495    ,  0.0230162  ,  0.000413115,  5.38828e-38,  0.000203418])
78006   , -69525.3    , array([ 6.75495    ,  0.0230162  ,  0.000413115,  5.38289e-38,  0.000203621])
78007   , -69534.1    , array([ 6.75495    ,  0.0230162  ,  0.000413115,  5.38289e-38,  0.000203418])
78008   , -47587.1    , array([ 6.74399    ,  0.0112823  ,  0.000413115,  5.38289e-38,  0.000415985])
78009   , -47587.1    , array([ 6.74399    ,  0.0112823  ,  0.000413115,  5.38289e-38,  0.000415985])
78010   , -47587.2    , array([ 6.75074    ,  0.0112823  ,  0.000413115,  5.38289e-38,  0.000415985])
78011   , -47609.8    , array([ 6.74399    ,  0.0112935  ,  0.000413115,  5.38289e-38,  0.000415985])
78012   , -47587.1    , array([ 6.74399    ,  0.0112823  ,  0.000413529,  5.38289e-38,  0.000415985])
78013   , -47587.1    , array([ 6.74399    ,  0.0112823  ,  0.000413115,  5.38828e-38,  0.000415985])
78014   , -47564.4    , array([ 6.74399    ,  0.0112823  ,  0.000413115,  5.38289e-38,  0.000416401])
78022   , -47559.1    , array([ 6.74398    ,  0.0112753  ,  0.000413115,  5.38289e-38,  0.000416242])
78023   , -47559.1    , array([ 6.74398    ,  0.0112753  ,  0.000413115,  5.38289e-38,  0.000416242])
78024   , -47559.1    , array([ 6.75073    ,  0.0112753  ,  0.000413115,  5.38289e-38,  0.000416242])
78025   , -47581.8    , array([ 6.74398    ,  0.0112866  ,  0.000413115,  5.38289e-38,  0.000416242])
78026   , -47559.1    , array([ 6.74398    ,  0.0112753  ,  0.000413529,  5.38289e-38,  0.000416242])
78027   , -47559.1    , array([ 6.74398    ,  0.0112753  ,  0.000413115,  5.38828e-38,  0.000416242])
78028   , -47536.3    , array([ 6.74398    ,  0.0112753  ,  0.000413115,  5.38289e-38,  0.000416658])
78029   , -47531      , array([ 6.74397    ,  0.0112683  ,  0.000413115,  5.38289e-38,  0.0004165  ])
78030   , -47531      , array([ 6.74397    ,  0.0112683  ,  0.000413115,  5.38289e-38,  0.0004165  ])
78031   , -47531      , array([ 6.75072    ,  0.0112683  ,  0.000413115,  5.38289e-38,  0.0004165  ])
78032   , -47553.7    , array([ 6.74397    ,  0.0112796  ,  0.000413115,  5.38289e-38,  0.0004165  ])
78033   , -47531      , array([ 6.74397    ,  0.0112683  ,  0.000413529,  5.38289e-38,  0.0004165  ])
78034   , -47531      , array([ 6.74397    ,  0.0112683  ,  0.000413115,  5.38828e-38,  0.0004165  ])
78035   , -47508.2    , array([ 6.74397    ,  0.0112683  ,  0.000413115,  5.38289e-38,  0.000416916])
78036   , -9171.02    , array([ 6.72211    ,  0.00270928 ,  0.000413115,  5.38289e-38,  0.00174069 ])
78037   , -9171.02    , array([ 6.72211    ,  0.00270928 ,  0.000413115,  5.38289e-38,  0.00174069 ])
78038   , -9171.03    , array([ 6.72883    ,  0.00270928 ,  0.000413115,  5.38289e-38,  0.00174069 ])
78039   , -9149.16    , array([ 6.72211    ,  0.00271199 ,  0.000413115,  5.38289e-38,  0.00174069 ])
78040   , -9171.02    , array([ 6.72211    ,  0.00270928 ,  0.000413529,  5.38289e-38,  0.00174069 ])
78041   , -9171.02    , array([ 6.72211    ,  0.00270928 ,  0.000413115,  5.38828e-38,  0.00174069 ])
78042   , -9192.59    , array([ 6.72211    ,  0.00270928 ,  0.000413115,  5.38289e-38,  0.00174243 ])
78043   , -11087.3    , array([ 6.73278    ,  0.00543543 ,  0.000413115,  5.38289e-38,  0.000865596])
78044   , -11087.3    , array([ 6.73278    ,  0.00543543 ,  0.000413115,  5.38289e-38,  0.000865596])
78045   , -11087.3    , array([ 6.73952    ,  0.00543543 ,  0.000413115,  5.38289e-38,  0.000865596])
78046   , -11107.4    , array([ 6.73278    ,  0.00544087 ,  0.000413115,  5.38289e-38,  0.000865596])
78047   , -11087.3    , array([ 6.73278    ,  0.00543543 ,  0.000413529,  5.38289e-38,  0.000865596])
78048   , -11087.3    , array([ 6.73278    ,  0.00543543 ,  0.000413115,  5.38828e-38,  0.000865596])
78049   , -11067.2    , array([ 6.73278    ,  0.00543543 ,  0.000413115,  5.38289e-38,  0.000866462])
78050   , -2593.27    , array([ 6.72683    ,  0.0036861  ,  0.000413115,  5.38289e-38,  0.00127807 ])
78051   , -2593.27    , array([ 6.72683    ,  0.0036861  ,  0.000413115,  5.38289e-38,  0.00127807 ])
78052   , -2593.27    , array([ 6.73356    ,  0.0036861  ,  0.000413115,  5.38289e-38,  0.00127807 ])
78053   , -2593.11    , array([ 6.72683    ,  0.00368978 ,  0.000413115,  5.38289e-38,  0.00127807 ])
78054   , -2593.27    , array([ 6.72683    ,  0.0036861  ,  0.000413529,  5.38289e-38,  0.00127807 ])
78055   , -2593.27    , array([ 6.72683    ,  0.0036861  ,  0.000413115,  5.38828e-38,  0.00127807 ])
78056   , -2593.35    , array([ 6.72683    ,  0.0036861  ,  0.000413115,  5.38289e-38,  0.00127935 ])
78064   , -2593.24    , array([ 6.72662    ,  0.00368715 ,  0.000413115,  5.38289e-38,  0.00127844 ])
78065   , -2593.24    , array([ 6.72662    ,  0.00368715 ,  0.000413115,  5.38289e-38,  0.00127844 ])
78066   , -2593.24    , array([ 6.73335    ,  0.00368715 ,  0.000413115,  5.38289e-38,  0.00127844 ])
78067   , -2593.07    , array([ 6.72662    ,  0.00369084 ,  0.000413115,  5.38289e-38,  0.00127844 ])
78068   , -2593.24    , array([ 6.72662    ,  0.00368715 ,  0.000413529,  5.38289e-38,  0.00127844 ])
78069   , -2593.24    , array([ 6.72662    ,  0.00368715 ,  0.000413115,  5.38828e-38,  0.00127844 ])
78070   , -2593.31    , array([ 6.72662    ,  0.00368715 ,  0.000413115,  5.38289e-38,  0.00127972 ])
78071   , -2593.2     , array([ 6.72641    ,  0.00368821 ,  0.000413115,  5.38289e-38,  0.00127881 ])
78072   , -2593.2     , array([ 6.72641    ,  0.00368821 ,  0.000413115,  5.38289e-38,  0.00127881 ])
78073   , -2593.21    , array([ 6.73314    ,  0.00368821 ,  0.000413115,  5.38289e-38,  0.00127881 ])
78074   , -2593.04    , array([ 6.72641    ,  0.0036919  ,  0.000413115,  5.38289e-38,  0.00127881 ])
78075   , -2593.2     , array([ 6.72641    ,  0.00368821 ,  0.000413529,  5.38289e-38,  0.00127881 ])
78076   , -2593.2     , array([ 6.72641    ,  0.00368821 ,  0.000413115,  5.38828e-38,  0.00127881 ])
78077   , -2593.28    , array([ 6.72641    ,  0.00368821 ,  0.000413115,  5.38289e-38,  0.00128009 ])
78085   , -2593.19    , array([ 6.72636    ,  0.00368848 ,  0.000413115,  5.38289e-38,  0.0012789  ])
78086   , -2593.19    , array([ 6.72636    ,  0.00368848 ,  0.000413115,  5.38289e-38,  0.0012789  ])
78087   , -2593.2     , array([ 6.73309    ,  0.00368848 ,  0.000413115,  5.38289e-38,  0.0012789  ])
78088   , -2593.03    , array([ 6.72636    ,  0.00369217 ,  0.000413115,  5.38289e-38,  0.0012789  ])
78089   , -2593.19    , array([ 6.72636    ,  0.00368848 ,  0.000413529,  5.38289e-38,  0.0012789  ])
78090   , -2593.19    , array([ 6.72636    ,  0.00368848 ,  0.000413115,  5.38828e-38,  0.0012789  ])
78091   , -2593.27    , array([ 6.72636    ,  0.00368848 ,  0.000413115,  5.38289e-38,  0.00128018 ])
78092   , -2593.18    , array([ 6.72631    ,  0.00368874 ,  0.000413115,  5.38289e-38,  0.00127899 ])
78093   , -2593.18    , array([ 6.72631    ,  0.00368874 ,  0.000413115,  5.38289e-38,  0.00127899 ])
78094   , -2593.19    , array([ 6.73304    ,  0.00368874 ,  0.000413115,  5.38289e-38,  0.00127899 ])
78095   , -2593.02    , array([ 6.72631    ,  0.00369243 ,  0.000413115,  5.38289e-38,  0.00127899 ])
78096   , -2593.18    , array([ 6.72631    ,  0.00368874 ,  0.000413529,  5.38289e-38,  0.00127899 ])
78097   , -2593.18    , array([ 6.72631    ,  0.00368874 ,  0.000413115,  5.38828e-38,  0.00127899 ])
