1892    , -627.826    , array([ 0.00535755 ,  1.51734    ,  0.00509664 ,  0.0252     ])
1893    , -628.62     , array([ 0.0053522  ,  1.51885    ,  0.00509664 ,  0.0252     ])
1894    , -629.155    , array([ 0.0053522  ,  1.51734    ,  0.00510174 ,  0.0252     ])
1895    , -627.918    , array([ 0.0053522  ,  1.51734    ,  0.00509664 ,  0.0252252  ])
1902    , -628.51     , array([ 0.00535218 ,  1.5173     ,  0.00509665 ,  0.0252002  ])
1903    , -628.51     , array([ 0.00535218 ,  1.5173     ,  0.00509665 ,  0.0252002  ])
1904    , -627.822    , array([ 0.00535753 ,  1.5173     ,  0.00509665 ,  0.0252002  ])
1905    , -628.616    , array([ 0.00535218 ,  1.51881    ,  0.00509665 ,  0.0252002  ])
1906    , -629.151    , array([ 0.00535218 ,  1.5173     ,  0.00510175 ,  0.0252002  ])
1907    , -627.914    , array([ 0.00535218 ,  1.5173     ,  0.00509665 ,  0.0252254  ])
1908    , -628.48     , array([ 0.00535204 ,  1.51699    ,  0.00509678 ,  0.025202   ])
1909    , -628.48     , array([ 0.00535204 ,  1.51699    ,  0.00509678 ,  0.025202   ])
1910    , -627.791    , array([ 0.00535739 ,  1.51699    ,  0.00509678 ,  0.025202   ])
1911    , -628.585    , array([ 0.00535204 ,  1.5185     ,  0.00509678 ,  0.025202   ])
1912    , -629.121    , array([ 0.00535204 ,  1.51699    ,  0.00510188 ,  0.025202   ])
1913    , -627.884    , array([ 0.00535204 ,  1.51699    ,  0.00509678 ,  0.0252272  ])
1914    , -2336.8     , array([ 0.0027705  ,  0.00820428 ,  0.00955925 ,  0.153162   ])
1915    , -2336.8     , array([ 0.0027705  ,  0.00820428 ,  0.00955925 ,  0.153162   ])
1916    , -2336.8     , array([ 0.00277327 ,  0.00820428 ,  0.00955925 ,  0.153162   ])
1917    , -2336.8     , array([ 0.0027705  ,  0.00821248 ,  0.00955925 ,  0.153162   ])
1918    , -2336.8     , array([ 0.0027705  ,  0.00820428 ,  0.00956882 ,  0.153162   ])
1919    , -2336.8     , array([ 0.0027705  ,  0.00820428 ,  0.00955925 ,  0.153315   ])
1920    , -587.703    , array([ 0.00513994 ,  1.10095    ,  0.00529747 ,  0.0281555  ])
1921    , -587.703    , array([ 0.00513994 ,  1.10095    ,  0.00529747 ,  0.0281555  ])
1922    , -586.855    , array([ 0.00514509 ,  1.10095    ,  0.00529747 ,  0.0281555  ])
1923    , -587.902    , array([ 0.00513994 ,  1.10205    ,  0.00529747 ,  0.0281555  ])
1924    , -588.511    , array([ 0.00513994 ,  1.10095    ,  0.00530277 ,  0.0281555  ])
1925    , -587.371    , array([ 0.00513994 ,  1.10095    ,  0.00529747 ,  0.0281837  ])
1926    , -498.576    , array([ 0.00563048 ,  0.643404   ,  0.00634137 ,  0.0321184  ])
1927    , -498.576    , array([ 0.00563048 ,  0.643404   ,  0.00634137 ,  0.0321184  ])
1928    , -497.813    , array([ 0.00563612 ,  0.643404   ,  0.00634137 ,  0.0321184  ])
1929    , -498.808    , array([ 0.00563048 ,  0.644048   ,  0.00634137 ,  0.0321184  ])
1930    , -499.305    , array([ 0.00563048 ,  0.643404   ,  0.00634771 ,  0.0321184  ])
1931    , -498.369    , array([ 0.00563048 ,  0.643404   ,  0.00634137 ,  0.0321505  ])
1932    , -475.84     , array([ 0.00810765 ,  0.0750497  ,  0.0130209  ,  0.0543893  ])
1933    , -475.84     , array([ 0.00810765 ,  0.0750497  ,  0.0130209  ,  0.0543893  ])
1934    , -477.146    , array([ 0.00811576 ,  0.0750497  ,  0.0130209  ,  0.0543893  ])
1935    , -475.527    , array([ 0.00810765 ,  0.0751248  ,  0.0130209  ,  0.0543893  ])
1936    , -474.559    , array([ 0.00810765 ,  0.0750497  ,  0.0130339  ,  0.0543893  ])
1937    , -475.311    , array([ 0.00810765 ,  0.0750497  ,  0.0130209  ,  0.0544438  ])
