Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params( )
our_model	Round_1_Replicate_1	-2339.7	4689.4	1963.35	5772.54	3.1389,0.4686,0.8558,1.7137,30.0
our_model	Round_1_Replicate_2	-2254.0	4518.0	1807.7	4649.99	3.9534,0.5406,0.6885,1.5001,30.0
our_model	Round_1_Replicate_3	-1578.43	3166.86	530.76	19477.58	1.0116,0.1661,5.2766,0.3827,0.0729
our_model	Round_1_Replicate_4	-1995.76	4001.52	1311.21	7968.66	2.4742,0.2031,1.2135,4.1922,30.0
our_model	Round_1_Replicate_5	-2005.24	4020.48	1331.45	6597.95	2.9711,0.2558,0.9998,3.3159,30.0
our_model	Round_1_Replicate_6	-2019.67	4049.34	1361.37	11180.94	1.741,0.1586,1.6855,5.3225,30.0
our_model	Round_1_Replicate_7	-1314.99	2639.98	8.12	19898.88	1.0304,0.107,5.0054,2.1304,0.0529
our_model	Round_1_Replicate_8	-1676.28	3362.56	697.11	20015.63	0.816,0.1754,5.4786,0.8857,0.0988
our_model	Round_1_Replicate_9	-2096.75	4203.5	1513.33	5839.65	3.2513,0.3573,0.8692,2.3216,30.0
our_model	Round_1_Replicate_10	-1340.74	2691.48	59.49	19844.4	1.0035,0.1212,5.1284,1.438,0.0581
our_model	Round_2_Replicate_1	-1329.47	2668.94	37.45	20105.64	0.9951,0.0834,4.7526,3.254,0.0407
our_model	Round_2_Replicate_2	-1311.05	2632.1	0.24	19988.58	1.0009,0.1009,4.9742,2.4897,0.0507
our_model	Round_2_Replicate_3	-1310.97	2631.94	0.08	20001.09	1.0006,0.0993,4.975,2.542,0.0497
our_model	Round_2_Replicate_4	-1350.27	2710.54	80.95	20175.97	0.9953,0.0772,4.9586,3.151,0.0364
our_model	Round_2_Replicate_5	-1318.99	2647.98	16.25	20053.96	1.0058,0.0897,4.8389,2.6929,0.0433
our_model	Round_2_Replicate_6	-1312.02	2634.04	2.19	20041.29	0.992,0.096,4.9976,2.7181,0.0481
our_model	Round_2_Replicate_7	-1312.7	2635.4	3.54	19919.01	1.0324,0.1033,4.9696,2.4651,0.052
our_model	Round_2_Replicate_8	-1332.56	2675.12	44.13	20107.1	1.0115,0.0829,4.9256,2.9815,0.0396
our_model	Round_2_Replicate_9	-1310.94	2631.88	0.02	19998.9	1.0008,0.1002,5.0115,2.5026,0.0502
our_model	Round_2_Replicate_10	-1352.79	2715.58	84.42	19820.49	1.0084,0.123,5.0528,1.1072,0.0576
our_model	Round_2_Replicate_11	-1312.33	2634.66	2.8	19928.42	1.0314,0.0992,4.7564,2.6746,0.05
our_model	Round_2_Replicate_12	-1321.12	2652.24	20.55	20074.02	0.9995,0.0877,4.8194,2.9673,0.0428
our_model	Round_2_Replicate_13	-1380.99	2771.98	144.25	19932.2	1.2149,0.0719,4.2049,3.6586,0.0337
our_model	Round_2_Replicate_14	-1311.56	2633.12	1.26	19985.54	1.0033,0.1024,5.0546,2.4496,0.0518
our_model	Round_2_Replicate_15	-1326.25	2662.5	30.89	20040.07	1.0358,0.0864,4.9339,3.2958,0.0427
our_model	Round_2_Replicate_16	-1366.5	2743.0	109.24	20023.5	0.9248,0.1241,5.2815,2.2219,0.0699
our_model	Round_2_Replicate_17	-1399.81	2809.62	174.42	19407.11	1.1478,0.1363,4.6004,1.4542,0.0676
our_model	Round_2_Replicate_18	-1327.92	2665.84	34.38	20221.09	0.9318,0.0875,5.186,2.5423,0.042
our_model	Round_2_Replicate_19	-1356.36	2722.72	92.95	20061.09	1.0527,0.0806,4.6665,2.1816,0.0359
our_model	Round_2_Replicate_20	-1311.42	2632.84	0.97	20016.54	0.9996,0.0973,4.9567,2.6472,0.0487
