2388    , -2614.25    , array([ 0.0130787  ,  2.04397    ,  1.93402e-25,  0.0247124  ])
2389    , -2614.25    , array([ 0.0130917  ,  2.04397    ,  1.93402e-25,  0.0247124  ])
2390    , -2614.55    , array([ 0.0130787  ,  2.04602    ,  1.93402e-25,  0.0247124  ])
2391    , -2614.25    , array([ 0.0130787  ,  2.04397    ,  1.93595e-25,  0.0247124  ])
2392    , -2614.55    , array([ 0.0130787  ,  2.04397    ,  1.93402e-25,  0.0247371  ])
2393    , -2614.25    , array([ 0.0130787  ,  2.04397    ,  1.93402e-25,  0.0247124  ])
2394    , -2335.69    , array([ 0.0130787  ,  0.995251   ,  1.93402e-25,  0.012166   ])
2395    , -2335.69    , array([ 0.0130787  ,  0.995251   ,  1.93402e-25,  0.012166   ])
2396    , -2335.69    , array([ 0.0130917  ,  0.995251   ,  1.93402e-25,  0.012166   ])
2397    , -2335.92    , array([ 0.0130787  ,  0.996247   ,  1.93402e-25,  0.012166   ])
2398    , -2335.69    , array([ 0.0130787  ,  0.995251   ,  1.93595e-25,  0.012166   ])
2399    , -2335.69    , array([ 0.0130787  ,  0.995251   ,  1.93402e-25,  0.0121782  ])
2400    , -1764.87    , array([ 0.0130787  ,  0.0912214  ,  1.93402e-25,  0.0209417  ])
2401    , -1764.87    , array([ 0.0130787  ,  0.0912214  ,  1.93402e-25,  0.0209417  ])
2402    , -1764.87    , array([ 0.0130917  ,  0.0912214  ,  1.93402e-25,  0.0209417  ])
2403    , -1764.01    , array([ 0.0130787  ,  0.0913127  ,  1.93402e-25,  0.0209417  ])
2404    , -1764.87    , array([ 0.0130787  ,  0.0912214  ,  1.93595e-25,  0.0209417  ])
2405    , -1765.22    , array([ 0.0130787  ,  0.0912214  ,  1.93402e-25,  0.0209626  ])
2406    , -2189.14    , array([ 0.0130787  ,  0.615674   ,  1.93402e-25,  0.0135691  ])
2407    , -2189.14    , array([ 0.0130787  ,  0.615674   ,  1.93402e-25,  0.0135691  ])
2408    , -2189.14    , array([ 0.0130917  ,  0.615674   ,  1.93402e-25,  0.0135691  ])
2409    , -2189.48    , array([ 0.0130787  ,  0.61629    ,  1.93402e-25,  0.0135691  ])
2410    , -2189.14    , array([ 0.0130787  ,  0.615674   ,  1.93595e-25,  0.0135691  ])
2411    , -2189       , array([ 0.0130787  ,  0.615674   ,  1.93402e-25,  0.0135827  ])
2412    , -1589.43    , array([ 0.0130787  ,  0.15151    ,  1.93402e-25,  0.018661   ])
2413    , -1589.43    , array([ 0.0130787  ,  0.15151    ,  1.93402e-25,  0.018661   ])
2414    , -1589.43    , array([ 0.0130917  ,  0.15151    ,  1.93402e-25,  0.018661   ])
2415    , -1589.49    , array([ 0.0130787  ,  0.151662   ,  1.93402e-25,  0.018661   ])
2416    , -1589.43    , array([ 0.0130787  ,  0.15151    ,  1.93595e-25,  0.018661   ])
2417    , -1589.19    , array([ 0.0130787  ,  0.15151    ,  1.93402e-25,  0.0186797  ])
2418    , -2336.8     , array([ 0.0130787  ,  0.00194786 ,  1.93402e-25,  0.189561   ])
2419    , -2336.8     , array([ 0.0130787  ,  0.00194786 ,  1.93402e-25,  0.189561   ])
2420    , -2336.8     , array([ 0.0130917  ,  0.00194786 ,  1.93402e-25,  0.189561   ])
2421    , -2336.8     , array([ 0.0130787  ,  0.00194981 ,  1.93402e-25,  0.189561   ])
2422    , -2336.8     , array([ 0.0130787  ,  0.00194786 ,  1.93595e-25,  0.189561   ])
2423    , -2336.8     , array([ 0.0130787  ,  0.00194786 ,  1.93402e-25,  0.189751   ])
2424    , -1832.81    , array([ 0.0130787  ,  0.0909214  ,  1.93402e-25,  0.0244918  ])
2425    , -1832.81    , array([ 0.0130787  ,  0.0909214  ,  1.93402e-25,  0.0244918  ])
2426    , -1832.81    , array([ 0.0130917  ,  0.0909214  ,  1.93402e-25,  0.0244918  ])
2427    , -1831.7     , array([ 0.0130787  ,  0.0910124  ,  1.93402e-25,  0.0244918  ])
2428    , -1832.81    , array([ 0.0130787  ,  0.0909214  ,  1.93595e-25,  0.0244918  ])
2429    , -1833.28    , array([ 0.0130787  ,  0.0909214  ,  1.93402e-25,  0.0245163  ])
2430    , -1580.39    , array([ 0.0130787  ,  0.139364   ,  1.93402e-25,  0.0195101  ])
2431    , -1580.39    , array([ 0.0130787  ,  0.139364   ,  1.93402e-25,  0.0195101  ])
2432    , -1580.39    , array([ 0.0130917  ,  0.139364   ,  1.93402e-25,  0.0195101  ])
2433    , -1580.32    , array([ 0.0130787  ,  0.139503   ,  1.93402e-25,  0.0195101  ])
2434    , -1580.39    , array([ 0.0130787  ,  0.139364   ,  1.93595e-25,  0.0195101  ])
2435    , -1580.22    , array([ 0.0130787  ,  0.139364   ,  1.93402e-25,  0.0195296  ])
2436    , -1561.34    , array([ 0.0130787  ,  0.145474   ,  1.93402e-25,  0.0213852  ])
2437    , -1561.34    , array([ 0.0130787  ,  0.145474   ,  1.93402e-25,  0.0213852  ])
2438    , -1561.34    , array([ 0.0130917  ,  0.145474   ,  1.93402e-25,  0.0213852  ])
2439    , -1561.26    , array([ 0.0130787  ,  0.14562    ,  1.93402e-25,  0.0213852  ])
2440    , -1561.34    , array([ 0.0130787  ,  0.145474   ,  1.93595e-25,  0.0213852  ])
2441    , -1561.16    , array([ 0.0130787  ,  0.145474   ,  1.93402e-25,  0.0214066  ])
2442    , -1467.56    , array([ 0.0130787  ,  0.172714   ,  1.93402e-25,  0.0308695  ])
2443    , -1467.56    , array([ 0.0130787  ,  0.172714   ,  1.93402e-25,  0.0308695  ])
