132202  , -66773.3    , array([ 0.910194   ,  0.0397971  ,  1.34727e-10,  1.21296e-31,  0.000453256])
132203  , -66773.3    , array([ 0.910194   ,  0.0397971  ,  1.34727e-10,  1.21296e-31,  0.000453256])
132204  , -66778.8    , array([ 0.910194   ,  0.0397971  ,  1.34727e-10,  1          ,  0.000453256])
132206  , -66773.3    , array([ 0.910194   ,  0.0397971  ,  1.34727e-10,  1.21296e-31,  0.000453256])
132208  , -66775.4    , array([ 0.910194   ,  0.0397971  ,  1.34727e-10,  0.381966   ,  0.000453256])
132209  , -66774.3    , array([ 0.910194   ,  0.0397971  ,  1.34727e-10,  0.190983   ,  0.000453256])
132212  , -66773.7    , array([ 0.910194   ,  0.0397971  ,  1.34727e-10,  0.072949   ,  0.000453256])
132214  , -66773.4    , array([ 0.910194   ,  0.0397971  ,  1.34727e-10,  0.027864   ,  0.000453256])
132216  , -66773.3    , array([ 0.910194   ,  0.0397971  ,  1.34727e-10,  0.0106431  ,  0.000453256])
132218  , -66773.3    , array([ 0.910194   ,  0.0397971  ,  1.34727e-10,  0.00406531 ,  0.000453256])
132220  , -66773.3    , array([ 0.910194   ,  0.0397971  ,  1.34727e-10,  0.00155281 ,  0.000453256])
132222  , -66773.3    , array([ 0.910194   ,  0.0397971  ,  1.34727e-10,  0.00059312 ,  0.000453256])
132224  , -66773.3    , array([ 0.910194   ,  0.0397971  ,  1.34727e-10,  0.000226552,  0.000453256])
132226  , -66773.3    , array([ 0.910194   ,  0.0397971  ,  1.34727e-10,  8.65351e-05,  0.000453256])
132228  , -66773.3    , array([ 0.910194   ,  0.0397971  ,  1.34727e-10,  3.30535e-05,  0.000453256])
132230  , -66773.3    , array([ 0.910194   ,  0.0397971  ,  1.34727e-10,  1.26253e-05,  0.000453256])
132232  , -66773.3    , array([ 0.910194   ,  0.0397971  ,  1.34727e-10,  4.82244e-06,  0.000453256])
132234  , -66773.3    , array([ 0.910194   ,  0.0397971  ,  1.34727e-10,  1.84201e-06,  0.000453256])
