92769   , -72798.3    , array([ 4.72139    ,  12.6995    ,  2.58793    ,  2.58793    ,  0.192894   ])
92770   , -70894.4    , array([ 4.72139    ,  12.6995    ,  2.58793    ,  2.58793    ,  0.118035   ])
92771   , -70973.3    , array([ 4.72139    ,  12.6995    ,  2.58793    ,  2.58793    ,  0.0729495  ])
92772   , -70736.2    , array([ 4.72139    ,  12.6995    ,  2.58793    ,  2.58793    ,  0.099317   ])
92773   , -70733.2    , array([ 4.72139    ,  12.6995    ,  2.58793    ,  2.58793    ,  0.0977542  ])
92774   , -70732.1    , array([ 4.72139    ,  12.6995    ,  2.58793    ,  2.58793    ,  0.0955754  ])
92775   , -70732.8    , array([ 4.72139    ,  12.6995    ,  2.58793    ,  2.58793    ,  0.0946196  ])
92776   , -70732.1    , array([ 4.72139    ,  12.6995    ,  2.58793    ,  2.58793    ,  0.0965312  ])
92777   , -84037.5    , array([ 7.30932    ,  15.2874    ,  5.17586    ,  5.17586    ,  0.191151   ])
92778   , -70732.1    , array([ 4.72139    ,  12.6995    ,  2.58793    ,  2.58793    ,  0.0955754  ])
92779   , -72305.8    , array([ 5.72139    ,  12.6995    ,  2.58793    ,  2.58793    ,  0.0955754  ])
92780   , -66638.5    , array([ 3.10336    ,  12.6995    ,  2.58793    ,  2.58793    ,  0.0955754  ])
92781   , -49690.3    , array([ 0.485321   ,  12.6995    ,  2.58793    ,  2.58793    ,  0.0955754  ])
92783   , -49690.3    , array([ 0.485321   ,  12.6995    ,  2.58793    ,  2.58793    ,  0.0955754  ])
92785   , -57859      , array([ 1.48532    ,  12.6995    ,  2.58793    ,  2.58793    ,  0.0955754  ])
92786   , -53190.3    , array([ 0.985148   ,  12.6995    ,  2.58793    ,  2.58793    ,  0.0955754  ])
92788   , -56815.8    , array([ 0.249253   ,  12.6995    ,  2.58793    ,  2.58793    ,  0.0955754  ])
92789   , -50203.2    , array([ 0.665948   ,  12.6995    ,  2.58793    ,  2.58793    ,  0.0955754  ])
92790   , -49955.8    , array([ 0.44296    ,  12.6995    ,  2.58793    ,  2.58793    ,  0.0955754  ])
92791   , -49629.3    , array([ 0.540865   ,  12.6995    ,  2.58793    ,  2.58793    ,  0.0955754  ])
92792   , -49759.6    , array([ 0.588643   ,  12.6995    ,  2.58793    ,  2.58793    ,  0.0955754  ])
92793   , -49629.3    , array([ 0.540865   ,  12.6995    ,  2.58793    ,  2.58793    ,  0.0955754  ])
