28613   , -1789.56    , array([ 0.00962395 ,  0.373357   ,  0.000781227,  2.6379e-31 ])
28614   , -1789.56    , array([ 0.00962395 ,  0.372984   ,  0.000782009,  2.6379e-31 ])
28615   , -1789.56    , array([ 0.00962395 ,  0.372984   ,  0.000781227,  2.64054e-31])
28616   , -1785.01    , array([ 0.0142188  ,  0.372984   ,  0.00116981 ,  2.6379e-31 ])
28617   , -1785.01    , array([ 0.0142188  ,  0.372984   ,  0.00116981 ,  2.6379e-31 ])
28618   , -1785       , array([ 0.014233   ,  0.372984   ,  0.00116981 ,  2.6379e-31 ])
28619   , -1785.01    , array([ 0.0142188  ,  0.373357   ,  0.00116981 ,  2.6379e-31 ])
28620   , -1785       , array([ 0.0142188  ,  0.372984   ,  0.00117098 ,  2.6379e-31 ])
28621   , -1785.01    , array([ 0.0142188  ,  0.372984   ,  0.00116981 ,  2.64054e-31])
28622   , -1733.2     , array([ 0.067748   ,  0.372984   ,  0.00588129 ,  2.6379e-31 ])
28623   , -1733.2     , array([ 0.067748   ,  0.372984   ,  0.00588129 ,  2.6379e-31 ])
28624   , -1733.26    , array([ 0.0678158  ,  0.372984   ,  0.00588129 ,  2.6379e-31 ])
28625   , -1733.2     , array([ 0.067748   ,  0.373357   ,  0.00588129 ,  2.6379e-31 ])
28626   , -1733.08    , array([ 0.067748   ,  0.372984   ,  0.00588717 ,  2.6379e-31 ])
28627   , -1733.2     , array([ 0.067748   ,  0.372984   ,  0.00588129 ,  2.64054e-31])
28628   , -39988.7    , array([ 34.9169    ,  0.372984   ,  3.75748    ,  2.6379e-31 ])
28629   , -39988.7    , array([ 34.9169    ,  0.372984   ,  3.75748    ,  2.6379e-31 ])
28630   , -40002.6    , array([ 34.9518    ,  0.372984   ,  3.75748    ,  2.6379e-31 ])
28631   , -39988.7    , array([ 34.9169    ,  0.373357   ,  3.75748    ,  2.6379e-31 ])
28632   , -39992.1    , array([ 34.9169    ,  0.372984   ,  3.76124    ,  2.6379e-31 ])
28633   , -39988.7    , array([ 34.9169    ,  0.372984   ,  3.75748    ,  2.64054e-31])
28634   , -1727.31    , array([ 0.0744716  ,  0.372984   ,  0.00648604 ,  2.6379e-31 ])
28635   , -1727.31    , array([ 0.0744716  ,  0.372984   ,  0.00648604 ,  2.6379e-31 ])
28636   , -1727.39    , array([ 0.0745461  ,  0.372984   ,  0.00648604 ,  2.6379e-31 ])
28637   , -1727.31    , array([ 0.0744716  ,  0.373357   ,  0.00648604 ,  2.6379e-31 ])
28638   , -1727.18    , array([ 0.0744716  ,  0.372984   ,  0.00649253 ,  2.6379e-31 ])
28639   , -1727.31    , array([ 0.0744716  ,  0.372984   ,  0.00648604 ,  2.64054e-31])
