955     , -2336.69    , array([ 3.90673    ,  0.364062   ,  3.27153e-59,  3.35218e-06])
956     , -2336.69    , array([ 3.91064    ,  0.364062   ,  3.27153e-59,  3.35218e-06])
957     , -2336.69    , array([ 3.90673    ,  0.364426   ,  3.27153e-59,  3.35218e-06])
958     , -2336.69    , array([ 3.90673    ,  0.364062   ,  3.2748e-59 ,  3.35218e-06])
959     , -2336.69    , array([ 3.90673    ,  0.364062   ,  3.27153e-59,  3.35554e-06])
960     , -2336.69    , array([ 3.90673    ,  0.364062   ,  3.27153e-59,  3.35218e-06])
961     , -2336.64    , array([ 3.90673    ,  0.305068   ,  3.27153e-59,  3.75148e-06])
962     , -2336.64    , array([ 3.90673    ,  0.305068   ,  3.27153e-59,  3.75148e-06])
963     , -2336.64    , array([ 3.91064    ,  0.305068   ,  3.27153e-59,  3.75148e-06])
964     , -2336.64    , array([ 3.90673    ,  0.305373   ,  3.27153e-59,  3.75148e-06])
965     , -2336.64    , array([ 3.90673    ,  0.305068   ,  3.2748e-59 ,  3.75148e-06])
966     , -2336.64    , array([ 3.90673    ,  0.305068   ,  3.27153e-59,  3.75524e-06])
967     , -2336.17    , array([ 3.90673    ,  0.150411   ,  3.27153e-59,  5.88445e-06])
968     , -2336.17    , array([ 3.90673    ,  0.150411   ,  3.27153e-59,  5.88445e-06])
969     , -2336.17    , array([ 3.91064    ,  0.150411   ,  3.27153e-59,  5.88445e-06])
970     , -2336.17    , array([ 3.90673    ,  0.150562   ,  3.27153e-59,  5.88445e-06])
971     , -2336.17    , array([ 3.90673    ,  0.150411   ,  3.2748e-59 ,  5.88445e-06])
972     , -2336.17    , array([ 3.90673    ,  0.150411   ,  3.27153e-59,  5.89033e-06])
973     , -2264.95    , array([ 3.90673    ,  0.00888828 ,  3.27153e-59,  3.56217e-05])
974     , -2264.95    , array([ 3.90673    ,  0.00888828 ,  3.27153e-59,  3.56217e-05])
