30167   , -56224.2    , array([ 0.191795   ,  0.151335   ,  9.32408e-24,  3.58622e-19,  0.144342   ])
30168   , -56224.2    , array([ 0.191795   ,  0.151335   ,  9.32408e-24,  3.58622e-19,  0.144342   ])
30169   , -21000.1    , array([ 1.19179    ,  0.151335   ,  9.32408e-24,  3.58622e-19,  0.144342   ])
30170   , -20071.8    , array([ 2.80983    ,  0.151335   ,  9.32408e-24,  3.58622e-19,  0.144342   ])
30171   , -20005.9    , array([ 2.02249    ,  0.151335   ,  9.32408e-24,  3.58622e-19,  0.144342   ])
30172   , -20005.9    , array([ 2.02249    ,  0.151335   ,  9.32408e-24,  3.58622e-19,  0.144342   ])
30173   , -20139.4    , array([ 1.70519    ,  0.151335   ,  9.32408e-24,  3.58622e-19,  0.144342   ])
30174   , -19990.7    , array([ 2.32322    ,  0.151335   ,  9.32408e-24,  3.58622e-19,  0.144342   ])
30175   , -19987.8    , array([ 2.21498    ,  0.151335   ,  9.32408e-24,  3.58622e-19,  0.144342   ])
30176   , -19987.7    , array([ 2.23573    ,  0.151335   ,  9.32408e-24,  3.58622e-19,  0.144342   ])
30177   , -19987.9    , array([ 2.25617    ,  0.151335   ,  9.32408e-24,  3.58622e-19,  0.144342   ])
30178   , -19987.7    , array([ 2.23573    ,  0.151335   ,  9.32408e-24,  3.58622e-19,  0.144342   ])
30179   , -18524.7    , array([ 2.23573    ,  1.15133    ,  9.32408e-24,  3.58622e-19,  0.144342   ])
30180   , -33863.3    , array([ 2.23573    ,  2.76937    ,  9.32408e-24,  3.58622e-19,  0.144342   ])
30181   , -18524.7    , array([ 2.23573    ,  1.15133    ,  9.32408e-24,  3.58622e-19,  0.144342   ])
30182   , -26234.5    , array([ 2.23573    ,  1.76937    ,  9.32408e-24,  3.58622e-19,  0.144342   ])
30183   , -12077.2    , array([ 2.23573    ,  0.769369   ,  9.32408e-24,  3.58622e-19,  0.144342   ])
30184   , -8007.39    , array([ 2.23573    ,  0.533301   ,  9.32408e-24,  3.58622e-19,  0.144342   ])
30185   , -6663.76    , array([ 2.23573    ,  0.387403   ,  9.32408e-24,  3.58622e-19,  0.144342   ])
30186   , -9725.33    , array([ 2.23573    ,  0.24134    ,  9.32408e-24,  3.58622e-19,  0.144342   ])
30187   , -6749.88    , array([ 2.23573    ,  0.415791   ,  9.32408e-24,  3.58622e-19,  0.144342   ])
30188   , -6671.71    , array([ 2.23573    ,  0.372734   ,  9.32408e-24,  3.58622e-19,  0.144342   ])
30189   , -6662.01    , array([ 2.23573    ,  0.38333    ,  9.32408e-24,  3.58622e-19,  0.144342   ])
30190   , -6662.34    , array([ 2.23573    ,  0.38101    ,  9.32408e-24,  3.58622e-19,  0.144342   ])
30191   , -6662.01    , array([ 2.23573    ,  0.38333    ,  9.32408e-24,  3.58622e-19,  0.144342   ])
30192   , -5021.34    , array([ 2.23573    ,  0.38333    ,  1          ,  3.58622e-19,  0.144342   ])
30193   , -4500.2     , array([ 2.23573    ,  0.38333    ,  2.61803    ,  3.58622e-19,  0.144342   ])
30194   , -4476.98    , array([ 2.23573    ,  0.38333    ,  2.12876    ,  3.58622e-19,  0.144342   ])
30195   , -4476.98    , array([ 2.23573    ,  0.38333    ,  2.12876    ,  3.58622e-19,  0.144342   ])
30196   , -4572.75    , array([ 2.23573    ,  0.38333    ,  1.69761    ,  3.58622e-19,  0.144342   ])
30197   , -4470.64    , array([ 2.23573    ,  0.38333    ,  2.31565    ,  3.58622e-19,  0.144342   ])
30198   , -4470.34    , array([ 2.23573    ,  0.38333    ,  2.27789    ,  3.58622e-19,  0.144342   ])
30199   , -4470.54    , array([ 2.23573    ,  0.38333    ,  2.25511    ,  3.58622e-19,  0.144342   ])
30200   , -4470.34    , array([ 2.23573    ,  0.38333    ,  2.27789    ,  3.58622e-19,  0.144342   ])
30201   , -5584.23    , array([ 2.23573    ,  0.38333    ,  2.27789    ,  1          ,  0.144342   ])
30203   , -4470.34    , array([ 2.23573    ,  0.38333    ,  2.27789    ,  3.58622e-19,  0.144342   ])
30205   , -4783.74    , array([ 2.23573    ,  0.38333    ,  2.27789    ,  0.381966   ,  0.144342   ])
30206   , -4604.83    , array([ 2.23573    ,  0.38333    ,  2.27789    ,  0.19098    ,  0.144342   ])
30209   , -4515.87    , array([ 2.23573    ,  0.38333    ,  2.27789    ,  0.072948   ,  0.144342   ])
30211   , -4486.83    , array([ 2.23573    ,  0.38333    ,  2.27789    ,  0.0278637  ,  0.144342   ])
30213   , -4476.5     , array([ 2.23573    ,  0.38333    ,  2.27789    ,  0.010643   ,  0.144342   ])
30215   , -4472.67    , array([ 2.23573    ,  0.38333    ,  2.27789    ,  0.00406525 ,  0.144342   ])
30217   , -4471.23    , array([ 2.23573    ,  0.38333    ,  2.27789    ,  0.00155279 ,  0.144342   ])
30219   , -4470.68    , array([ 2.23573    ,  0.38333    ,  2.27789    ,  0.000593113,  0.144342   ])
30221   , -4470.47    , array([ 2.23573    ,  0.38333    ,  2.27789    ,  0.000226549,  0.144342   ])
30223   , -4470.39    , array([ 2.23573    ,  0.38333    ,  2.27789    ,  8.6534e-05 ,  0.144342   ])
30225   , -4470.36    , array([ 2.23573    ,  0.38333    ,  2.27789    ,  3.3053e-05 ,  0.144342   ])
30227   , -4470.35    , array([ 2.23573    ,  0.38333    ,  2.27789    ,  1.26251e-05,  0.144342   ])
30229   , -4470.34    , array([ 2.23573    ,  0.38333    ,  2.27789    ,  4.82237e-06,  0.144342   ])
30231   , -4470.34    , array([ 2.23573    ,  0.38333    ,  2.27789    ,  1.84198e-06,  0.144342   ])
