154062  , -55694.9    , array([ 0.0143287  ,  1.8416     ,  1.11497e-17,  0.000219467,  0.000934425])
154063  , -55701.2    , array([ 0.0143431  ,  1.8416     ,  1.11497e-17,  0.000219467,  0.000934425])
154064  , -55695.2    , array([ 0.0143287  ,  1.84344    ,  1.11497e-17,  0.000219467,  0.000934425])
154065  , -55694.9    , array([ 0.0143287  ,  1.8416     ,  1.11609e-17,  0.000219467,  0.000934425])
154066  , -55694.9    , array([ 0.0143287  ,  1.8416     ,  1.11497e-17,  0.000219687,  0.000934425])
154067  , -55688.1    , array([ 0.0143287  ,  1.8416     ,  1.11497e-17,  0.000219467,  0.000935359])
154068  , -55694.9    , array([ 0.0143287  ,  1.8416     ,  1.11497e-17,  0.000219467,  0.000934425])
154069  , -70523.1    , array([ 0.0072284  ,  1.7767     ,  1.11497e-17,  0.000219467,  0.00196248 ])
154070  , -70523.1    , array([ 0.0072284  ,  1.7767     ,  1.11497e-17,  0.000219467,  0.00196248 ])
154071  , -70487.8    , array([ 0.00723563 ,  1.7767     ,  1.11497e-17,  0.000219467,  0.00196248 ])
154072  , -70523.6    , array([ 0.0072284  ,  1.77847    ,  1.11497e-17,  0.000219467,  0.00196248 ])
154073  , -70523.1    , array([ 0.0072284  ,  1.7767     ,  1.11609e-17,  0.000219467,  0.00196248 ])
154074  , -70523.1    , array([ 0.0072284  ,  1.7767     ,  1.11497e-17,  0.000219687,  0.00196248 ])
154075  , -70556.7    , array([ 0.0072284  ,  1.7767     ,  1.11497e-17,  0.000219467,  0.00196445 ])
154076  , -54360.5    , array([ 0.0122757  ,  1.82673    ,  1.11497e-17,  0.000219467,  0.00110504 ])
154077  , -54360.5    , array([ 0.0122757  ,  1.82673    ,  1.11497e-17,  0.000219467,  0.00110504 ])
154078  , -54361.4    , array([ 0.012288   ,  1.82673    ,  1.11497e-17,  0.000219467,  0.00110504 ])
154079  , -54360.8    , array([ 0.0122757  ,  1.82855    ,  1.11497e-17,  0.000219467,  0.00110504 ])
154080  , -54360.5    , array([ 0.0122757  ,  1.82673    ,  1.11609e-17,  0.000219467,  0.00110504 ])
154081  , -54360.5    , array([ 0.0122757  ,  1.82673    ,  1.11497e-17,  0.000219687,  0.00110504 ])
154082  , -54358.8    , array([ 0.0122757  ,  1.82673    ,  1.11497e-17,  0.000219467,  0.00110614 ])
154083  , -18158.6    , array([ 0.150902   ,  0.128376   ,  1.11497e-17,  0.000219454,  0.0146354  ])
154084  , -18158.6    , array([ 0.150902   ,  0.128376   ,  1.11497e-17,  0.000219454,  0.0146354  ])
154085  , -18151.6    , array([ 0.151053   ,  0.128376   ,  1.11497e-17,  0.000219454,  0.0146354  ])
154086  , -18175.3    , array([ 0.150902   ,  0.128505   ,  1.11497e-17,  0.000219454,  0.0146354  ])
